Table LA4:  Offending by children who have been looked after continuously for at least 12 months1,,,,,,,
Years: 2013,,,,,,,
Coverage: England,,,,,,,
,,,,,,,
,Number of children looked after at 31 March who had been looked after for at least 12 months2,,Number of looked after children aged 10 or older at 31 March3,,Looked after children aged 10 and above,,
Leicester,355,,200,,15,7.5,
Leicestershire,275,,170,,10,7.1,
Lincolnshire,365,,240,,x,x,
Northamptonshire,510,,340,,25,7.1,
Nottingham,370,,230,,20,8.7,
Nottinghamshire,575,,330,,20,6.0,
Rutland,25,,10,,0,0.0,
,,,,,,,
WEST MIDLANDS,"6,280",,"3,820",,180,4.8,
Birmingham,"1,395",,860,,45,5.1,
Coventry,405,,265,,15,5.6,
Dudley,565,,315,,5,1.9,
Herefordshire,130,,75,,0,0.0,
Sandwell,440,,270,,15,5.2,
Shropshire,150,,105,,0,0.0,
Solihull,240,,160,,10,6.9,
Staffordshire,670,,425,,25,5.7,
Stoke-on-Trent,310,,195,,10,5.1,
Telford and Wrekin,230,,145,,x,x,
Walsall,395,,210,,10,5.7,
Warwickshire,460,,310,,15,5.1,
Wolverhampton,465,,230,,10,3.5,
Worcestershire,415,,255,,20,7.8,
,,,,,,,
EAST OF ENGLAND,"4,470",,"3,060",,170,5.4,
Bedford Borough,150,,80,,10,11.3,
Central Bedfordshire,145,,90,,5,8.0,
Cambridgeshire,340,,230,,0,0.0,
Essex,995,,685,,50,7.1,
Hertfordshire,685,,475,,25,5.2,
Luton,280,,185,,15,8.0,
Norfolk,755,,540,,20,4.1,
Peterborough,240,,160,,10,5.0,
Southend-on-Sea,170,,125,,10,8.7,
Suffolk,540,,360,,20,5.3,
Thurrock,165,,120,,0,0.0,
,,,,,,,
LONDON,"6,730",,"4,700",,280,5.9,
INNER LONDON,"3,020",,"2,110",,130,6.1,
Camden,170,,125,,10,6.5,
City of London,x,,x,,0,0.0,
Hackney,210,,145,,10,5.4,
Hammersmith and Fulham,160,,110,,10,7.2,
Haringey,405,,255,,30,11.1,
Islington,205,,155,,5,3.9,
Kensington and Chelsea,75,,65,,x,x,
Lambeth,325,,220,,10,4.6,
Lewisham,335,,235,,20,8.9,
Newham,290,,220,,15,6.8,
Southwark,360,,235,,x,x,
Tower Hamlets,200,,155,,x,x,
Wandsworth,150,,110,,10,9.3,
Westminster,130,,85,,x,x,
OUTER LONDON,"3,710",,"2,590",,150,5.7,
Barking and Dagenham,275,,175,,x,x,
Barnet,195,,150,,10,8.0,
Bexley,155,,95,,x,x,
Brent,225,,175,,10,5.7,
Bromley,175,,110,,15,13.4,
Croydon,475,,380,,20,4.7,
Ealing,265,,170,,10,5.3,
Enfield,200,,140,,x,x,
Greenwich,395,,255,,15,5.5,
Harrow,80,,60,,10,12.9,
Havering,125,,90,,10,9.0,
Hillingdon,245,,180,,0,0.0,
Hounslow,225,,170,,10,4.7,
Kingston upon Thames,75,,50,,x,x,
Merton,85,,55,,5,11.1,
Redbridge,150,,85,,10,9.3,
Richmond upon Thames,45,,35,,x,x,
Sutton,110,,70,,x,x,
Waltham Forest,205,,140,,10,6.4,
,,,,,,,
SOUTH EAST,"5,960",,"3,820",,290,7.6,
Bracknell Forest,75,,50,,x,x,
Brighton and Hove,335,,220,,10,4.5,
Buckinghamshire,295,,185,,10,4.4,
East Sussex,445,,280,,15,5.7,
Hampshire,765,,520,,45,8.5,
Isle of Wight,105,,80,,25,29.5,
Kent,"1,190",,745,,65,8.8,
Medway,295,,150,,10,6.7,
Milton Keynes,190,,115,,5,5.2,
Oxfordshire,255,,190,,5,3.6,
Portsmouth,205,,125,,10,8.7,
Reading,165,,95,,x,x,
Slough,115,,65,,x,x,
Southampton,300,,145,,15,11.9,
Surrey,550,,385,,25,6.0,
West Berkshire,95,,65,,10,15.6,
West Sussex,465,,335,,30,9.3,
Windsor and Maidenhead,65,,40,,x,x,
Wokingham,45,,35,,0,0.0,
,,,,,,,
SOUTH WEST,"3,590",,"2,520",,180,7.1,
Bath and North East Somerset,105,,80,,5,8.9,
Bournemouth,150,,100,,5,6.1,
"Bristol, City of",490,,345,,25,7.0,
Cornwall,290,,235,,10,5.1,
Devon,435,,320,,20,6.3,
Dorset,215,,170,,15,8.9,
Gloucestershire,320,,205,,20,9.4,
Isles of Scilly,0,,0,,0,.,
North Somerset,165,,115,,x,x,
Plymouth,280,,190,,x,x,
Poole,105,,75,,x,x,
Somerset,305,,205,,30,15.0,
South Gloucestershire,115,,75,,5,9.5,
Swindon,155,,115,,10,10.3,
Torbay,180,,100,,x,x,
Wiltshire,285,,185,,10,6.5,
,,,,,,,
,,,,,,Source: SSDA903,
1. Offending data is collected for children aged 10 or over who have been continuously looked after for at least 12 months as at 31 March excluding those children in respite care.,,,,,,,
2. Children of all ages who have been continuously looked after for at least 12 months,,,,,,,
3. Children aged 10 to 17 at 31 March 2013 who have been continuously looked after for at least 12 months,,,,,,,
4. This includes children who were convicted or subject to a final warning or reprimand under the Crime and Disorder Act 1998 during the year for an offence committed while being looked after.,,,,,,,
,,,,,,,
,,,,,,,
"All numbers relating to national or regional totals have been rounded to the nearest 10, all Local Authority numbers have been rounded to the nearest 5.",,,,,,,
x = number less than or equal to 5 or percentage where the numerator is less than or equal to 5 or the denominator is less than or equal to 10.,,,,,,,
. = not applicable,,,,,,,
See technical note 18 for more information on rounding and suppression.,,,,,,,
,,,,,,,
,,,,,,,
