Back to index,,,,,,,,,,,,,,
Table LA2: Key stage 2 eligibility and performance of children who have been looked after continuously for at least twelve months1,,,,,,,,,,,,,,
Year: 20166,,,,,,,,,,,,,,
"Coverage: England, All schools2",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
LA Code,,,"Number eligible for key stage 2 tests and assessments3,4,5",,Reaching the expected standard (%),,,,,,,,,
,,,,,Reading (test)3,Writing (teacher assessment)4,Mathematics (test)3,"Grammar, punctuation and spelling (test)3","Reading, writing and mathematics5",,,,,
E08000008,357,Tameside,20,,56,67,56,56,39,,,,,
E08000009,358,Trafford,20,,55,70,75,75,45,,,,,
E06000007,877,Warrington,10,,67,x,50,75,x,,,,,
E08000010,359,Wigan,20,,43,48,52,43,29,,,,,
E08000015,344,Wirral,30,,48,48,52,41,38,,,,,
,,,,,,,,,,,,,,
,,YORKSHIRE AND THE HUMBER,350,,39,47,40,42,25,,,,,
E08000016,370,Barnsley,5,,x,x,x,x,x,,,,,
E08000032,380,Bradford,50,,35,45,39,49,16,,,,,
E08000033,381,Calderdale,20,,50,39,50,44,x,,,,,
E08000017,371,Doncaster,25,,43,45,52,35,32,,,,,
E06000011,811,East Riding of Yorkshire,10,,x,x,x,x,x,,,,,
E06000010,810,"Kingston Upon Hull, City of",20,,43,43,48,38,33,,,,,
E08000034,382,Kirklees,35,,38,47,47,41,24,,,,,
E08000035,383,Leeds,70,,38,51,40,43,24,,,,,
E06000012,812,North East Lincolnshire,15,,43,64,50,57,43,,,,,
E06000013,813,North Lincolnshire,10,,x,x,x,x,x,,,,,
E10000023,815,North Yorkshire,20,,53,47,32,53,32,,,,,
E08000018,372,Rotherham,20,,38,33,33,33,x,,,,,
E08000019,373,Sheffield,25,,31,56,38,42,24,,,,,
E08000036,384,Wakefield,25,,x,30,x,x,x,,,,,
E06000014,816,York,10,,x,x,x,x,x,,,,,
,,,,,,,,,,,,,,
,,EAST MIDLANDS,200,,35,41,36,34,22,,,,,
E06000015,831,Derby,20,,33,44,x,x,x,,,,,
E10000007,830,Derbyshire,20,,x,45,40,35,x,,,,,
E06000016,856,Leicester,25,,41,37,37,41,30,,,,,
E10000018,855,Leicestershire,15,,x,44,38,x,x,,,,,
E10000019,925,Lincolnshire,25,,33,43,25,25,x,,,,,
E10000021,928,Northamptonshire,25,,58,58,46,54,38,,,,,
E06000018,892,Nottingham,25,,36,36,48,32,28,,,,,
E10000024,891,Nottinghamshire,40,,29,32,29,27,15,,,,,
E06000017,857,Rutland,0,,.,.,.,.,.,,,,,
,,,,,,,,,,,,,,
,,WEST MIDLANDS,410,,38,43,41,41,23,,,,,
E08000025,330,Birmingham,75,,34,46,43,46,24,,,,,
E08000026,331,Coventry,20,,27,41,32,27,x,,,,,
E08000027,332,Dudley,25,,50,54,67,54,38,,,,,
E06000019,884,Herefordshire,10,,x,x,x,x,x,,,,,
E08000028,333,Sandwell,20,,x,32,32,53,x,,,,,
E06000051,893,Shropshire,10,,x,x,x,x,x,,,,,
E08000029,334,Solihull,15,,41,35,x,x,x,,,,,
E10000028,860,Staffordshire,50,,35,37,35,29,18,,,,,
E06000021,861,Stoke-on-Trent,30,,37,40,43,33,23,,,,,
E06000020,894,Telford and Wrekin,20,,33,33,x,44,x,,,,,
E08000030,335,Walsall,35,,39,56,42,44,28,,,,,
E10000031,937,Warwickshire,25,,42,39,50,33,35,,,,,
E08000031,336,Wolverhampton,45,,60,58,51,63,37,,,,,
E10000034,885,Worcestershire,35,,23,37,29,31,x,,,,,
,,,,,,,,,,,,,,
,,EAST OF ENGLAND,250,,38,43,36,43,23,,,,,
E06000055,822,Bedford Borough,10,,x,x,x,x,x,,,,,
E06000056,823,Central Bedfordshire,10,,x,x,x,x,x,,,,,
E10000003,873,Cambridgeshire,25,,35,38,35,42,27,,,,,
E10000012,881,Essex,45,,36,44,38,42,20,,,,,
E10000015,919,Hertfordshire,40,,44,41,46,49,29,,,,,
E06000032,821,Luton,15,,50,50,x,43,x,,,,,
E10000020,926,Norfolk,45,,42,44,35,42,19,,,,,
E06000031,874,Peterborough,10,,x,x,x,x,x,,,,,
E06000033,882,Southend-on-Sea,10,,x,x,x,x,x,,,,,
E10000029,935,Suffolk,30,,39,38,25,42,24,,,,,
E06000034,883,Thurrock,10,,x,x,x,x,x,,,,,
,,,,,,,,,,,,,,
,,LONDON,300,,48,55,47,52,32,,,,,
,,INNER LONDON,130,,45,58,43,52,28,,,,,
E09000007,202,Camden,10,,x,x,x,x,x,,,,,
E09000001,201,City of London,0,,.,.,.,.,.,,,,,
E09000012,204,Hackney,15,,43,57,43,43,x,,,,,
E09000013,205,Hammersmith and Fulham,10,,x,x,x,x,x,,,,,
E09000014,309,Haringey,15,,38,56,56,50,x,,,,,
E09000019,206,Islington,5,,x,x,x,x,x,,,,,
E09000020,207,Kensington and Chelsea,x,,x,x,x,x,x,,,,,
E09000022,208,Lambeth,10,,x,x,x,x,x,,,,,
E09000023,209,Lewisham,15,,x,57,40,53,x,,,,,
E09000025,316,Newham,5,,x,x,x,x,x,,,,,
E09000028,210,Southwark,25,,57,65,39,43,30,,,,,
E09000030,211,Tower Hamlets,10,,x,x,x,x,x,,,,,
E09000032,212,Wandsworth,x,,x,x,x,x,x,,,,,
E09000033,213,Westminster,10,,x,x,x,73,x,,,,,
,,OUTER LONDON,170,,51,54,50,51,34,,,,,
E09000002,301,Barking and Dagenham,10,,55,55,55,55,55,,,,,
E09000003,302,Barnet,10,,55,64,55,55,x,,,,,
E09000004,303,Bexley,10,,x,x,x,x,x,,,,,
E09000005,304,Brent,10,,x,x,x,x,x,,,,,
E09000006,305,Bromley,15,,75,50,75,75,50,,,,,
E09000008,306,Croydon,10,,x,x,x,x,x,,,,,
E09000009,307,Ealing,15,,63,69,63,69,38,,,,,
E09000010,308,Enfield,10,,x,x,x,x,x,,,,,
E09000011,203,Greenwich,25,,43,57,52,57,35,,,,,
E09000015,310,Harrow,x,,x,x,x,x,x,,,,,
E09000016,311,Havering,5,,x,x,x,x,x,,,,,
E09000017,312,Hillingdon,x,,x,x,x,x,x,,,,,
E09000018,313,Hounslow,10,,x,x,x,x,x,,,,,
E09000021,314,Kingston upon Thames,x,,x,x,x,x,x,,,,,
E09000024,315,Merton,5,,x,x,x,x,x,,,,,
E09000026,317,Redbridge,10,,x,x,x,x,x,,,,,
E09000027,318,Richmond upon Thames,x,,x,x,x,x,x,,,,,
E09000029,319,Sutton,x,,x,x,x,x,x,,,,,
E09000031,320,Waltham Forest,5,,x,x,x,x,x,,,,,
,,,,,,,,,,,,,,
,,SOUTH EAST,370,,41,46,37,40,24,,,,,
E06000036,867,Bracknell Forest,x,,x,x,x,x,x,,,,,
E06000043,846,Brighton and Hove,20,,x,37,x,32,x,,,,,
E10000002,825,Buckinghamshire,20,,67,61,39,44,39,,,,,
E10000011,845,East Sussex,25,,35,42,35,38,x,,,,,
E10000014,850,Hampshire,55,,42,51,40,47,25,,,,,
E06000046,921,Isle of Wight,5,,x,x,x,x,x,,,,,
E10000016,886,Kent,80,,41,49,42,43,23,,,,,
E06000035,887,Medway,20,,47,53,37,37,32,,,,,
E06000042,826,Milton Keynes,15,,41,x,x,x,x,,,,,
E10000025,931,Oxfordshire,20,,45,45,35,50,30,,,,,
E06000044,851,Portsmouth,15,,46,46,46,46,x,,,,,
E06000038,870,Reading,10,,x,x,x,x,x,,,,,
E06000039,871,Slough,5,,x,x,x,x,x,,,,,
E06000045,852,Southampton,25,,44,40,44,48,24,,,,,
E10000030,936,Surrey,20,,x,38,29,33,x,,,,,
E06000037,869,West Berkshire,5,,x,x,x,x,x,,,,,
E10000032,938,West Sussex,15,,x,x,46,x,x,,,,,
E06000040,868,Windsor and Maidenhead,5,,x,x,x,x,x,,,,,
E06000041,872,Wokingham,x,,x,x,x,x,x,,,,,
,,,,,,,,,,,,,,
,,SOUTH WEST,200,,39,37,36,41,23,,,,,
E06000022,800,Bath and North East Somerset,x,,x,x,x,x,x,,,,,
E06000028,837,Bournemouth,10,,55,x,x,64,x,,,,,
E06000023,801,"Bristol, City of",30,,40,33,43,40,27,,,,,
E06000052,908,Cornwall,15,,x,x,x,46,x,,,,,
E10000008,878,Devon,25,,48,28,x,32,x,,,,,
E10000009,835,Dorset,15,,x,x,x,x,x,,,,,
E10000013,916,Gloucestershire,15,,44,x,x,44,x,,,,,
E06000053,420,Isles of Scilly,0,,.,.,.,.,.,,,,,
E06000024,802,North Somerset,5,,x,x,x,x,x,,,,,
E06000026,879,Plymouth,10,,x,x,x,x,x,,,,,
E06000029,836,Poole,10,,x,x,x,x,x,,,,,
E10000027,933,Somerset,20,,38,50,48,43,x,,,,,
E06000025,803,South Gloucestershire,x,,x,x,x,x,x,,,,,
E06000030,866,Swindon,5,,x,x,x,x,x,,,,,
E06000027,880,Torbay,20,,37,42,x,37,x,,,,,
E06000054,865,Wiltshire,15,,x,x,x,x,x,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,Source: CLA-NPD matched data,,,,,
,,,,,,,,,,,,,,
1. Children looked after continuously for at least twelve months as at 31 March excluding those children in respite care. Only children who have been matched to key stage 2 data are included. This is the amended version of key stage 2 data.,,,,,,,,,,,,,,
2. Figures includes those independent schools who chose to take part in key stage 2 assessments.,,,,,,,,,,,,,,
3. Excludes pupils with missing or lost test results and pupils where results are suppressed pending the outcome of a maladministration investigation. The expected standard is a scaled score of 100 or above.,,,,,,,,,,,,,,
4. Excludes pupils with a missing teacher assessment. The expected standard includes those working at the expected standard (EXS) and those working at greater depth within the expected standard (GDS).,,,,,,,,,,,,,,
"5. Includes pupils who have reached the end of key stage 2 in all of reading, writing and mathematics. Excludes pupils with missing or lost test results, pupils where results are suppressed pending the outcome of a maladministration investigation and those with a missing writing teacher assessment.  The expected standard includes those pupils who reached the expected standard in all of reading, writing and mathematics.",,,,,,,,,,,,,,
"6. The 2016 key stage 2 assessments are the first which assess the new, more challenging national curriculum, which was introduced in 2014. See link below for changes to national curriculum assessments at key stage 2:",,,,,,,,,,,,,,
https://www.gov.uk/government/publications/interim-frameworks-for-teacher-assessment-at-the-end-of-key-stage-2,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Numbers relating to national or regional totals have been rounded to the nearest 10. Local authority numbers have been rounded to the nearest 5.,,,,,,,,,,,,,,
x = number less than or equal to 5 or percentage where the numerator is less than or equal to 5 or the denominator is less than or equal to 10.,,,,,,,,,,,,,,
. = not applicable,,,,,,,,,,,,,,
See methodology and quality document for more information on rounding conventions.,,,,,,,,,,,,,,
