Back to index,,,,,,,,,
Table LA1: Key stage 1 eligibility and performance of children who have been looked after continuously for at least twelve months1,,,,,,,,,
Year: 20165,,,,,,,,,
"Coverage: England, All schools2",,,,,,,,,
,,,,,,,,,
LA Code,,,Number eligible for key stage 1 assessments3,,Reaching the expected standard4 (%),,,,
E08000009,358,Trafford,15,,53,x,53,67,
E06000007,877,Warrington,10,,x,x,x,x,
E08000010,359,Wigan,25,,33,22,44,48,
E08000015,344,Wirral,30,,41,31,45,52,
,,,,,,,,,
,,YORKSHIRE AND THE HUMBER,200,,53,38,45,57,
E08000016,370,Barnsley,x,,x,x,x,x,
E08000032,380,Bradford,25,,58,42,42,69,
E08000033,381,Calderdale,10,,x,x,x,x,
E08000017,371,Doncaster,10,,x,x,x,x,
E06000011,811,East Riding of Yorkshire,10,,x,x,x,x,
E06000010,810,"Kingston Upon Hull, City of",25,,58,50,58,54,
E08000034,382,Kirklees,25,,61,30,43,61,
E08000035,383,Leeds,35,,60,46,46,54,
E06000012,812,North East Lincolnshire,10,,x,x,x,x,
E06000013,813,North Lincolnshire,10,,82,64,73,91,
E10000023,815,North Yorkshire,5,,x,x,x,x,
E08000018,372,Rotherham,10,,x,x,x,x,
E08000019,373,Sheffield,10,,x,x,x,x,
E08000036,384,Wakefield,15,,x,x,40,47,
E06000014,816,York,x,,x,x,x,x,
,,,,,,,,,
,,EAST MIDLANDS,120,,43,33,36,44,
E06000015,831,Derby,15,,x,x,x,x,
E10000007,830,Derbyshire,10,,x,x,x,x,
E06000016,856,Leicester,20,,x,x,x,37,
E10000018,855,Leicestershire,10,,x,x,x,x,
E10000019,925,Lincolnshire,15,,53,60,53,40,
E10000021,928,Northamptonshire,15,,53,47,59,53,
E06000018,892,Nottingham,15,,41,x,x,47,
E10000024,891,Nottinghamshire,20,,50,40,40,45,
E06000017,857,Rutland,0,,.,.,.,.,
,,,,,,,,,
,,WEST MIDLANDS,290,,50,37,46,60,
E08000025,330,Birmingham,55,,51,29,36,56,
E08000026,331,Coventry,15,,69,x,46,69,
E08000027,332,Dudley,30,,70,57,60,73,
E06000019,884,Herefordshire,10,,x,x,x,x,
E08000028,333,Sandwell,15,,41,x,47,53,
E06000051,893,Shropshire,10,,x,x,x,x,
E08000029,334,Solihull,10,,x,x,x,x,
E10000028,860,Staffordshire,30,,40,33,37,47,
E06000021,861,Stoke-on-Trent,30,,55,45,62,66,
E06000020,894,Telford and Wrekin,10,,x,x,x,x,
E08000030,335,Walsall,20,,68,64,77,73,
E10000031,937,Warwickshire,15,,57,43,43,71,
E08000031,336,Wolverhampton,30,,41,31,53,56,
E10000034,885,Worcestershire,15,,x,x,x,44,
,,,,,,,,,
,,EAST OF ENGLAND,140,,42,32,43,56,
E06000055,822,Bedford,5,,x,x,x,x,
E06000056,823,Central Bedfordshire,10,,83,58,67,83,
E10000003,873,Cambridgeshire,15,,x,x,60,60,
E10000012,881,Essex,20,,50,33,44,61,
E10000015,919,Hertfordshire,25,,42,33,42,50,
E06000032,821,Luton,10,,x,x,x,50,
E10000020,926,Norfolk,35,,33,x,30,39,
E06000031,874,Peterborough,x,,x,x,x,x,
E06000033,882,Southend-on-Sea,x,,x,x,x,x,
E10000029,935,Suffolk,10,,x,x,x,x,
E06000034,883,Thurrock,5,,x,x,x,x,
,,,,,,,,,
,,LONDON,160,,49,36,42,57,
,,INNER LONDON,70,,51,35,42,56,
E09000007,202,Camden,x,,x,x,x,x,
E09000001,201,City of London,0,,.,.,.,.,
E09000012,204,Hackney,x,,x,x,x,x,
E09000013,205,Hammersmith and Fulham,0,,.,.,.,.,
E09000014,309,Haringey,10,,73,55,64,73,
E09000019,206,Islington,x,,x,x,x,x,
E09000020,207,Kensington and Chelsea,x,,x,x,x,x,
E09000022,208,Lambeth,10,,x,x,x,55,
E09000023,209,Lewisham,10,,x,x,x,x,
E09000025,316,Newham,10,,x,x,x,x,
E09000028,210,Southwark,15,,x,x,x,40,
E09000030,211,Tower Hamlets,x,,x,x,x,x,
E09000032,212,Wandsworth,x,,x,x,x,x,
E09000033,213,Westminster,x,,x,x,x,x,
,,OUTER LONDON,90,,48,36,41,58,
E09000002,301,Barking and Dagenham,10,,x,x,x,x,
E09000003,302,Barnet,x,,x,x,x,x,
E09000004,303,Bexley,x,,x,x,x,x,
E09000005,304,Brent,5,,x,x,x,x,
E09000006,305,Bromley,x,,x,x,x,x,
E09000008,306,Croydon,5,,x,x,x,x,
E09000009,307,Ealing,5,,x,x,x,x,
E09000010,308,Enfield,10,,x,x,x,x,
E09000011,203,Greenwich,5,,x,x,x,x,
E09000015,310,Harrow,x,,x,x,x,x,
E09000016,311,Havering,5,,x,x,x,x,
E09000017,312,Hillingdon,x,,x,x,x,x,
E09000018,313,Hounslow,x,,x,x,x,x,
E09000021,314,Kingston upon Thames,5,,x,x,x,x,
E09000024,315,Merton,x,,x,x,x,x,
E09000026,317,Redbridge,x,,x,x,x,x,
E09000027,318,Richmond upon Thames,0,,.,.,.,.,
E09000029,319,Sutton,10,,x,x,x,x,
E09000031,320,Waltham Forest,x,,x,x,x,x,
,,,,,,,,,
,,SOUTH EAST,220,,50,37,43,57,
E06000036,867,Bracknell Forest,x,,x,x,x,x,
E06000043,846,Brighton and Hove,10,,x,x,x,x,
E10000002,825,Buckinghamshire,x,,x,x,x,x,
E10000011,845,East Sussex,15,,75,50,69,94,
E10000014,850,Hampshire,45,,59,43,52,65,
E06000046,921,Isle of Wight,x,,x,x,x,x,
E10000016,886,Kent,35,,38,30,32,46,
E06000035,887,Medway,10,,x,x,x,x,
E06000042,826,Milton Keynes,10,,x,x,x,x,
E10000025,931,Oxfordshire,5,,x,x,x,x,
E06000044,851,Portsmouth,10,,x,x,x,x,
E06000038,870,Reading,x,,x,x,x,x,
E06000039,871,Slough,x,,x,x,x,x,
E06000045,852,Southampton,25,,50,42,46,58,
E10000030,936,Surrey,15,,64,57,57,64,
E06000037,869,West Berkshire,x,,x,x,x,x,
E10000032,938,West Sussex,10,,x,x,x,x,
E06000040,868,Windsor and Maidenhead,x,,x,x,x,x,
E06000041,872,Wokingham,0,,.,.,.,.,
,,,,,,,,,
,,SOUTH WEST,110,,51,33,47,55,
E06000022,800,Bath and North East Somerset,x,,x,x,x,x,
E06000028,837,Bournemouth,x,,x,x,x,x,
E06000023,801,"Bristol, City of",15,,x,x,x,x,
E06000052,908,Cornwall,x,,x,x,x,x,
E10000008,878,Devon,15,,56,x,50,69,
E10000009,835,Dorset,15,,62,x,54,54,
E10000013,916,Gloucestershire,10,,x,x,x,x,
E06000053,420,Isles of Scilly,0,,.,.,.,.,
E06000024,802,North Somerset,x,,x,x,x,x,
E06000026,879,Plymouth,10,,x,x,x,x,
E06000029,836,Poole,x,,x,x,x,x,
E10000027,933,Somerset,15,,54,x,46,46,
E06000025,803,South Gloucestershire,x,,x,x,x,x,
E06000030,866,Swindon,x,,x,x,x,x,
E06000027,880,Torbay,10,,x,x,x,x,
E06000054,865,Wiltshire,10,,x,x,x,x,
,,,,,,,,,
,,,,,,,,Source: CLA-NPD matched data ,
,,,,,,,,,
1. Children looked after continuously for at least twelve months as at 31 March excluding those children in respite care. Only children who have been matched to key stage 1 data are included. This is the provisional version of key stage 1 data.,,,,,,,,,
"2. Includes all schools with pupils eligible for assessment at key stage 1. Participation by independent schools is voluntary, therefore only includes results from those independent schools which chose to make a return and which met the statutory standards for assessment and moderation.",,,,,,,,,
"3. This is the number of children eligible for key stage 1 assessments. Includes pupils who are absent, disapplied, working below/towards the expected standard and reached a higher standard at the end of key stage 1. Excludes pupils with missing teacher assessments.",,,,,,,,,
4.  Includes those working at the expected standard or above.,,,,,,,,,
"5. The 2016 key stage 1 assessments are the first which assess the new, more challenging national curriculum, which was introduced in 2014. See link below for changes to national curriculum assessments at key stage 1:",,,,,,,,,
https://www.gov.uk/government/publications/interim-frameworks-for-teacher-assessment-at-the-end-of-key-stage-1,,,,,,,,,
,,,,,,,,,
Numbers relating to national or regional totals have been rounded to the nearest 10. Local authority numbers have been rounded to the nearest 5.,,,,,,,,,
x = number less than or equal to 5 or percentage where the numerator is less than or equal to 5 or the denominator is less than or equal to 10.,,,,,,,,,
. = not applicable,,,,,,,,,
See methodology and quality document for more information on rounding conventions.,,,,,,,,,
