Back to index,,,,,,,,,,,,,,,,,,,,,,,
Table LA2b: Key stage 2 average progress scores of children who have been looked after continuously for at least twelve months1,,,,,,,,,,,,,,,,,,,,,,,
Year: 20166,,,,,,,,,,,,,,,,,,,,,,,
"Coverage: England, state-funded schools and non-maintained special schools2",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
LA Code,,,Reading Progress Score4,,,,,Writing Progress Score4,,,,,Mathematics Progress Score4,,,,,,,,,,
,,,Number of pupils included,"Average Progress score4,5",Lower confidence interval,Upper confidence interval,,Number of pupils included,"Average Progress score4,5",Lower confidence interval,Upper confidence interval,,Number of pupils included,"Average Progress score4,5",Lower confidence interval,Upper confidence interval,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,NORTH WEST,530,0.0,-0.5,0.5,,550,-1.2,-1.7,-0.7,,540,-0.5,-0.9,0.0,,,,,,,
E06000008,889,Blackburn with Darwen,15,0.8,-2.2,3.9,,15,1.7,-1.3,4.7,,15,0.5,-2.2,3.1,,,,,,,
E06000009,890,Blackpool,20,-3.3,-6.1,-0.4,,20,-0.6,-3.3,2.2,,20,-0.1,-2.5,2.3,,,,,,,
E08000001,350,Bolton,20,-1.7,-4.4,0.9,,20,-0.5,-3.1,2.2,,20,0.6,-1.7,2.8,,,,,,,
E08000002,351,Bury,10,-2.2,-5.8,1.3,,10,-3.0,-6.5,0.6,,10,0.1,-2.9,3.1,,,,,,,
E06000049,895,Cheshire East,20,0.4,-2.5,3.3,,20,-5.8,-8.4,-3.2,,20,-1.7,-4.2,0.7,,,,,,,
E06000050,896,Cheshire West and Chester,25,0.4,-2.1,2.9,,25,-1.1,-3.5,1.4,,25,-2.5,-4.6,-0.4,,,,,,,
E10000006,909,Cumbria,35,1.8,-0.3,3.9,,35,-1.9,-4.0,0.2,,35,1.2,-0.5,3.0,,,,,,,
E06000006,876,Halton,10,-2.3,-6.4,1.8,,10,-3.7,-7.8,0.4,,10,-2.6,-6.1,0.9,,,,,,,
E08000011,340,Knowsley,10,1.6,-2.0,5.1,,10,-1.6,-5.2,2.0,,10,-0.2,-3.2,2.8,,,,,,,
E10000017,888,Lancashire,75,-0.3,-1.7,1.2,,80,-2.4,-3.8,-1.0,,75,-1.7,-2.9,-0.5,,,,,,,
E08000012,341,Liverpool,35,-1.8,-4.0,0.3,,35,0.3,-1.8,2.3,,35,-1.0,-2.8,0.8,,,,,,,
E08000003,352,Manchester,55,0.6,-1.0,2.3,,55,-1.3,-3.0,0.3,,55,0.0,-1.4,1.4,,,,,,,
E08000004,353,Oldham,20,-0.9,-3.8,2.0,,20,-0.5,-3.4,2.4,,20,0.8,-1.6,3.3,,,,,,,
E08000005,354,Rochdale,25,-0.8,-3.2,1.6,,25,-0.5,-2.9,2.0,,25,0.6,-1.5,2.6,,,,,,,
E08000006,355,Salford,25,0.7,-1.7,3.1,,25,-0.1,-2.5,2.3,,25,-0.2,-2.2,1.9,,,,,,,
E08000014,343,Sefton,20,-1.8,-4.5,1.0,,20,-0.9,-3.6,1.9,,20,-0.5,-2.8,1.9,,,,,,,
E08000013,342,St. Helens,15,1.5,-1.9,4.9,,15,-3.5,-6.9,-0.1,,15,-1.2,-4.1,1.7,,,,,,,
E08000007,356,Stockport,10,-2.8,-6.9,1.4,,10,-2.1,-6.2,2.0,,10,-4.8,-8.3,-1.3,,,,,,,
E08000008,357,Tameside,15,0.7,-2.3,3.7,,15,2.3,-0.7,5.3,,15,-0.1,-2.7,2.5,,,,,,,
E08000009,358,Trafford,20,1.2,-1.6,4.0,,20,-0.6,-3.3,2.2,,20,-0.3,-2.6,2.1,,,,,,,
E06000007,877,Warrington,10,7.2,3.5,10.9,,10,-0.5,-4.0,3.1,,10,2.8,-0.3,6.0,,,,,,,
E08000010,359,Wigan,20,2.0,-0.9,4.9,,20,1.0,-1.7,3.7,,20,1.1,-1.4,3.6,,,,,,,
E08000015,344,Wirral,30,-0.4,-2.7,1.9,,30,-1.5,-3.8,0.8,,30,-0.8,-2.8,1.2,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,YORKSHIRE AND THE HUMBER,320,-0.8,-1.5,-0.1,,330,-0.5,-1.2,0.2,,330,-1.4,-2.0,-0.9,,,,,,,
E08000016,370,Barnsley,x,x,x,x,,5,1.2,-3.9,6.2,,5,-0.5,-4.8,3.7,,,,,,,
E08000032,380,Bradford,45,-1.7,-3.5,0.2,,45,-0.8,-2.7,1.1,,45,-1.5,-3.1,0.1,,,,,,,
E08000033,381,Calderdale,20,-1.6,-4.5,1.3,,20,-4.2,-7.1,-1.3,,20,-1.8,-4.3,0.6,,,,,,,
E08000017,371,Doncaster,20,0.5,-2.1,3.1,,20,0.1,-2.5,2.8,,20,0.6,-1.6,2.9,,,,,,,
E06000011,811,East Riding of Yorkshire,5,0.1,-4.5,4.8,,10,1.5,-2.9,5.8,,5,-2.1,-6.1,1.8,,,,,,,
E06000010,810,"Kingston Upon Hull, City of",20,-1.2,-3.9,1.6,,20,-1.8,-4.5,1.0,,20,-2.1,-4.5,0.2,,,,,,,
E08000034,382,Kirklees,35,-0.7,-2.8,1.4,,35,-1.2,-3.3,0.9,,35,-0.8,-2.6,1.0,,,,,,,
E08000035,383,Leeds,65,-0.5,-2.0,1.1,,65,0.0,-1.5,1.5,,65,-1.3,-2.6,0.0,,,,,,,
E06000012,812,North East Lincolnshire,10,-0.3,-3.9,3.2,,15,1.3,-2.1,4.7,,15,-0.9,-3.8,2.0,,,,,,,
E06000013,813,North Lincolnshire,10,0.2,-3.7,4.1,,10,3.1,-0.8,7.0,,10,1.8,-1.5,5.1,,,,,,,
E10000023,815,North Yorkshire,20,-3.1,-6.0,-0.2,,20,-1.7,-4.5,1.2,,20,-5.3,-7.8,-2.9,,,,,,,
E08000018,372,Rotherham,20,-0.4,-3.3,2.5,,20,-0.9,-3.7,1.8,,20,-0.5,-2.9,1.8,,,,,,,
E08000019,373,Sheffield,25,0.0,-2.4,2.5,,25,0.8,-1.7,3.2,,25,-1.9,-4.0,0.2,,,,,,,
E08000036,384,Wakefield,20,-1.2,-3.9,1.6,,25,0.3,-2.3,2.9,,25,-2.3,-4.5,-0.1,,,,,,,
E06000014,816,York,5,-0.6,-5.3,4.0,,5,-3.2,-7.9,1.4,,5,-3.5,-7.4,0.5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,EAST MIDLANDS,170,-1.5,-2.5,-0.6,,180,-0.4,-1.3,0.5,,170,-1.6,-2.4,-0.8,,,,,,,
E06000015,831,Derby,15,-1.0,-4.1,2.0,,15,-0.4,-3.4,2.7,,15,-1.2,-3.9,1.5,,,,,,,
E10000007,830,Derbyshire,15,-2.8,-5.8,0.3,,20,0.7,-2.1,3.6,,20,0.3,-2.2,2.7,,,,,,,
E06000016,856,Leicester,25,-1.3,-3.8,1.2,,25,-1.9,-4.3,0.5,,25,-2.5,-4.7,-0.4,,,,,,,
E10000018,855,Leicestershire,15,-1.3,-4.4,1.7,,15,-0.4,-3.5,2.7,,15,-2.5,-5.2,0.1,,,,,,,
E10000019,925,Lincolnshire,20,-1.2,-4.0,1.7,,20,3.5,0.7,6.4,,20,0.9,-1.5,3.3,,,,,,,
E10000021,928,Northamptonshire,25,-1.3,-3.8,1.2,,25,-0.6,-3.1,1.9,,25,-2.6,-4.7,-0.5,,,,,,,
E06000018,892,Nottingham,20,-3.1,-6.0,-0.3,,20,-3.7,-6.4,-0.9,,20,-3.0,-5.4,-0.6,,,,,,,
E10000024,891,Nottinghamshire,35,-0.9,-2.9,1.2,,40,-0.1,-2.1,1.8,,35,-1.4,-3.1,0.3,,,,,,,
E06000017,857,Rutland,0,.,.,.,,0,.,.,.,,0,.,.,.,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,WEST MIDLANDS,370,-1.1,-1.7,-0.4,,390,-1.4,-2.0,-0.8,,370,-1.6,-2.2,-1.1,,,,,,,
E08000025,330,Birmingham,70,-0.9,-2.4,0.5,,70,-0.8,-2.3,0.7,,65,-1.7,-2.9,-0.4,,,,,,,
E08000026,331,Coventry,20,-3.3,-6.2,-0.4,,20,-1.2,-3.9,1.6,,20,-4.1,-6.5,-1.7,,,,,,,
E08000027,332,Dudley,20,0.5,-2.2,3.1,,25,-0.3,-2.9,2.3,,25,0.6,-1.6,2.8,,,,,,,
E06000019,884,Herefordshire,10,-0.7,-4.3,2.8,,10,0.9,-2.7,4.5,,10,-2.0,-5.1,1.2,,,,,,,
E08000028,333,Sandwell,15,-4.3,-7.3,-1.4,,15,-3.6,-6.6,-0.6,,15,-4.2,-6.8,-1.7,,,,,,,
E06000051,893,Shropshire,10,-0.1,-4.2,4.0,,10,-5.8,-9.9,-1.7,,10,0.9,-2.6,4.4,,,,,,,
E08000029,334,Solihull,15,-1.3,-4.5,1.9,,15,0.3,-2.9,3.5,,15,-3.0,-5.7,-0.3,,,,,,,
E10000028,860,Staffordshire,50,-2.1,-3.9,-0.3,,50,-3.6,-5.4,-1.9,,50,-2.7,-4.2,-1.2,,,,,,,
E06000021,861,Stoke-on-Trent,25,1.2,-1.2,3.6,,30,-1.0,-3.3,1.3,,25,-1.2,-3.2,0.8,,,,,,,
E06000020,894,Telford and Wrekin,15,-2.2,-5.3,0.8,,15,-1.2,-4.3,1.8,,15,-3.5,-6.1,-0.9,,,,,,,
E08000030,335,Walsall,30,-1.7,-3.9,0.5,,35,0.0,-2.2,2.1,,30,-1.1,-3.0,0.7,,,,,,,
E10000031,937,Warwickshire,25,-2.0,-4.5,0.6,,25,-3.0,-5.6,-0.4,,25,-1.5,-3.7,0.7,,,,,,,
E08000031,336,Wolverhampton,40,3.0,1.0,5.0,,40,1.2,-0.8,3.1,,40,1.3,-0.4,3.0,,,,,,,
E10000034,885,Worcestershire,30,-3.1,-5.5,-0.8,,30,-3.2,-5.4,-1.0,,25,-2.0,-4.1,0.0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,EAST OF ENGLAND,220,-1.0,-1.8,-0.2,,230,-1.4,-2.2,-0.6,,220,-2.4,-3.1,-1.7,,,,,,,
E06000055,822,Bedford Borough,10,-5.0,-9.3,-0.6,,10,-1.2,-5.3,2.9,,10,-6.3,-10.0,-2.6,,,,,,,
E06000056,823,Central Bedfordshire,5,-5.7,-10.4,-1.1,,10,-2.2,-6.5,2.2,,5,-3.4,-7.4,0.5,,,,,,,
E10000003,873,Cambridgeshire,25,0.4,-2.1,3.0,,25,0.6,-1.9,3.2,,25,-1.3,-3.5,0.8,,,,,,,
E10000012,881,Essex,40,0.0,-1.9,1.9,,45,-0.5,-2.3,1.4,,40,-1.1,-2.8,0.5,,,,,,,
E10000015,919,Hertfordshire,40,-0.2,-2.2,1.8,,40,-1.8,-3.8,0.2,,40,-1.0,-2.7,0.6,,,,,,,
E06000032,821,Luton,15,-4.4,-7.8,-1.0,,15,-5.6,-9.0,-2.2,,15,-5.2,-8.1,-2.3,,,,,,,
E10000020,926,Norfolk,40,-2.1,-4.1,-0.1,,40,-2.5,-4.5,-0.5,,40,-4.1,-5.8,-2.4,,,,,,,
E06000031,874,Peterborough,10,0.6,-3.3,4.5,,10,0.0,-3.9,3.9,,10,-2.6,-5.9,0.8,,,,,,,
E06000033,882,Southend-on-Sea,10,0.8,-3.1,4.7,,10,-0.5,-4.4,3.4,,10,0.6,-2.9,4.1,,,,,,,
E10000029,935,Suffolk,25,-0.8,-3.2,1.6,,25,-2.8,-5.2,-0.4,,25,-3.6,-5.6,-1.5,,,,,,,
E06000034,883,Thurrock,10,-0.1,-4.2,4.0,,10,3.2,-0.9,7.3,,10,0.0,-3.5,3.5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,LONDON,270,0.7,-0.1,1.4,,280,0.1,-0.6,0.9,,270,-0.3,-1.0,0.3,,,,,,,
,,INNER LONDON,120,-0.2,-1.4,0.9,,120,0.7,-0.5,1.8,,120,-0.9,-1.8,0.1,,,,,,,
E09000007,202,Camden,5,-6.4,-11.4,-1.3,,5,-6.5,-11.6,-1.5,,5,-2.8,-7.0,1.5,,,,,,,
E09000001,201,City of London,0,.,.,.,,0,.,.,.,,0,.,.,.,,,,,,,
E09000012,204,Hackney,15,-1.5,-4.8,1.8,,15,-0.3,-3.6,3.0,,15,-2.8,-5.6,0.0,,,,,,,
E09000013,205,Hammersmith and Fulham,10,3.8,-0.1,7.7,,10,2.1,-1.8,6.0,,10,-1.1,-4.4,2.2,,,,,,,
E09000014,309,Haringey,15,-0.5,-3.6,2.7,,15,1.2,-2.0,4.4,,15,-0.8,-3.5,1.9,,,,,,,
E09000019,206,Islington,5,-2.6,-7.6,2.5,,5,5.1,0.4,9.7,,5,-0.8,-4.7,3.2,,,,,,,
E09000020,207,Kensington and Chelsea,x,x,x,x,,x,x,x,x,,x,x,x,x,,,,,,,
E09000022,208,Lambeth,10,-0.5,-4.9,3.8,,10,-2.4,-6.8,1.9,,5,-3.5,-7.4,0.5,,,,,,,
E09000023,209,Lewisham,10,-1.5,-5.2,2.2,,10,2.5,-1.2,6.2,,10,-2.3,-5.5,0.8,,,,,,,
E09000025,316,Newham,5,1.6,-3.4,6.6,,5,0.3,-4.8,5.3,,5,0.1,-4.1,4.4,,,,,,,
E09000028,210,Southwark,20,1.1,-1.6,3.8,,20,3.6,0.9,6.3,,20,0.6,-1.7,2.8,,,,,,,
E09000030,211,Tower Hamlets,10,2.5,-1.6,6.6,,10,1.0,-3.1,5.1,,10,6.6,3.1,10.1,,,,,,,
E09000032,212,Wandsworth,x,x,x,x,,x,x,x,x,,x,x,x,x,,,,,,,
E09000033,213,Westminster,10,-0.8,-5.2,3.5,,10,-3.3,-7.4,0.8,,10,-2.3,-5.7,1.2,,,,,,,
,,OUTER LONDON,150,1.4,0.4,2.4,,160,-0.3,-1.3,0.7,,150,0.1,-0.8,0.9,,,,,,,
E09000002,301,Barking and Dagenham,10,2.1,-2.0,6.2,,10,-2.4,-6.3,1.5,,10,1.5,-2.0,5.0,,,,,,,
E09000003,302,Barnet,10,0.5,-3.4,4.4,,10,1.2,-2.7,5.1,,10,-2.2,-5.5,1.1,,,,,,,
E09000004,303,Bexley,10,0.4,-3.3,4.2,,10,-3.0,-6.7,0.7,,10,-3.5,-6.7,-0.4,,,,,,,
E09000005,304,Brent,10,3.3,-1.1,7.6,,10,-6.0,-10.4,-1.7,,10,1.1,-2.6,4.8,,,,,,,
E09000006,305,Bromley,15,7.1,4.0,10.2,,15,3.2,0.1,6.3,,15,4.5,1.9,7.2,,,,,,,
E09000008,306,Croydon,10,-0.3,-4.7,4.0,,10,-0.8,-4.9,3.3,,10,-4.5,-8.2,-0.8,,,,,,,
E09000009,307,Ealing,15,0.0,-3.2,3.2,,15,-1.3,-4.5,1.9,,15,0.7,-2.0,3.4,,,,,,,
E09000010,308,Enfield,10,-1.3,-5.6,3.1,,10,-0.7,-5.1,3.6,,10,-1.3,-5.0,2.4,,,,,,,
E09000011,203,Greenwich,20,0.2,-2.6,2.9,,20,0.6,-2.2,3.3,,20,-0.4,-2.8,1.9,,,,,,,
E09000015,310,Harrow,0,.,.,.,,0,.,.,.,,0,.,.,.,,,,,,,
E09000016,311,Havering,5,-1.5,-6.1,3.2,,5,1.0,-3.6,5.7,,5,6.3,2.4,10.3,,,,,,,
E09000017,312,Hillingdon,x,x,x,x,,x,x,x,x,,x,x,x,x,,,,,,,
E09000018,313,Hounslow,5,1.8,-2.9,6.4,,5,0.6,-4.1,5.2,,5,-1.1,-5.0,2.9,,,,,,,
E09000021,314,Kingston upon Thames,x,x,x,x,,x,x,x,x,,x,x,x,x,,,,,,,
E09000024,315,Merton,5,1.0,-4.0,6.0,,5,-1.3,-6.3,3.7,,5,-3.4,-7.6,0.9,,,,,,,
E09000026,317,Redbridge,10,2.5,-1.8,6.9,,10,0.6,-3.7,5.0,,10,-1.0,-4.7,2.7,,,,,,,
E09000027,318,Richmond upon Thames,x,x,x,x,,x,x,x,x,,x,x,x,x,,,,,,,
E09000029,319,Sutton,x,x,x,x,,x,x,x,x,,x,x,x,x,,,,,,,
E09000031,320,Waltham Forest,5,1.0,-4.1,6.0,,5,0.4,-4.6,5.5,,x,x,x,x,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,SOUTH EAST,330,-0.6,-1.3,0.1,,350,-1.0,-1.7,-0.4,,340,-2.1,-2.7,-1.6,,,,,,,
E06000036,867,Bracknell Forest,x,x,x,x,,x,x,x,x,,x,x,x,x,,,,,,,
E06000043,846,Brighton and Hove,15,-1.6,-4.6,1.4,,20,-0.5,-3.4,2.4,,15,-4.2,-6.8,-1.6,,,,,,,
E10000002,825,Buckinghamshire,15,3.6,0.5,6.6,,15,1.0,-2.0,4.0,,15,1.4,-1.2,4.0,,,,,,,
E10000011,845,East Sussex,25,-0.8,-3.4,1.7,,25,-3.0,-5.4,-0.6,,25,-2.2,-4.4,0.0,,,,,,,
E10000014,850,Hampshire,50,-1.5,-3.2,0.2,,55,-1.1,-2.7,0.6,,55,-2.2,-3.7,-0.8,,,,,,,
E06000046,921,Isle of Wight,5,0.3,-4.4,4.9,,5,0.9,-3.7,5.6,,5,-1.9,-5.9,2.0,,,,,,,
E10000016,886,Kent,75,-0.7,-2.1,0.7,,75,-0.9,-2.3,0.5,,75,-1.9,-3.1,-0.7,,,,,,,
E06000035,887,Medway,15,-0.5,-3.6,2.5,,15,0.3,-2.7,3.3,,15,-2.0,-4.6,0.5,,,,,,,
E06000042,826,Milton Keynes,15,0.5,-2.8,3.8,,15,-2.6,-5.8,0.5,,15,-2.0,-4.8,0.8,,,,,,,
E10000025,931,Oxfordshire,15,2.5,-0.6,5.6,,20,0.0,-2.9,3.0,,15,-3.0,-5.7,-0.4,,,,,,,
E06000044,851,Portsmouth,10,-1.6,-5.3,2.1,,10,-1.1,-4.8,2.6,,10,-2.7,-5.9,0.4,,,,,,,
E06000038,870,Reading,10,-1.9,-5.8,2.0,,10,-0.8,-4.7,3.1,,10,-4.3,-7.6,-1.0,,,,,,,
E06000039,871,Slough,x,x,x,x,,x,x,x,x,,x,x,x,x,,,,,,,
E06000045,852,Southampton,25,-0.1,-2.6,2.4,,25,-2.1,-4.7,0.4,,25,-1.0,-3.1,1.1,,,,,,,
E10000030,936,Surrey,20,-2.7,-5.6,0.2,,20,-1.3,-4.2,1.6,,20,-3.4,-5.9,-0.9,,,,,,,
E06000037,869,West Berkshire,x,x,x,x,,x,x,x,x,,x,x,x,x,,,,,,,
E10000032,938,West Sussex,10,-1.1,-4.7,2.4,,10,-0.1,-3.7,3.4,,10,0.8,-2.3,3.8,,,,,,,
E06000040,868,Windsor and Maidenhead,5,-1.1,-6.2,3.9,,5,-0.8,-5.9,4.2,,5,-1.1,-5.4,3.2,,,,,,,
E06000041,872,Wokingham,x,x,x,x,,x,x,x,x,,x,x,x,x,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,SOUTH WEST,180,-1.0,-1.9,-0.1,,190,-2.8,-3.7,-1.9,,190,-2.2,-3.0,-1.5,,,,,,,
E06000022,800,Bath and North East Somerset,x,x,x,x,,x,x,x,x,,x,x,x,x,,,,,,,
E06000028,837,Bournemouth,10,2.2,-1.9,6.3,,10,-0.7,-4.6,3.2,,10,0.0,-3.5,3.5,,,,,,,
E06000023,801,"Bristol, City of",25,-1.1,-3.5,1.3,,30,-5.0,-7.3,-2.7,,25,-2.8,-4.8,-0.8,,,,,,,
E06000052,908,Cornwall,15,-0.5,-3.9,3.0,,15,-3.6,-7.0,-0.2,,15,-1.5,-4.4,1.5,,,,,,,
E10000008,878,Devon,20,-2.5,-5.1,0.1,,20,-6.0,-8.6,-3.4,,20,-5.7,-7.9,-3.4,,,,,,,
E10000009,835,Dorset,10,-2.7,-6.4,1.0,,10,-6.1,-9.7,-2.6,,10,-2.8,-5.8,0.3,,,,,,,
E10000013,916,Gloucestershire,15,0.0,-3.2,3.2,,15,-2.6,-5.7,0.5,,15,-1.3,-3.9,1.3,,,,,,,
E06000053,420,Isles of Scilly,0,.,.,.,,0,.,.,.,,0,.,.,.,,,,,,,
E06000024,802,North Somerset,5,2.3,-2.4,6.9,,5,-4.7,-9.3,0.0,,5,-1.3,-5.3,2.6,,,,,,,
E06000026,879,Plymouth,10,-2.2,-6.5,2.2,,10,-6.2,-10.5,-1.8,,10,-4.5,-8.2,-0.8,,,,,,,
E06000029,836,Poole,10,-6.2,-10.5,-1.8,,10,-4.3,-8.7,0.0,,10,-4.0,-7.7,-0.3,,,,,,,
E10000027,933,Somerset,20,0.5,-2.4,3.4,,20,1.9,-1.0,4.8,,20,1.6,-0.9,4.0,,,,,,,
E06000025,803,South Gloucestershire,x,x,x,x,,x,x,x,x,,x,x,x,x,,,,,,,
E06000030,866,Swindon,5,-2.7,-7.4,1.9,,5,-3.1,-7.7,1.6,,5,-2.8,-6.8,1.1,,,,,,,
E06000027,880,Torbay,20,1.9,-1.0,4.8,,20,1.0,-2.0,3.9,,20,-0.7,-3.2,1.7,,,,,,,
E06000054,865,Wiltshire,15,-2.2,-5.6,1.2,,15,-1.2,-4.5,2.1,,15,-3.5,-6.3,-0.7,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Source: CLA-NPD matched data,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
1. Children looked after continuously for at least twelve months as at 31 March excluding those children in respite care. Only children who have been matched to key stage 2 data are included. This is the amended version of key stage 2 data.,,,,,,,,,,,,,,,,,,,,,,,
2. State-funded schools include state-funded mainstream schools and state-funded special schools. State-funded schools and non-maintained special schools are the schools included in the progress measure calculations. For more information on coverage see the methodology and quality document.,,,,,,,,,,,,,,,,,,,,,,,
"3. State-funded mainstream schools include academies, free schools and city technology colleges. These are the schools included in the progress measure model. For more information on coverage see the methodology and quality document.",,,,,,,,,,,,,,,,,,,,,,,
"4. The previous 'expected progress' measure has been replaced by a 'value added' type progress measures in reading, writing and mathematics. There is no 'target' for the amount of progress an individual pupil is expected to make. Any amount of progress a pupil makes contributes towards the progress score. For further information on the new progress measures, including the confidence intervals, please see the technical guide, here:",,,,,,,,,,,,,,,,,,,,,,,
https://www.gov.uk/government/publications/primary-school-accountability,,,,,,,,,,,,,,,,,,,,,,,
"5. Progress scores should be interpreted alongside the associated confidence intervals. If the lower bound of the confidence interval is greater than zero, it can be interpreted as meaning that the group achieves greater than average progress compared to pupils in mainstream schools nationally and that this is statistically significant. If the upper bound is negative, this means that the group achieves lower than average progress compared to pupils in mainstream schools nationally and that this is statistically significant.",,,,,,,,,,,,,,,,,,,,,,,
"6. The 2016 key stage 2 assessments are the first which assess the new, more challenging national curriculum, which was introduced in 2014. See link below for changes to national curriculum assessments at key stage 2:",,,,,,,,,,,,,,,,,,,,,,,
https://www.gov.uk/government/publications/interim-frameworks-for-teacher-assessment-at-the-end-of-key-stage-2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Numbers relating to national or regional totals have been rounded to the nearest 10. Local authority numbers have been rounded to the nearest 5. Progress score averages and confidence intervals have been rounded to one decimal place.,,,,,,,,,,,,,,,,,,,,,,,
x = number less than or equal to 5 or progress score average or confidence interval based on number less than or equal to 5.,,,,,,,,,,,,,,,,,,,,,,,
. = not applicable,,,,,,,,,,,,,,,,,,,,,,,
See methodology and quality document for more information on rounding conventions.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
