time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,la_name,new_la_code,age,accommodation_suitability,number,percentage
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,805,Hartlepool,E06000001,17 to 18 years,Accommodation considered suitable,25,89
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,805,Hartlepool,E06000001,17 to 18 years,No information,3,11
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,805,Hartlepool,E06000001,17 to 18 years,Total,28,100
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,805,Hartlepool,E06000001,19 to 21 years,Accommodation considered not suitable,c,c
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,805,Hartlepool,E06000001,19 to 21 years,Accommodation considered suitable,65,87
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,805,Hartlepool,E06000001,19 to 21 years,No information,c,c
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,805,Hartlepool,E06000001,19 to 21 years,Total,75,100
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,806,Middlesbrough,E06000002,17 to 18 years,Accommodation considered not suitable,0,0
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,806,Middlesbrough,E06000002,17 to 18 years,Accommodation considered suitable,64,91
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,806,Middlesbrough,E06000002,17 to 18 years,No information,6,9
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,806,Middlesbrough,E06000002,17 to 18 years,Total,70,100
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,806,Middlesbrough,E06000002,19 to 21 years,Accommodation considered not suitable,9,8
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,806,Middlesbrough,E06000002,19 to 21 years,Accommodation considered suitable,99,87
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,806,Middlesbrough,E06000002,19 to 21 years,No information,6,5
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,806,Middlesbrough,E06000002,19 to 21 years,Total,114,100
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,807,Redcar and Cleveland,E06000003,17 to 18 years,Accommodation considered not suitable,0,0
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,807,Redcar and Cleveland,E06000003,17 to 18 years,Accommodation considered suitable,34,94
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,807,Redcar and Cleveland,E06000003,17 to 18 years,No information,2,6
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,807,Redcar and Cleveland,E06000003,17 to 18 years,Total,36,100
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,807,Redcar and Cleveland,E06000003,19 to 21 years,Accommodation considered not suitable,6,6
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,807,Redcar and Cleveland,E06000003,19 to 21 years,Accommodation considered suitable,88,89
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,807,Redcar and Cleveland,E06000003,19 to 21 years,No information,5,5
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,807,Redcar and Cleveland,E06000003,19 to 21 years,Total,99,100
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,808,Stockton-on-Tees,E06000004,17 to 18 years,Accommodation considered not suitable,0,0
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,808,Stockton-on-Tees,E06000004,17 to 18 years,Accommodation considered suitable,44,100
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,808,Stockton-on-Tees,E06000004,17 to 18 years,No information,0,0
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,808,Stockton-on-Tees,E06000004,17 to 18 years,Total,44,100
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,808,Stockton-on-Tees,E06000004,19 to 21 years,Accommodation considered not suitable,6,5
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,808,Stockton-on-Tees,E06000004,19 to 21 years,Accommodation considered suitable,103,94
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,808,Stockton-on-Tees,E06000004,19 to 21 years,No information,1,1
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,808,Stockton-on-Tees,E06000004,19 to 21 years,Total,110,100
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,841,Darlington,E06000005,17 to 18 years,Accommodation considered not suitable,0,0
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,841,Darlington,E06000005,17 to 18 years,Accommodation considered suitable,28,100
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,841,Darlington,E06000005,17 to 18 years,No information,0,0
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,841,Darlington,E06000005,17 to 18 years,Total,28,100
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,841,Darlington,E06000005,19 to 21 years,Accommodation considered not suitable,c,c
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,841,Darlington,E06000005,19 to 21 years,Accommodation considered suitable,55,98
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,841,Darlington,E06000005,19 to 21 years,No information,c,c
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,841,Darlington,E06000005,19 to 21 years,Total,56,100
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,840,County Durham,E06000047,17 to 18 years,Accommodation considered not suitable,0,0
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,840,County Durham,E06000047,17 to 18 years,Accommodation considered suitable,76,93
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,840,County Durham,E06000047,17 to 18 years,No information,6,7
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,840,County Durham,E06000047,17 to 18 years,Total,82,100
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,840,County Durham,E06000047,19 to 21 years,Accommodation considered not suitable,12,6
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,840,County Durham,E06000047,19 to 21 years,Accommodation considered suitable,186,85
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,840,County Durham,E06000047,19 to 21 years,No information,20,9
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,840,County Durham,E06000047,19 to 21 years,Total,218,100
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,929,Northumberland,E06000057,17 to 18 years,Accommodation considered not suitable,0,0
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,929,Northumberland,E06000057,17 to 18 years,Accommodation considered suitable,47,100
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,929,Northumberland,E06000057,17 to 18 years,No information,0,0
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,929,Northumberland,E06000057,17 to 18 years,Total,47,100
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,929,Northumberland,E06000057,19 to 21 years,Accommodation considered not suitable,c,c
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,929,Northumberland,E06000057,19 to 21 years,Accommodation considered suitable,110,95
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,929,Northumberland,E06000057,19 to 21 years,No information,c,c
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,929,Northumberland,E06000057,19 to 21 years,Total,116,100
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,391,Newcastle upon Tyne,E08000021,17 to 18 years,Accommodation considered not suitable,0,0
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,391,Newcastle upon Tyne,E08000021,17 to 18 years,Accommodation considered suitable,75,93
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,391,Newcastle upon Tyne,E08000021,17 to 18 years,No information,6,7
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,391,Newcastle upon Tyne,E08000021,17 to 18 years,Total,81,100
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,391,Newcastle upon Tyne,E08000021,19 to 21 years,Accommodation considered not suitable,c,c
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,391,Newcastle upon Tyne,E08000021,19 to 21 years,Accommodation considered suitable,187,89
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,391,Newcastle upon Tyne,E08000021,19 to 21 years,No information,c,c
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,391,Newcastle upon Tyne,E08000021,19 to 21 years,Total,210,100
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,392,North Tyneside,E08000022,17 to 18 years,Accommodation considered not suitable,0,0
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,392,North Tyneside,E08000022,17 to 18 years,Accommodation considered suitable,27,73
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,392,North Tyneside,E08000022,17 to 18 years,No information,10,27
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,392,North Tyneside,E08000022,17 to 18 years,Total,37,100
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,392,North Tyneside,E08000022,19 to 21 years,Accommodation considered not suitable,0,0
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,392,North Tyneside,E08000022,19 to 21 years,Accommodation considered suitable,95,79
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,392,North Tyneside,E08000022,19 to 21 years,No information,26,21
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,392,North Tyneside,E08000022,19 to 21 years,Total,121,100
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,393,South Tyneside,E08000023,17 to 18 years,Accommodation considered not suitable,0,0
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,393,South Tyneside,E08000023,17 to 18 years,Accommodation considered suitable,38,100
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,393,South Tyneside,E08000023,17 to 18 years,No information,0,0
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,393,South Tyneside,E08000023,17 to 18 years,Total,38,100
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,393,South Tyneside,E08000023,19 to 21 years,Accommodation considered not suitable,c,c
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,393,South Tyneside,E08000023,19 to 21 years,Accommodation considered suitable,98,99
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,393,South Tyneside,E08000023,19 to 21 years,No information,c,c
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,393,South Tyneside,E08000023,19 to 21 years,Total,99,100
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,394,Sunderland,E08000024,17 to 18 years,Accommodation considered not suitable,c,c
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,394,Sunderland,E08000024,17 to 18 years,Accommodation considered suitable,c,c
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,394,Sunderland,E08000024,17 to 18 years,No information,c,c
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,394,Sunderland,E08000024,17 to 18 years,Total,58,100
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,394,Sunderland,E08000024,19 to 21 years,Accommodation considered not suitable,6,4
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,394,Sunderland,E08000024,19 to 21 years,Accommodation considered suitable,152,92
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,394,Sunderland,E08000024,19 to 21 years,No information,8,5
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,394,Sunderland,E08000024,19 to 21 years,Total,166,100
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,390,Gateshead,E08000037,17 to 18 years,Accommodation considered not suitable,0,0
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,390,Gateshead,E08000037,17 to 18 years,Accommodation considered suitable,37,90
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,390,Gateshead,E08000037,17 to 18 years,No information,4,10
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,390,Gateshead,E08000037,17 to 18 years,Total,41,100
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,390,Gateshead,E08000037,19 to 21 years,Accommodation considered not suitable,c,c
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,390,Gateshead,E08000037,19 to 21 years,Accommodation considered suitable,89,93
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,390,Gateshead,E08000037,19 to 21 years,No information,c,c
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,390,Gateshead,E08000037,19 to 21 years,Total,96,100
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,876,Halton,E06000006,17 to 18 years,Accommodation considered not suitable,0,0
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,876,Halton,E06000006,17 to 18 years,Accommodation considered suitable,30,88
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,876,Halton,E06000006,17 to 18 years,No information,4,12
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,876,Halton,E06000006,17 to 18 years,Total,34,100
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,876,Halton,E06000006,19 to 21 years,Accommodation considered not suitable,0,0
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,876,Halton,E06000006,19 to 21 years,Accommodation considered suitable,68,94
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,876,Halton,E06000006,19 to 21 years,No information,4,6
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,876,Halton,E06000006,19 to 21 years,Total,72,100
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,877,Warrington,E06000007,17 to 18 years,Accommodation considered not suitable,0,0
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,877,Warrington,E06000007,17 to 18 years,Accommodation considered suitable,51,100
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,877,Warrington,E06000007,17 to 18 years,No information,0,0
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,877,Warrington,E06000007,17 to 18 years,Total,51,100
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,877,Warrington,E06000007,19 to 21 years,Accommodation considered not suitable,c,c
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,877,Warrington,E06000007,19 to 21 years,Accommodation considered suitable,c,c
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,877,Warrington,E06000007,19 to 21 years,No information,c,c
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,877,Warrington,E06000007,19 to 21 years,Total,120,100
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,889,Blackburn with Darwen,E06000008,17 to 18 years,Accommodation considered not suitable,c,c
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,889,Blackburn with Darwen,E06000008,17 to 18 years,Accommodation considered suitable,27,82
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,889,Blackburn with Darwen,E06000008,17 to 18 years,No information,c,c
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,889,Blackburn with Darwen,E06000008,17 to 18 years,Total,33,100
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,889,Blackburn with Darwen,E06000008,19 to 21 years,Accommodation considered not suitable,c,c
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,889,Blackburn with Darwen,E06000008,19 to 21 years,Accommodation considered suitable,101,92
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,889,Blackburn with Darwen,E06000008,19 to 21 years,No information,c,c
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,889,Blackburn with Darwen,E06000008,19 to 21 years,Total,110,100
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,890,Blackpool,E06000009,17 to 18 years,Accommodation considered not suitable,c,c
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,890,Blackpool,E06000009,17 to 18 years,Accommodation considered suitable,62,98
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,890,Blackpool,E06000009,17 to 18 years,No information,c,c
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,890,Blackpool,E06000009,17 to 18 years,Total,63,100
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,890,Blackpool,E06000009,19 to 21 years,Accommodation considered not suitable,8,5
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,890,Blackpool,E06000009,19 to 21 years,Accommodation considered suitable,138,95
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,890,Blackpool,E06000009,19 to 21 years,No information,0,0
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,890,Blackpool,E06000009,19 to 21 years,Total,146,100
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,895,Cheshire East,E06000049,17 to 18 years,Accommodation considered not suitable,c,c
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,895,Cheshire East,E06000049,17 to 18 years,Accommodation considered suitable,69,95
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,895,Cheshire East,E06000049,17 to 18 years,No information,c,c
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,895,Cheshire East,E06000049,17 to 18 years,Total,73,100
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,895,Cheshire East,E06000049,19 to 21 years,Accommodation considered not suitable,c,c
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,895,Cheshire East,E06000049,19 to 21 years,Accommodation considered suitable,175,97
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,895,Cheshire East,E06000049,19 to 21 years,No information,c,c
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,895,Cheshire East,E06000049,19 to 21 years,Total,180,100
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,896,Cheshire West and Chester,E06000050,17 to 18 years,Accommodation considered not suitable,c,c
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,896,Cheshire West and Chester,E06000050,17 to 18 years,Accommodation considered suitable,49,94
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,896,Cheshire West and Chester,E06000050,17 to 18 years,No information,c,c
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,896,Cheshire West and Chester,E06000050,17 to 18 years,Total,52,100
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,896,Cheshire West and Chester,E06000050,19 to 21 years,Accommodation considered not suitable,c,c
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,896,Cheshire West and Chester,E06000050,19 to 21 years,Accommodation considered suitable,123,96
