time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,la_name,new_la_code,change_measure,social_worker_stability,number,percentage
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,807,Redcar and Cleveland,E06000003,Social worker changes across 12 months,With two or more social worker changes,59,17
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,807,Redcar and Cleveland,E06000003,Social worker changes over 24 months,Total,348,100
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,807,Redcar and Cleveland,E06000003,Social worker changes over 24 months,With no social worker change,103,30
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,807,Redcar and Cleveland,E06000003,Social worker changes over 24 months,With one social worker change,110,32
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,807,Redcar and Cleveland,E06000003,Social worker changes over 24 months,With two or more social worker changes,135,39
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,808,Stockton-on-Tees,E06000004,Social worker changes across 12 months,Total,574,100
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,808,Stockton-on-Tees,E06000004,Social worker changes across 12 months,With no social worker change,269,47
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,808,Stockton-on-Tees,E06000004,Social worker changes across 12 months,With one social worker change,147,26
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,808,Stockton-on-Tees,E06000004,Social worker changes across 12 months,With two or more social worker changes,158,28
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,808,Stockton-on-Tees,E06000004,Social worker changes over 24 months,Total,574,100
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,808,Stockton-on-Tees,E06000004,Social worker changes over 24 months,With no social worker change,123,21
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,808,Stockton-on-Tees,E06000004,Social worker changes over 24 months,With one social worker change,129,22
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,808,Stockton-on-Tees,E06000004,Social worker changes over 24 months,With two or more social worker changes,322,56
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,841,Darlington,E06000005,Social worker changes across 12 months,Total,266,100
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,841,Darlington,E06000005,Social worker changes across 12 months,With no social worker change,116,44
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,841,Darlington,E06000005,Social worker changes across 12 months,With one social worker change,78,29
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,841,Darlington,E06000005,Social worker changes across 12 months,With two or more social worker changes,72,27
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,841,Darlington,E06000005,Social worker changes over 24 months,Total,266,100
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,841,Darlington,E06000005,Social worker changes over 24 months,With no social worker change,47,18
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,841,Darlington,E06000005,Social worker changes over 24 months,With one social worker change,48,18
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,841,Darlington,E06000005,Social worker changes over 24 months,With two or more social worker changes,171,64
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,840,County Durham,E06000047,Social worker changes across 12 months,Total,911,100
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,840,County Durham,E06000047,Social worker changes across 12 months,With no social worker change,347,38
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,840,County Durham,E06000047,Social worker changes across 12 months,With one social worker change,362,40
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,840,County Durham,E06000047,Social worker changes across 12 months,With two or more social worker changes,202,22
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,840,County Durham,E06000047,Social worker changes over 24 months,Total,911,100
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,840,County Durham,E06000047,Social worker changes over 24 months,With no social worker change,218,24
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,840,County Durham,E06000047,Social worker changes over 24 months,With one social worker change,259,28
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,840,County Durham,E06000047,Social worker changes over 24 months,With two or more social worker changes,434,48
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,929,Northumberland,E06000057,Social worker changes across 12 months,Total,403,100
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,929,Northumberland,E06000057,Social worker changes across 12 months,With no social worker change,193,48
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,929,Northumberland,E06000057,Social worker changes across 12 months,With one social worker change,151,37
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,929,Northumberland,E06000057,Social worker changes across 12 months,With two or more social worker changes,59,15
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,929,Northumberland,E06000057,Social worker changes over 24 months,Total,403,100
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,929,Northumberland,E06000057,Social worker changes over 24 months,With no social worker change,81,20
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,929,Northumberland,E06000057,Social worker changes over 24 months,With one social worker change,143,35
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,929,Northumberland,E06000057,Social worker changes over 24 months,With two or more social worker changes,179,44
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,391,Newcastle upon Tyne,E08000021,Social worker changes across 12 months,Total,657,100
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,391,Newcastle upon Tyne,E08000021,Social worker changes across 12 months,With no social worker change,229,35
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,391,Newcastle upon Tyne,E08000021,Social worker changes across 12 months,With one social worker change,291,44
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,391,Newcastle upon Tyne,E08000021,Social worker changes across 12 months,With two or more social worker changes,137,21
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,391,Newcastle upon Tyne,E08000021,Social worker changes over 24 months,Total,657,100
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,391,Newcastle upon Tyne,E08000021,Social worker changes over 24 months,With no social worker change,85,13
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,391,Newcastle upon Tyne,E08000021,Social worker changes over 24 months,With one social worker change,198,30
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,391,Newcastle upon Tyne,E08000021,Social worker changes over 24 months,With two or more social worker changes,374,57
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,392,North Tyneside,E08000022,Social worker changes across 12 months,Total,295,100
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,392,North Tyneside,E08000022,Social worker changes across 12 months,With no social worker change,164,56
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,392,North Tyneside,E08000022,Social worker changes across 12 months,With one social worker change,95,32
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,392,North Tyneside,E08000022,Social worker changes across 12 months,With two or more social worker changes,36,12
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,392,North Tyneside,E08000022,Social worker changes over 24 months,Total,295,100
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,392,North Tyneside,E08000022,Social worker changes over 24 months,With no social worker change,127,43
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,392,North Tyneside,E08000022,Social worker changes over 24 months,With one social worker change,88,30
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,392,North Tyneside,E08000022,Social worker changes over 24 months,With two or more social worker changes,80,27
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,393,South Tyneside,E08000023,Social worker changes across 12 months,Total,255,100
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,393,South Tyneside,E08000023,Social worker changes across 12 months,With no social worker change,122,48
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,393,South Tyneside,E08000023,Social worker changes across 12 months,With one social worker change,86,34
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,393,South Tyneside,E08000023,Social worker changes across 12 months,With two or more social worker changes,47,18
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,393,South Tyneside,E08000023,Social worker changes over 24 months,Total,255,100
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,393,South Tyneside,E08000023,Social worker changes over 24 months,With no social worker change,54,21
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,393,South Tyneside,E08000023,Social worker changes over 24 months,With one social worker change,116,45
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,393,South Tyneside,E08000023,Social worker changes over 24 months,With two or more social worker changes,85,33
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,394,Sunderland,E08000024,Social worker changes across 12 months,Total,579,100
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,394,Sunderland,E08000024,Social worker changes across 12 months,With no social worker change,223,39
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,394,Sunderland,E08000024,Social worker changes across 12 months,With one social worker change,226,39
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,394,Sunderland,E08000024,Social worker changes across 12 months,With two or more social worker changes,130,22
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,394,Sunderland,E08000024,Social worker changes over 24 months,Total,579,100
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,394,Sunderland,E08000024,Social worker changes over 24 months,With no social worker change,84,15
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,394,Sunderland,E08000024,Social worker changes over 24 months,With one social worker change,150,26
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,394,Sunderland,E08000024,Social worker changes over 24 months,With two or more social worker changes,345,60
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,390,Gateshead,E08000037,Social worker changes across 12 months,Total,413,100
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,390,Gateshead,E08000037,Social worker changes across 12 months,With no social worker change,153,37
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,390,Gateshead,E08000037,Social worker changes across 12 months,With one social worker change,156,38
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,390,Gateshead,E08000037,Social worker changes across 12 months,With two or more social worker changes,104,25
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,390,Gateshead,E08000037,Social worker changes over 24 months,Total,413,100
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,390,Gateshead,E08000037,Social worker changes over 24 months,With no social worker change,51,12
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,390,Gateshead,E08000037,Social worker changes over 24 months,With one social worker change,122,30
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,390,Gateshead,E08000037,Social worker changes over 24 months,With two or more social worker changes,240,58
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,876,Halton,E06000006,Social worker changes across 12 months,Total,199,100
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,876,Halton,E06000006,Social worker changes across 12 months,With no social worker change,199,100
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,876,Halton,E06000006,Social worker changes across 12 months,With one social worker change,0,0
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,876,Halton,E06000006,Social worker changes across 12 months,With two or more social worker changes,0,0
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,876,Halton,E06000006,Social worker changes over 24 months,Total,199,100
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,876,Halton,E06000006,Social worker changes over 24 months,With no social worker change,87,44
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,876,Halton,E06000006,Social worker changes over 24 months,With one social worker change,40,20
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,876,Halton,E06000006,Social worker changes over 24 months,With two or more social worker changes,72,36
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,877,Warrington,E06000007,Social worker changes across 12 months,Total,361,100
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,877,Warrington,E06000007,Social worker changes across 12 months,With no social worker change,93,26
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,877,Warrington,E06000007,Social worker changes across 12 months,With one social worker change,147,41
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,877,Warrington,E06000007,Social worker changes across 12 months,With two or more social worker changes,121,34
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,877,Warrington,E06000007,Social worker changes over 24 months,Total,361,100
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,877,Warrington,E06000007,Social worker changes over 24 months,With no social worker change,56,16
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,877,Warrington,E06000007,Social worker changes over 24 months,With one social worker change,95,26
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,877,Warrington,E06000007,Social worker changes over 24 months,With two or more social worker changes,210,58
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,889,Blackburn with Darwen,E06000008,Social worker changes across 12 months,Total,x,x
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,889,Blackburn with Darwen,E06000008,Social worker changes across 12 months,With no social worker change,x,x
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,889,Blackburn with Darwen,E06000008,Social worker changes across 12 months,With one social worker change,x,x
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,889,Blackburn with Darwen,E06000008,Social worker changes across 12 months,With two or more social worker changes,x,x
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,889,Blackburn with Darwen,E06000008,Social worker changes over 24 months,Total,x,x
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,889,Blackburn with Darwen,E06000008,Social worker changes over 24 months,With no social worker change,x,x
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,889,Blackburn with Darwen,E06000008,Social worker changes over 24 months,With one social worker change,x,x
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,889,Blackburn with Darwen,E06000008,Social worker changes over 24 months,With two or more social worker changes,x,x
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,890,Blackpool,E06000009,Social worker changes across 12 months,Total,652,100
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,890,Blackpool,E06000009,Social worker changes across 12 months,With no social worker change,110,17
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,890,Blackpool,E06000009,Social worker changes across 12 months,With one social worker change,253,39
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,890,Blackpool,E06000009,Social worker changes across 12 months,With two or more social worker changes,289,44
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,890,Blackpool,E06000009,Social worker changes over 24 months,Total,652,100
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,890,Blackpool,E06000009,Social worker changes over 24 months,With no social worker change,53,8
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,890,Blackpool,E06000009,Social worker changes over 24 months,With one social worker change,126,19
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,890,Blackpool,E06000009,Social worker changes over 24 months,With two or more social worker changes,473,73
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,895,Cheshire East,E06000049,Social worker changes across 12 months,Total,534,100
