time_period,time_identifier,geographic_level,country_code,country_name,care_leaver_age,characteristic,number
2021,Reporting year,National,E92000001,England,18 years,2. Total living with former foster carers in the current year,2140
2021,Reporting year,National,E92000001,England,18 years,3. Percentage living with former foster carers in the current year,60%
2022,Reporting year,National,E92000001,England,18 years,1. Young people who ceased to be looked after in a foster placement on their 18th birthday and were eligible for care leavers support,3630
2022,Reporting year,National,E92000001,England,18 years,2. Total living with former foster carers in the current year,2240
2022,Reporting year,National,E92000001,England,18 years,3. Percentage living with former foster carers in the current year,62%
2018,Reporting year,National,E92000001,England,19 years,1. Young people who ceased to be looked after in a foster placement on their 18th birthday and were eligible for care leavers support,3170
2018,Reporting year,National,E92000001,England,19 years,2. Total living with former foster carers in the current year,970
2018,Reporting year,National,E92000001,England,19 years,3. Percentage living with former foster carers in the current year,31%
2019,Reporting year,National,E92000001,England,19 years,1. Young people who ceased to be looked after in a foster placement on their 18th birthday and were eligible for care leavers support,3310
2019,Reporting year,National,E92000001,England,19 years,2. Total living with former foster carers in the current year,1050
2019,Reporting year,National,E92000001,England,19 years,3. Percentage living with former foster carers in the current year,32%
2020,Reporting year,National,E92000001,England,19 years,1. Young people who ceased to be looked after in a foster placement on their 18th birthday and were eligible for care leavers support,3460
2020,Reporting year,National,E92000001,England,19 years,2. Total living with former foster carers in the current year,1170
2020,Reporting year,National,E92000001,England,19 years,3. Percentage living with former foster carers in the current year,34%
2021,Reporting year,National,E92000001,England,19 years,1. Young people who ceased to be looked after in a foster placement on their 18th birthday and were eligible for care leavers support,3430
2021,Reporting year,National,E92000001,England,19 years,2. Total living with former foster carers in the current year,1250
2021,Reporting year,National,E92000001,England,19 years,3. Percentage living with former foster carers in the current year,36%
2022,Reporting year,National,E92000001,England,19 years,1. Young people who ceased to be looked after in a foster placement on their 18th birthday and were eligible for care leavers support,3560
2022,Reporting year,National,E92000001,England,19 years,2. Total living with former foster carers in the current year,1320
2022,Reporting year,National,E92000001,England,19 years,3. Percentage living with former foster carers in the current year,37%
2018,Reporting year,National,E92000001,England,19 to 20 years,1. Young people who ceased to be looked after in a foster placement on their 18th birthday and were eligible for care leavers support,6330
2018,Reporting year,National,E92000001,England,19 to 20 years,2. Total living with former foster carers in the current year,1620
2018,Reporting year,National,E92000001,England,19 to 20 years,3. Percentage living with former foster carers in the current year,26%
2019,Reporting year,National,E92000001,England,19 to 20 years,1. Young people who ceased to be looked after in a foster placement on their 18th birthday and were eligible for care leavers support,6480
2019,Reporting year,National,E92000001,England,19 to 20 years,2. Total living with former foster carers in the current year,1700
2019,Reporting year,National,E92000001,England,19 to 20 years,3. Percentage living with former foster carers in the current year,26%
2020,Reporting year,National,E92000001,England,19 to 20 years,1. Young people who ceased to be looked after in a foster placement on their 18th birthday and were eligible for care leavers support,6760
2020,Reporting year,National,E92000001,England,19 to 20 years,2. Total living with former foster carers in the current year,1890
2020,Reporting year,National,E92000001,England,19 to 20 years,3. Percentage living with former foster carers in the current year,28%
2021,Reporting year,National,E92000001,England,19 to 20 years,1. Young people who ceased to be looked after in a foster placement on their 18th birthday and were eligible for care leavers support,6890
2021,Reporting year,National,E92000001,England,19 to 20 years,2. Total living with former foster carers in the current year,2060
2021,Reporting year,National,E92000001,England,19 to 20 years,3. Percentage living with former foster carers in the current year,30%
2022,Reporting year,National,E92000001,England,19 to 20 years,1. Young people who ceased to be looked after in a foster placement on their 18th birthday and were eligible for care leavers support,6980
2022,Reporting year,National,E92000001,England,19 to 20 years,2. Total living with former foster carers in the current year,2190
2022,Reporting year,National,E92000001,England,19 to 20 years,3. Percentage living with former foster carers in the current year,31%
