time_period,time_identifier,geographic_level,country_code,country_name,cla_group,population_group,characteristic,move_measure,school_stability,number,percentage
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,3. Total Asian or Asian British,Mid-year moves,With no mid-year moves during the year,1790,94
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,3. Total Asian or Asian British,Mid-year moves,With one or more mid-year moves during the year,120,6
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,3a. Indian,Any moves,Total children,230,100
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,3a. Indian,Any moves,With no moves during the year,200,89
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,3a. Indian,Any moves,With one or more moves during the year,30,11
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,3a. Indian,Mid-year moves,Total children,230,100
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,3a. Indian,Mid-year moves,With no mid-year moves during the year,210,93
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,3a. Indian,Mid-year moves,With one or more mid-year moves during the year,20,7
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,3b. Pakistani,Any moves,Total children,720,100
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,3b. Pakistani,Any moves,With no moves during the year,670,93
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,3b. Pakistani,Any moves,With one or more moves during the year,50,7
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,3b. Pakistani,Mid-year moves,Total children,720,100
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,3b. Pakistani,Mid-year moves,With no mid-year moves during the year,680,94
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,3b. Pakistani,Mid-year moves,With one or more mid-year moves during the year,40,6
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,3c. Bangladeshi,Any moves,Total children,290,100
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,3c. Bangladeshi,Any moves,With no moves during the year,260,91
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,3c. Bangladeshi,Any moves,With one or more moves during the year,30,9
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,3c. Bangladeshi,Mid-year moves,Total children,290,100
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,3c. Bangladeshi,Mid-year moves,With no mid-year moves during the year,270,92
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,3c. Bangladeshi,Mid-year moves,With one or more mid-year moves during the year,20,8
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,3d. Chinese,Any moves,Total children,70,100
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,3d. Chinese,Any moves,With no moves during the year,60,94
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,3d. Chinese,Any moves,With one or more moves during the year,c,c
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,3d. Chinese,Mid-year moves,Total children,70,100
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,3d. Chinese,Mid-year moves,With no mid-year moves during the year,60,94
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,3d. Chinese,Mid-year moves,With one or more mid-year moves during the year,c,c
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,3e. Any other Asian background,Any moves,Total children,600,100
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,3e. Any other Asian background,Any moves,With no moves during the year,550,92
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,3e. Any other Asian background,Any moves,With one or more moves during the year,50,8
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,3e. Any other Asian background,Mid-year moves,Total children,600,100
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,3e. Any other Asian background,Mid-year moves,With no mid-year moves during the year,570,95
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,3e. Any other Asian background,Mid-year moves,With one or more mid-year moves during the year,30,5
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,"4. Total Black, African, Caribbean or Black British",Any moves,Total children,2950,100
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,"4. Total Black, African, Caribbean or Black British",Any moves,With no moves during the year,2640,90
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,"4. Total Black, African, Caribbean or Black British",Any moves,With one or more moves during the year,300,10
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,"4. Total Black, African, Caribbean or Black British",Mid-year moves,Total children,2950,100
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,"4. Total Black, African, Caribbean or Black British",Mid-year moves,With no mid-year moves during the year,2740,93
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,"4. Total Black, African, Caribbean or Black British",Mid-year moves,With one or more mid-year moves during the year,200,7
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,4a. Caribbean,Any moves,Total children,820,100
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,4a. Caribbean,Any moves,With no moves during the year,720,88
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,4a. Caribbean,Any moves,With one or more moves during the year,100,12
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,4a. Caribbean,Mid-year moves,Total children,820,100
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,4a. Caribbean,Mid-year moves,With no mid-year moves during the year,760,93
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,4a. Caribbean,Mid-year moves,With one or more mid-year moves during the year,60,7
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,4b. African,Any moves,Total children,1380,100
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,4b. African,Any moves,With no moves during the year,1230,89
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,4b. African,Any moves,With one or more moves during the year,150,11
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,4b. African,Mid-year moves,Total children,1380,100
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,4b. African,Mid-year moves,With no mid-year moves during the year,1280,93
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,4b. African,Mid-year moves,With one or more mid-year moves during the year,100,7
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,4c. Any other Black background,Any moves,Total children,760,100
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,4c. Any other Black background,Any moves,With no moves during the year,690,92
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,4c. Any other Black background,Any moves,With one or more moves during the year,60,8
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,4c. Any other Black background,Mid-year moves,Total children,760,100
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,4c. Any other Black background,Mid-year moves,With no mid-year moves during the year,710,94
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,4c. Any other Black background,Mid-year moves,With one or more mid-year moves during the year,50,6
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,5. Total other ethnic group,Any moves,Total children,820,100
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,5. Total other ethnic group,Any moves,With no moves during the year,720,89
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,5. Total other ethnic group,Any moves,With one or more moves during the year,90,11
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,5. Total other ethnic group,Mid-year moves,Total children,820,100
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,5. Total other ethnic group,Mid-year moves,With no mid-year moves during the year,750,92
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,5. Total other ethnic group,Mid-year moves,With one or more mid-year moves during the year,70,8
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,6. Total refused or information not yet available,Any moves,Total children,110,100
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,6. Total refused or information not yet available,Any moves,With no moves during the year,90,86
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,6. Total refused or information not yet available,Any moves,With one or more moves during the year,20,14
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,6. Total refused or information not yet available,Mid-year moves,Total children,110,100
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,6. Total refused or information not yet available,Mid-year moves,With no mid-year moves during the year,100,90
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,6. Total refused or information not yet available,Mid-year moves,With one or more mid-year moves during the year,10,10
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,6a. Refused,Any moves,Total children,10,100
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,6a. Refused,Any moves,With no moves during the year,10,79
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,6a. Refused,Any moves,With one or more moves during the year,c,c
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,6a. Refused,Mid-year moves,Total children,10,100
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,6a. Refused,Mid-year moves,With no mid-year moves during the year,10,86
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,6a. Refused,Mid-year moves,With one or more mid-year moves during the year,c,c
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,6b. Information not yet obtained,Any moves,Total children,90,100
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,6b. Information not yet obtained,Any moves,With no moves during the year,80,87
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,6b. Information not yet obtained,Any moves,With one or more moves during the year,10,13
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,6b. Information not yet obtained,Mid-year moves,Total children,90,100
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,6b. Information not yet obtained,Mid-year moves,With no mid-year moves during the year,90,90
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,6b. Information not yet obtained,Mid-year moves,With one or more mid-year moves during the year,10,10
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,Total children,Any moves,Total children,50620,100
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,Total children,Any moves,With no moves during the year,44940,89
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,Total children,Any moves,With one or more moves during the year,5690,11
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,Total children,Mid-year moves,Total children,50620,100
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,Total children,Mid-year moves,With no mid-year moves during the year,46750,92
2022,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,Total children,Mid-year moves,With one or more mid-year moves during the year,3870,8
2022,Reporting year,National,E92000001,England,CLA on 31 March,First legal status during the year,Care orders,Any moves,Total children,41370,100
2022,Reporting year,National,E92000001,England,CLA on 31 March,First legal status during the year,Care orders,Any moves,With no moves during the year,36860,89
2022,Reporting year,National,E92000001,England,CLA on 31 March,First legal status during the year,Care orders,Any moves,With one or more moves during the year,4510,11
2022,Reporting year,National,E92000001,England,CLA on 31 March,First legal status during the year,Care orders,Mid-year moves,Total children,41370,100
2022,Reporting year,National,E92000001,England,CLA on 31 March,First legal status during the year,Care orders,Mid-year moves,With no mid-year moves during the year,38350,93
2022,Reporting year,National,E92000001,England,CLA on 31 March,First legal status during the year,Care orders,Mid-year moves,With one or more mid-year moves during the year,3020,7
2022,Reporting year,National,E92000001,England,CLA on 31 March,First legal status during the year,Detained for child protection,Any moves,Total children,1180,100
2022,Reporting year,National,E92000001,England,CLA on 31 March,First legal status during the year,Detained for child protection,Any moves,With no moves during the year,1030,87
2022,Reporting year,National,E92000001,England,CLA on 31 March,First legal status during the year,Detained for child protection,Any moves,With one or more moves during the year,160,13
2022,Reporting year,National,E92000001,England,CLA on 31 March,First legal status during the year,Detained for child protection,Mid-year moves,Total children,1180,100
2022,Reporting year,National,E92000001,England,CLA on 31 March,First legal status during the year,Detained for child protection,Mid-year moves,With no mid-year moves during the year,1050,89
2022,Reporting year,National,E92000001,England,CLA on 31 March,First legal status during the year,Detained for child protection,Mid-year moves,With one or more mid-year moves during the year,130,11
2022,Reporting year,National,E92000001,England,CLA on 31 March,First legal status during the year,Placement order granted,Any moves,Total children,1020,100
2022,Reporting year,National,E92000001,England,CLA on 31 March,First legal status during the year,Placement order granted,Any moves,With no moves during the year,710,69
2022,Reporting year,National,E92000001,England,CLA on 31 March,First legal status during the year,Placement order granted,Any moves,With one or more moves during the year,310,31
2022,Reporting year,National,E92000001,England,CLA on 31 March,First legal status during the year,Placement order granted,Mid-year moves,Total children,1020,100
2022,Reporting year,National,E92000001,England,CLA on 31 March,First legal status during the year,Placement order granted,Mid-year moves,With no mid-year moves during the year,820,80
2022,Reporting year,National,E92000001,England,CLA on 31 March,First legal status during the year,Placement order granted,Mid-year moves,With one or more mid-year moves during the year,200,20
2022,Reporting year,National,E92000001,England,CLA on 31 March,First legal status during the year,Total children,Any moves,Total children,50620,100
2022,Reporting year,National,E92000001,England,CLA on 31 March,First legal status during the year,Total children,Any moves,With no moves during the year,44940,89
2022,Reporting year,National,E92000001,England,CLA on 31 March,First legal status during the year,Total children,Any moves,With one or more moves during the year,5690,11
2022,Reporting year,National,E92000001,England,CLA on 31 March,First legal status during the year,Total children,Mid-year moves,Total children,50620,100
2022,Reporting year,National,E92000001,England,CLA on 31 March,First legal status during the year,Total children,Mid-year moves,With no mid-year moves during the year,46750,92
2022,Reporting year,National,E92000001,England,CLA on 31 March,First legal status during the year,Total children,Mid-year moves,With one or more mid-year moves during the year,3870,8
2022,Reporting year,National,E92000001,England,CLA on 31 March,First legal status during the year,Voluntary agreements under S20 CA 1989,Any moves,Total children,6930,100
2022,Reporting year,National,E92000001,England,CLA on 31 March,First legal status during the year,Voluntary agreements under S20 CA 1989,Any moves,With no moves during the year,6230,90
2022,Reporting year,National,E92000001,England,CLA on 31 March,First legal status during the year,Voluntary agreements under S20 CA 1989,Any moves,With one or more moves during the year,700,10
2022,Reporting year,National,E92000001,England,CLA on 31 March,First legal status during the year,Voluntary agreements under S20 CA 1989,Mid-year moves,Total children,6930,100
2022,Reporting year,National,E92000001,England,CLA on 31 March,First legal status during the year,Voluntary agreements under S20 CA 1989,Mid-year moves,With no mid-year moves during the year,6420,93
2022,Reporting year,National,E92000001,England,CLA on 31 March,First legal status during the year,Voluntary agreements under S20 CA 1989,Mid-year moves,With one or more mid-year moves during the year,520,7
2022,Reporting year,National,E92000001,England,CLA on 31 March,First legal status during the year,Youth justice legal statuses,Any moves,Total children,120,100
2022,Reporting year,National,E92000001,England,CLA on 31 March,First legal status during the year,Youth justice legal statuses,Any moves,With no moves during the year,120,96
2022,Reporting year,National,E92000001,England,CLA on 31 March,First legal status during the year,Youth justice legal statuses,Any moves,With one or more moves during the year,c,c
2022,Reporting year,National,E92000001,England,CLA on 31 March,First legal status during the year,Youth justice legal statuses,Mid-year moves,Total children,120,100
2022,Reporting year,National,E92000001,England,CLA on 31 March,First legal status during the year,Youth justice legal statuses,Mid-year moves,With no mid-year moves during the year,120,97
2022,Reporting year,National,E92000001,England,CLA on 31 March,First legal status during the year,Youth justice legal statuses,Mid-year moves,With one or more mid-year moves during the year,c,c
2022,Reporting year,National,E92000001,England,CLA on 31 March,First placement during the year,Foster placements,Any moves,Total children,42240,100
2022,Reporting year,National,E92000001,England,CLA on 31 March,First placement during the year,Foster placements,Any moves,With no moves during the year,37450,89
2022,Reporting year,National,E92000001,England,CLA on 31 March,First placement during the year,Foster placements,Any moves,With one or more moves during the year,4780,11
2022,Reporting year,National,E92000001,England,CLA on 31 March,First placement during the year,Foster placements,Mid-year moves,Total children,42240,100
