time_period,time_identifier,geographic_level,country_code,country_name,age_group,CLA_group,characteristic,measure,number,percentage
2021,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,"Total not in education, training or employment",Activity of care leaver,13250,41
2021,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Young person no longer requires services,LA in-touch with the care leaver,660,2
2021,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Young person no longer requires services from LA,Activity of care leaver,620,2
2021,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Young person refuses contact,LA in-touch with the care leaver,390,1
2021,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Young person refuses contact from LA,Activity of care leaver,280,1
2022,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Female,Gender,12380,37
2022,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Full-time education other than higher education,Activity of care leaver,6500,19
2022,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Full-time higher education i.e. studies beyond A level,Activity of care leaver,2120,6
2022,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Full-time in an apprenticeship,Activity of care leaver,490,1
2022,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Full-time in training or employment,Activity of care leaver,z,z
2022,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Full-time in training or employment (excl. apprenticeship),Activity of care leaver,5480,16
2022,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,In higher education i.e. studies beyond A level,Activity of care leaver,2230,7
2022,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,In touch with care leaver,LA in-touch with the care leaver,30940,92
2022,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,LA not in touch,Activity of care leaver,1490,4
2022,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Male,Gender,21210,63
2022,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Not in touch with care leaver,LA in-touch with the care leaver,1680,5
2022,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Owing to illness or disability,Activity of care leaver,2370,7
2022,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Owing to other reasons,Activity of care leaver,8580,26
2022,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Owing to pregnancy or parenting,Activity of care leaver,1700,5
2022,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Part-time education other than higher education,Activity of care leaver,1170,3
2022,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Part-time higher education i.e. studies beyond A level,Activity of care leaver,120,k
2022,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Part-time in an apprenticeship,Activity of care leaver,60,k
2022,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Part-time in training or employment,Activity of care leaver,z,z
2022,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Part-time in training or employment (excl. apprenticeship),Activity of care leaver,2680,8
2022,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Total activity of care leavers,Activity of care leaver,33590,100
2022,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Total gender,Gender,33590,100
2022,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Total in apprenticeship,Activity of care leaver,550,2
2022,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Total in education other than higher education,Activity of care leaver,7670,23
2022,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Total in touch,LA in-touch with the care leaver,33590,100
2022,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Total in training or employment,Activity of care leaver,z,z
2022,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Total in training or employment (excl. apprenticeship),Activity of care leaver,8160,24
2022,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Total information not known,Activity of care leaver,2320,7
2022,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,"Total not in education, training or employment",Activity of care leaver,12650,38
2022,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Young person no longer requires services,LA in-touch with the care leaver,600,2
2022,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Young person no longer requires services from LA,Activity of care leaver,550,2
2022,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Young person refuses contact,LA in-touch with the care leaver,370,1
2022,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Young person refuses contact from LA,Activity of care leaver,270,1
2018,Reporting year,National,E92000001,England,21 years,Care leavers group,Female,Gender,3720,41
2018,Reporting year,National,E92000001,England,21 years,Care leavers group,Full-time education other than higher education,Activity of care leaver,800,9
2018,Reporting year,National,E92000001,England,21 years,Care leavers group,Full-time higher education i.e. studies beyond A level,Activity of care leaver,600,7
2018,Reporting year,National,E92000001,England,21 years,Care leavers group,Full-time in an apprenticeship,Activity of care leaver,z,z
2018,Reporting year,National,E92000001,England,21 years,Care leavers group,Full-time in training or employment,Activity of care leaver,1760,20
2018,Reporting year,National,E92000001,England,21 years,Care leavers group,Full-time in training or employment (excl. apprenticeship),Activity of care leaver,z,z
2018,Reporting year,National,E92000001,England,21 years,Care leavers group,In higher education i.e. studies beyond A level,Activity of care leaver,630,7
2018,Reporting year,National,E92000001,England,21 years,Care leavers group,In touch with Care Leaver,LA in-touch with the care leaver,7560,84
2018,Reporting year,National,E92000001,England,21 years,Care leavers group,LA not in touch,Activity of care leaver,640,7
2018,Reporting year,National,E92000001,England,21 years,Care leavers group,Male,Gender,5260,59
2018,Reporting year,National,E92000001,England,21 years,Care leavers group,Not in touch with Care Leaver,LA in-touch with the care leaver,820,9
2018,Reporting year,National,E92000001,England,21 years,Care leavers group,Owing to illness or disability,Activity of care leaver,1060,12
2018,Reporting year,National,E92000001,England,21 years,Care leavers group,Owing to other reasons,Activity of care leaver,1890,21
2018,Reporting year,National,E92000001,England,21 years,Care leavers group,Owing to pregnancy or parenting,Activity of care leaver,720,8
2018,Reporting year,National,E92000001,England,21 years,Care leavers group,Part-time education other than higher education,Activity of care leaver,260,3
2018,Reporting year,National,E92000001,England,21 years,Care leavers group,Part-time higher education i.e. studies beyond A level,Activity of care leaver,20,k
2018,Reporting year,National,E92000001,England,21 years,Care leavers group,Part-time in an apprenticeship,Activity of care leaver,z,z
2018,Reporting year,National,E92000001,England,21 years,Care leavers group,Part-time in training or employment,Activity of care leaver,700,8
2018,Reporting year,National,E92000001,England,21 years,Care leavers group,Part-time in training or employment (excl. apprenticeship),Activity of care leaver,z,z
2018,Reporting year,National,E92000001,England,21 years,Care leavers group,Total activity of care leavers,Activity of care leaver,8980,100
2018,Reporting year,National,E92000001,England,21 years,Care leavers group,Total gender,Gender,8980,100
2018,Reporting year,National,E92000001,England,21 years,Care leavers group,Total in apprenticeship,Activity of care leaver,z,z
2018,Reporting year,National,E92000001,England,21 years,Care leavers group,Total in education other than higher education,Activity of care leaver,1060,12
2018,Reporting year,National,E92000001,England,21 years,Care leavers group,Total in touch,LA in-touch with the care leaver,8980,100
2018,Reporting year,National,E92000001,England,21 years,Care leavers group,Total in training or employment,Activity of care leaver,2460,27
2018,Reporting year,National,E92000001,England,21 years,Care leavers group,Total in training or employment (excl. apprenticeship),Activity of care leaver,z,z
2018,Reporting year,National,E92000001,England,21 years,Care leavers group,Total information not known,Activity of care leaver,1160,13
2018,Reporting year,National,E92000001,England,21 years,Care leavers group,"Total not in education, training or employment",Activity of care leaver,3670,41
2018,Reporting year,National,E92000001,England,21 years,Care leavers group,Young person no longer requires services,LA in-touch with the care leaver,380,4
2018,Reporting year,National,E92000001,England,21 years,Care leavers group,Young person no longer requires services from LA,Activity of care leaver,330,4
2018,Reporting year,National,E92000001,England,21 years,Care leavers group,Young person refuses contact,LA in-touch with the care leaver,230,3
2018,Reporting year,National,E92000001,England,21 years,Care leavers group,Young person refuses contact from LA,Activity of care leaver,190,2
2019,Reporting year,National,E92000001,England,21 years,Care leavers group,Female,Gender,3930,42
2019,Reporting year,National,E92000001,England,21 years,Care leavers group,Full-time education other than higher education,Activity of care leaver,850,9
2019,Reporting year,National,E92000001,England,21 years,Care leavers group,Full-time higher education i.e. studies beyond A level,Activity of care leaver,650,7
2019,Reporting year,National,E92000001,England,21 years,Care leavers group,Full-time in an apprenticeship,Activity of care leaver,z,z
2019,Reporting year,National,E92000001,England,21 years,Care leavers group,Full-time in training or employment,Activity of care leaver,1870,20
2019,Reporting year,National,E92000001,England,21 years,Care leavers group,Full-time in training or employment (excl. apprenticeship),Activity of care leaver,z,z
2019,Reporting year,National,E92000001,England,21 years,Care leavers group,In higher education i.e. studies beyond A level,Activity of care leaver,690,7
2019,Reporting year,National,E92000001,England,21 years,Care leavers group,In touch with Care Leaver,LA in-touch with the care leaver,8060,86
2019,Reporting year,National,E92000001,England,21 years,Care leavers group,LA not in touch,Activity of care leaver,710,7
2019,Reporting year,National,E92000001,England,21 years,Care leavers group,Male,Gender,5480,58
2019,Reporting year,National,E92000001,England,21 years,Care leavers group,Not in touch with Care Leaver,LA in-touch with the care leaver,890,9
2019,Reporting year,National,E92000001,England,21 years,Care leavers group,Owing to illness or disability,Activity of care leaver,1120,12
2019,Reporting year,National,E92000001,England,21 years,Care leavers group,Owing to other reasons,Activity of care leaver,2000,21
2019,Reporting year,National,E92000001,England,21 years,Care leavers group,Owing to pregnancy or parenting,Activity of care leaver,760,8
2019,Reporting year,National,E92000001,England,21 years,Care leavers group,Part-time education other than higher education,Activity of care leaver,260,3
2019,Reporting year,National,E92000001,England,21 years,Care leavers group,Part-time higher education i.e. studies beyond A level,Activity of care leaver,30,k
2019,Reporting year,National,E92000001,England,21 years,Care leavers group,Part-time in an apprenticeship,Activity of care leaver,z,z
2019,Reporting year,National,E92000001,England,21 years,Care leavers group,Part-time in training or employment,Activity of care leaver,780,8
2019,Reporting year,National,E92000001,England,21 years,Care leavers group,Part-time in training or employment (excl. apprenticeship),Activity of care leaver,z,z
2019,Reporting year,National,E92000001,England,21 years,Care leavers group,Total activity of care leavers,Activity of care leaver,9410,100
2019,Reporting year,National,E92000001,England,21 years,Care leavers group,Total gender,Gender,9410,100
2019,Reporting year,National,E92000001,England,21 years,Care leavers group,Total in apprenticeship,Activity of care leaver,z,z
2019,Reporting year,National,E92000001,England,21 years,Care leavers group,Total in education other than higher education,Activity of care leaver,1110,12
2019,Reporting year,National,E92000001,England,21 years,Care leavers group,Total in touch,LA in-touch with the care leaver,9410,100
2019,Reporting year,National,E92000001,England,21 years,Care leavers group,Total in training or employment,Activity of care leaver,2650,28
2019,Reporting year,National,E92000001,England,21 years,Care leavers group,Total in training or employment (excl. apprenticeship),Activity of care leaver,z,z
2019,Reporting year,National,E92000001,England,21 years,Care leavers group,Total information not known,Activity of care leaver,1100,12
2019,Reporting year,National,E92000001,England,21 years,Care leavers group,"Total not in education, training or employment",Activity of care leaver,3870,41
2019,Reporting year,National,E92000001,England,21 years,Care leavers group,Young person no longer requires services,LA in-touch with the care leaver,260,3
2019,Reporting year,National,E92000001,England,21 years,Care leavers group,Young person no longer requires services from LA,Activity of care leaver,230,2
2019,Reporting year,National,E92000001,England,21 years,Care leavers group,Young person refuses contact,LA in-touch with the care leaver,200,2
2019,Reporting year,National,E92000001,England,21 years,Care leavers group,Young person refuses contact from LA,Activity of care leaver,170,2
2020,Reporting year,National,E92000001,England,21 years,Care leavers group,Female,Gender,3960,39
2020,Reporting year,National,E92000001,England,21 years,Care leavers group,Full-time education other than higher education,Activity of care leaver,910,9
2020,Reporting year,National,E92000001,England,21 years,Care leavers group,Full-time higher education i.e. studies beyond A level,Activity of care leaver,690,7
2020,Reporting year,National,E92000001,England,21 years,Care leavers group,Full-time in an apprenticeship,Activity of care leaver,z,z
2020,Reporting year,National,E92000001,England,21 years,Care leavers group,Full-time in training or employment,Activity of care leaver,1970,20
2020,Reporting year,National,E92000001,England,21 years,Care leavers group,Full-time in training or employment (excl. apprenticeship),Activity of care leaver,z,z
2020,Reporting year,National,E92000001,England,21 years,Care leavers group,In higher education i.e. studies beyond A level,Activity of care leaver,730,7
2020,Reporting year,National,E92000001,England,21 years,Care leavers group,In touch with Care Leaver,LA in-touch with the care leaver,8620,86
2020,Reporting year,National,E92000001,England,21 years,Care leavers group,LA not in touch,Activity of care leaver,810,8
2020,Reporting year,National,E92000001,England,21 years,Care leavers group,Male,Gender,6080,61
2020,Reporting year,National,E92000001,England,21 years,Care leavers group,Not in touch with Care Leaver,LA in-touch with the care leaver,900,9
2020,Reporting year,National,E92000001,England,21 years,Care leavers group,Owing to illness or disability,Activity of care leaver,1040,10
2020,Reporting year,National,E92000001,England,21 years,Care leavers group,Owing to other reasons,Activity of care leaver,2210,22
2020,Reporting year,National,E92000001,England,21 years,Care leavers group,Owing to pregnancy or parenting,Activity of care leaver,770,8
2020,Reporting year,National,E92000001,England,21 years,Care leavers group,Part-time education other than higher education,Activity of care leaver,290,3
2020,Reporting year,National,E92000001,England,21 years,Care leavers group,Part-time higher education i.e. studies beyond A level,Activity of care leaver,30,k
2020,Reporting year,National,E92000001,England,21 years,Care leavers group,Part-time in an apprenticeship,Activity of care leaver,z,z
2020,Reporting year,National,E92000001,England,21 years,Care leavers group,Part-time in training or employment,Activity of care leaver,880,9
2020,Reporting year,National,E92000001,England,21 years,Care leavers group,Part-time in training or employment (excl. apprenticeship),Activity of care leaver,z,z
2020,Reporting year,National,E92000001,England,21 years,Care leavers group,Total activity of care leavers,Activity of care leaver,10040,100
2020,Reporting year,National,E92000001,England,21 years,Care leavers group,Total gender,Gender,10040,100
2020,Reporting year,National,E92000001,England,21 years,Care leavers group,Total in apprenticeship,Activity of care leaver,z,z
