time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,la_name,new_la_code,age,activity,number,percentage
2022,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Aged 19 to 21,In training or employment (excl. apprenticeship),1180,25
2022,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Aged 19 to 21,"Not in education, training or employment, owing to illness or disability",440,9
2022,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Aged 19 to 21,"Not in education, training or employment, owing to other reasons",1290,28
2022,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Aged 19 to 21,"Not in education, training or employment, owing to pregnancy or parenting",290,6
2022,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Aged 19 to 21,Total,4640,100
2022,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Aged 19 to 21,"Total in education, employment or training",2430,52
2022,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Aged 19 to 21,Total information not known,200,4
2022,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Aged 19 to 21,"Total not in education, employment or training",2010,43
2022,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Aged 17 to 18,Education other than higher education,520,49
2022,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Aged 17 to 18,Higher education i.e. studies beyond A level,30,2
2022,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Aged 17 to 18,In an apprenticeship,20,2
2022,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Aged 17 to 18,In training or employment,z,z
2022,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Aged 17 to 18,In training or employment (excl. apprenticeship),130,12
2022,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Aged 17 to 18,"Not in education, training or employment, owing to illness or disability",40,4
2022,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Aged 17 to 18,"Not in education, training or employment, owing to other reasons",250,23
2022,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Aged 17 to 18,"Not in education, training or employment, owing to pregnancy or parenting",30,3
2022,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Aged 17 to 18,Total,1060,100
2022,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Aged 17 to 18,"Total in education, employment or training",690,65
2022,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Aged 17 to 18,Total information not known,50,5
2022,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Aged 17 to 18,"Total not in education, employment or training",320,30
2022,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Aged 19 to 21,Education other than higher education,590,20
2022,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Aged 19 to 21,Higher education i.e. studies beyond A level,190,6
2022,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Aged 19 to 21,In an apprenticeship,60,2
2022,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Aged 19 to 21,In training or employment,z,z
2022,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Aged 19 to 21,In training or employment (excl. apprenticeship),710,25
2022,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Aged 19 to 21,"Not in education, training or employment, owing to illness or disability",240,8
2022,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Aged 19 to 21,"Not in education, training or employment, owing to other reasons",750,26
2022,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Aged 19 to 21,"Not in education, training or employment, owing to pregnancy or parenting",200,7
2022,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Aged 19 to 21,Total,2880,100
2022,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Aged 19 to 21,"Total in education, employment or training",1540,54
2022,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Aged 19 to 21,Total information not known,150,5
2022,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Aged 19 to 21,"Total not in education, employment or training",1190,41
2022,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Aged 17 to 18,Education other than higher education,430,47
2022,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Aged 17 to 18,Higher education i.e. studies beyond A level,50,5
2022,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Aged 17 to 18,In an apprenticeship,20,2
2022,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Aged 17 to 18,In training or employment,z,z
2022,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Aged 17 to 18,In training or employment (excl. apprenticeship),130,15
2022,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Aged 17 to 18,"Not in education, training or employment, owing to illness or disability",20,2
2022,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Aged 17 to 18,"Not in education, training or employment, owing to other reasons",230,25
2022,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Aged 17 to 18,"Not in education, training or employment, owing to pregnancy or parenting",20,2
2022,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Aged 17 to 18,Total,910,100
2022,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Aged 17 to 18,"Total in education, employment or training",630,70
2022,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Aged 17 to 18,Total information not known,10,1
2022,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Aged 17 to 18,"Total not in education, employment or training",260,29
2022,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Aged 19 to 21,Education other than higher education,500,21
2022,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Aged 19 to 21,Higher education i.e. studies beyond A level,170,7
2022,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Aged 19 to 21,In an apprenticeship,50,2
2022,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Aged 19 to 21,In training or employment,z,z
2022,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Aged 19 to 21,In training or employment (excl. apprenticeship),650,27
2022,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Aged 19 to 21,"Not in education, training or employment, owing to illness or disability",160,7
2022,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Aged 19 to 21,"Not in education, training or employment, owing to other reasons",660,27
2022,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Aged 19 to 21,"Not in education, training or employment, owing to pregnancy or parenting",110,4
2022,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Aged 19 to 21,Total,2420,100
2022,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Aged 19 to 21,"Total in education, employment or training",1370,57
2022,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Aged 19 to 21,Total information not known,120,5
2022,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Aged 19 to 21,"Total not in education, employment or training",930,38
2022,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Aged 17 to 18,Education other than higher education,650,46
2022,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Aged 17 to 18,Higher education i.e. studies beyond A level,40,3
2022,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Aged 17 to 18,In an apprenticeship,20,2
2022,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Aged 17 to 18,In training or employment,z,z
2022,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Aged 17 to 18,In training or employment (excl. apprenticeship),180,13
2022,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Aged 17 to 18,"Not in education, training or employment, owing to illness or disability",40,3
2022,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Aged 17 to 18,"Not in education, training or employment, owing to other reasons",360,26
2022,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Aged 17 to 18,"Not in education, training or employment, owing to pregnancy or parenting",30,2
2022,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Aged 17 to 18,Total,1400,100
2022,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Aged 17 to 18,"Total in education, employment or training",890,63
2022,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Aged 17 to 18,Total information not known,70,5
2022,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Aged 17 to 18,"Total not in education, employment or training",440,31
2022,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Aged 19 to 21,Education other than higher education,670,18
2022,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Aged 19 to 21,Higher education i.e. studies beyond A level,220,6
2022,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Aged 19 to 21,In an apprenticeship,40,1
2022,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Aged 19 to 21,In training or employment,z,z
2022,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Aged 19 to 21,In training or employment (excl. apprenticeship),1000,27
2022,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Aged 19 to 21,"Not in education, training or employment, owing to illness or disability",240,6
2022,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Aged 19 to 21,"Not in education, training or employment, owing to other reasons",1030,28
2022,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Aged 19 to 21,"Not in education, training or employment, owing to pregnancy or parenting",230,6
2022,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Aged 19 to 21,Total,3710,100
2022,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Aged 19 to 21,"Total in education, employment or training",1930,52
2022,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Aged 19 to 21,Total information not known,290,8
2022,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Aged 19 to 21,"Total not in education, employment or training",1490,40
2022,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Aged 17 to 18,Education other than higher education,620,51
2022,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Aged 17 to 18,Higher education i.e. studies beyond A level,50,4
2022,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Aged 17 to 18,In an apprenticeship,10,1
2022,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Aged 17 to 18,In training or employment,z,z
2022,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Aged 17 to 18,In training or employment (excl. apprenticeship),120,10
2022,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Aged 17 to 18,"Not in education, training or employment, owing to illness or disability",40,3
2022,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Aged 17 to 18,"Not in education, training or employment, owing to other reasons",300,24
2022,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Aged 17 to 18,"Not in education, training or employment, owing to pregnancy or parenting",30,2
2022,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Aged 17 to 18,Total,1220,100
2022,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Aged 17 to 18,"Total in education, employment or training",810,66
2022,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Aged 17 to 18,Total information not known,60,4
2022,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Aged 17 to 18,"Total not in education, employment or training",360,29
2022,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Aged 19 to 21,Education other than higher education,820,25
2022,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Aged 19 to 21,Higher education i.e. studies beyond A level,230,7
2022,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Aged 19 to 21,In an apprenticeship,30,1
2022,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Aged 19 to 21,In training or employment,z,z
2022,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Aged 19 to 21,In training or employment (excl. apprenticeship),790,23
2022,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Aged 19 to 21,"Not in education, training or employment, owing to illness or disability",240,7
2022,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Aged 19 to 21,"Not in education, training or employment, owing to other reasons",870,26
2022,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Aged 19 to 21,"Not in education, training or employment, owing to pregnancy or parenting",150,4
2022,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Aged 19 to 21,Total,3350,100
2022,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Aged 19 to 21,"Total in education, employment or training",1870,56
2022,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Aged 19 to 21,Total information not known,220,7
2022,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Aged 19 to 21,"Total not in education, employment or training",1260,38
2022,Reporting year,Regional,E92000001,England,E12000007,London,,,,Aged 17 to 18,Education other than higher education,1380,56
2022,Reporting year,Regional,E92000001,England,E12000007,London,,,,Aged 17 to 18,Higher education i.e. studies beyond A level,120,5
2022,Reporting year,Regional,E92000001,England,E12000007,London,,,,Aged 17 to 18,In an apprenticeship,20,1
2022,Reporting year,Regional,E92000001,England,E12000007,London,,,,Aged 17 to 18,In training or employment,z,z
2022,Reporting year,Regional,E92000001,England,E12000007,London,,,,Aged 17 to 18,In training or employment (excl. apprenticeship),240,10
2022,Reporting year,Regional,E92000001,England,E12000007,London,,,,Aged 17 to 18,"Not in education, training or employment, owing to illness or disability",60,2
2022,Reporting year,Regional,E92000001,England,E12000007,London,,,,Aged 17 to 18,"Not in education, training or employment, owing to other reasons",480,19
2022,Reporting year,Regional,E92000001,England,E12000007,London,,,,Aged 17 to 18,"Not in education, training or employment, owing to pregnancy or parenting",30,1
2022,Reporting year,Regional,E92000001,England,E12000007,London,,,,Aged 17 to 18,Total,2480,100
2022,Reporting year,Regional,E92000001,England,E12000007,London,,,,Aged 17 to 18,"Total in education, employment or training",1770,71
2022,Reporting year,Regional,E92000001,England,E12000007,London,,,,Aged 17 to 18,Total information not known,150,6
2022,Reporting year,Regional,E92000001,England,E12000007,London,,,,Aged 17 to 18,"Total not in education, employment or training",570,23
2022,Reporting year,Regional,E92000001,England,E12000007,London,,,,Aged 19 to 21,Education other than higher education,2160,30
2022,Reporting year,Regional,E92000001,England,E12000007,London,,,,Aged 19 to 21,Higher education i.e. studies beyond A level,610,8
2022,Reporting year,Regional,E92000001,England,E12000007,London,,,,Aged 19 to 21,In an apprenticeship,120,2
2022,Reporting year,Regional,E92000001,England,E12000007,London,,,,Aged 19 to 21,In training or employment,z,z
2022,Reporting year,Regional,E92000001,England,E12000007,London,,,,Aged 19 to 21,In training or employment (excl. apprenticeship),1420,19
2022,Reporting year,Regional,E92000001,England,E12000007,London,,,,Aged 19 to 21,"Not in education, training or employment, owing to illness or disability",270,4
2022,Reporting year,Regional,E92000001,England,E12000007,London,,,,Aged 19 to 21,"Not in education, training or employment, owing to other reasons",1820,25
2022,Reporting year,Regional,E92000001,England,E12000007,London,,,,Aged 19 to 21,"Not in education, training or employment, owing to pregnancy or parenting",270,4
2022,Reporting year,Regional,E92000001,England,E12000007,London,,,,Aged 19 to 21,Total,7310,100
2022,Reporting year,Regional,E92000001,England,E12000007,London,,,,Aged 19 to 21,"Total in education, employment or training",4310,59
2022,Reporting year,Regional,E92000001,England,E12000007,London,,,,Aged 19 to 21,Total information not known,640,9
2022,Reporting year,Regional,E92000001,England,E12000007,London,,,,Aged 19 to 21,"Total not in education, employment or training",2360,32
2022,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Aged 17 to 18,Education other than higher education,910,48
2022,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Aged 17 to 18,Higher education i.e. studies beyond A level,50,3
2022,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Aged 17 to 18,In an apprenticeship,30,2
2022,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Aged 17 to 18,In training or employment,z,z
2022,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Aged 17 to 18,In training or employment (excl. apprenticeship),240,13
2022,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Aged 17 to 18,"Not in education, training or employment, owing to illness or disability",50,2
2022,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Aged 17 to 18,"Not in education, training or employment, owing to other reasons",390,20
2022,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Aged 17 to 18,"Not in education, training or employment, owing to pregnancy or parenting",40,2
2022,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Aged 17 to 18,Total,1900,100
2022,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Aged 17 to 18,"Total in education, employment or training",1230,65
2022,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Aged 17 to 18,Total information not known,200,11
2022,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Aged 17 to 18,"Total not in education, employment or training",470,25
2022,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Aged 19 to 21,Education other than higher education,1340,27
2022,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Aged 19 to 21,Higher education i.e. studies beyond A level,270,5
2022,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Aged 19 to 21,In an apprenticeship,80,1
2022,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Aged 19 to 21,In training or employment,z,z
2022,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Aged 19 to 21,In training or employment (excl. apprenticeship),1180,23
2022,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Aged 19 to 21,"Not in education, training or employment, owing to illness or disability",320,6
2022,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Aged 19 to 21,"Not in education, training or employment, owing to other reasons",1210,24
2022,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Aged 19 to 21,"Not in education, training or employment, owing to pregnancy or parenting",200,4
2022,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Aged 19 to 21,Total,5040,100
2022,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Aged 19 to 21,"Total in education, employment or training",2860,57
2022,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Aged 19 to 21,Total information not known,460,9
2022,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Aged 19 to 21,"Total not in education, employment or training",1720,34
2022,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Aged 17 to 18,Education other than higher education,440,45
2022,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Aged 17 to 18,Higher education i.e. studies beyond A level,20,2
2022,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Aged 17 to 18,In an apprenticeship,30,3
2022,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Aged 17 to 18,In training or employment,z,z
2022,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Aged 17 to 18,In training or employment (excl. apprenticeship),180,19
2022,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Aged 17 to 18,"Not in education, training or employment, owing to illness or disability",40,4
2022,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Aged 17 to 18,"Not in education, training or employment, owing to other reasons",180,19
2022,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Aged 17 to 18,"Not in education, training or employment, owing to pregnancy or parenting",30,3
2022,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Aged 17 to 18,Total,970,100
2022,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Aged 17 to 18,"Total in education, employment or training",670,69
2022,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Aged 17 to 18,Total information not known,60,6
2022,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Aged 17 to 18,"Total not in education, employment or training",240,25
2022,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Aged 19 to 21,Education other than higher education,520,19
2022,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Aged 19 to 21,Higher education i.e. studies beyond A level,130,5
2022,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Aged 19 to 21,In an apprenticeship,60,2
2022,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Aged 19 to 21,In training or employment,z,z
2022,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Aged 19 to 21,In training or employment (excl. apprenticeship),830,30
2022,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Aged 19 to 21,"Not in education, training or employment, owing to illness or disability",320,11
2022,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Aged 19 to 21,"Not in education, training or employment, owing to other reasons",620,22
2022,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Aged 19 to 21,"Not in education, training or employment, owing to pregnancy or parenting",160,6
2022,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Aged 19 to 21,Total,2770,100
