time_period,time_identifier,geographic_level,country_code,country_name,cla_group,characteristic,reason_for_change,number,percentage
2022,Reporting year,National,E92000001,England,Age,16 years and over,Standards of care concern,120,1
2022,Reporting year,National,E92000001,England,Age,5 to 9 years,All Placements,7960,15
2022,Reporting year,National,E92000001,England,Age,5 to 9 years,Allegation (s47),100,1
2022,Reporting year,National,E92000001,England,Age,5 to 9 years,Approval removed,50,1
2022,Reporting year,National,E92000001,England,Age,5 to 9 years,Carer requests placement end other than due to child's behaviour,650,8
2022,Reporting year,National,E92000001,England,Age,5 to 9 years,Carer requests placement ends due to child's behaviour,660,8
2022,Reporting year,National,E92000001,England,Age,5 to 9 years,Change in the status of a placement only,1950,25
2022,Reporting year,National,E92000001,England,Age,5 to 9 years,Change to/Implementation of care plan,2750,35
2022,Reporting year,National,E92000001,England,Age,5 to 9 years,Child requests placement to end,40,k
2022,Reporting year,National,E92000001,England,Age,5 to 9 years,Custody,0,0
2022,Reporting year,National,E92000001,England,Age,5 to 9 years,Other,1450,18
2022,Reporting year,National,E92000001,England,Age,5 to 9 years,Resignation or closure of provision,60,1
2022,Reporting year,National,E92000001,England,Age,5 to 9 years,Responsible/Area authority requests placement to end,150,2
2022,Reporting year,National,E92000001,England,Age,5 to 9 years,Standards of care concern,100,1
2022,Reporting year,National,E92000001,England,Age,Total,All Placements,54620,100
2022,Reporting year,National,E92000001,England,Age,Total,Allegation (s47),460,1
2022,Reporting year,National,E92000001,England,Age,Total,Approval removed,250,k
2022,Reporting year,National,E92000001,England,Age,Total,Carer requests placement end other than due to child's behaviour,3440,6
2022,Reporting year,National,E92000001,England,Age,Total,Carer requests placement ends due to child's behaviour,5500,10
2022,Reporting year,National,E92000001,England,Age,Total,Change in the status of a placement only,9290,17
2022,Reporting year,National,E92000001,England,Age,Total,Change to/Implementation of care plan,19220,35
2022,Reporting year,National,E92000001,England,Age,Total,Child requests placement to end,2030,4
2022,Reporting year,National,E92000001,England,Age,Total,Custody,160,k
2022,Reporting year,National,E92000001,England,Age,Total,Other,12310,23
2022,Reporting year,National,E92000001,England,Age,Total,Resignation or closure of provision,400,1
2022,Reporting year,National,E92000001,England,Age,Total,Responsible/Area authority requests placement to end,920,2
2022,Reporting year,National,E92000001,England,Age,Total,Standards of care concern,630,1
2022,Reporting year,National,E92000001,England,Age,Under 1 year,All Placements,5060,9
2022,Reporting year,National,E92000001,England,Age,Under 1 year,Allegation (s47),20,k
2022,Reporting year,National,E92000001,England,Age,Under 1 year,Approval removed,20,k
2022,Reporting year,National,E92000001,England,Age,Under 1 year,Carer requests placement end other than due to child's behaviour,240,5
2022,Reporting year,National,E92000001,England,Age,Under 1 year,Carer requests placement ends due to child's behaviour,30,1
2022,Reporting year,National,E92000001,England,Age,Under 1 year,Change in the status of a placement only,840,17
2022,Reporting year,National,E92000001,England,Age,Under 1 year,Change to/Implementation of care plan,2640,52
2022,Reporting year,National,E92000001,England,Age,Under 1 year,Child requests placement to end,c,c
2022,Reporting year,National,E92000001,England,Age,Under 1 year,Custody,c,c
2022,Reporting year,National,E92000001,England,Age,Under 1 year,Other,1120,22
2022,Reporting year,National,E92000001,England,Age,Under 1 year,Resignation or closure of provision,20,k
2022,Reporting year,National,E92000001,England,Age,Under 1 year,Responsible/Area authority requests placement to end,80,1
2022,Reporting year,National,E92000001,England,Age,Under 1 year,Standards of care concern,50,1
2022,Reporting year,National,E92000001,England,Category of need,N1. Abuse or neglect,All Placements,35200,64
2022,Reporting year,National,E92000001,England,Category of need,N1. Abuse or neglect,Allegation (s47),330,1
2022,Reporting year,National,E92000001,England,Category of need,N1. Abuse or neglect,Approval removed,180,k
2022,Reporting year,National,E92000001,England,Category of need,N1. Abuse or neglect,Carer requests placement end other than due to child's behaviour,2390,7
2022,Reporting year,National,E92000001,England,Category of need,N1. Abuse or neglect,Carer requests placement ends due to child's behaviour,3500,10
2022,Reporting year,National,E92000001,England,Category of need,N1. Abuse or neglect,Change in the status of a placement only,6490,18
2022,Reporting year,National,E92000001,England,Category of need,N1. Abuse or neglect,Change to/Implementation of care plan,12380,35
2022,Reporting year,National,E92000001,England,Category of need,N1. Abuse or neglect,Child requests placement to end,1150,3
2022,Reporting year,National,E92000001,England,Category of need,N1. Abuse or neglect,Custody,80,k
2022,Reporting year,National,E92000001,England,Category of need,N1. Abuse or neglect,Other,7430,21
2022,Reporting year,National,E92000001,England,Category of need,N1. Abuse or neglect,Resignation or closure of provision,210,1
2022,Reporting year,National,E92000001,England,Category of need,N1. Abuse or neglect,Responsible/Area authority requests placement to end,610,2
2022,Reporting year,National,E92000001,England,Category of need,N1. Abuse or neglect,Standards of care concern,450,1
2022,Reporting year,National,E92000001,England,Category of need,N2. Child’s disability,All Placements,870,2
2022,Reporting year,National,E92000001,England,Category of need,N2. Child’s disability,Allegation (s47),c,c
2022,Reporting year,National,E92000001,England,Category of need,N2. Child’s disability,Approval removed,c,c
2022,Reporting year,National,E92000001,England,Category of need,N2. Child’s disability,Carer requests placement end other than due to child's behaviour,60,6
2022,Reporting year,National,E92000001,England,Category of need,N2. Child’s disability,Carer requests placement ends due to child's behaviour,130,15
2022,Reporting year,National,E92000001,England,Category of need,N2. Child’s disability,Change in the status of a placement only,130,15
2022,Reporting year,National,E92000001,England,Category of need,N2. Child’s disability,Change to/Implementation of care plan,250,28
2022,Reporting year,National,E92000001,England,Category of need,N2. Child’s disability,Child requests placement to end,20,2
2022,Reporting year,National,E92000001,England,Category of need,N2. Child’s disability,Custody,0,0
2022,Reporting year,National,E92000001,England,Category of need,N2. Child’s disability,Other,220,26
2022,Reporting year,National,E92000001,England,Category of need,N2. Child’s disability,Resignation or closure of provision,20,3
2022,Reporting year,National,E92000001,England,Category of need,N2. Child’s disability,Responsible/Area authority requests placement to end,10,1
2022,Reporting year,National,E92000001,England,Category of need,N2. Child’s disability,Standards of care concern,20,2
2022,Reporting year,National,E92000001,England,Category of need,N3. Parental illness or disability,All Placements,1340,2
2022,Reporting year,National,E92000001,England,Category of need,N3. Parental illness or disability,Allegation (s47),20,1
2022,Reporting year,National,E92000001,England,Category of need,N3. Parental illness or disability,Approval removed,c,c
2022,Reporting year,National,E92000001,England,Category of need,N3. Parental illness or disability,Carer requests placement end other than due to child's behaviour,90,7
2022,Reporting year,National,E92000001,England,Category of need,N3. Parental illness or disability,Carer requests placement ends due to child's behaviour,120,9
2022,Reporting year,National,E92000001,England,Category of need,N3. Parental illness or disability,Change in the status of a placement only,220,16
2022,Reporting year,National,E92000001,England,Category of need,N3. Parental illness or disability,Change to/Implementation of care plan,540,41
2022,Reporting year,National,E92000001,England,Category of need,N3. Parental illness or disability,Child requests placement to end,40,3
2022,Reporting year,National,E92000001,England,Category of need,N3. Parental illness or disability,Custody,c,c
2022,Reporting year,National,E92000001,England,Category of need,N3. Parental illness or disability,Other,230,17
2022,Reporting year,National,E92000001,England,Category of need,N3. Parental illness or disability,Resignation or closure of provision,20,1
2022,Reporting year,National,E92000001,England,Category of need,N3. Parental illness or disability,Responsible/Area authority requests placement to end,30,2
2022,Reporting year,National,E92000001,England,Category of need,N3. Parental illness or disability,Standards of care concern,30,2
2022,Reporting year,National,E92000001,England,Category of need,N4. Family in acute stress,All Placements,4650,9
2022,Reporting year,National,E92000001,England,Category of need,N4. Family in acute stress,Allegation (s47),50,1
2022,Reporting year,National,E92000001,England,Category of need,N4. Family in acute stress,Approval removed,10,k
2022,Reporting year,National,E92000001,England,Category of need,N4. Family in acute stress,Carer requests placement end other than due to child's behaviour,290,6
2022,Reporting year,National,E92000001,England,Category of need,N4. Family in acute stress,Carer requests placement ends due to child's behaviour,580,13
2022,Reporting year,National,E92000001,England,Category of need,N4. Family in acute stress,Change in the status of a placement only,640,14
2022,Reporting year,National,E92000001,England,Category of need,N4. Family in acute stress,Change to/Implementation of care plan,1460,31
2022,Reporting year,National,E92000001,England,Category of need,N4. Family in acute stress,Child requests placement to end,210,5
2022,Reporting year,National,E92000001,England,Category of need,N4. Family in acute stress,Custody,20,k
2022,Reporting year,National,E92000001,England,Category of need,N4. Family in acute stress,Other,1240,27
2022,Reporting year,National,E92000001,England,Category of need,N4. Family in acute stress,Resignation or closure of provision,40,1
2022,Reporting year,National,E92000001,England,Category of need,N4. Family in acute stress,Responsible/Area authority requests placement to end,70,1
2022,Reporting year,National,E92000001,England,Category of need,N4. Family in acute stress,Standards of care concern,40,1
2022,Reporting year,National,E92000001,England,Category of need,N5. Family dysfunction,All Placements,8020,15
2022,Reporting year,National,E92000001,England,Category of need,N5. Family dysfunction,Allegation (s47),50,1
2022,Reporting year,National,E92000001,England,Category of need,N5. Family dysfunction,Approval removed,50,1
2022,Reporting year,National,E92000001,England,Category of need,N5. Family dysfunction,Carer requests placement end other than due to child's behaviour,450,6
2022,Reporting year,National,E92000001,England,Category of need,N5. Family dysfunction,Carer requests placement ends due to child's behaviour,800,10
2022,Reporting year,National,E92000001,England,Category of need,N5. Family dysfunction,Change in the status of a placement only,1400,17
2022,Reporting year,National,E92000001,England,Category of need,N5. Family dysfunction,Change to/Implementation of care plan,2850,36
2022,Reporting year,National,E92000001,England,Category of need,N5. Family dysfunction,Child requests placement to end,310,4
2022,Reporting year,National,E92000001,England,Category of need,N5. Family dysfunction,Custody,30,k
2022,Reporting year,National,E92000001,England,Category of need,N5. Family dysfunction,Other,1800,23
2022,Reporting year,National,E92000001,England,Category of need,N5. Family dysfunction,Resignation or closure of provision,60,1
2022,Reporting year,National,E92000001,England,Category of need,N5. Family dysfunction,Responsible/Area authority requests placement to end,140,2
2022,Reporting year,National,E92000001,England,Category of need,N5. Family dysfunction,Standards of care concern,60,1
2022,Reporting year,National,E92000001,England,Category of need,N6. Socially unacceptable behaviour,All Placements,930,2
2022,Reporting year,National,E92000001,England,Category of need,N6. Socially unacceptable behaviour,Allegation (s47),c,c
2022,Reporting year,National,E92000001,England,Category of need,N6. Socially unacceptable behaviour,Approval removed,c,c
2022,Reporting year,National,E92000001,England,Category of need,N6. Socially unacceptable behaviour,Carer requests placement end other than due to child's behaviour,50,5
2022,Reporting year,National,E92000001,England,Category of need,N6. Socially unacceptable behaviour,Carer requests placement ends due to child's behaviour,150,16
2022,Reporting year,National,E92000001,England,Category of need,N6. Socially unacceptable behaviour,Change in the status of a placement only,80,9
2022,Reporting year,National,E92000001,England,Category of need,N6. Socially unacceptable behaviour,Change to/Implementation of care plan,300,32
2022,Reporting year,National,E92000001,England,Category of need,N6. Socially unacceptable behaviour,Child requests placement to end,40,4
2022,Reporting year,National,E92000001,England,Category of need,N6. Socially unacceptable behaviour,Custody,20,2
2022,Reporting year,National,E92000001,England,Category of need,N6. Socially unacceptable behaviour,Other,250,27
2022,Reporting year,National,E92000001,England,Category of need,N6. Socially unacceptable behaviour,Resignation or closure of provision,10,1
2022,Reporting year,National,E92000001,England,Category of need,N6. Socially unacceptable behaviour,Responsible/Area authority requests placement to end,20,2
2022,Reporting year,National,E92000001,England,Category of need,N6. Socially unacceptable behaviour,Standards of care concern,10,1
2022,Reporting year,National,E92000001,England,Category of need,N7. Low income,All Placements,50,k
2022,Reporting year,National,E92000001,England,Category of need,N7. Low income,Allegation (s47),0,0
2022,Reporting year,National,E92000001,England,Category of need,N7. Low income,Approval removed,0,0
2022,Reporting year,National,E92000001,England,Category of need,N7. Low income,Carer requests placement end other than due to child's behaviour,c,c
2022,Reporting year,National,E92000001,England,Category of need,N7. Low income,Carer requests placement ends due to child's behaviour,10,11
2022,Reporting year,National,E92000001,England,Category of need,N7. Low income,Change in the status of a placement only,10,15
2022,Reporting year,National,E92000001,England,Category of need,N7. Low income,Change to/Implementation of care plan,30,48
2022,Reporting year,National,E92000001,England,Category of need,N7. Low income,Child requests placement to end,c,c
2022,Reporting year,National,E92000001,England,Category of need,N7. Low income,Custody,0,0
2022,Reporting year,National,E92000001,England,Category of need,N7. Low income,Other,10,19
2022,Reporting year,National,E92000001,England,Category of need,N7. Low income,Resignation or closure of provision,0,0
2022,Reporting year,National,E92000001,England,Category of need,N7. Low income,Responsible/Area authority requests placement to end,c,c
2022,Reporting year,National,E92000001,England,Category of need,N7. Low income,Standards of care concern,0,0
2022,Reporting year,National,E92000001,England,Category of need,N8. Absent parenting,All Placements,3560,7
2022,Reporting year,National,E92000001,England,Category of need,N8. Absent parenting,Allegation (s47),10,k
2022,Reporting year,National,E92000001,England,Category of need,N8. Absent parenting,Approval removed,10,k
2022,Reporting year,National,E92000001,England,Category of need,N8. Absent parenting,Carer requests placement end other than due to child's behaviour,120,3
2022,Reporting year,National,E92000001,England,Category of need,N8. Absent parenting,Carer requests placement ends due to child's behaviour,220,6
2022,Reporting year,National,E92000001,England,Category of need,N8. Absent parenting,Change in the status of a placement only,330,9
2022,Reporting year,National,E92000001,England,Category of need,N8. Absent parenting,Change to/Implementation of care plan,1420,40
2022,Reporting year,National,E92000001,England,Category of need,N8. Absent parenting,Child requests placement to end,250,7
2022,Reporting year,National,E92000001,England,Category of need,N8. Absent parenting,Custody,c,c
2022,Reporting year,National,E92000001,England,Category of need,N8. Absent parenting,Other,1110,31
2022,Reporting year,National,E92000001,England,Category of need,N8. Absent parenting,Resignation or closure of provision,30,1
2022,Reporting year,National,E92000001,England,Category of need,N8. Absent parenting,Responsible/Area authority requests placement to end,40,1
2022,Reporting year,National,E92000001,England,Category of need,N8. Absent parenting,Standards of care concern,30,1
2022,Reporting year,National,E92000001,England,Category of need,Total,All Placements,54620,100
2022,Reporting year,National,E92000001,England,Category of need,Total,Allegation (s47),460,1
2022,Reporting year,National,E92000001,England,Category of need,Total,Approval removed,250,k
2022,Reporting year,National,E92000001,England,Category of need,Total,Carer requests placement end other than due to child's behaviour,3440,6
2022,Reporting year,National,E92000001,England,Category of need,Total,Carer requests placement ends due to child's behaviour,5500,10
2022,Reporting year,National,E92000001,England,Category of need,Total,Change in the status of a placement only,9290,17
2022,Reporting year,National,E92000001,England,Category of need,Total,Change to/Implementation of care plan,19220,35
2022,Reporting year,National,E92000001,England,Category of need,Total,Child requests placement to end,2030,4
2022,Reporting year,National,E92000001,England,Category of need,Total,Custody,160,k
2022,Reporting year,National,E92000001,England,Category of need,Total,Other,12310,23
2022,Reporting year,National,E92000001,England,Category of need,Total,Resignation or closure of provision,400,1
2022,Reporting year,National,E92000001,England,Category of need,Total,Responsible/Area authority requests placement to end,920,2
2022,Reporting year,National,E92000001,England,Category of need,Total,Standards of care concern,630,1
2022,Reporting year,National,E92000001,England,Duration of Placement,1. Under 2 weeks,All Placements,9190,17
2022,Reporting year,National,E92000001,England,Duration of Placement,1. Under 2 weeks,Allegation (s47),40,k
2022,Reporting year,National,E92000001,England,Duration of Placement,1. Under 2 weeks,Approval removed,40,k
2022,Reporting year,National,E92000001,England,Duration of Placement,1. Under 2 weeks,Carer requests placement end other than due to child's behaviour,570,6
2022,Reporting year,National,E92000001,England,Duration of Placement,1. Under 2 weeks,Carer requests placement ends due to child's behaviour,640,7
2022,Reporting year,National,E92000001,England,Duration of Placement,1. Under 2 weeks,Change in the status of a placement only,1040,11
2022,Reporting year,National,E92000001,England,Duration of Placement,1. Under 2 weeks,Change to/Implementation of care plan,3550,39
2022,Reporting year,National,E92000001,England,Duration of Placement,1. Under 2 weeks,Child requests placement to end,180,2
2022,Reporting year,National,E92000001,England,Duration of Placement,1. Under 2 weeks,Custody,20,k
2022,Reporting year,National,E92000001,England,Duration of Placement,1. Under 2 weeks,Other,2890,31
2022,Reporting year,National,E92000001,England,Duration of Placement,1. Under 2 weeks,Resignation or closure of provision,20,k
2022,Reporting year,National,E92000001,England,Duration of Placement,1. Under 2 weeks,Responsible/Area authority requests placement to end,160,2
2022,Reporting year,National,E92000001,England,Duration of Placement,1. Under 2 weeks,Standards of care concern,50,1
2022,Reporting year,National,E92000001,England,Duration of Placement,2. From 2 weeks to under 8 weeks,All Placements,9050,17
2022,Reporting year,National,E92000001,England,Duration of Placement,2. From 2 weeks to under 8 weeks,Allegation (s47),70,1
2022,Reporting year,National,E92000001,England,Duration of Placement,2. From 2 weeks to under 8 weeks,Approval removed,50,1
2022,Reporting year,National,E92000001,England,Duration of Placement,2. From 2 weeks to under 8 weeks,Carer requests placement end other than due to child's behaviour,670,7
2022,Reporting year,National,E92000001,England,Duration of Placement,2. From 2 weeks to under 8 weeks,Carer requests placement ends due to child's behaviour,1070,12
2022,Reporting year,National,E92000001,England,Duration of Placement,2. From 2 weeks to under 8 weeks,Change in the status of a placement only,1090,12
2022,Reporting year,National,E92000001,England,Duration of Placement,2. From 2 weeks to under 8 weeks,Change to/Implementation of care plan,3210,35
2022,Reporting year,National,E92000001,England,Duration of Placement,2. From 2 weeks to under 8 weeks,Child requests placement to end,350,4
2022,Reporting year,National,E92000001,England,Duration of Placement,2. From 2 weeks to under 8 weeks,Custody,40,k
2022,Reporting year,National,E92000001,England,Duration of Placement,2. From 2 weeks to under 8 weeks,Other,2230,25
2022,Reporting year,National,E92000001,England,Duration of Placement,2. From 2 weeks to under 8 weeks,Resignation or closure of provision,60,1
2022,Reporting year,National,E92000001,England,Duration of Placement,2. From 2 weeks to under 8 weeks,Responsible/Area authority requests placement to end,120,1
2022,Reporting year,National,E92000001,England,Duration of Placement,2. From 2 weeks to under 8 weeks,Standards of care concern,90,1
2022,Reporting year,National,E92000001,England,Duration of Placement,3. From 8 weeks to under 6 months,All Placements,13220,24
2022,Reporting year,National,E92000001,England,Duration of Placement,3. From 8 weeks to under 6 months,Allegation (s47),100,1
2022,Reporting year,National,E92000001,England,Duration of Placement,3. From 8 weeks to under 6 months,Approval removed,80,1
2022,Reporting year,National,E92000001,England,Duration of Placement,3. From 8 weeks to under 6 months,Carer requests placement end other than due to child's behaviour,890,7
2022,Reporting year,National,E92000001,England,Duration of Placement,3. From 8 weeks to under 6 months,Carer requests placement ends due to child's behaviour,1570,12
2022,Reporting year,National,E92000001,England,Duration of Placement,3. From 8 weeks to under 6 months,Change in the status of a placement only,2200,17
2022,Reporting year,National,E92000001,England,Duration of Placement,3. From 8 weeks to under 6 months,Change to/Implementation of care plan,4300,33
2022,Reporting year,National,E92000001,England,Duration of Placement,3. From 8 weeks to under 6 months,Child requests placement to end,550,4
2022,Reporting year,National,E92000001,England,Duration of Placement,3. From 8 weeks to under 6 months,Custody,70,1
2022,Reporting year,National,E92000001,England,Duration of Placement,3. From 8 weeks to under 6 months,Other,2910,22
2022,Reporting year,National,E92000001,England,Duration of Placement,3. From 8 weeks to under 6 months,Resignation or closure of provision,100,1
2022,Reporting year,National,E92000001,England,Duration of Placement,3. From 8 weeks to under 6 months,Responsible/Area authority requests placement to end,250,2
2022,Reporting year,National,E92000001,England,Duration of Placement,3. From 8 weeks to under 6 months,Standards of care concern,200,2
2022,Reporting year,National,E92000001,England,Duration of Placement,4. From 6 months to under 1 year,All Placements,9220,17
2022,Reporting year,National,E92000001,England,Duration of Placement,4. From 6 months to under 1 year,Allegation (s47),70,1
2022,Reporting year,National,E92000001,England,Duration of Placement,4. From 6 months to under 1 year,Approval removed,50,k
2022,Reporting year,National,E92000001,England,Duration of Placement,4. From 6 months to under 1 year,Carer requests placement end other than due to child's behaviour,560,6
2022,Reporting year,National,E92000001,England,Duration of Placement,4. From 6 months to under 1 year,Carer requests placement ends due to child's behaviour,920,10
2022,Reporting year,National,E92000001,England,Duration of Placement,4. From 6 months to under 1 year,Change in the status of a placement only,1460,16
2022,Reporting year,National,E92000001,England,Duration of Placement,4. From 6 months to under 1 year,Change to/Implementation of care plan,3510,38
2022,Reporting year,National,E92000001,England,Duration of Placement,4. From 6 months to under 1 year,Child requests placement to end,360,4
2022,Reporting year,National,E92000001,England,Duration of Placement,4. From 6 months to under 1 year,Custody,20,k
2022,Reporting year,National,E92000001,England,Duration of Placement,4. From 6 months to under 1 year,Other,1890,21
2022,Reporting year,National,E92000001,England,Duration of Placement,4. From 6 months to under 1 year,Resignation or closure of provision,90,1
2022,Reporting year,National,E92000001,England,Duration of Placement,4. From 6 months to under 1 year,Responsible/Area authority requests placement to end,180,2
2022,Reporting year,National,E92000001,England,Duration of Placement,4. From 6 months to under 1 year,Standards of care concern,120,1
2022,Reporting year,National,E92000001,England,Duration of Placement,5. From 1 year to under 2 years,All Placements,7980,15
2022,Reporting year,National,E92000001,England,Duration of Placement,5. From 1 year to under 2 years,Allegation (s47),80,1
2022,Reporting year,National,E92000001,England,Duration of Placement,5. From 1 year to under 2 years,Approval removed,30,k
2022,Reporting year,National,E92000001,England,Duration of Placement,5. From 1 year to under 2 years,Carer requests placement end other than due to child's behaviour,430,5
2022,Reporting year,National,E92000001,England,Duration of Placement,5. From 1 year to under 2 years,Carer requests placement ends due to child's behaviour,680,8
2022,Reporting year,National,E92000001,England,Duration of Placement,5. From 1 year to under 2 years,Change in the status of a placement only,1750,22
2022,Reporting year,National,E92000001,England,Duration of Placement,5. From 1 year to under 2 years,Change to/Implementation of care plan,3030,38
2022,Reporting year,National,E92000001,England,Duration of Placement,5. From 1 year to under 2 years,Child requests placement to end,280,4
2022,Reporting year,National,E92000001,England,Duration of Placement,5. From 1 year to under 2 years,Custody,10,k
2022,Reporting year,National,E92000001,England,Duration of Placement,5. From 1 year to under 2 years,Other,1390,17
2022,Reporting year,National,E92000001,England,Duration of Placement,5. From 1 year to under 2 years,Resignation or closure of provision,90,1
2022,Reporting year,National,E92000001,England,Duration of Placement,5. From 1 year to under 2 years,Responsible/Area authority requests placement to end,130,2
2022,Reporting year,National,E92000001,England,Duration of Placement,5. From 1 year to under 2 years,Standards of care concern,90,1
2022,Reporting year,National,E92000001,England,Duration of Placement,6. From 2 years to under 3 years,All Placements,2950,5
2022,Reporting year,National,E92000001,England,Duration of Placement,6. From 2 years to under 3 years,Allegation (s47),40,1
2022,Reporting year,National,E92000001,England,Duration of Placement,6. From 2 years to under 3 years,Approval removed,10,k
2022,Reporting year,National,E92000001,England,Duration of Placement,6. From 2 years to under 3 years,Carer requests placement end other than due to child's behaviour,150,5
2022,Reporting year,National,E92000001,England,Duration of Placement,6. From 2 years to under 3 years,Carer requests placement ends due to child's behaviour,300,10
2022,Reporting year,National,E92000001,England,Duration of Placement,6. From 2 years to under 3 years,Change in the status of a placement only,810,27
2022,Reporting year,National,E92000001,England,Duration of Placement,6. From 2 years to under 3 years,Change to/Implementation of care plan,930,32
2022,Reporting year,National,E92000001,England,Duration of Placement,6. From 2 years to under 3 years,Child requests placement to end,150,5
2022,Reporting year,National,E92000001,England,Duration of Placement,6. From 2 years to under 3 years,Custody,0,0
2022,Reporting year,National,E92000001,England,Duration of Placement,6. From 2 years to under 3 years,Other,460,16
2022,Reporting year,National,E92000001,England,Duration of Placement,6. From 2 years to under 3 years,Resignation or closure of provision,30,1
2022,Reporting year,National,E92000001,England,Duration of Placement,6. From 2 years to under 3 years,Responsible/Area authority requests placement to end,40,1
2022,Reporting year,National,E92000001,England,Duration of Placement,6. From 2 years to under 3 years,Standards of care concern,40,1
2022,Reporting year,National,E92000001,England,Duration of Placement,7. From 3 years to under 5 years,All Placements,1990,4
2022,Reporting year,National,E92000001,England,Duration of Placement,7. From 3 years to under 5 years,Allegation (s47),40,2
2022,Reporting year,National,E92000001,England,Duration of Placement,7. From 3 years to under 5 years,Approval removed,c,c
2022,Reporting year,National,E92000001,England,Duration of Placement,7. From 3 years to under 5 years,Carer requests placement end other than due to child's behaviour,110,6
2022,Reporting year,National,E92000001,England,Duration of Placement,7. From 3 years to under 5 years,Carer requests placement ends due to child's behaviour,200,10
2022,Reporting year,National,E92000001,England,Duration of Placement,7. From 3 years to under 5 years,Change in the status of a placement only,620,31
2022,Reporting year,National,E92000001,England,Duration of Placement,7. From 3 years to under 5 years,Change to/Implementation of care plan,480,24
2022,Reporting year,National,E92000001,England,Duration of Placement,7. From 3 years to under 5 years,Child requests placement to end,100,5
2022,Reporting year,National,E92000001,England,Duration of Placement,7. From 3 years to under 5 years,Custody,0,0
2022,Reporting year,National,E92000001,England,Duration of Placement,7. From 3 years to under 5 years,Other,360,18
2022,Reporting year,National,E92000001,England,Duration of Placement,7. From 3 years to under 5 years,Resignation or closure of provision,10,1
2022,Reporting year,National,E92000001,England,Duration of Placement,7. From 3 years to under 5 years,Responsible/Area authority requests placement to end,20,1
2022,Reporting year,National,E92000001,England,Duration of Placement,7. From 3 years to under 5 years,Standards of care concern,40,2
2022,Reporting year,National,E92000001,England,Duration of Placement,8. From 5 years to under 10 years,All Placements,910,2
