"","Web.link","URN","Linked.Education.URN","Provision.type","Registration.date","Registration.status","Name","Address.1","Address.2","Town","County","Postcode","Ofsted.region","Government.Office.Region","Local.authority","Parliamentary.constituency","Sector","Places","Short.break.only.children.s.home","Multi.building.children.s.home","Organisation.which.owns.the.provider","Latest.full.inspection.event.type","Latest.full.inspection.date","Latest.full.inspection.publication.date","Latest.full.inspection.event.number","Overall.experiences.and.progress.of.children.and.young.people","Outcomes.in.education.and.related.learning.activities","Health.services","How.well.children.and.young.people.are.helped.and.protected","The.effectiveness.of.leaders.and.managers","X","X.1"
"34","Ofsted Social Care Provider Webpage","2661513",NA,"Children's home","22/02/2022","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","East Midlands","East Midlands","Leicestershire","Loughborough","Private",1,"","","Almond Care Children's Services Limited","Full inspection","13/09/2022","13/10/2022",10237500,"Good","","","Good","Good",NA,NA
"35","Ofsted Social Care Provider Webpage","2662265",NA,"Children's home","25/11/2021","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","North East, Yorkshire and the Humber","Yorkshire and The Humber","Rotherham","Wentworth and Dearne","Local Authority",2,"","","Rotherham Metropolitan Borough Council","Full inspection","25/05/2022","12/07/2022",10225266,"Good","","","Good","Good",NA,NA
"36","Ofsted Social Care Provider Webpage","2663221",NA,"Children's home","31/01/2022","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","North West","North West","Lancashire","Preston","Private",2,"","","Holywell Children's Services Limited","Full inspection","30/11/2022","18/01/2023",10237378,"Good","","","Good","Good",NA,NA
"37","Ofsted Social Care Provider Webpage","2663883",NA,"Children's home","07/07/2022","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","North East, Yorkshire and the Humber","Yorkshire and The Humber","Sheffield","Sheffield Central","Private",4,"","","Progressive Care Limited","Full inspection","06/12/2022","30/01/2023",10246787,"Requires improvement to be good","","","Requires improvement to be good","Requires improvement to be good",NA,NA
"38","Ofsted Social Care Provider Webpage","2503598",NA,"Children's home","20/03/2019","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","West Midlands","West Midlands","Birmingham","Birmingham, Perry Barr","Private",5,"","","Aston Children's Care Ltd","Full inspection","24/08/2022","13/10/2022",10250015,"Good","","","Good","Requires improvement to be good",NA,NA
"39","Ofsted Social Care Provider Webpage","2505378",NA,"Children's home","19/01/2019","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","East Midlands","East Midlands","Lincolnshire","Sleaford and North Hykeham","Private",3,"","","Esland North Limited","Full inspection","06/02/2023","14/03/2023",10224415,"Good","","","Good","Good",NA,NA
"40","Ofsted Social Care Provider Webpage","2612063",NA,"Children's home","17/12/2020","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","London","London","Brent","Brent Central","Private",4,"","","Blossom Children's Homes Limited","Full inspection","11/01/2023","08/03/2023",10224975,"Good","","","Good","Good",NA,NA
"41","Ofsted Social Care Provider Webpage","SC457254",NA,"Children's home","13/12/2012","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","North West","North West","Cumbria","Carlisle","Private",5,"","","North Lakes Children's Service Limited","Full inspection","10/01/2023","13/02/2023",10223520,"Good","","","Good","Good",NA,NA
"42","Ofsted Social Care Provider Webpage","SC457423",NA,"Children's home","14/02/2013","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","East of England","East of England","Central Bedfordshire","South West Bedfordshire","Voluntary",5,"","","MacIntyre Care","Full inspection","10/01/2023","08/02/2023",10223526,"Good","","","Good","Good",NA,NA
"43","Ofsted Social Care Provider Webpage","SC460063",NA,"Children's home","11/03/2013","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","North East, Yorkshire and the Humber","Yorkshire and The Humber","East Riding of Yorkshire","Brigg and Goole","Private",5,"","","Cambian Childcare Ltd","Full inspection","01/02/2023","20/03/2023",10223552,"Good","","","Good","Good",NA,NA
"44","Ofsted Social Care Provider Webpage","SC461846",NA,"Children's home","25/04/2013","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","East of England","East of England","Essex","Harwich and North Essex","Private",6,"","","Pathways Care Group","Full inspection","05/05/2022","16/06/2022",10223561,"Requires improvement to be good","","","Requires improvement to be good","Requires improvement to be good",NA,NA
"45","Ofsted Social Care Provider Webpage","1269421",NA,"Children's home","23/01/2018","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","East Midlands","East Midlands","Derbyshire","North East Derbyshire","Private",3,"","","Aspris Children's Services Limited","Full inspection","13/03/2023","25/04/2023",10224247,"Good","","","Good","Good",NA,NA
"46","Ofsted Social Care Provider Webpage","1270002",NA,"Children's home","22/05/2018","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","North West","North West","Liverpool","Garston and Halewood","Private",2,"","","Garway Young People Ltd","Full inspection","07/09/2022","12/10/2022",10224251,"Good","","","Good","Good",NA,NA
"47","Ofsted Social Care Provider Webpage","1270298",NA,"Children's home","22/05/2018","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","West Midlands","West Midlands","Staffordshire","South Staffordshire","Private",4,"","","Nurture Me Psychological Services Limited","Full inspection","20/07/2021","27/08/2021",10186487,"Outstanding","","","Outstanding","Outstanding",NA,NA
"48","Ofsted Social Care Provider Webpage","1270767",NA,"Children's home","16/02/2018","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","East Midlands","East Midlands","Nottinghamshire","Newark","Voluntary",4,"","","K & G Care Ltd","Full inspection","04/01/2023","03/02/2023",10224259,"Good","","","Good","Good",NA,NA
"49","Ofsted Social Care Provider Webpage","SC443959",NA,"Children's home","03/05/2012","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","North West","North West","Lancashire","Preston","Private",8,"","","Aspris New Education Services Limited","Full inspection","02/03/2023","26/04/2023",10223426,"Outstanding","","","Outstanding","Outstanding",NA,NA
"50","Ofsted Social Care Provider Webpage","SC414738",NA,"Children's home","15/11/2010","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","South East","South East","Milton Keynes","Milton Keynes North","Private",4,"","","Benjamin UK Ltd","Full inspection","06/12/2022","08/03/2023",10223283,"Good","","","Good","Good",NA,NA
"51","Ofsted Social Care Provider Webpage","SC416464",NA,"Children's home","11/01/2011","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","North West","North West","Rochdale","Rochdale","Private",3,"","","Meadows Care Limited","Full inspection","25/01/2022","02/03/2022",10186452,"Good","","","Good","Good",NA,NA
"52","Ofsted Social Care Provider Webpage","SC418605",NA,"Children's home","21/02/2011","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","North East, Yorkshire and the Humber","North East","Durham","Bishop Auckland","Private",3,"","","Pear Tree Projects Limited","Full inspection","16/02/2022","04/04/2022",10186040,"Good","","","Good","Requires improvement to be good",NA,NA
"53","Ofsted Social Care Provider Webpage","SC403905",NA,"Children's home","21/04/2010","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","South East","South East","Kent","North Thanet","Private",5,"","","Rubicon Children and Family Services Ltd","Full inspection","28/02/2023","19/04/2023",10223224,"Good","","","Good","Good",NA,NA
"54","Ofsted Social Care Provider Webpage","SC035969",NA,"Children's home","12/09/2003","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","North West","North West","Liverpool","Liverpool, Wavertree","Local Authority",7,"Short-break-only children's home","","Liverpool City Council","Full inspection","14/03/2022","10/05/2022",10186763,"Good","","","Good","Outstanding",NA,NA
"55","Ofsted Social Care Provider Webpage","SC035971",NA,"Children's home","27/01/2003","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","North West","North West","St Helens","St Helens North","Local Authority",4,"Short-break-only children's home","","St Helens Metropolitan Borough Council","Full inspection","07/09/2021","14/10/2021",10185059,"Outstanding","","","Outstanding","Outstanding",NA,NA
"56","Ofsted Social Care Provider Webpage","SC036186",NA,"Children's home","11/12/2003","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","East Midlands","East Midlands","Derbyshire","Chesterfield","Local Authority",8,"Short-break-only children's home","","Derbyshire County Council","Full inspection","11/01/2022","18/02/2022",10187111,"Outstanding","","","Outstanding","Outstanding",NA,NA
"57","Ofsted Social Care Provider Webpage","SC036304",NA,"Children's home","25/03/2003","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","North West","North West","Sefton","Southport","Local Authority",2,"","","Sefton Metropolitan Borough Council","Full inspection","22/06/2021","26/07/2021",10185457,"Inadequate","","","Inadequate","Inadequate",NA,NA
"58","Ofsted Social Care Provider Webpage","2650952",NA,"Children's home","01/10/2021","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","East Midlands","East Midlands","Nottingham","Nottingham South","Private",4,"","","Procure Care Providers Limited","Full inspection","02/08/2022","21/09/2022",10225222,"Good","","","Good","Good",NA,NA
"59","Ofsted Social Care Provider Webpage","2651807",NA,"Children's home","28/09/2021","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","North West","North West","Cheshire West and Chester","City of Chester","Private",4,"","","Phoenix Care & Education Ltd","Full inspection","07/02/2023","17/03/2023",10225230,"Good","","","Good","Good",NA,NA
"60","Ofsted Social Care Provider Webpage","2653207",NA,"Children's home","27/10/2021","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","North West","North West","Wigan","Makerfield","Private",1,"","","All Round Care Ltd","Full inspection","13/09/2022","24/10/2022",10225239,"Requires improvement to be good","","","Requires improvement to be good","Requires improvement to be good",NA,NA
"61","Ofsted Social Care Provider Webpage","2656194",NA,"Children's home","11/02/2022","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","West Midlands","West Midlands","Wolverhampton","Wolverhampton South East","Private",5,"","","Care Perspectives Limited","Full inspection","21/09/2022","24/10/2022",10238624,"Good","","","Good","Good",NA,NA
"62","Ofsted Social Care Provider Webpage","2656689",NA,"Children's home","22/11/2021","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","West Midlands","West Midlands","Staffordshire","South Staffordshire","Private",3,"","","Ash House Care LTD","Full inspection","20/09/2022","25/10/2022",10225253,"Good","","","Good","Good",NA,NA
"63","Ofsted Social Care Provider Webpage","2664826",NA,"Children's home","02/03/2022","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","North West","North West","Manchester","Wythenshawe and Sale East","Private",4,"","","Family Care Associates Limited","Full inspection","18/10/2022","21/11/2022",10237377,"Good","","","Good","Requires improvement to be good",NA,NA
"64","Ofsted Social Care Provider Webpage","SC035339",NA,"Children's home","22/01/2004","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","North West","North West","Oldham","Oldham West and Royton","Local Authority",7,"","","Oldham Metropolitan Borough Council","Full inspection","28/06/2022","05/09/2022",10222670,"Good","","","Good","Requires improvement to be good",NA,NA
"65","Ofsted Social Care Provider Webpage","SC035492",NA,"Children's home","28/10/2003","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","North West","North West","Oldham","Ashton-under-Lyne","Local Authority",4,"","","Oldham Metropolitan Borough Council","Full inspection","15/11/2022","04/01/2023",10222678,"Good","","","Good","Good",NA,NA
"66","Ofsted Social Care Provider Webpage","SC061232",NA,"Children's home","07/06/2004","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","South West","South West","Bristol","Bristol South","Local Authority",5,"","","Bristol City Council","Full inspection","04/01/2023","17/02/2023",10222853,"Requires improvement to be good","","","Requires improvement to be good","Requires improvement to be good",NA,NA
"67","Ofsted Social Care Provider Webpage","SC431192",NA,"Children's home","26/07/2011","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","North West","North West","Sefton","Bootle","Private",4,"","","Independent Living Services (North West) Limited","Full inspection","26/04/2022","14/06/2022",10223359,"Requires improvement to be good","","","Requires improvement to be good","Requires improvement to be good",NA,NA
"68","Ofsted Social Care Provider Webpage","SC432404",NA,"Children's home","08/09/2011","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","South West","South West","Cornwall","Camborne and Redruth","Health Authority",2,"Short-break-only children's home","","Cornwall Partnership NHS Foundation Trust","Full inspection","17/01/2023","02/03/2023",10223371,"Good","","","Good","Good",NA,NA
"69","Ofsted Social Care Provider Webpage","SC434223",NA,"Children's home","22/08/2011","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","West Midlands","West Midlands","Worcestershire","Mid Worcestershire","Private",2,"","","Keys Specialist Residential Children's Services Ltd","Full inspection","06/03/2023","26/04/2023",10223378,"Good","","","Good","Good",NA,NA
"70","Ofsted Social Care Provider Webpage","SC434806",NA,"Children's home","15/09/2011","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","East Midlands","East Midlands","Leicestershire","North West Leicestershire","Private",3,"","","Cambian Childcare Ltd","Full inspection","11/05/2022","30/06/2022",10223382,"Good","","","Good","Outstanding",NA,NA
"71","Ofsted Social Care Provider Webpage","SC442401",NA,"Children's home","15/03/2012","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","North West","North West","Lancashire","Pendle","Private",5,"","","ROC Northwest Limited ","Full inspection","28/02/2023","04/04/2023",10223416,"Good","","","Good","Good",NA,NA
"72","Ofsted Social Care Provider Webpage","SC442886",NA,"Children's home","15/03/2012","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","North East, Yorkshire and the Humber","North East","Stockton-on-Tees","Stockton North","Local Authority",4,"","","Stockton On Tees Borough Council","Full inspection","04/01/2023","10/02/2023",10223421,"Requires improvement to be good","","","Requires improvement to be good","Requires improvement to be good",NA,NA
"73","Ofsted Social Care Provider Webpage","SC473877",NA,"Children's home","28/03/2014","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","South East","South East","Kent","North Thanet","Private",2,"","","Pilgrims Corner Limited","Full inspection","08/02/2023","20/03/2023",10223649,"Good","","","Good","Good",NA,NA
"74","Ofsted Social Care Provider Webpage","SC475697",NA,"Children's home","08/05/2014","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","North West","North West","Lancashire","Morecambe and Lunesdale","Private",7,"","","Witherslack Group Ltd","Full inspection","22/02/2023","06/04/2023",10223663,"Good","","","Good","Requires improvement to be good",NA,NA
"75","Ofsted Social Care Provider Webpage","SC477031",NA,"Children's home","24/06/2014","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","North East, Yorkshire and the Humber","North East","Stockton-on-Tees","Stockton North","Private",5,"","","Spark Of Genius North East Llp","Full inspection","08/06/2022","02/08/2022",10223694,"Requires improvement to be good","","","Requires improvement to be good","Requires improvement to be good",NA,NA
"76","Ofsted Social Care Provider Webpage","SC480847",NA,"Children's home","01/12/2014","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","North East, Yorkshire and the Humber","Yorkshire and The Humber","East Riding of Yorkshire","Beverley and Holderness","Private",4,"","","Hexagon Care Services Ltd","Full inspection","09/02/2022","01/04/2022",10187102,"Good","","","Requires improvement to be good","Good",NA,NA
