Table LA5: Substance misuse by children who had been looked after continuously for at least 12 months1,,,,,,,,,,,,,,,,,,
Years: 2014,,,,,,,,,,,,,,,,,,
Coverage: England,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Number of children looked after at 31 March who had been looked after for at least 12 months1,,Number identified as having a substance misuse problem during the year2,Number who received an intervention for their substance misuse problem during the year3,Number who were offered an intervention but who refused it during the year4,,Percentage identified as having a substance misuse problem during the year2,,,,,,,,,,,
Wigan,375,,10,10,x,,2.9,,,,,,,,,,,
Wirral,520,,15,10,5,,2.7,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
YORKSHIRE AND THE HUMBER,"5,470",,90,30,40,,1.7,,,,,,,,,,,
Barnsley,160,,x,x,x,,x,,,,,,,,,,,
Bradford,665,,x,x,x,,x,,,,,,,,,,,
Calderdale,270,,x,x,x,,x,,,,,,,,,,,
Doncaster,340,,x,x,x,,x,,,,,,,,,,,
East Riding of Yorkshire,230,,x,x,x,,x,,,,,,,,,,,
"Kingston Upon Hull, City of",495,,10,x,10,,2.4,,,,,,,,,,,
Kirklees,465,,20,x,x,,4.1,,,,,,,,,,,
Leeds,"1,025",,x,x,x,,x,,,,,,,,,,,
North East Lincolnshire,135,,x,x,x,,x,,,,,,,,,,,
North Lincolnshire,110,,5,5,x,,6.3,,,,,,,,,,,
North Yorkshire,365,,x,x,x,,x,,,,,,,,,,,
Rotherham,305,,10,x,10,,4.0,,,,,,,,,,,
Sheffield,380,,5,x,x,,1.6,,,,,,,,,,,
Wakefield,335,,10,5,x,,3.0,,,,,,,,,,,
York,185,,10,x,x,,4.4,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
EAST MIDLANDS,"3,350",,110,60,50,,3.3,,,,,,,,,,,
Derby,340,,x,x,x,,x,,,,,,,,,,,
Derbyshire,445,,30,25,5,,7.2,,,,,,,,,,,
Leicester,375,,10,5,x,,2.1,,,,,,,,,,,
Leicestershire,280,,20,10,10,,7.2,,,,,,,,,,,
Lincolnshire,410,,x,x,x,,x,,,,,,,,,,,
Northamptonshire,505,,15,x,5,,3.0,,,,,,,,,,,
Nottingham,405,,25,x,25,,6.7,,,,,,,,,,,
Nottinghamshire,575,,x,x,x,,x,,,,,,,,,,,
Rutland,25,,x,x,x,,x,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
WEST MIDLANDS,"6,560",,190,80,90,,2.9,,,,,,,,,,,
Birmingham,"1,370",,30,15,15,,2.2,,,,,,,,,,,
Coventry,420,,5,x,x,,1.4,,,,,,,,,,,
Dudley,625,,20,10,10,,3.5,,,,,,,,,,,
Herefordshire,155,,x,x,x,,x,,,,,,,,,,,
Sandwell,450,,10,10,x,,2.4,,,,,,,,,,,
Shropshire,185,,x,x,x,,x,,,,,,,,,,,
Solihull,230,,15,10,5,,6.9,,,,,,,,,,,
Staffordshire,660,,25,10,15,,4.1,,,,,,,,,,,
Stoke-on-Trent,360,,25,10,15,,6.7,,,,,,,,,,,
Telford and Wrekin,235,,15,x,10,,6.0,,,,,,,,,,,
Walsall,450,,10,5,x,,2.0,,,,,,,,,,,
Warwickshire,450,,x,x,x,,x,,,,,,,,,,,
Wolverhampton,515,,x,x,x,,x,,,,,,,,,,,
Worcestershire,455,,20,5,10,,4.9,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
EAST OF ENGLAND,"4,370",,100,60,40,,2.3,,,,,,,,,,,
Bedford Borough,180,,x,x,x,,x,,,,,,,,,,,
Central Bedfordshire,170,,15,10,x,,8.8,,,,,,,,,,,
Cambridgeshire,335,,x,x,x,,x,,,,,,,,,,,
Essex,870,,40,15,25,,4.4,,,,,,,,,,,
Hertfordshire,660,,25,20,x,,3.9,,,,,,,,,,,
Luton,280,,x,x,x,,x,,,,,,,,,,,
Norfolk,770,,x,x,x,,x,,,,,,,,,,,
Peterborough,245,,x,x,x,,x,,,,,,,,,,,
Southend-on-Sea,165,,5,5,x,,4.2,,,,,,,,,,,
Suffolk,500,,5,x,x,,1.2,,,,,,,,,,,
Thurrock,190,,x,x,x,,x,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
LONDON,"6,550",,400,250,110,,6.1,,,,,,,,,,,
INNER LONDON,"2,920",,170,130,30,,5.8,,,,,,,,,,,
Camden,160,,10,10,x,,7.4,,,,,,,,,,,
City of London,5,,x,x,x,,x,,,,,,,,,,,
Hackney,225,,15,5,x,,7.6,,,,,,,,,,,
Hammersmith and Fulham,135,,x,x,x,,x,,,,,,,,,,,
Haringey,365,,x,x,x,,x,,,,,,,,,,,
Islington,200,,45,45,x,,23.3,,,,,,,,,,,
Kensington and Chelsea,55,,x,x,x,,x,,,,,,,,,,,
Lambeth,330,,35,20,15,,11.0,,,,,,,,,,,
Lewisham,340,,15,15,x,,3.8,,,,,,,,,,,
Newham,255,,x,x,x,,x,,,,,,,,,,,
Southwark,380,,10,x,10,,2.6,,,,,,,,,,,
Tower Hamlets,205,,10,10,x,,4.4,,,,,,,,,,,
Wandsworth,130,,x,x,x,,x,,,,,,,,,,,
Westminster,125,,15,15,x,,11.2,,,,,,,,,,,
OUTER LONDON,"3,620",,230,130,80,,6.2,,,,,,,,,,,
Barking and Dagenham,260,,x,x,x,,x,,,,,,,,,,,
Barnet,205,,x,x,x,,x,,,,,,,,,,,
Bexley,150,,x,x,x,,x,,,,,,,,,,,
Brent,215,,75,65,10,,35.6,,,,,,,,,,,
Bromley,180,,10,5,x,,4.4,,,,,,,,,,,
Croydon,465,,40,15,20,,8.8,,,,,,,,,,,
Ealing,255,,x,x,x,,x,,,,,,,,,,,
Enfield,200,,15,10,x,,8.5,,,,,,,,,,,
Greenwich,395,,15,10,5,,3.8,,,,,,,,,,,
Harrow,90,,10,x,x,,8.8,,,,,,,,,,,
Havering,120,,10,x,10,,9.2,,,,,,,,,,,
Hillingdon,230,,x,x,x,,x,,,,,,,,,,,
Hounslow,210,,10,x,5,,5.2,,,,,,,,,,,
Kingston upon Thames,80,,x,x,x,,x,,,,,,,,,,,
Merton,85,,5,x,x,,8.4,,,,,,,,,,,
Redbridge,140,,x,x,x,,x,,,,,,,,,,,
Richmond upon Thames,50,,5,5,x,,13.5,,,,,,,,,,,
Sutton,115,,x,x,x,,x,,,,,,,,,,,
Waltham Forest,170,,15,x,10,,8.9,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
SOUTH EAST,"6,030",,220,110,80,,3.6,,,,,,,,,,,
Bracknell Forest,75,,10,x,x,,12.3,,,,,,,,,,,
Brighton and Hove,325,,x,x,x,,x,,,,,,,,,,,
Buckinghamshire,315,,x,x,x,,x,,,,,,,,,,,
East Sussex,425,,15,10,x,,3.5,,,,,,,,,,,
Hampshire,810,,10,x,5,,1.4,,,,,,,,,,,
Isle of Wight,115,,10,5,x,,9.6,,,,,,,,,,,
Kent,"1,250",,45,25,x,,3.8,,,,,,,,,,,
Medway,275,,5,x,x,,2.2,,,,,,,,,,,
Milton Keynes,190,,5,x,x,,3.2,,,,,,,,,,,
Oxfordshire,250,,20,20,x,,8.4,,,,,,,,,,,
Portsmouth,215,,15,x,10,,6.5,,,,,,,,,,,
Reading,160,,x,x,x,,x,,,,,,,,,,,
Slough,120,,x,x,x,,x,,,,,,,,,,,
Southampton,345,,5,x,x,,1.7,,,,,,,,,,,
Surrey,520,,20,x,15,,3.8,,,,,,,,,,,
West Berkshire,105,,5,x,x,,6.8,,,,,,,,,,,
West Sussex,420,,35,15,20,,8.4,,,,,,,,,,,
Windsor and Maidenhead,70,,x,x,x,,x,,,,,,,,,,,
Wokingham,55,,x,x,x,,x,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
SOUTH WEST,"3,690",,150,90,60,,4.1,,,,,,,,,,,
Bath and North East Somerset,100,,x,x,x,,x,,,,,,,,,,,
Bournemouth,180,,x,x,x,,x,,,,,,,,,,,
"Bristol, City of",495,,15,15,x,,2.6,,,,,,,,,,,
Cornwall,295,,20,15,x,,6.8,,,,,,,,,,,
Devon,450,,30,15,15,,6.5,,,,,,,,,,,
Dorset,230,,x,x,x,,x,,,,,,,,,,,
Gloucestershire,320,,15,x,10,,4.7,,,,,,,,,,,
Isles of Scilly,0,,.,.,.,,.,,,,,,,,,,,
North Somerset,155,,x,x,x,,x,,,,,,,,,,,
Plymouth,260,,10,x,x,,3.5,,,,,,,,,,,
Poole,105,,5,x,x,,5.8,,,,,,,,,,,
Somerset,330,,20,15,x,,5.7,,,,,,,,,,,
South Gloucestershire,115,,5,5,x,,5.2,,,,,,,,,,,
Swindon,170,,x,x,x,,x,,,,,,,,,,,
Torbay,205,,x,x,x,,x,,,,,,,,,,,
Wiltshire,285,,15,x,10,,5.3,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,Source: SSDA903,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1. Information on substance misuse is collected for children looked after continuously for at least 12 months as at 31 March excluding those children in respite care.   ,,,,,,,,,,,,,,,,,,
"2. The term ‘drug’ is used to refer to any psychotropic substance, including illegal drugs, illicit use of prescription drugs and volatile substances. Young people’s drug taking is often inextricably linked with the consumption of alcohol. Therefore the term ‘substance’ refers to both drugs and alcohol but not tobacco. Substance misuse is defined as ‘intoxication by (or regular excessive consumption or and/or dependence on) psychoactive substances, leading to social, psychological, physical or legal problems’. It includes problematic use of both legal and illegal drugs (including alcohol when used in combination with other substances).",,,,,,,,,,,,,,,,,,
3. Number of children identified as having a substance misuse problem who received an intervention.,,,,,,,,,,,,,,,,,,
4. Number of children identified as having a substance misuse problem who were offered an intervention but refused it.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"All numbers relating to national or regional totals have been rounded to the nearest 10, all Local Authority numbers have been rounded to the nearest 5.",,,,,,,,,,,,,,,,,,
x = number less than or equal to 5 or percentage where the numerator is less than or equal to 5 or the denominator is less than or equal to 10.,,,,,,,,,,,,,,,,,,
. = not applicable,,,,,,,,,,,,,,,,,,
See technical notes 19 and 20 for more information on rounding conventions.,,,,,,,,,,,,,,,,,,
