Table LA6:  Health care and development assessments of children who have been looked after continuously for at least 12 months1 ,,,,,,,,,,,,,,,,,,
Years: 2014,,,,,,,,,,,,,,,,,,
Coverage: England,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Number of children looked after at 31 March who had been looked after for at least 12 months1,,Number of children whose immunisations were up to date2,Number of children who had their teeth checked by a dentist3,Number of children who had their annual health assessment4,,"Number of children who had been looked after for at least 12 months, and aged 5 or younger at 31 March 2014",Number of these children whose development assessments were up to date5,,,,,,,,,,
Manchester,980,,900,965,920,,165,120,,,,,,,,,,
Oldham,250,,240,225,220,,65,55,,,,,,,,,,
Rochdale,390,,380,340,330,,85,75,,,,,,,,,,
Salford,420,,415,380,395,,110,110,,,,,,,,,,
Sefton,300,,275,265,280,,45,40,,,,,,,,,,
St. Helens,335,,335,285,285,,105,95,,,,,,,,,,
Stockport,215,,205,195,190,,45,45,,,,,,,,,,
Tameside,300,,300,265,270,,40,25,,,,,,,,,,
Trafford,220,,60,180,210,,40,x,,,,,,,,,,
Warrington,165,,120,130,150,,25,15,,,,,,,,,,
Wigan,375,,350,360,370,,100,95,,,,,,,,,,
Wirral,520,,440,470,440,,105,105,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
YORKSHIRE AND THE HUMBER,"5,470",,"5,080","4,450","4,930",,"1,230","1,090",,,,,,,,,,
Barnsley,160,,155,135,150,,50,50,,,,,,,,,,
Bradford,665,,600,560,585,,155,145,,,,,,,,,,
Calderdale,270,,260,255,265,,60,60,,,,,,,,,,
Doncaster,340,,325,210,280,,70,45,,,,,,,,,,
East Riding of Yorkshire,230,,220,195,220,,55,55,,,,,,,,,,
"Kingston Upon Hull, City of",495,,455,445,470,,120,120,,,,,,,,,,
Kirklees,465,,465,460,465,,105,90,,,,,,,,,,
Leeds,"1,025",,"1,005",710,"1,005",,260,260,,,,,,,,,,
North East Lincolnshire,135,,130,130,130,,35,35,,,,,,,,,,
North Lincolnshire,110,,110,110,110,,20,20,,,,,,,,,,
North Yorkshire,365,,320,315,290,,55,x,,,,,,,,,,
Rotherham,305,,280,225,270,,50,50,,,,,,,,,,
Sheffield,380,,310,225,305,,70,60,,,,,,,,,,
Wakefield,335,,275,320,290,,95,85,,,,,,,,,,
York,185,,170,155,95,,30,20,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
EAST MIDLANDS,"3,350",,"2,870","2,670","2,890",,660,460,,,,,,,,,,
Derby,340,,335,290,270,,60,35,,,,,,,,,,
Derbyshire,445,,410,395,405,,80,65,,,,,,,,,,
Leicester,375,,340,315,340,,75,70,,,,,,,,,,
Leicestershire,280,,240,205,205,,60,15,,,,,,,,,,
Lincolnshire,410,,400,405,395,,90,90,,,,,,,,,,
Northamptonshire,505,,375,335,420,,75,75,,,,,,,,,,
Nottingham,405,,385,335,305,,95,85,,,,,,,,,,
Nottinghamshire,575,,350,370,515,,110,x,,,,,,,,,,
Rutland,25,,25,25,20,,10,10,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
WEST MIDLANDS,"6,560",,"5,460","5,170","5,380",,"1,350","1,180",,,,,,,,,,
Birmingham,"1,370",,"1,350","1,245","1,280",,265,265,,,,,,,,,,
Coventry,420,,295,260,370,,75,50,,,,,,,,,,
Dudley,625,,565,390,500,,155,155,,,,,,,,,,
Herefordshire,155,,x,75,115,,35,x,,,,,,,,,,
Sandwell,450,,420,365,240,,100,60,,,,,,,,,,
Shropshire,185,,165,145,160,,30,5,,,,,,,,,,
Solihull,230,,175,220,215,,40,35,,,,,,,,,,
Staffordshire,660,,635,570,505,,95,75,,,,,,,,,,
Stoke-on-Trent,360,,215,305,320,,90,90,,,,,,,,,,
Telford and Wrekin,235,,225,230,215,,45,45,,,,,,,,,,
Walsall,450,,415,435,415,,120,110,,,,,,,,,,
Warwickshire,450,,380,370,360,,70,70,,,,,,,,,,
Wolverhampton,515,,355,475,435,,145,140,,,,,,,,,,
Worcestershire,455,,250,90,240,,75,65,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
EAST OF ENGLAND,"4,370",,"3,710","3,620","3,780",,630,560,,,,,,,,,,
Bedford Borough,180,,170,160,155,,50,50,,,,,,,,,,
Central Bedfordshire,170,,150,160,160,,40,40,,,,,,,,,,
Cambridgeshire,335,,255,315,305,,45,45,,,,,,,,,,
Essex,870,,765,750,785,,90,75,,,,,,,,,,
Hertfordshire,660,,595,545,520,,90,90,,,,,,,,,,
Luton,280,,220,200,220,,50,25,,,,,,,,,,
Norfolk,770,,705,595,650,,110,95,,,,,,,,,,
Peterborough,245,,230,240,230,,45,45,,,,,,,,,,
Southend-on-Sea,165,,130,155,150,,20,15,,,,,,,,,,
Suffolk,500,,390,335,425,,70,65,,,,,,,,,,
Thurrock,190,,110,160,165,,30,15,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
LONDON,"6,550",,"5,520","5,750","6,040",,880,820,,,,,,,,,,
INNER LONDON,"2,920",,"2,490","2,490","2,740",,400,390,,,,,,,,,,
Camden,160,,145,145,150,,15,15,,,,,,,,,,
City of London,5,,5,5,5,,0,.,,,,,,,,,,
Hackney,225,,200,185,210,,35,35,,,,,,,,,,
Hammersmith and Fulham,135,,130,110,125,,10,10,,,,,,,,,,
Haringey,365,,250,260,320,,60,60,,,,,,,,,,
Islington,200,,200,175,200,,15,15,,,,,,,,,,
Kensington and Chelsea,55,,55,50,55,,x,x,,,,,,,,,,
Lambeth,330,,290,305,315,,65,60,,,,,,,,,,
Lewisham,340,,315,310,335,,45,45,,,,,,,,,,
Newham,255,,245,240,245,,30,30,,,,,,,,,,
Southwark,380,,265,325,345,,60,55,,,,,,,,,,
Tower Hamlets,205,,160,190,185,,30,30,,,,,,,,,,
Wandsworth,130,,115,90,110,,15,15,,,,,,,,,,
Westminster,125,,115,110,125,,20,20,,,,,,,,,,
OUTER LONDON,"3,620",,"3,030","3,250","3,300",,480,430,,,,,,,,,,
Barking and Dagenham,260,,225,250,245,,50,45,,,,,,,,,,
Barnet,205,,185,180,200,,25,15,,,,,,,,,,
Bexley,150,,125,125,140,,30,30,,,,,,,,,,
Brent,215,,185,205,195,,30,25,,,,,,,,,,
Bromley,180,,170,150,160,,25,25,,,,,,,,,,
Croydon,465,,315,435,410,,45,40,,,,,,,,,,
Ealing,255,,225,240,245,,25,25,,,,,,,,,,
Enfield,200,,195,175,175,,35,35,,,,,,,,,,
Greenwich,395,,320,355,385,,50,45,,,,,,,,,,
Harrow,90,,60,75,65,,15,15,,,,,,,,,,
Havering,120,,110,105,70,,15,15,,,,,,,,,,
Hillingdon,230,,180,175,210,,25,20,,,,,,,,,,
Hounslow,210,,190,185,195,,25,25,,,,,,,,,,
Kingston upon Thames,80,,55,75,75,,15,15,,,,,,,,,,
Merton2,85,,80,70,80,,10,10,,,,,,,,,,
Redbridge,140,,130,130,135,,20,15,,,,,,,,,,
Richmond upon Thames,50,,50,50,45,,5,x,,,,,,,,,,
Sutton,115,,110,110,115,,20,20,,,,,,,,,,
Waltham Forest,170,,130,160,155,,15,10,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
SOUTH EAST,"6,030",,"5,090","5,030","5,140",,"1,050",920,,,,,,,,,,
Bracknell Forest,75,,70,65,70,,5,5,,,,,,,,,,
Brighton and Hove,325,,250,275,265,,50,50,,,,,,,,,,
Buckinghamshire,315,,285,145,255,,55,x,,,,,,,,,,
East Sussex,425,,380,410,385,,75,70,,,,,,,,,,
Hampshire,810,,625,610,645,,140,135,,,,,,,,,,
Isle of Wight,115,,65,60,75,,20,20,,,,,,,,,,
Kent,"1,250",,"1,125","1,205","1,100",,220,205,,,,,,,,,,
Medway,275,,230,155,255,,60,40,,,,,,,,,,
Milton Keynes,190,,185,155,180,,25,25,,,,,,,,,,
Oxfordshire,250,,225,225,240,,30,30,,,,,,,,,,
Portsmouth,215,,205,195,195,,40,40,,,,,,,,,,
Reading,160,,150,135,140,,35,25,,,,,,,,,,
Slough,120,,120,115,115,,25,25,,,,,,,,,,
Southampton,345,,235,220,210,,110,110,,,,,,,,,,
Surrey,520,,365,485,415,,80,65,,,,,,,,,,
West Berkshire,105,,105,75,90,,15,15,,,,,,,,,,
West Sussex,420,,370,390,400,,45,45,,,,,,,,,,
Windsor and Maidenhead,70,,60,65,70,,10,10,,,,,,,,,,
Wokingham,55,,45,45,45,,10,x,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
SOUTH WEST,"3,690",,"3,220","3,160","3,290",,510,400,,,,,,,,,,
Bath and North East Somerset,100,,95,95,90,,15,5,,,,,,,,,,
Bournemouth,180,,175,180,175,,35,35,,,,,,,,,,
"Bristol, City of",495,,390,455,445,,55,x,,,,,,,,,,
Cornwall,295,,275,225,270,,15,15,,,,,,,,,,
Devon,450,,390,380,390,,60,40,,,,,,,,,,
Dorset,230,,200,200,205,,30,25,,,,,,,,,,
Gloucestershire,320,,300,255,260,,60,60,,,,,,,,,,
Isles of Scilly,0,,.,.,.,,0,.,,,,,,,,,,
North Somerset,155,,130,105,145,,25,20,,,,,,,,,,
Plymouth,260,,225,260,230,,40,35,,,,,,,,,,
Poole,105,,90,90,100,,15,15,,,,,,,,,,
Somerset,330,,285,285,290,,55,50,,,,,,,,,,
South Gloucestershire,115,,115,95,100,,20,20,,,,,,,,,,
Swindon,170,,145,155,145,,20,20,,,,,,,,,,
Torbay,205,,145,135,175,,35,30,,,,,,,,,,
Wiltshire,285,,255,245,270,,35,35,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,Source: SSDA903,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1. Children looked after continuously for at least 12 months as at 31 March excluding those children in respite care.,,,,,,,,,,,,,,,,,,
"2. Immunisations were up to date by the end of 31 March 2014. 'Up to date' means that by 31 March the child has had all the immunisations that a child of their age should have received, according to the immunisations timetable reproduced by the Department of Health which is available via the following link: http://www.nhs.uk/Planners/vaccinations/Pages/Vaccinationchecklist.aspx",,,,,,,,,,,,,,,,,,
3. Records whether the child had their teeth checked by a dentist during the year ending 31 March 2014.,,,,,,,,,,,,,,,,,,
"4. Records whether the child received their annual health assessment from a doctor or other suitably qualified professional during the year ending 31 March 2014. Health Assessments must be carried out twice a year for those under 5 years of age. Both these assessments must be carried out in order for the Annual Assessment requirement to be satisfied for under 5s. The assessment should be carried out once in every period of six months before the child's fifth birthday. This means that one assessment should be carried out in the first six months and one in the second six months. For those aged 5 or over, a single annual assessment fulfils the requirement.",,,,,,,,,,,,,,,,,,
"5. Development assessment data is collected for children aged 5 or younger at 31 March who were looked after continuously for at least 12 months, excluding children in respite care. This measures whether the child’s Health Surveillance or Health Promotion Checks were up-to-date.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Please note, for a minority of local authorities there has been some under-reporting of the number of children up to date with these health measures. This mostly affects immunisations, teeth checks and development assessments for under 5's.  This issue was only identified after the collection had closed and therefore local authorities will not be able to amend data until the next collection.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"All numbers relating to national or regional totals have been rounded to the nearest 10, all Local Authority numbers have been rounded to the nearest 5.",,,,,,,,,,,,,,,,,,
x = number less than or equal to 5 or percentage where the numerator is less than or equal to 5 or the denominator is less than or equal to 10.,,,,,,,,,,,,,,,,,,
. = not applicable,,,,,,,,,,,,,,,,,,
See technical notes 19 and 20 for more information on rounding conventions.,,,,,,,,,,,,,,,,,,
