Counties and Unitary Authorities (Upper Tier Local Authorities) Rural-Urban Classification (2021),,,
There are 152 rows in this dataset.,,,
,,,
Upper Tier Local Authority Area 2021 Code,Upper Tier Local Authority Area 2021 Name,Rural-Urban Classification 2011 (6 fold),Rural-Urban Classification 2011 (3 fold)
E06000058,"Bournemouth, Christchurch and Poole",Urban with City and Town,Predominantly Urban
E06000059,Dorset,Largely Rural,Predominantly Rural
E06000060,Buckinghamshire,Urban with Significant Rural,Urban with Significant Rural
E06000061,North Northamptonshire,Urban with Significant Rural,Urban with Significant Rural
E06000062,West Northamptonshire,Urban with Significant Rural,Urban with Significant Rural
E08000001,Bolton,Urban with Major Conurbation,Predominantly Urban
E08000002,Bury,Urban with Major Conurbation,Predominantly Urban
E08000003,Manchester,Urban with Major Conurbation,Predominantly Urban
E08000004,Oldham,Urban with Major Conurbation,Predominantly Urban
E08000005,Rochdale,Urban with Major Conurbation,Predominantly Urban
E08000006,Salford,Urban with Major Conurbation,Predominantly Urban
E08000007,Stockport,Urban with Major Conurbation,Predominantly Urban
E08000008,Tameside,Urban with Major Conurbation,Predominantly Urban
E08000009,Trafford,Urban with Major Conurbation,Predominantly Urban
E08000010,Wigan,Urban with Major Conurbation,Predominantly Urban
E08000011,Knowsley,Urban with Major Conurbation,Predominantly Urban
E08000012,Liverpool,Urban with Major Conurbation,Predominantly Urban
E08000013,St. Helens,Urban with Major Conurbation,Predominantly Urban
E08000014,Sefton,Urban with Major Conurbation,Predominantly Urban
E08000015,Wirral,Urban with Major Conurbation,Predominantly Urban
E08000016,Barnsley,Urban with Minor Conurbation,Predominantly Urban
E08000017,Doncaster,Urban with Minor Conurbation,Predominantly Urban
E08000018,Rotherham,Urban with Minor Conurbation,Predominantly Urban
E08000019,Sheffield,Urban with Minor Conurbation,Predominantly Urban
E08000021,Newcastle upon Tyne,Urban with Major Conurbation,Predominantly Urban
E08000022,North Tyneside,Urban with Major Conurbation,Predominantly Urban
E08000023,South Tyneside,Urban with Major Conurbation,Predominantly Urban
E08000024,Sunderland,Urban with Major Conurbation,Predominantly Urban
E08000025,Birmingham,Urban with Major Conurbation,Predominantly Urban
E08000026,Coventry,Urban with City and Town,Predominantly Urban
E08000027,Dudley,Urban with Major Conurbation,Predominantly Urban
E08000028,Sandwell,Urban with Major Conurbation,Predominantly Urban
E08000029,Solihull,Urban with Major Conurbation,Predominantly Urban
E08000030,Walsall,Urban with Major Conurbation,Predominantly Urban
E08000031,Wolverhampton,Urban with Major Conurbation,Predominantly Urban
E08000032,Bradford,Urban with Major Conurbation,Predominantly Urban
E08000033,Calderdale,Urban with Major Conurbation,Predominantly Urban
E08000034,Kirklees,Urban with Major Conurbation,Predominantly Urban
E08000035,Leeds,Urban with Major Conurbation,Predominantly Urban
E08000036,Wakefield,Urban with City and Town,Predominantly Urban
E08000037,Gateshead,Urban with Major Conurbation,Predominantly Urban
E09000001,City of London,Urban with Major Conurbation,Predominantly Urban
E09000002,Barking and Dagenham,Urban with Major Conurbation,Predominantly Urban
E09000003,Barnet,Urban with Major Conurbation,Predominantly Urban
E09000004,Bexley,Urban with Major Conurbation,Predominantly Urban
E09000005,Brent,Urban with Major Conurbation,Predominantly Urban
E09000006,Bromley,Urban with Major Conurbation,Predominantly Urban
E09000007,Camden,Urban with Major Conurbation,Predominantly Urban
E09000008,Croydon,Urban with Major Conurbation,Predominantly Urban
E09000009,Ealing,Urban with Major Conurbation,Predominantly Urban
E09000010,Enfield,Urban with Major Conurbation,Predominantly Urban
E09000011,Greenwich,Urban with Major Conurbation,Predominantly Urban
E09000012,Hackney,Urban with Major Conurbation,Predominantly Urban
E09000013,Hammersmith and Fulham,Urban with Major Conurbation,Predominantly Urban
E09000014,Haringey,Urban with Major Conurbation,Predominantly Urban
E09000015,Harrow,Urban with Major Conurbation,Predominantly Urban
E09000016,Havering,Urban with Major Conurbation,Predominantly Urban
E09000017,Hillingdon,Urban with Major Conurbation,Predominantly Urban
E09000018,Hounslow,Urban with Major Conurbation,Predominantly Urban
E09000019,Islington,Urban with Major Conurbation,Predominantly Urban
E09000020,Kensington and Chelsea,Urban with Major Conurbation,Predominantly Urban
E09000021,Kingston upon Thames,Urban with Major Conurbation,Predominantly Urban
E09000022,Lambeth,Urban with Major Conurbation,Predominantly Urban
E09000023,Lewisham,Urban with Major Conurbation,Predominantly Urban
E09000024,Merton,Urban with Major Conurbation,Predominantly Urban
E09000025,Newham,Urban with Major Conurbation,Predominantly Urban
E09000026,Redbridge,Urban with Major Conurbation,Predominantly Urban
E09000027,Richmond upon Thames,Urban with Major Conurbation,Predominantly Urban
E09000028,Southwark,Urban with Major Conurbation,Predominantly Urban
E09000029,Sutton,Urban with Major Conurbation,Predominantly Urban
E09000030,Tower Hamlets,Urban with Major Conurbation,Predominantly Urban
E09000031,Waltham Forest,Urban with Major Conurbation,Predominantly Urban
E09000032,Wandsworth,Urban with Major Conurbation,Predominantly Urban
E09000033,Westminster,Urban with Major Conurbation,Predominantly Urban
E10000003,Cambridgeshire,Largely Rural,Predominantly Rural
E10000006,Cumbria,Largely Rural,Predominantly Rural
E10000007,Derbyshire,Urban with Significant Rural,Urban with Significant Rural
E10000008,Devon,Largely Rural,Predominantly Rural
E10000011,East Sussex,Urban with Significant Rural,Urban with Significant Rural
E10000012,Essex,Urban with Significant Rural,Urban with Significant Rural
E10000013,Gloucestershire,Urban with Significant Rural,Urban with Significant Rural
E10000014,Hampshire,Urban with Significant Rural,Urban with Significant Rural
E10000015,Hertfordshire,Urban with City and Town,Predominantly Urban
E10000016,Kent,Urban with Significant Rural,Urban with Significant Rural
E10000017,Lancashire,Urban with City and Town,Predominantly Urban
E10000018,Leicestershire,Urban with Significant Rural,Urban with Significant Rural
E10000019,Lincolnshire,Largely Rural,Predominantly Rural
E10000020,Norfolk,Largely Rural,Predominantly Rural
E10000023,North Yorkshire,Largely Rural,Predominantly Rural
E10000024,Nottinghamshire,Urban with Significant Rural,Urban with Significant Rural
E10000025,Oxfordshire,Largely Rural,Predominantly Rural
E10000027,Somerset,Largely Rural,Predominantly Rural
E10000028,Staffordshire,Urban with Significant Rural,Urban with Significant Rural
E10000029,Suffolk,Largely Rural,Predominantly Rural
E10000030,Surrey,Urban with Major Conurbation,Predominantly Urban
E10000031,Warwickshire,Urban with Significant Rural,Urban with Significant Rural
E10000032,West Sussex,Urban with City and Town,Predominantly Urban
E10000034,Worcestershire,Urban with Significant Rural,Urban with Significant Rural
,,,
,,,
,,,
,,,
,,,
