time_period,time_identifier,geographic_level,country_code,country_name,cla_group,stage_of_adoption_process,age_start_poc,number
2024,Reporting year,National,E92000001,England,Age on starting final period of care,6. Total average time between entry into care and adoption,Aged 5,3:7
2024,Reporting year,National,E92000001,England,Age on starting final period of care,6. Total average time between entry into care and adoption,Aged 6,3:4
2024,Reporting year,National,E92000001,England,Age on starting final period of care,6. Total average time between entry into care and adoption,Aged 7 and over,4:8
2024,Reporting year,National,E92000001,England,Age on starting final period of care,6. Total average time between entry into care and adoption,Aged under 1,2:2
2024,Reporting year,National,E92000001,England,Age on starting final period of care,6. Total average time between entry into care and adoption,Total,2:5
2024,Reporting year,National,E92000001,England,Age on starting final period of care,Children adopted during the year who were placed for adoption within 12 months of an agency decision that the child should be placed for adoption,Aged 1,190
2024,Reporting year,National,E92000001,England,Age on starting final period of care,Children adopted during the year who were placed for adoption within 12 months of an agency decision that the child should be placed for adoption,Aged 2,150
2024,Reporting year,National,E92000001,England,Age on starting final period of care,Children adopted during the year who were placed for adoption within 12 months of an agency decision that the child should be placed for adoption,Aged 3,100
2024,Reporting year,National,E92000001,England,Age on starting final period of care,Children adopted during the year who were placed for adoption within 12 months of an agency decision that the child should be placed for adoption,Aged 4,60
2024,Reporting year,National,E92000001,England,Age on starting final period of care,Children adopted during the year who were placed for adoption within 12 months of an agency decision that the child should be placed for adoption,Aged 5,30
2024,Reporting year,National,E92000001,England,Age on starting final period of care,Children adopted during the year who were placed for adoption within 12 months of an agency decision that the child should be placed for adoption,Aged 6,10
2024,Reporting year,National,E92000001,England,Age on starting final period of care,Children adopted during the year who were placed for adoption within 12 months of an agency decision that the child should be placed for adoption,Aged 7 and over,10
2024,Reporting year,National,E92000001,England,Age on starting final period of care,Children adopted during the year who were placed for adoption within 12 months of an agency decision that the child should be placed for adoption,Aged under 1,1610
2024,Reporting year,National,E92000001,England,Age on starting final period of care,Children adopted during the year who were placed for adoption within 12 months of an agency decision that the child should be placed for adoption,Total,2150
2023,Reporting year,National,E92000001,England,Age on starting final period of care,1. Average time between entry into care and decision that child should be placed for adoption,Aged 1,0:9
2023,Reporting year,National,E92000001,England,Age on starting final period of care,1. Average time between entry into care and decision that child should be placed for adoption,Aged 2,0:8
2023,Reporting year,National,E92000001,England,Age on starting final period of care,1. Average time between entry into care and decision that child should be placed for adoption,Aged 3,0:10
2023,Reporting year,National,E92000001,England,Age on starting final period of care,1. Average time between entry into care and decision that child should be placed for adoption,Aged 4,0:10
2023,Reporting year,National,E92000001,England,Age on starting final period of care,1. Average time between entry into care and decision that child should be placed for adoption,Aged 5,1:1
2023,Reporting year,National,E92000001,England,Age on starting final period of care,1. Average time between entry into care and decision that child should be placed for adoption,Aged 6,1:1
2023,Reporting year,National,E92000001,England,Age on starting final period of care,1. Average time between entry into care and decision that child should be placed for adoption,Aged 7 and over,3:9
2023,Reporting year,National,E92000001,England,Age on starting final period of care,1. Average time between entry into care and decision that child should be placed for adoption,Aged under 1,0:8
2023,Reporting year,National,E92000001,England,Age on starting final period of care,1. Average time between entry into care and decision that child should be placed for adoption,Total,0:8
2023,Reporting year,National,E92000001,England,Age on starting final period of care,2. Average time between decision that child should be placed for adoption and matching of child and adopters,Aged 1,1:0
2023,Reporting year,National,E92000001,England,Age on starting final period of care,2. Average time between decision that child should be placed for adoption and matching of child and adopters,Aged 2,1:0
2023,Reporting year,National,E92000001,England,Age on starting final period of care,2. Average time between decision that child should be placed for adoption and matching of child and adopters,Aged 3,1:1
2023,Reporting year,National,E92000001,England,Age on starting final period of care,2. Average time between decision that child should be placed for adoption and matching of child and adopters,Aged 4,1:1
2023,Reporting year,National,E92000001,England,Age on starting final period of care,2. Average time between decision that child should be placed for adoption and matching of child and adopters,Aged 5,1:1
2023,Reporting year,National,E92000001,England,Age on starting final period of care,2. Average time between decision that child should be placed for adoption and matching of child and adopters,Aged 6,1:3
2023,Reporting year,National,E92000001,England,Age on starting final period of care,2. Average time between decision that child should be placed for adoption and matching of child and adopters,Aged 7 and over,0:6
2023,Reporting year,National,E92000001,England,Age on starting final period of care,2. Average time between decision that child should be placed for adoption and matching of child and adopters,Aged under 1,0:8
2023,Reporting year,National,E92000001,England,Age on starting final period of care,2. Average time between decision that child should be placed for adoption and matching of child and adopters,Total,0:10
2023,Reporting year,National,E92000001,England,Age on starting final period of care,3. Average time between date of matching and date placed for adoption,Aged 1,0:1
2023,Reporting year,National,E92000001,England,Age on starting final period of care,3. Average time between date of matching and date placed for adoption,Aged 2,0:1
2023,Reporting year,National,E92000001,England,Age on starting final period of care,3. Average time between date of matching and date placed for adoption,Aged 3,0:1
2023,Reporting year,National,E92000001,England,Age on starting final period of care,3. Average time between date of matching and date placed for adoption,Aged 4,0:1
2023,Reporting year,National,E92000001,England,Age on starting final period of care,3. Average time between date of matching and date placed for adoption,Aged 5,0:1
2023,Reporting year,National,E92000001,England,Age on starting final period of care,3. Average time between date of matching and date placed for adoption,Aged 6,0:1
2023,Reporting year,National,E92000001,England,Age on starting final period of care,3. Average time between date of matching and date placed for adoption,Aged 7 and over,0:1
2023,Reporting year,National,E92000001,England,Age on starting final period of care,3. Average time between date of matching and date placed for adoption,Aged under 1,0:1
2023,Reporting year,National,E92000001,England,Age on starting final period of care,3. Average time between date of matching and date placed for adoption,Total,0:1
2023,Reporting year,National,E92000001,England,Age on starting final period of care,4. Total average time between entry into care and date placed for adoption,Aged 1,1:10
2023,Reporting year,National,E92000001,England,Age on starting final period of care,4. Total average time between entry into care and date placed for adoption,Aged 2,1:10
2023,Reporting year,National,E92000001,England,Age on starting final period of care,4. Total average time between entry into care and date placed for adoption,Aged 3,2:0
2023,Reporting year,National,E92000001,England,Age on starting final period of care,4. Total average time between entry into care and date placed for adoption,Aged 4,2:0
2023,Reporting year,National,E92000001,England,Age on starting final period of care,4. Total average time between entry into care and date placed for adoption,Aged 5,2:4
2023,Reporting year,National,E92000001,England,Age on starting final period of care,4. Total average time between entry into care and date placed for adoption,Aged 6,2:5
2023,Reporting year,National,E92000001,England,Age on starting final period of care,4. Total average time between entry into care and date placed for adoption,Aged 7 and over,4:4
2023,Reporting year,National,E92000001,England,Age on starting final period of care,4. Total average time between entry into care and date placed for adoption,Aged under 1,1:5
2023,Reporting year,National,E92000001,England,Age on starting final period of care,4. Total average time between entry into care and date placed for adoption,Total,1:7
2023,Reporting year,National,E92000001,England,Age on starting final period of care,5. Average time between date placed for adoption and the date child adopted,Aged 1,0:11
2023,Reporting year,National,E92000001,England,Age on starting final period of care,5. Average time between date placed for adoption and the date child adopted,Aged 2,1:1
2023,Reporting year,National,E92000001,England,Age on starting final period of care,5. Average time between date placed for adoption and the date child adopted,Aged 3,1:0
2023,Reporting year,National,E92000001,England,Age on starting final period of care,5. Average time between date placed for adoption and the date child adopted,Aged 4,1:2
2023,Reporting year,National,E92000001,England,Age on starting final period of care,5. Average time between date placed for adoption and the date child adopted,Aged 5,1:0
2023,Reporting year,National,E92000001,England,Age on starting final period of care,5. Average time between date placed for adoption and the date child adopted,Aged 6,1:2
2023,Reporting year,National,E92000001,England,Age on starting final period of care,5. Average time between date placed for adoption and the date child adopted,Aged 7 and over,1:0
2023,Reporting year,National,E92000001,England,Age on starting final period of care,5. Average time between date placed for adoption and the date child adopted,Aged under 1,0:9
2023,Reporting year,National,E92000001,England,Age on starting final period of care,5. Average time between date placed for adoption and the date child adopted,Total,0:10
2023,Reporting year,National,E92000001,England,Age on starting final period of care,6. Total average time between entry into care and adoption,Aged 1,2:9
2023,Reporting year,National,E92000001,England,Age on starting final period of care,6. Total average time between entry into care and adoption,Aged 2,2:11
2023,Reporting year,National,E92000001,England,Age on starting final period of care,6. Total average time between entry into care and adoption,Aged 3,3:0
2023,Reporting year,National,E92000001,England,Age on starting final period of care,6. Total average time between entry into care and adoption,Aged 4,3:2
2023,Reporting year,National,E92000001,England,Age on starting final period of care,6. Total average time between entry into care and adoption,Aged 5,3:4
2023,Reporting year,National,E92000001,England,Age on starting final period of care,6. Total average time between entry into care and adoption,Aged 6,3:7
2023,Reporting year,National,E92000001,England,Age on starting final period of care,6. Total average time between entry into care and adoption,Aged 7 and over,5:4
2023,Reporting year,National,E92000001,England,Age on starting final period of care,6. Total average time between entry into care and adoption,Aged under 1,2:2
2023,Reporting year,National,E92000001,England,Age on starting final period of care,6. Total average time between entry into care and adoption,Total,2:5
2023,Reporting year,National,E92000001,England,Age on starting final period of care,Children adopted during the year who were placed for adoption within 12 months of an agency decision that the child should be placed for adoption,Aged 1,180
2023,Reporting year,National,E92000001,England,Age on starting final period of care,Children adopted during the year who were placed for adoption within 12 months of an agency decision that the child should be placed for adoption,Aged 2,150
2023,Reporting year,National,E92000001,England,Age on starting final period of care,Children adopted during the year who were placed for adoption within 12 months of an agency decision that the child should be placed for adoption,Aged 3,80
2023,Reporting year,National,E92000001,England,Age on starting final period of care,Children adopted during the year who were placed for adoption within 12 months of an agency decision that the child should be placed for adoption,Aged 4,50
2023,Reporting year,National,E92000001,England,Age on starting final period of care,Children adopted during the year who were placed for adoption within 12 months of an agency decision that the child should be placed for adoption,Aged 5,30
2023,Reporting year,National,E92000001,England,Age on starting final period of care,Children adopted during the year who were placed for adoption within 12 months of an agency decision that the child should be placed for adoption,Aged 6,10
2023,Reporting year,National,E92000001,England,Age on starting final period of care,Children adopted during the year who were placed for adoption within 12 months of an agency decision that the child should be placed for adoption,Aged 7 and over,20
2023,Reporting year,National,E92000001,England,Age on starting final period of care,Children adopted during the year who were placed for adoption within 12 months of an agency decision that the child should be placed for adoption,Aged under 1,1610
2023,Reporting year,National,E92000001,England,Age on starting final period of care,Children adopted during the year who were placed for adoption within 12 months of an agency decision that the child should be placed for adoption,Total,2130
2022,Reporting year,National,E92000001,England,Age on starting final period of care,1. Average time between entry into care and decision that child should be placed for adoption,Aged 1,0:9
2022,Reporting year,National,E92000001,England,Age on starting final period of care,1. Average time between entry into care and decision that child should be placed for adoption,Aged 2,0:8
2022,Reporting year,National,E92000001,England,Age on starting final period of care,1. Average time between entry into care and decision that child should be placed for adoption,Aged 3,0:9
2022,Reporting year,National,E92000001,England,Age on starting final period of care,1. Average time between entry into care and decision that child should be placed for adoption,Aged 4,0:11
2022,Reporting year,National,E92000001,England,Age on starting final period of care,1. Average time between entry into care and decision that child should be placed for adoption,Aged 5,0:9
2022,Reporting year,National,E92000001,England,Age on starting final period of care,1. Average time between entry into care and decision that child should be placed for adoption,Aged 6,1:6
2022,Reporting year,National,E92000001,England,Age on starting final period of care,1. Average time between entry into care and decision that child should be placed for adoption,Aged 7 and over,2:10
2022,Reporting year,National,E92000001,England,Age on starting final period of care,1. Average time between entry into care and decision that child should be placed for adoption,Aged under 1,0:7
2022,Reporting year,National,E92000001,England,Age on starting final period of care,1. Average time between entry into care and decision that child should be placed for adoption,Total,0:8
2022,Reporting year,National,E92000001,England,Age on starting final period of care,2. Average time between decision that child should be placed for adoption and matching of child and adopters,Aged 1,1:0
2022,Reporting year,National,E92000001,England,Age on starting final period of care,2. Average time between decision that child should be placed for adoption and matching of child and adopters,Aged 2,1:2
2022,Reporting year,National,E92000001,England,Age on starting final period of care,2. Average time between decision that child should be placed for adoption and matching of child and adopters,Aged 3,1:1
2022,Reporting year,National,E92000001,England,Age on starting final period of care,2. Average time between decision that child should be placed for adoption and matching of child and adopters,Aged 4,1:1
2022,Reporting year,National,E92000001,England,Age on starting final period of care,2. Average time between decision that child should be placed for adoption and matching of child and adopters,Aged 5,1:1
2022,Reporting year,National,E92000001,England,Age on starting final period of care,2. Average time between decision that child should be placed for adoption and matching of child and adopters,Aged 6,0:11
2022,Reporting year,National,E92000001,England,Age on starting final period of care,2. Average time between decision that child should be placed for adoption and matching of child and adopters,Aged 7 and over,0:9
2022,Reporting year,National,E92000001,England,Age on starting final period of care,2. Average time between decision that child should be placed for adoption and matching of child and adopters,Aged under 1,0:8
2022,Reporting year,National,E92000001,England,Age on starting final period of care,2. Average time between decision that child should be placed for adoption and matching of child and adopters,Total,0:9
2022,Reporting year,National,E92000001,England,Age on starting final period of care,3. Average time between date of matching and date placed for adoption,Aged 1,0:1
2022,Reporting year,National,E92000001,England,Age on starting final period of care,3. Average time between date of matching and date placed for adoption,Aged 2,0:1
2022,Reporting year,National,E92000001,England,Age on starting final period of care,3. Average time between date of matching and date placed for adoption,Aged 3,0:1
2022,Reporting year,National,E92000001,England,Age on starting final period of care,3. Average time between date of matching and date placed for adoption,Aged 4,0:2
2022,Reporting year,National,E92000001,England,Age on starting final period of care,3. Average time between date of matching and date placed for adoption,Aged 5,0:1
2022,Reporting year,National,E92000001,England,Age on starting final period of care,3. Average time between date of matching and date placed for adoption,Aged 6,0:1
2022,Reporting year,National,E92000001,England,Age on starting final period of care,3. Average time between date of matching and date placed for adoption,Aged 7 and over,k
2022,Reporting year,National,E92000001,England,Age on starting final period of care,3. Average time between date of matching and date placed for adoption,Aged under 1,0:1
2022,Reporting year,National,E92000001,England,Age on starting final period of care,3. Average time between date of matching and date placed for adoption,Total,0:1
2022,Reporting year,National,E92000001,England,Age on starting final period of care,4. Total average time between entry into care and date placed for adoption,Aged 1,1:10
2022,Reporting year,National,E92000001,England,Age on starting final period of care,4. Total average time between entry into care and date placed for adoption,Aged 2,1:10
2022,Reporting year,National,E92000001,England,Age on starting final period of care,4. Total average time between entry into care and date placed for adoption,Aged 3,2:0
2022,Reporting year,National,E92000001,England,Age on starting final period of care,4. Total average time between entry into care and date placed for adoption,Aged 4,2:2
2022,Reporting year,National,E92000001,England,Age on starting final period of care,4. Total average time between entry into care and date placed for adoption,Aged 5,1:11
2022,Reporting year,National,E92000001,England,Age on starting final period of care,4. Total average time between entry into care and date placed for adoption,Aged 6,2:6
2022,Reporting year,National,E92000001,England,Age on starting final period of care,4. Total average time between entry into care and date placed for adoption,Aged 7 and over,3:7
2022,Reporting year,National,E92000001,England,Age on starting final period of care,4. Total average time between entry into care and date placed for adoption,Aged under 1,1:4
2022,Reporting year,National,E92000001,England,Age on starting final period of care,4. Total average time between entry into care and date placed for adoption,Total,1:6
2022,Reporting year,National,E92000001,England,Age on starting final period of care,5. Average time between date placed for adoption and the date child adopted,Aged 1,0:11
2022,Reporting year,National,E92000001,England,Age on starting final period of care,5. Average time between date placed for adoption and the date child adopted,Aged 2,0:11
2022,Reporting year,National,E92000001,England,Age on starting final period of care,5. Average time between date placed for adoption and the date child adopted,Aged 3,0:11
2022,Reporting year,National,E92000001,England,Age on starting final period of care,5. Average time between date placed for adoption and the date child adopted,Aged 4,0:11
2022,Reporting year,National,E92000001,England,Age on starting final period of care,5. Average time between date placed for adoption and the date child adopted,Aged 5,1:4
2022,Reporting year,National,E92000001,England,Age on starting final period of care,5. Average time between date placed for adoption and the date child adopted,Aged 6,1:6
2022,Reporting year,National,E92000001,England,Age on starting final period of care,5. Average time between date placed for adoption and the date child adopted,Aged 7 and over,1:5
2022,Reporting year,National,E92000001,England,Age on starting final period of care,5. Average time between date placed for adoption and the date child adopted,Aged under 1,0:8
2022,Reporting year,National,E92000001,England,Age on starting final period of care,5. Average time between date placed for adoption and the date child adopted,Total,0:9
2022,Reporting year,National,E92000001,England,Age on starting final period of care,6. Total average time between entry into care and adoption,Aged 1,2:9
2022,Reporting year,National,E92000001,England,Age on starting final period of care,6. Total average time between entry into care and adoption,Aged 2,2:9
2022,Reporting year,National,E92000001,England,Age on starting final period of care,6. Total average time between entry into care and adoption,Aged 3,2:10
2022,Reporting year,National,E92000001,England,Age on starting final period of care,6. Total average time between entry into care and adoption,Aged 4,3:1
2022,Reporting year,National,E92000001,England,Age on starting final period of care,6. Total average time between entry into care and adoption,Aged 5,3:3
2022,Reporting year,National,E92000001,England,Age on starting final period of care,6. Total average time between entry into care and adoption,Aged 6,3:11
2022,Reporting year,National,E92000001,England,Age on starting final period of care,6. Total average time between entry into care and adoption,Aged 7 and over,5:0
2022,Reporting year,National,E92000001,England,Age on starting final period of care,6. Total average time between entry into care and adoption,Aged under 1,2:0
2022,Reporting year,National,E92000001,England,Age on starting final period of care,6. Total average time between entry into care and adoption,Total,2:3
2022,Reporting year,National,E92000001,England,Age on starting final period of care,Children adopted during the year who were placed for adoption within 12 months of an agency decision that the child should be placed for adoption,Aged 1,200
2022,Reporting year,National,E92000001,England,Age on starting final period of care,Children adopted during the year who were placed for adoption within 12 months of an agency decision that the child should be placed for adoption,Aged 2,120
2022,Reporting year,National,E92000001,England,Age on starting final period of care,Children adopted during the year who were placed for adoption within 12 months of an agency decision that the child should be placed for adoption,Aged 3,90
2022,Reporting year,National,E92000001,England,Age on starting final period of care,Children adopted during the year who were placed for adoption within 12 months of an agency decision that the child should be placed for adoption,Aged 4,40
2022,Reporting year,National,E92000001,England,Age on starting final period of care,Children adopted during the year who were placed for adoption within 12 months of an agency decision that the child should be placed for adoption,Aged 5,20
2022,Reporting year,National,E92000001,England,Age on starting final period of care,Children adopted during the year who were placed for adoption within 12 months of an agency decision that the child should be placed for adoption,Aged 6,c
2022,Reporting year,National,E92000001,England,Age on starting final period of care,Children adopted during the year who were placed for adoption within 12 months of an agency decision that the child should be placed for adoption,Aged 7 and over,10
2022,Reporting year,National,E92000001,England,Age on starting final period of care,Children adopted during the year who were placed for adoption within 12 months of an agency decision that the child should be placed for adoption,Aged under 1,1660
2022,Reporting year,National,E92000001,England,Age on starting final period of care,Children adopted during the year who were placed for adoption within 12 months of an agency decision that the child should be placed for adoption,Total,2140
2021,Reporting year,National,E92000001,England,Age on starting final period of care,1. Average time between entry into care and decision that child should be placed for adoption,Aged 1,0:7
2021,Reporting year,National,E92000001,England,Age on starting final period of care,1. Average time between entry into care and decision that child should be placed for adoption,Aged 2,0:7
2021,Reporting year,National,E92000001,England,Age on starting final period of care,1. Average time between entry into care and decision that child should be placed for adoption,Aged 3,0:9
2021,Reporting year,National,E92000001,England,Age on starting final period of care,1. Average time between entry into care and decision that child should be placed for adoption,Aged 4,0:7
2021,Reporting year,National,E92000001,England,Age on starting final period of care,1. Average time between entry into care and decision that child should be placed for adoption,Aged 5,0:8
2021,Reporting year,National,E92000001,England,Age on starting final period of care,1. Average time between entry into care and decision that child should be placed for adoption,Aged 6,1:6
2021,Reporting year,National,E92000001,England,Age on starting final period of care,1. Average time between entry into care and decision that child should be placed for adoption,Aged 7 and over,2:4
2021,Reporting year,National,E92000001,England,Age on starting final period of care,1. Average time between entry into care and decision that child should be placed for adoption,Aged under 1,0:6
2021,Reporting year,National,E92000001,England,Age on starting final period of care,1. Average time between entry into care and decision that child should be placed for adoption,Total,0:7
2021,Reporting year,National,E92000001,England,Age on starting final period of care,2. Average time between decision that child should be placed for adoption and matching of child and adopters,Aged 1,0:11
2021,Reporting year,National,E92000001,England,Age on starting final period of care,2. Average time between decision that child should be placed for adoption and matching of child and adopters,Aged 2,1:0
2021,Reporting year,National,E92000001,England,Age on starting final period of care,2. Average time between decision that child should be placed for adoption and matching of child and adopters,Aged 3,1:1
2021,Reporting year,National,E92000001,England,Age on starting final period of care,2. Average time between decision that child should be placed for adoption and matching of child and adopters,Aged 4,1:2
2021,Reporting year,National,E92000001,England,Age on starting final period of care,2. Average time between decision that child should be placed for adoption and matching of child and adopters,Aged 5,0:11
2021,Reporting year,National,E92000001,England,Age on starting final period of care,2. Average time between decision that child should be placed for adoption and matching of child and adopters,Aged 6,0:11
2021,Reporting year,National,E92000001,England,Age on starting final period of care,2. Average time between decision that child should be placed for adoption and matching of child and adopters,Aged 7 and over,0:10
2021,Reporting year,National,E92000001,England,Age on starting final period of care,2. Average time between decision that child should be placed for adoption and matching of child and adopters,Aged under 1,0:7
2021,Reporting year,National,E92000001,England,Age on starting final period of care,2. Average time between decision that child should be placed for adoption and matching of child and adopters,Total,0:9
2021,Reporting year,National,E92000001,England,Age on starting final period of care,3. Average time between date of matching and date placed for adoption,Aged 1,0:1
2021,Reporting year,National,E92000001,England,Age on starting final period of care,3. Average time between date of matching and date placed for adoption,Aged 2,0:1
2021,Reporting year,National,E92000001,England,Age on starting final period of care,3. Average time between date of matching and date placed for adoption,Aged 3,0:1
2021,Reporting year,National,E92000001,England,Age on starting final period of care,3. Average time between date of matching and date placed for adoption,Aged 4,0:1
2021,Reporting year,National,E92000001,England,Age on starting final period of care,3. Average time between date of matching and date placed for adoption,Aged 5,0:1
2021,Reporting year,National,E92000001,England,Age on starting final period of care,3. Average time between date of matching and date placed for adoption,Aged 6,0:1
2021,Reporting year,National,E92000001,England,Age on starting final period of care,3. Average time between date of matching and date placed for adoption,Aged 7 and over,0:1
2021,Reporting year,National,E92000001,England,Age on starting final period of care,3. Average time between date of matching and date placed for adoption,Aged under 1,0:1
2021,Reporting year,National,E92000001,England,Age on starting final period of care,3. Average time between date of matching and date placed for adoption,Total,0:1
2021,Reporting year,National,E92000001,England,Age on starting final period of care,4. Total average time between entry into care and date placed for adoption,Aged 1,1:7
2021,Reporting year,National,E92000001,England,Age on starting final period of care,4. Total average time between entry into care and date placed for adoption,Aged 2,1:7
2021,Reporting year,National,E92000001,England,Age on starting final period of care,4. Total average time between entry into care and date placed for adoption,Aged 3,1:11
2021,Reporting year,National,E92000001,England,Age on starting final period of care,4. Total average time between entry into care and date placed for adoption,Aged 4,1:10
2021,Reporting year,National,E92000001,England,Age on starting final period of care,4. Total average time between entry into care and date placed for adoption,Aged 5,1:8
2021,Reporting year,National,E92000001,England,Age on starting final period of care,4. Total average time between entry into care and date placed for adoption,Aged 6,2:6
2021,Reporting year,National,E92000001,England,Age on starting final period of care,4. Total average time between entry into care and date placed for adoption,Aged 7 and over,3:3
2021,Reporting year,National,E92000001,England,Age on starting final period of care,4. Total average time between entry into care and date placed for adoption,Aged under 1,1:2
2021,Reporting year,National,E92000001,England,Age on starting final period of care,4. Total average time between entry into care and date placed for adoption,Total,1:4
