time_period,time_identifier,geographic_level,country_code,country_name,care_leaver_age,cla_group,characteristic,activity_type,number,percentage
2024,Reporting year,National,E92000001,England,17 years,Ethnicity,Total other ethnic group,"Not in education, employment or training",10,24
2024,Reporting year,National,E92000001,England,17 years,Ethnicity,Total other ethnic group,Total care leavers,30,100
2024,Reporting year,National,E92000001,England,17 years,Ethnicity,Total refused or information not yet available,Education other than higher education,0,0
2024,Reporting year,National,E92000001,England,17 years,Ethnicity,Total refused or information not yet available,Higher education i.e. studies beyond A level,0,0
2024,Reporting year,National,E92000001,England,17 years,Ethnicity,Total refused or information not yet available,In an apprenticeship,0,0
2024,Reporting year,National,E92000001,England,17 years,Ethnicity,Total refused or information not yet available,In training or employment,z,z
2024,Reporting year,National,E92000001,England,17 years,Ethnicity,Total refused or information not yet available,In training or employment (excl. apprenticeship),0,0
2024,Reporting year,National,E92000001,England,17 years,Ethnicity,Total refused or information not yet available,Information not known,c,c
2024,Reporting year,National,E92000001,England,17 years,Ethnicity,Total refused or information not yet available,"Not in education, employment or training",c,c
2024,Reporting year,National,E92000001,England,17 years,Ethnicity,Total refused or information not yet available,Total care leavers,c,c
2024,Reporting year,National,E92000001,England,17 years,Ethnicity,Total White,Education other than higher education,120,38
2024,Reporting year,National,E92000001,England,17 years,Ethnicity,Total White,Higher education i.e. studies beyond A level,10,2
2024,Reporting year,National,E92000001,England,17 years,Ethnicity,Total White,In an apprenticeship,c,c
2024,Reporting year,National,E92000001,England,17 years,Ethnicity,Total White,In training or employment,z,z
2024,Reporting year,National,E92000001,England,17 years,Ethnicity,Total White,In training or employment (excl. apprenticeship),30,8
2024,Reporting year,National,E92000001,England,17 years,Ethnicity,Total White,Information not known,80,26
2024,Reporting year,National,E92000001,England,17 years,Ethnicity,Total White,"Not in education, employment or training",80,25
2024,Reporting year,National,E92000001,England,17 years,Ethnicity,Total White,Total care leavers,320,100
2024,Reporting year,National,E92000001,England,18 years,Ethnicity,Total Asian or Asian British,Education other than higher education,1040,66
2024,Reporting year,National,E92000001,England,18 years,Ethnicity,Total Asian or Asian British,Higher education i.e. studies beyond A level,50,3
2024,Reporting year,National,E92000001,England,18 years,Ethnicity,Total Asian or Asian British,In an apprenticeship,10,k
2024,Reporting year,National,E92000001,England,18 years,Ethnicity,Total Asian or Asian British,In training or employment,z,z
2024,Reporting year,National,E92000001,England,18 years,Ethnicity,Total Asian or Asian British,In training or employment (excl. apprenticeship),130,8
2024,Reporting year,National,E92000001,England,18 years,Ethnicity,Total Asian or Asian British,Information not known,90,5
2024,Reporting year,National,E92000001,England,18 years,Ethnicity,Total Asian or Asian British,"Not in education, employment or training",260,17
2024,Reporting year,National,E92000001,England,18 years,Ethnicity,Total Asian or Asian British,Total care leavers,1560,100
2024,Reporting year,National,E92000001,England,18 years,Ethnicity,"Total Black, African, Caribbean or Black British",Education other than higher education,1320,65
2024,Reporting year,National,E92000001,England,18 years,Ethnicity,"Total Black, African, Caribbean or Black British",Higher education i.e. studies beyond A level,80,4
2024,Reporting year,National,E92000001,England,18 years,Ethnicity,"Total Black, African, Caribbean or Black British",In an apprenticeship,20,1
2024,Reporting year,National,E92000001,England,18 years,Ethnicity,"Total Black, African, Caribbean or Black British",In training or employment,z,z
2024,Reporting year,National,E92000001,England,18 years,Ethnicity,"Total Black, African, Caribbean or Black British",In training or employment (excl. apprenticeship),150,7
2024,Reporting year,National,E92000001,England,18 years,Ethnicity,"Total Black, African, Caribbean or Black British",Information not known,100,5
2024,Reporting year,National,E92000001,England,18 years,Ethnicity,"Total Black, African, Caribbean or Black British","Not in education, employment or training",350,17
2024,Reporting year,National,E92000001,England,18 years,Ethnicity,"Total Black, African, Caribbean or Black British",Total care leavers,2020,100
2024,Reporting year,National,E92000001,England,18 years,Ethnicity,Total ethnicity,Education other than higher education,6620,48
2024,Reporting year,National,E92000001,England,18 years,Ethnicity,Total ethnicity,Higher education i.e. studies beyond A level,450,3
2024,Reporting year,National,E92000001,England,18 years,Ethnicity,Total ethnicity,In an apprenticeship,270,2
2024,Reporting year,National,E92000001,England,18 years,Ethnicity,Total ethnicity,In training or employment,z,z
2024,Reporting year,National,E92000001,England,18 years,Ethnicity,Total ethnicity,In training or employment (excl. apprenticeship),1590,12
2024,Reporting year,National,E92000001,England,18 years,Ethnicity,Total ethnicity,Information not known,710,5
2024,Reporting year,National,E92000001,England,18 years,Ethnicity,Total ethnicity,"Not in education, employment or training",4150,30
2024,Reporting year,National,E92000001,England,18 years,Ethnicity,Total ethnicity,Total care leavers,13800,100
2024,Reporting year,National,E92000001,England,18 years,Ethnicity,Total Mixed or Multiple ethnic groups,Education other than higher education,380,36
2024,Reporting year,National,E92000001,England,18 years,Ethnicity,Total Mixed or Multiple ethnic groups,Higher education i.e. studies beyond A level,40,4
2024,Reporting year,National,E92000001,England,18 years,Ethnicity,Total Mixed or Multiple ethnic groups,In an apprenticeship,30,2
2024,Reporting year,National,E92000001,England,18 years,Ethnicity,Total Mixed or Multiple ethnic groups,In training or employment,z,z
2024,Reporting year,National,E92000001,England,18 years,Ethnicity,Total Mixed or Multiple ethnic groups,In training or employment (excl. apprenticeship),160,16
2024,Reporting year,National,E92000001,England,18 years,Ethnicity,Total Mixed or Multiple ethnic groups,Information not known,40,4
2024,Reporting year,National,E92000001,England,18 years,Ethnicity,Total Mixed or Multiple ethnic groups,"Not in education, employment or training",400,38
2024,Reporting year,National,E92000001,England,18 years,Ethnicity,Total Mixed or Multiple ethnic groups,Total care leavers,1030,100
2024,Reporting year,National,E92000001,England,18 years,Ethnicity,Total other ethnic group,Education other than higher education,1430,66
2024,Reporting year,National,E92000001,England,18 years,Ethnicity,Total other ethnic group,Higher education i.e. studies beyond A level,70,3
2024,Reporting year,National,E92000001,England,18 years,Ethnicity,Total other ethnic group,In an apprenticeship,10,k
2024,Reporting year,National,E92000001,England,18 years,Ethnicity,Total other ethnic group,In training or employment,z,z
2024,Reporting year,National,E92000001,England,18 years,Ethnicity,Total other ethnic group,In training or employment (excl. apprenticeship),140,6
2024,Reporting year,National,E92000001,England,18 years,Ethnicity,Total other ethnic group,Information not known,120,6
2024,Reporting year,National,E92000001,England,18 years,Ethnicity,Total other ethnic group,"Not in education, employment or training",390,18
2024,Reporting year,National,E92000001,England,18 years,Ethnicity,Total other ethnic group,Total care leavers,2150,100
2024,Reporting year,National,E92000001,England,18 years,Ethnicity,Total refused or information not yet available,Education other than higher education,60,69
2024,Reporting year,National,E92000001,England,18 years,Ethnicity,Total refused or information not yet available,Higher education i.e. studies beyond A level,c,c
2024,Reporting year,National,E92000001,England,18 years,Ethnicity,Total refused or information not yet available,In an apprenticeship,0,0
2024,Reporting year,National,E92000001,England,18 years,Ethnicity,Total refused or information not yet available,In training or employment,z,z
2024,Reporting year,National,E92000001,England,18 years,Ethnicity,Total refused or information not yet available,In training or employment (excl. apprenticeship),c,c
2024,Reporting year,National,E92000001,England,18 years,Ethnicity,Total refused or information not yet available,Information not known,10,11
2024,Reporting year,National,E92000001,England,18 years,Ethnicity,Total refused or information not yet available,"Not in education, employment or training",10,15
2024,Reporting year,National,E92000001,England,18 years,Ethnicity,Total refused or information not yet available,Total care leavers,90,100
2024,Reporting year,National,E92000001,England,18 years,Ethnicity,Total White,Education other than higher education,2400,35
2024,Reporting year,National,E92000001,England,18 years,Ethnicity,Total White,Higher education i.e. studies beyond A level,210,3
2024,Reporting year,National,E92000001,England,18 years,Ethnicity,Total White,In an apprenticeship,220,3
2024,Reporting year,National,E92000001,England,18 years,Ethnicity,Total White,In training or employment,z,z
2024,Reporting year,National,E92000001,England,18 years,Ethnicity,Total White,In training or employment (excl. apprenticeship),1010,15
2024,Reporting year,National,E92000001,England,18 years,Ethnicity,Total White,Information not known,360,5
2024,Reporting year,National,E92000001,England,18 years,Ethnicity,Total White,"Not in education, employment or training",2750,40
2024,Reporting year,National,E92000001,England,18 years,Ethnicity,Total White,Total care leavers,6950,100
2024,Reporting year,National,E92000001,England,19 years,Ethnicity,Total Asian or Asian British,Education other than higher education,550,42
2024,Reporting year,National,E92000001,England,19 years,Ethnicity,Total Asian or Asian British,Higher education i.e. studies beyond A level,80,6
2024,Reporting year,National,E92000001,England,19 years,Ethnicity,Total Asian or Asian British,In an apprenticeship,10,1
2024,Reporting year,National,E92000001,England,19 years,Ethnicity,Total Asian or Asian British,In training or employment,z,z
2024,Reporting year,National,E92000001,England,19 years,Ethnicity,Total Asian or Asian British,In training or employment (excl. apprenticeship),240,18
2024,Reporting year,National,E92000001,England,19 years,Ethnicity,Total Asian or Asian British,Information not known,80,6
2024,Reporting year,National,E92000001,England,19 years,Ethnicity,Total Asian or Asian British,"Not in education, employment or training",360,27
2024,Reporting year,National,E92000001,England,19 years,Ethnicity,Total Asian or Asian British,Total care leavers,1300,100
2024,Reporting year,National,E92000001,England,19 years,Ethnicity,"Total Black, African, Caribbean or Black British",Education other than higher education,910,51
2024,Reporting year,National,E92000001,England,19 years,Ethnicity,"Total Black, African, Caribbean or Black British",Higher education i.e. studies beyond A level,120,7
2024,Reporting year,National,E92000001,England,19 years,Ethnicity,"Total Black, African, Caribbean or Black British",In an apprenticeship,20,1
2024,Reporting year,National,E92000001,England,19 years,Ethnicity,"Total Black, African, Caribbean or Black British",In training or employment,z,z
2024,Reporting year,National,E92000001,England,19 years,Ethnicity,"Total Black, African, Caribbean or Black British",In training or employment (excl. apprenticeship),250,14
2024,Reporting year,National,E92000001,England,19 years,Ethnicity,"Total Black, African, Caribbean or Black British",Information not known,80,4
2024,Reporting year,National,E92000001,England,19 years,Ethnicity,"Total Black, African, Caribbean or Black British","Not in education, employment or training",410,23
2024,Reporting year,National,E92000001,England,19 years,Ethnicity,"Total Black, African, Caribbean or Black British",Total care leavers,1790,100
2024,Reporting year,National,E92000001,England,19 years,Ethnicity,Total ethnicity,Education other than higher education,3890,30
2024,Reporting year,National,E92000001,England,19 years,Ethnicity,Total ethnicity,Higher education i.e. studies beyond A level,690,5
2024,Reporting year,National,E92000001,England,19 years,Ethnicity,Total ethnicity,In an apprenticeship,260,2
2024,Reporting year,National,E92000001,England,19 years,Ethnicity,Total ethnicity,In training or employment,z,z
2024,Reporting year,National,E92000001,England,19 years,Ethnicity,Total ethnicity,In training or employment (excl. apprenticeship),2580,20
2024,Reporting year,National,E92000001,England,19 years,Ethnicity,Total ethnicity,Information not known,690,5
2024,Reporting year,National,E92000001,England,19 years,Ethnicity,Total ethnicity,"Not in education, employment or training",4810,37
2024,Reporting year,National,E92000001,England,19 years,Ethnicity,Total ethnicity,Total care leavers,12930,100
2024,Reporting year,National,E92000001,England,19 years,Ethnicity,Total Mixed or Multiple ethnic groups,Education other than higher education,230,22
2024,Reporting year,National,E92000001,England,19 years,Ethnicity,Total Mixed or Multiple ethnic groups,Higher education i.e. studies beyond A level,70,7
2024,Reporting year,National,E92000001,England,19 years,Ethnicity,Total Mixed or Multiple ethnic groups,In an apprenticeship,30,3
2024,Reporting year,National,E92000001,England,19 years,Ethnicity,Total Mixed or Multiple ethnic groups,In training or employment,z,z
2024,Reporting year,National,E92000001,England,19 years,Ethnicity,Total Mixed or Multiple ethnic groups,In training or employment (excl. apprenticeship),230,23
2024,Reporting year,National,E92000001,England,19 years,Ethnicity,Total Mixed or Multiple ethnic groups,Information not known,50,5
2024,Reporting year,National,E92000001,England,19 years,Ethnicity,Total Mixed or Multiple ethnic groups,"Not in education, employment or training",420,41
2024,Reporting year,National,E92000001,England,19 years,Ethnicity,Total Mixed or Multiple ethnic groups,Total care leavers,1020,100
2024,Reporting year,National,E92000001,England,19 years,Ethnicity,Total other ethnic group,Education other than higher education,830,47
2024,Reporting year,National,E92000001,England,19 years,Ethnicity,Total other ethnic group,Higher education i.e. studies beyond A level,50,3
2024,Reporting year,National,E92000001,England,19 years,Ethnicity,Total other ethnic group,In an apprenticeship,20,1
2024,Reporting year,National,E92000001,England,19 years,Ethnicity,Total other ethnic group,In training or employment,z,z
2024,Reporting year,National,E92000001,England,19 years,Ethnicity,Total other ethnic group,In training or employment (excl. apprenticeship),290,16
2024,Reporting year,National,E92000001,England,19 years,Ethnicity,Total other ethnic group,Information not known,120,7
2024,Reporting year,National,E92000001,England,19 years,Ethnicity,Total other ethnic group,"Not in education, employment or training",460,26
2024,Reporting year,National,E92000001,England,19 years,Ethnicity,Total other ethnic group,Total care leavers,1760,100
2024,Reporting year,National,E92000001,England,19 years,Ethnicity,Total refused or information not yet available,Education other than higher education,30,52
2024,Reporting year,National,E92000001,England,19 years,Ethnicity,Total refused or information not yet available,Higher education i.e. studies beyond A level,0,0
2024,Reporting year,National,E92000001,England,19 years,Ethnicity,Total refused or information not yet available,In an apprenticeship,0,0
2024,Reporting year,National,E92000001,England,19 years,Ethnicity,Total refused or information not yet available,In training or employment,z,z
2024,Reporting year,National,E92000001,England,19 years,Ethnicity,Total refused or information not yet available,In training or employment (excl. apprenticeship),c,c
2024,Reporting year,National,E92000001,England,19 years,Ethnicity,Total refused or information not yet available,Information not known,10,12
2024,Reporting year,National,E92000001,England,19 years,Ethnicity,Total refused or information not yet available,"Not in education, employment or training",20,29
2024,Reporting year,National,E92000001,England,19 years,Ethnicity,Total refused or information not yet available,Total care leavers,50,100
2024,Reporting year,National,E92000001,England,19 years,Ethnicity,Total White,Education other than higher education,1340,19
2024,Reporting year,National,E92000001,England,19 years,Ethnicity,Total White,Higher education i.e. studies beyond A level,370,5
2024,Reporting year,National,E92000001,England,19 years,Ethnicity,Total White,In an apprenticeship,190,3
2024,Reporting year,National,E92000001,England,19 years,Ethnicity,Total White,In training or employment,z,z
2024,Reporting year,National,E92000001,England,19 years,Ethnicity,Total White,In training or employment (excl. apprenticeship),1570,22
2024,Reporting year,National,E92000001,England,19 years,Ethnicity,Total White,Information not known,380,5
2024,Reporting year,National,E92000001,England,19 years,Ethnicity,Total White,"Not in education, employment or training",3160,45
2024,Reporting year,National,E92000001,England,19 years,Ethnicity,Total White,Total care leavers,7000,100
2024,Reporting year,National,E92000001,England,19to21 years,Ethnicity,Total Asian or Asian British,Education other than higher education,890,26
2024,Reporting year,National,E92000001,England,19to21 years,Ethnicity,Total Asian or Asian British,Higher education i.e. studies beyond A level,260,8
2024,Reporting year,National,E92000001,England,19to21 years,Ethnicity,Total Asian or Asian British,In an apprenticeship,40,1
2024,Reporting year,National,E92000001,England,19to21 years,Ethnicity,Total Asian or Asian British,In training or employment,z,z
2024,Reporting year,National,E92000001,England,19to21 years,Ethnicity,Total Asian or Asian British,In training or employment (excl. apprenticeship),990,29
2024,Reporting year,National,E92000001,England,19to21 years,Ethnicity,Total Asian or Asian British,Information not known,280,8
2024,Reporting year,National,E92000001,England,19to21 years,Ethnicity,Total Asian or Asian British,"Not in education, employment or training",910,27
2024,Reporting year,National,E92000001,England,19to21 years,Ethnicity,Total Asian or Asian British,Total care leavers,3380,100
2024,Reporting year,National,E92000001,England,19to21 years,Ethnicity,"Total Black, African, Caribbean or Black British",Education other than higher education,2050,37
2024,Reporting year,National,E92000001,England,19to21 years,Ethnicity,"Total Black, African, Caribbean or Black British",Higher education i.e. studies beyond A level,420,8
2024,Reporting year,National,E92000001,England,19to21 years,Ethnicity,"Total Black, African, Caribbean or Black British",In an apprenticeship,60,1
2024,Reporting year,National,E92000001,England,19to21 years,Ethnicity,"Total Black, African, Caribbean or Black British",In training or employment,z,z
2024,Reporting year,National,E92000001,England,19to21 years,Ethnicity,"Total Black, African, Caribbean or Black British",In training or employment (excl. apprenticeship),1050,19
2024,Reporting year,National,E92000001,England,19to21 years,Ethnicity,"Total Black, African, Caribbean or Black British",Information not known,350,6
2024,Reporting year,National,E92000001,England,19to21 years,Ethnicity,"Total Black, African, Caribbean or Black British","Not in education, employment or training",1550,28
2024,Reporting year,National,E92000001,England,19to21 years,Ethnicity,"Total Black, African, Caribbean or Black British",Total care leavers,5480,100
2024,Reporting year,National,E92000001,England,19to21 years,Ethnicity,Total ethnicity,Education other than higher education,7480,21
2024,Reporting year,National,E92000001,England,19to21 years,Ethnicity,Total ethnicity,Higher education i.e. studies beyond A level,2260,6
2024,Reporting year,National,E92000001,England,19to21 years,Ethnicity,Total ethnicity,In an apprenticeship,660,2
2024,Reporting year,National,E92000001,England,19to21 years,Ethnicity,Total ethnicity,In training or employment,z,z
2024,Reporting year,National,E92000001,England,19to21 years,Ethnicity,Total ethnicity,In training or employment (excl. apprenticeship),9160,25
2024,Reporting year,National,E92000001,England,19to21 years,Ethnicity,Total ethnicity,Information not known,2520,7
2024,Reporting year,National,E92000001,England,19to21 years,Ethnicity,Total ethnicity,"Not in education, employment or training",14300,39
2024,Reporting year,National,E92000001,England,19to21 years,Ethnicity,Total ethnicity,Total care leavers,36370,100
2024,Reporting year,National,E92000001,England,19to21 years,Ethnicity,Total Mixed or Multiple ethnic groups,Education other than higher education,410,15
2024,Reporting year,National,E92000001,England,19to21 years,Ethnicity,Total Mixed or Multiple ethnic groups,Higher education i.e. studies beyond A level,220,8
2024,Reporting year,National,E92000001,England,19to21 years,Ethnicity,Total Mixed or Multiple ethnic groups,In an apprenticeship,60,2
2024,Reporting year,National,E92000001,England,19to21 years,Ethnicity,Total Mixed or Multiple ethnic groups,In training or employment,z,z
2024,Reporting year,National,E92000001,England,19to21 years,Ethnicity,Total Mixed or Multiple ethnic groups,In training or employment (excl. apprenticeship),720,26
2024,Reporting year,National,E92000001,England,19to21 years,Ethnicity,Total Mixed or Multiple ethnic groups,Information not known,140,5
2024,Reporting year,National,E92000001,England,19to21 years,Ethnicity,Total Mixed or Multiple ethnic groups,"Not in education, employment or training",1210,44
2024,Reporting year,National,E92000001,England,19to21 years,Ethnicity,Total Mixed or Multiple ethnic groups,Total care leavers,2750,100
2024,Reporting year,National,E92000001,England,19to21 years,Ethnicity,Total other ethnic group,Education other than higher education,1380,32
2024,Reporting year,National,E92000001,England,19to21 years,Ethnicity,Total other ethnic group,Higher education i.e. studies beyond A level,150,4
2024,Reporting year,National,E92000001,England,19to21 years,Ethnicity,Total other ethnic group,In an apprenticeship,40,1
2024,Reporting year,National,E92000001,England,19to21 years,Ethnicity,Total other ethnic group,In training or employment,z,z
2024,Reporting year,National,E92000001,England,19to21 years,Ethnicity,Total other ethnic group,In training or employment (excl. apprenticeship),1190,28
2024,Reporting year,National,E92000001,England,19to21 years,Ethnicity,Total other ethnic group,Information not known,330,8
2024,Reporting year,National,E92000001,England,19to21 years,Ethnicity,Total other ethnic group,"Not in education, employment or training",1180,28
2024,Reporting year,National,E92000001,England,19to21 years,Ethnicity,Total other ethnic group,Total care leavers,4260,100
2024,Reporting year,National,E92000001,England,19to21 years,Ethnicity,Total refused or information not yet available,Education other than higher education,40,38
2024,Reporting year,National,E92000001,England,19to21 years,Ethnicity,Total refused or information not yet available,Higher education i.e. studies beyond A level,0,0
2024,Reporting year,National,E92000001,England,19to21 years,Ethnicity,Total refused or information not yet available,In an apprenticeship,0,0
2024,Reporting year,National,E92000001,England,19to21 years,Ethnicity,Total refused or information not yet available,In training or employment,z,z
2024,Reporting year,National,E92000001,England,19to21 years,Ethnicity,Total refused or information not yet available,In training or employment (excl. apprenticeship),20,14
2024,Reporting year,National,E92000001,England,19to21 years,Ethnicity,Total refused or information not yet available,Information not known,10,13
2024,Reporting year,National,E92000001,England,19to21 years,Ethnicity,Total refused or information not yet available,"Not in education, employment or training",40,35
2024,Reporting year,National,E92000001,England,19to21 years,Ethnicity,Total refused or information not yet available,Total care leavers,110,100
2024,Reporting year,National,E92000001,England,19to21 years,Ethnicity,Total White,Education other than higher education,2720,13
2024,Reporting year,National,E92000001,England,19to21 years,Ethnicity,Total White,Higher education i.e. studies beyond A level,1210,6
2024,Reporting year,National,E92000001,England,19to21 years,Ethnicity,Total White,In an apprenticeship,450,2
2024,Reporting year,National,E92000001,England,19to21 years,Ethnicity,Total White,In training or employment,z,z
2024,Reporting year,National,E92000001,England,19to21 years,Ethnicity,Total White,In training or employment (excl. apprenticeship),5200,26
2024,Reporting year,National,E92000001,England,19to21 years,Ethnicity,Total White,Information not known,1400,7
2024,Reporting year,National,E92000001,England,19to21 years,Ethnicity,Total White,"Not in education, employment or training",9420,46
2024,Reporting year,National,E92000001,England,19to21 years,Ethnicity,Total White,Total care leavers,20400,100
2024,Reporting year,National,E92000001,England,20 years,Ethnicity,Total Asian or Asian British,Education other than higher education,230,22
2024,Reporting year,National,E92000001,England,20 years,Ethnicity,Total Asian or Asian British,Higher education i.e. studies beyond A level,100,10
2024,Reporting year,National,E92000001,England,20 years,Ethnicity,Total Asian or Asian British,In an apprenticeship,20,2
2024,Reporting year,National,E92000001,England,20 years,Ethnicity,Total Asian or Asian British,In training or employment,z,z
2024,Reporting year,National,E92000001,England,20 years,Ethnicity,Total Asian or Asian British,In training or employment (excl. apprenticeship),340,33
2024,Reporting year,National,E92000001,England,20 years,Ethnicity,Total Asian or Asian British,Information not known,80,8
2024,Reporting year,National,E92000001,England,20 years,Ethnicity,Total Asian or Asian British,"Not in education, employment or training",260,25
2024,Reporting year,National,E92000001,England,20 years,Ethnicity,Total Asian or Asian British,Total care leavers,1040,100
2024,Reporting year,National,E92000001,England,20 years,Ethnicity,"Total Black, African, Caribbean or Black British",Education other than higher education,670,37
2024,Reporting year,National,E92000001,England,20 years,Ethnicity,"Total Black, African, Caribbean or Black British",Higher education i.e. studies beyond A level,140,8
2024,Reporting year,National,E92000001,England,20 years,Ethnicity,"Total Black, African, Caribbean or Black British",In an apprenticeship,20,1
2024,Reporting year,National,E92000001,England,20 years,Ethnicity,"Total Black, African, Caribbean or Black British",In training or employment,z,z
2024,Reporting year,National,E92000001,England,20 years,Ethnicity,"Total Black, African, Caribbean or Black British",In training or employment (excl. apprenticeship),340,19
2024,Reporting year,National,E92000001,England,20 years,Ethnicity,"Total Black, African, Caribbean or Black British",Information not known,110,6
2024,Reporting year,National,E92000001,England,20 years,Ethnicity,"Total Black, African, Caribbean or Black British","Not in education, employment or training",510,29
2024,Reporting year,National,E92000001,England,20 years,Ethnicity,"Total Black, African, Caribbean or Black British",Total care leavers,1780,100
2024,Reporting year,National,E92000001,England,20 years,Ethnicity,Total ethnicity,Education other than higher education,2180,18
2024,Reporting year,National,E92000001,England,20 years,Ethnicity,Total ethnicity,Higher education i.e. studies beyond A level,800,7
2024,Reporting year,National,E92000001,England,20 years,Ethnicity,Total ethnicity,In an apprenticeship,230,2
2024,Reporting year,National,E92000001,England,20 years,Ethnicity,Total ethnicity,In training or employment,z,z
2024,Reporting year,National,E92000001,England,20 years,Ethnicity,Total ethnicity,In training or employment (excl. apprenticeship),3080,26
2024,Reporting year,National,E92000001,England,20 years,Ethnicity,Total ethnicity,Information not known,750,6
2024,Reporting year,National,E92000001,England,20 years,Ethnicity,Total ethnicity,"Not in education, employment or training",4840,41
2024,Reporting year,National,E92000001,England,20 years,Ethnicity,Total ethnicity,Total care leavers,11880,100
2024,Reporting year,National,E92000001,England,20 years,Ethnicity,Total Mixed or Multiple ethnic groups,Education other than higher education,110,13
2024,Reporting year,National,E92000001,England,20 years,Ethnicity,Total Mixed or Multiple ethnic groups,Higher education i.e. studies beyond A level,70,8
2024,Reporting year,National,E92000001,England,20 years,Ethnicity,Total Mixed or Multiple ethnic groups,In an apprenticeship,10,2
2024,Reporting year,National,E92000001,England,20 years,Ethnicity,Total Mixed or Multiple ethnic groups,In training or employment,z,z
