time_period,time_identifier,geographic_level,country_code,country_name,CLA_group,population_group,characteristic,Number
2024,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Placement,Residential schools,150
2024,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Placement,Secure homes and children's homes,12060
2024,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Placement,Total children,139640
2024,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Age group,1 to 4 years,6820
2024,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Age group,10 to 15 years,25580
2024,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Age group,16 years and over,15980
2024,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Age group,5 to 9 years,11100
2024,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Age group,Total children,59480
2024,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,1. Total White,44490
2024,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,1a. White British,41440
2024,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,1b. White Irish,130
2024,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,1c. Traveller of Irish Heritage,130
2024,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,1d. Gypsy Roma,470
2024,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,1e. Any other White background,2330
2024,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,2. Total Mixed or Multiple ethnic groups,6640
2024,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,2a. White and Black Caribbean,2200
2024,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,2b. White and Black African,780
2024,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,2c. White and Asian,1440
2024,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,2d. Any other Mixed background,2230
2024,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,3. Total Asian or Asian British,2670
2024,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,3a. Indian,240
2024,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,3b. Pakistani,740
2024,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,3c. Bangladeshi,280
2024,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,3d. Chinese,70
2024,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,3e. Any other Asian background,1340
2024,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,"4. Total Black, African, Caribbean or Black British",3520
2024,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,4a. Caribbean,860
2024,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,4b. African,1810
2024,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,4c. Any other Black background,850
2024,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,5. Total other ethnic group,1930
2024,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,6. Total Refused or information not yet available,240
2024,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,6a. Refused,20
2024,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,6b. Information not yet obtained,210
2024,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,Total children,59480
2024,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Gender,Female,26050
2024,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Gender,Male,33420
2024,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Gender,Total children,59480
2024,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Placement,Foster placements,41480
2024,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Placement,Independent and semi-independent living arrangements/ supported accommodation,2750
2024,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Placement,Other placement,1920
2024,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Placement,Other residential settings,560
2024,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Placement,Placed for adoption,1790
2024,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Placement,Placed with parents or other persons with parental responsibility,4020
2024,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Placement,Residential schools,60
2024,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Placement,Secure homes and children's homes,6910
2024,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Placement,Total children,59480
2024,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Age group,Under 1 year,0
2023,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Age group,1 to 4 years,17420
2023,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Age group,10 to 15 years,35960
2023,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Age group,16 years and over,37420
2023,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Age group,5 to 9 years,18500
2023,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Age group,Total children,114760
2023,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Age group,Under 1 year,5470
2023,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,1. Total White,78960
2023,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,1a. White British,72890
2023,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,1b. White Irish,260
2023,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,1c. Traveller of Irish Heritage,250
2023,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,1d. Gypsy Roma,750
2023,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,1e. Any other White background,4810
2023,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,2. Total Mixed or Multiple ethnic groups,11750
2023,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,2a. White and Black Caribbean,3850
2023,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,2b. White and Black African,1410
2023,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,2c. White and Asian,2330
2023,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,2d. Any other Mixed background,4170
2023,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,3. Total Asian or Asian British,6880
2023,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,3a. Indian,510
2023,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,3b. Pakistani,1550
2023,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,3c. Bangladeshi,630
2023,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,3d. Chinese,150
2023,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,3e. Any other Asian background,4050
2023,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,"4. Total Black, African, Caribbean or Black British",9270
2023,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,4a. Caribbean,1720
2023,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,4b. African,5620
2023,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,4c. Any other Black background,1930
2023,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,5. Total other ethnic group,7170
2023,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,6. Total Refused or information not yet available,730
2023,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,6a. Refused,70
2023,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,6b. Information not yet obtained,660
2023,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,Total children,114760
2023,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Gender,Female,48480
2023,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Gender,Male,66290
2023,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Gender,Total children,114760
2023,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Placement,Foster placements,79970
2023,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Placement,Independent and semi-independent living arrangements/ supported accommodation,18650
2023,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Placement,Other placement,3560
2023,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Placement,Other residential settings,4100
2023,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Placement,Placed for adoption,5230
2023,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Placement,Placed with parents or other persons with parental responsibility,12100
2023,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Placement,Residential schools,160
2023,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Placement,Secure homes and children's homes,11650
2023,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Placement,Total children,135410
2023,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Age group,1 to 4 years,7040
2023,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Age group,10 to 15 years,25730
2023,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Age group,16 years and over,14870
2023,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Age group,5 to 9 years,11090
2023,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Age group,Total children,58730
2023,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Age group,Under 1 year,c
2023,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,1. Total White,44620
2023,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,1a. White British,41860
2023,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,1b. White Irish,140
2023,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,1c. Traveller of Irish Heritage,120
2023,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,1d. Gypsy Roma,450
2023,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,1e. Any other White background,2040
2023,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,2. Total Mixed or Multiple ethnic groups,6610
2023,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,2a. White and Black Caribbean,2180
2023,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,2b. White and Black African,770
2023,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,2c. White and Asian,1410
2023,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,2d. Any other Mixed background,2250
2023,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,3. Total Asian or Asian British,2330
2023,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,3a. Indian,220
2023,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,3b. Pakistani,750
2023,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,3c. Bangladeshi,280
2023,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,3d. Chinese,70
2023,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,3e. Any other Asian background,1020
2023,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,"4. Total Black, African, Caribbean or Black British",3450
2023,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,4a. Caribbean,910
2023,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,4b. African,1740
2023,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,4c. Any other Black background,800
2023,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,5. Total other ethnic group,1600
2023,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,6. Total Refused or information not yet available,130
2023,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,6a. Refused,20
2023,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,6b. Information not yet obtained,110
2023,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,Total children,58730
2023,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Gender,Female,26090
2023,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Gender,Male,32650
2023,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Gender,Total children,58730
2023,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Placement,Foster placements,41340
2023,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Placement,Independent and semi-independent living arrangements/ supported accommodation,3640
2023,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Placement,Other placement,550
2023,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Placement,Other residential settings,490
2023,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Placement,Placed for adoption,2070
2023,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Placement,Placed with parents or other persons with parental responsibility,4280
2023,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Placement,Residential schools,70
2023,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Placement,Secure homes and children's homes,6300
2023,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Placement,Total children,58730
2022,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Age group,1 to 4 years,17600
2022,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Age group,10 to 15 years,35640
2022,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Age group,16 years and over,34220
2022,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Age group,5 to 9 years,18420
2022,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Age group,Total children,111440
2022,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Age group,Under 1 year,5560
2022,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,1. Total White,78890
2022,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,1a. White British,73370
2022,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,1b. White Irish,270
2022,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,1c. Traveller of Irish Heritage,240
2022,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,1d. Gypsy Roma,710
2022,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,1e. Any other White background,4310
2022,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,2. Total Mixed or Multiple ethnic groups,11460
2022,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,2a. White and Black Caribbean,3790
2022,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,2b. White and Black African,1360
2022,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,2c. White and Asian,2300
2022,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,2d. Any other Mixed background,4000
2022,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,3. Total Asian or Asian British,6010
2022,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,3a. Indian,470
2022,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,3b. Pakistani,1520
2022,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,3c. Bangladeshi,620
2022,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,3d. Chinese,160
2022,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,3e. Any other Asian background,3240
2022,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,"4. Total Black, African, Caribbean or Black British",8740
2022,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,4a. Caribbean,1870
2022,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,4b. African,5040
2022,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,4c. Any other Black background,1840
2022,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,5. Total other ethnic group,5780
2022,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,6. Total Refused or information not yet available,560
2022,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,6a. Refused,50
2022,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,6b. Information not yet obtained,510
2022,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,Total children,111440
2022,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Gender,Female,48080
2022,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Gender,Male,63370
2022,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Gender,Total children,111440
2022,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Placement,Foster placements,79900
2022,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Placement,Independent and semi-independent living arrangements/ supported accommodation,15650
2022,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Placement,Other placement,2540
2022,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Placement,Other residential settings,3680
2022,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Placement,Placed for adoption,5380
2022,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Placement,Placed with parents or other persons with parental responsibility,11740
2022,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Placement,Residential schools,180
2022,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Placement,Secure homes and children's homes,11150
2022,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Placement,Total children,130220
2022,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Age group,1 to 4 years,7210
2022,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Age group,10 to 15 years,25890
2022,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Age group,16 years and over,14040
2022,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Age group,5 to 9 years,11120
2022,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Age group,Total children,58250
2022,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Age group,Under 1 year,c
2022,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,1. Total White,44900
2022,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,1a. White British,42250
2022,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,1b. White Irish,140
2022,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,1c. Traveller of Irish Heritage,130
2022,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,1d. Gypsy Roma,450
2022,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,1e. Any other White background,1940
2022,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,2. Total Mixed or Multiple ethnic groups,6400
2022,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,2a. White and Black Caribbean,2210
2022,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,2b. White and Black African,720
2022,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,2c. White and Asian,1350
2022,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,2d. Any other Mixed background,2120
2022,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,3. Total Asian or Asian British,2200
2022,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,3a. Indian,210
2022,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,3b. Pakistani,700
2022,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,3c. Bangladeshi,300
2022,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,3d. Chinese,70
2022,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,3e. Any other Asian background,910
2022,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,"4. Total Black, African, Caribbean or Black British",3440
2022,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,4a. Caribbean,950
2022,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,4b. African,1680
2022,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,4c. Any other Black background,800
2022,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,5. Total other ethnic group,1230
