time_period,time_identifier,level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,performance_type,cla_ks2_reading_number_eligible,cla_ks2_reading_number_achieving,cla_ks2_reading_%,cla_ks2_writing_number_eligible,cla_ks2_writing_number_achieving,cla_ks2_writing_%,cla_ks2_mathematics_number_eligible,cla_ks2_mathematics_number_achieving,cla_ks2_mathematics_%,cla_ks2_gps_number_eligible,cla_ks2_gps_number_achieving,cla_ks2_gps_%,cla_ks2_rmw_number_eligible,cla_ks2_rmw_number_achieving,cla_ks2_rmw_%,cla_ks2_reading_progress_eligible,cla_ks2_reading_progress_total_score,cla_ks2_reading_average_progress_score,cla_ks2_writing_progress_eligible,cla_ks2_writing_progress_total_score,cla_ks2_writing_average_progress_score,cla_ks2_mathematics_progress_eligible,cla_ks2_mathematics_progress_total_score,cla_ks2_mathematics_average_progress_score
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E13000001,Inner London,213,E09000033,Westminster,KS2,6,c,c,6,c,c,6,c,c,6,c,c,6,c,c,6,-3.3,-0.5,6,-7.1,-1.2,6,6.9,1.2
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E13000002,Outer London,301,E09000002,Barking and Dagenham,KS2,23,14,61,23,16,70,23,13,57,23,14,61,23,10,43,21,45.3,2.2,22,55.2,2.5,21,29.9,1.4
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E13000002,Outer London,302,E09000003,Barnet,KS2,7,c,c,7,c,c,7,c,c,7,c,c,7,c,c,c,c,c,6,-4.5,-0.8,6,0.4,0.1
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E13000002,Outer London,303,E09000004,Bexley,KS2,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E13000002,Outer London,304,E09000005,Brent,KS2,7,c,c,7,c,c,7,c,c,7,c,c,7,c,c,7,18.1,2.6,7,-14.1,-2,7,7.9,1.1
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E13000002,Outer London,305,E09000006,Bromley,KS2,11,c,c,11,c,c,11,c,c,11,c,c,11,c,c,11,37,3.4,11,5.6,0.5,11,11.9,1.1
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E13000002,Outer London,306,E09000008,Croydon,KS2,19,12,63,19,12,63,19,13,68,19,12,63,19,11,58,17,26.1,1.5,17,-22.8,-1.3,17,-8.1,-0.5
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E13000002,Outer London,307,E09000009,Ealing,KS2,13,c,c,13,c,c,13,c,c,13,7,54,13,c,c,12,-16.9,-1.4,12,-23.2,-1.9,12,-27.6,-2.3
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E13000002,Outer London,308,E09000010,Enfield,KS2,11,c,c,11,c,c,11,c,c,11,c,c,11,c,c,9,0.1,0,9,-28.1,-3.1,9,-16.1,-1.8
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E13000001,Inner London,309,E09000014,Haringey,KS2,20,12,60,20,10,50,20,11,55,20,11,55,20,9,45,18,1.8,0.1,19,-25.9,-1.4,18,-37.7,-2.1
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E13000002,Outer London,310,E09000015,Harrow,KS2,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E13000002,Outer London,311,E09000016,Havering,KS2,13,7,54,13,c,c,13,7,54,13,6,46,13,c,c,12,46,3.8,12,-14.3,-1.2,12,15.7,1.3
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E13000002,Outer London,312,E09000017,Hillingdon,KS2,6,c,c,6,c,c,6,c,c,6,c,c,6,c,c,6,24.8,4.1,6,6.2,1,6,-3,-0.5
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E13000002,Outer London,313,E09000018,Hounslow,KS2,10,c,c,10,c,c,10,c,c,10,c,c,10,c,c,9,40.3,4.5,9,-17.6,-2,9,15.4,1.7
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E13000002,Outer London,314,E09000021,Kingston upon Thames,KS2,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E13000002,Outer London,315,E09000024,Merton,KS2,8,c,c,8,c,c,8,c,c,8,c,c,8,c,c,7,-16.2,-2.3,7,-26.3,-3.8,7,-23.9,-3.4
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E13000001,Inner London,316,E09000025,Newham,KS2,7,c,c,7,c,c,7,c,c,7,c,c,7,c,c,6,22.1,3.7,6,11.6,1.9,6,10.1,1.7
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E13000002,Outer London,317,E09000026,Redbridge,KS2,7,c,c,7,c,c,7,c,c,7,c,c,7,c,c,6,3.7,0.6,6,5.1,0.8,6,-13.1,-2.2
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E13000002,Outer London,318,E09000027,Richmond upon Thames,KS2,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E13000002,Outer London,319,E09000029,Sutton,KS2,10,c,c,10,c,c,10,c,c,10,c,c,10,c,c,10,41.7,4.2,10,-0.7,-0.1,10,30.8,3.1
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E13000002,Outer London,320,E09000031,Waltham Forest,KS2,7,c,c,7,c,c,7,c,c,7,c,c,7,c,c,7,21.3,3,7,-3.1,-0.4,7,-14.1,-2
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000005,West Midlands,330,E08000025,Birmingham,KS2,92,44,48,92,45,49,92,41,45,92,48,52,92,31,34,86,-122.8,-1.4,90,-132.4,-1.5,86,-104.3,-1.2
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000005,West Midlands,331,E08000026,Coventry,KS2,31,14,45,31,12,39,31,11,35,31,12,39,31,8,26,30,-45.9,-1.5,30,-98.4,-3.3,30,-112.7,-3.8
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000005,West Midlands,332,E08000027,Dudley,KS2,34,15,44,34,13,38,34,15,44,34,14,41,34,10,29,34,-51.7,-1.5,34,-65.1,-1.9,34,-49.8,-1.5
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000005,West Midlands,333,E08000028,Sandwell,KS2,29,14,48,29,12,41,29,11,38,29,14,48,29,7,24,28,-10.1,-0.4,29,-32.6,-1.1,28,-40.8,-1.5
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000005,West Midlands,334,E08000029,Solihull,KS2,13,c,c,13,c,c,13,c,c,13,c,c,13,7,54,10,15.6,1.6,10,13.4,1.3,10,-26.7,-2.7
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000005,West Midlands,335,E08000030,Walsall,KS2,33,19,58,33,14,42,33,17,52,33,17,52,33,12,36,30,67.3,2.2,30,-50.4,-1.7,29,27.4,0.9
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000005,West Midlands,336,E08000031,Wolverhampton,KS2,42,21,50,42,19,45,42,15,36,42,21,50,42,9,21,42,-28.6,-0.7,42,-63.3,-1.5,42,-145.5,-3.5
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000002,North West,340,E08000011,Knowsley,KS2,15,6,40,15,8,53,15,7,47,15,9,60,15,c,c,14,64.6,4.6,15,46.7,3.1,14,52.2,3.7
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000002,North West,341,E08000012,Liverpool,KS2,54,31,57,54,32,59,54,29,54,54,32,59,54,23,43,51,-22,-0.4,51,-24.6,-0.5,51,-12.5,-0.2
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000002,North West,342,E08000013,St. Helens,KS2,20,8,40,20,9,45,20,7,35,20,8,40,20,c,c,19,-44.3,-2.3,20,-8.2,-0.4,19,-36.5,-1.9
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000002,North West,343,E08000014,Sefton,KS2,15,9,60,15,6,40,15,7,47,15,9,60,15,c,c,14,35.2,2.5,14,-23,-1.6,14,35.1,2.5
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000002,North West,344,E08000015,Wirral,KS2,31,14,45,31,15,48,31,13,42,31,14,45,31,7,23,30,16.2,0.5,31,3.4,0.1,31,-12,-0.4
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000002,North West,350,E08000001,Bolton,KS2,30,16,53,30,13,43,30,16,53,30,15,50,30,10,33,26,70.1,2.7,26,12.8,0.5,26,62.6,2.4
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000002,North West,351,E08000002,Bury,KS2,23,9,39,23,7,30,23,8,35,23,9,39,23,7,30,21,-45.2,-2.2,22,-67.5,-3.1,21,-39,-1.9
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000002,North West,352,E08000003,Manchester,KS2,70,43,61,70,40,57,70,37,53,70,44,63,70,29,41,61,74.8,1.2,63,55.9,0.9,62,38.9,0.6
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000002,North West,353,E08000004,Oldham,KS2,21,14,67,21,11,52,21,12,57,21,13,62,21,9,43,21,64.5,3.1,21,3.9,0.2,21,19.1,0.9
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000002,North West,354,E08000005,Rochdale,KS2,20,11,55,20,11,55,20,11,55,20,10,50,20,10,50,20,-19.4,-1,20,-20.5,-1,20,-50.7,-2.5
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000002,North West,355,E08000006,Salford,KS2,20,11,55,20,11,55,20,10,50,20,11,55,20,10,50,18,38.1,2.1,19,13.4,0.7,17,14.9,0.9
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000002,North West,356,E08000007,Stockport,KS2,12,c,c,12,c,c,12,6,50,12,6,50,12,c,c,11,-5.1,-0.5,11,-14.6,-1.3,11,-15,-1.4
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000002,North West,357,E08000008,Tameside,KS2,26,17,65,26,17,65,26,19,73,26,18,69,26,15,58,26,17.7,0.7,26,-4.1,-0.2,26,47.9,1.8
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000002,North West,358,E08000009,Trafford,KS2,20,10,50,20,9,45,20,9,45,20,6,30,20,7,35,17,22.5,1.3,18,-11.9,-0.7,16,-8.4,-0.5
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000002,North West,359,E08000010,Wigan,KS2,33,17,52,33,16,48,33,13,39,33,14,42,33,10,30,32,9.2,0.3,33,-17,-0.5,32,-26.3,-0.8
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,370,E08000016,Barnsley,KS2,16,c,c,16,c,c,16,c,c,16,c,c,16,c,c,14,-23.1,-1.7,16,-12.6,-0.8,14,-25.5,-1.8
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,371,E08000017,Doncaster,KS2,20,12,60,20,14,70,20,12,60,20,11,55,20,11,55,18,28.8,1.6,18,66.9,3.7,18,52.6,2.9
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,372,E08000018,Rotherham,KS2,22,9,41,22,13,59,22,10,45,22,13,59,22,7,32,20,-16.6,-0.8,21,55.4,2.6,21,1,0
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,373,E08000019,Sheffield,KS2,29,17,59,29,16,55,29,16,55,29,16,55,29,12,41,27,-85.3,-3.2,28,-57.9,-2.1,26,-48.1,-1.9
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,380,E08000032,Bradford,KS2,47,23,49,47,20,43,47,22,47,47,22,47,47,13,28,39,-29.3,-0.8,40,-38.9,-1,39,-7,-0.2
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,381,E08000033,Calderdale,KS2,15,c,c,15,c,c,15,c,c,15,6,40,15,c,c,14,-32.6,-2.3,14,-55.4,-4,14,-85.9,-6.1
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,382,E08000034,Kirklees,KS2,22,7,32,22,8,36,22,7,32,22,9,41,22,7,32,21,-110.7,-5.3,21,-49.7,-2.4,21,-45.6,-2.2
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,383,E08000035,Leeds,KS2,53,27,51,53,29,55,52,24,46,53,30,57,52,20,38,52,17.9,0.3,52,-60.1,-1.2,51,20.2,0.4
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,384,E08000036,Wakefield,KS2,23,6,26,23,7,30,23,c,c,23,7,30,23,c,c,22,-59.7,-2.7,23,-48.2,-2.1,22,-49.4,-2.2
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000001,North East,390,E08000037,Gateshead,KS2,14,8,57,14,6,43,14,8,57,14,8,57,14,c,c,14,42.5,3,14,9.4,0.7,14,6.4,0.5
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,KS2,21,11,52,21,11,52,21,10,48,21,15,71,21,7,33,20,-1.9,-0.1,21,-15.2,-0.7,20,-3.4,-0.2
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000001,North East,392,E08000022,North Tyneside,KS2,17,10,59,17,10,59,17,11,65,17,8,47,17,9,53,14,-17.7,-1.3,15,-17.7,-1.2,15,-17.8,-1.2
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,KS2,11,c,c,11,c,c,11,c,c,11,c,c,11,c,c,11,19.3,1.8,11,-2.7,-0.2,11,-15.2,-1.4
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000001,North East,394,E08000024,Sunderland,KS2,25,15,60,25,14,56,25,15,60,25,13,52,25,10,40,24,49.6,2.1,25,10.2,0.4,24,66,2.8
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000009,South West,420,E06000053,Isles of Scilly,KS2,0,0,.,0,0,.,0,0,.,0,0,.,0,0,.,0,.,.,0,.,.,0,.,.
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000009,South West,800,E06000022,Bath and North East Somerset,KS2,8,c,c,8,c,c,8,c,c,8,c,c,8,c,c,8,-10.5,-1.3,8,-15.8,-2,8,-34.1,-4.3
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000009,South West,801,E06000023,"Bristol, City of",KS2,30,16,53,29,16,55,30,12,40,30,15,50,29,9,31,24,23.4,1,25,18.2,0.7,24,0.9,0
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000009,South West,802,E06000024,North Somerset,KS2,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000009,South West,803,E06000025,South Gloucestershire,KS2,13,6,46,13,c,c,13,c,c,13,7,54,13,c,c,12,-23,-1.9,12,-17.3,-1.4,12,-18.4,-1.5
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000001,North East,805,E06000001,Hartlepool,KS2,10,c,c,10,c,c,10,c,c,10,c,c,10,c,c,10,-18.4,-1.8,10,-16.7,-1.7,10,-23.6,-2.4
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000001,North East,806,E06000002,Middlesbrough,KS2,20,13,65,20,14,70,20,11,55,20,14,70,20,10,50,17,5.7,0.3,18,16.7,0.9,17,-14.5,-0.9
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,KS2,11,c,c,11,c,c,11,c,c,11,c,c,11,c,c,10,40.4,4,10,14.8,1.5,10,18.4,1.8
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000001,North East,808,E06000004,Stockton-on-Tees,KS2,24,11,46,24,13,54,24,13,54,24,11,46,24,9,38,24,-46.8,-1.9,24,-37.6,-1.6,24,27.4,1.1
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,810,E06000010,"Kingston Upon Hull, City of",KS2,38,23,61,38,20,53,38,23,61,38,20,53,38,18,47,36,23.4,0.6,37,-45.5,-1.2,36,-17.3,-0.5
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,811,E06000011,East Riding of Yorkshire,KS2,14,6,43,14,6,43,14,7,50,14,6,43,14,c,c,14,-22,-1.6,14,-59.2,-4.2,14,-31.2,-2.2
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,812,E06000012,North East Lincolnshire,KS2,11,c,c,11,c,c,11,c,c,11,c,c,11,c,c,11,37.8,3.4,11,28.4,2.6,11,38.6,3.5
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,813,E06000013,North Lincolnshire,KS2,15,6,40,15,7,47,15,6,40,15,6,40,15,c,c,15,-12.6,-0.8,15,-20.7,-1.4,15,-14.1,-0.9
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,815,E10000023,North Yorkshire,KS2,15,8,53,15,7,47,15,6,40,15,c,c,15,c,c,13,52.6,4,13,-0.9,-0.1,13,9.8,0.8
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,816,E06000014,York,KS2,9,c,c,9,c,c,9,c,c,9,c,c,9,c,c,9,2.1,0.2,9,-12.3,-1.4,9,-5.6,-0.6
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000006,East of England,821,E06000032,Luton,KS2,16,8,50,16,9,56,16,8,50,16,c,c,16,7,44,15,-2.2,-0.1,15,23.7,1.6,15,16.8,1.1
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000006,East of England,822,E06000055,Bedford Borough,KS2,15,c,c,15,6,40,15,6,40,15,6,40,15,c,c,14,-54.1,-3.9,15,-48.2,-3.2,14,-61.2,-4.4
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000006,East of England,823,E06000056,Central Bedfordshire,KS2,19,13,68,19,12,63,19,9,47,19,10,53,19,9,47,16,-6.7,-0.4,16,-36.6,-2.3,16,-34.9,-2.2
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000008,South East,825,E10000002,Buckinghamshire,KS2,20,9,45,20,11,55,20,8,40,20,10,50,20,7,35,17,-21.3,-1.3,18,-9.8,-0.5,17,-29.3,-1.7
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000008,South East,826,E06000042,Milton Keynes,KS2,20,9,45,20,8,40,20,8,40,20,10,50,20,6,30,19,10,0.5,20,-34.6,-1.7,19,-12.6,-0.7
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000004,East Midlands,830,E10000007,Derbyshire,KS2,24,13,54,24,13,54,24,11,46,24,15,63,24,8,33,23,-25,-1.1,23,-60.9,-2.6,23,-41.3,-1.8
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000004,East Midlands,831,E06000015,Derby,KS2,17,7,41,17,7,41,17,c,c,17,8,47,17,c,c,16,-29.6,-1.8,16,-22,-1.4,16,-62.3,-3.9
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000009,South West,835,E10000009,Dorset,KS2,19,8,42,19,9,47,19,11,58,19,7,37,19,c,c,17,-6.7,-0.4,17,-16,-0.9,17,6.1,0.4
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000009,South West,836,E06000029,Poole,KS2,7,c,c,7,c,c,7,c,c,7,c,c,7,c,c,7,-63.5,-9.1,7,-49.7,-7.1,7,-52.5,-7.5
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000009,South West,837,E06000028,Bournemouth,KS2,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000001,North East,840,E06000047,Durham,KS2,41,18,44,41,24,59,41,22,54,41,23,56,41,15,37,40,13.7,0.3,40,58.6,1.5,40,30.8,0.8
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000001,North East,841,E06000005,Darlington,KS2,8,c,c,8,c,c,8,c,c,8,c,c,8,c,c,8,3.6,0.4,8,-10.1,-1.3,8,-7.7,-1
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000008,South East,845,E10000011,East Sussex,KS2,25,11,44,25,8,32,25,11,44,25,7,28,25,6,24,24,-18.9,-0.8,24,-67.2,-2.8,24,-30.6,-1.3
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000008,South East,846,E06000043,Brighton and Hove,KS2,13,6,46,13,c,c,13,6,46,13,7,54,13,c,c,13,-27.9,-2.1,13,-42.6,-3.3,13,-53.1,-4.1
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000008,South East,850,E10000014,Hampshire,KS2,77,36,47,77,41,53,77,38,49,77,32,42,77,25,32,67,-153.2,-2.3,69,-38.4,-0.6,67,-45.8,-0.7
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000008,South East,851,E06000044,Portsmouth,KS2,16,7,44,16,7,44,16,6,38,16,7,44,16,6,38,16,-63.3,-4,16,-58.4,-3.7,16,-57.8,-3.6
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000008,South East,852,E06000045,Southampton,KS2,29,15,52,29,17,59,29,17,59,29,15,52,29,11,38,29,39.7,1.4,29,33,1.1,29,17.9,0.6
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000004,East Midlands,855,E10000018,Leicestershire,KS2,22,12,55,22,10,45,22,9,41,22,13,59,22,7,32,22,-33,-1.5,22,-38.5,-1.8,22,-27.7,-1.3
