URN,Provision type,Ofsted Region,Government Office Region,Local authority,Parliamentary constituency,Sector,Places,First effective date (that the provider became active),First effective date (that the provider became resigned),First effective date (that the provider closed),First effective date (that the provider became cancelled),Flag for appealed,Joiner status,Leaver status,Registration status (as at @startdate),Registration status (as at @enddate),Inspectorate (as at @startdate),Inspectorate (as at @enddate),Name
1244082,Children's home,East Midlands,East Midlands,Lincolnshire,Sleaford and North Hykeham,Private,13,07/10/2016,26/03/2018,26/03/2018,,???,,Leaver,Active,Resigned,,Ofsted,REDACTED
1244108,Children's home,South East,South East,Kent,Gravesham,Private,3,20/06/2017,,,,???,Joiner,,,Active,,,REDACTED
1244245,Children's home,West Midlands,West Midlands,Herefordshire,Hereford and South Herefordshire,Health Authority,15,08/12/2016,01/06/2017,01/06/2017,,???,,Leaver,Active,Resigned,,,REDACTED
1244386,Children's home,London,London,Croydon,Croydon North,Private,9,08/06/2017,,,,???,Joiner,,,Active,,,REDACTED
1244835,Children's home,London,London,Southwark,Bermondsey and Old Southwark,Local Authority,6,12/10/2016,18/09/2017,18/09/2017,,???,,Leaver,Active,Resigned,,,REDACTED
1245002,Children's home,South West,South West,South Gloucestershire,Filton and Bradley Stoke,Private,4,01/12/2016,19/10/2017,19/10/2017,,???,,Leaver,Active,Resigned,,Ofsted,REDACTED
1247244,Children's home,East Midlands,East Midlands,Northamptonshire,Daventry,Private,3,02/05/2017,,,,???,Joiner,,,Active,,,REDACTED
1248509,Children's home,East Midlands,East Midlands,Northamptonshire,Wellingborough,Private,2,24/04/2017,,,,???,Joiner,,,Active,,,REDACTED
1249034,Children's home,West Midlands,West Midlands,Staffordshire,Newcastle-under-Lyme,Private,1,11/08/2017,,,,???,Joiner,,,Active,,,REDACTED
1249118,Children's home,West Midlands,West Midlands,Staffordshire,Newcastle-under-Lyme,Private,1,11/08/2017,15/02/2018,15/02/2018,,???,Joiner,Leaver,,Resigned,,,REDACTED
1249123,Children's home,North West,North West,Cumbria,Penrith and The Border,Private,6,15/05/2017,,,,???,Joiner,,,Active,,,REDACTED
1249183,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,Bradford,Bradford South,Private,4,24/04/2017,,,,???,Joiner,,,Active,,,REDACTED
1249190,Independent Fostering Agency,London,London,Brent,Brent Central,Private,,24/05/2017,,,,???,Joiner,,,Active,,,Twist Fostering Services
1249715,Children's home,South East,South East,Hampshire,New Forest East,Private,7,11/04/2017,,,,???,Joiner,,,Active,,,REDACTED
1249881,Independent Fostering Agency,West Midlands,West Midlands,Warwickshire,Kenilworth and Southam,Private,,07/08/2017,,,,???,Joiner,,,Active,,,Focus Foster Care Ltd
1250134,Adoption Support Agency,"North East, Yorkshire and the Humber",Yorkshire and The Humber,Kingston upon Hull,Kingston upon Hull North,Private,,24/01/2018,,,,???,Joiner,,,Active,,,Time To Listen
1250186,Children's home,West Midlands,West Midlands,Telford and Wrekin,The Wrekin,Private,4,17/05/2017,,,,???,Joiner,,,Active,,,REDACTED
1250194,Children's home,South East,South East,West Sussex,Bognor Regis and Littlehampton,Private,4,05/07/2017,,,,???,Joiner,,,Active,,,REDACTED
1250196,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,Doncaster,Doncaster North,Private,2,04/05/2017,,,,???,Joiner,,,Active,,,REDACTED
1250256,Children's home,East Midlands,East Midlands,Nottingham,Nottingham South,Private,5,13/02/2017,24/05/2017,24/05/2017,,???,,Leaver,Active,Resigned,,,REDACTED
1250287,Children's home,West Midlands,West Midlands,Staffordshire,Burton,Private,4,23/06/2017,,,,???,Joiner,,,Active,,,REDACTED
1250521,Children's home,South East,South East,Kent,North Thanet,Private,4,09/05/2017,,,,???,Joiner,,,Active,,,REDACTED
1250842,Children's home,"North East, Yorkshire and the Humber",North East,Newcastle upon Tyne,Newcastle upon Tyne East,Voluntary,3,02/05/2017,,,,???,Joiner,,,Active,,Unknown,REDACTED
1251364,Children's home,London,London,Camden,Holborn and St Pancras,Private,6,26/05/2017,,,,???,Joiner,,,Active,,,REDACTED
1251947,Children's home,West Midlands,West Midlands,Staffordshire,Burton,Private,4,10/04/2017,,,,???,Joiner,,,Active,,,REDACTED
1252023,Children's home,East Midlands,East Midlands,Leicestershire,Charnwood,Private,3,07/06/2017,,,,???,Joiner,,,Active,,,REDACTED
1252120,Children's home,"North East, Yorkshire and the Humber",North East,Durham,Easington,Private,6,19/05/2017,,,,???,Joiner,,,Active,,,REDACTED
1252757,Children's home,South East,South East,Surrey,Reigate,Health Authority,5,09/10/2017,30/11/2017,30/11/2017,,???,Joiner,Leaver,,Resigned,,,REDACTED
1253008,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,Doncaster,Don Valley,Private,1,08/06/2017,,,,???,Joiner,,,Active,,,REDACTED
1253583,Children's home,South West,South West,Devon,Central Devon,Private,4,25/05/2017,,,,???,Joiner,,,Active,,,REDACTED
1253623,Children's home,West Midlands,West Midlands,Birmingham,"Birmingham, Hall Green",Private,2,07/07/2017,,,,???,Joiner,,,Active,,,REDACTED
1253711,Children's home,West Midlands,West Midlands,Birmingham,"Birmingham, Selly Oak",Private,3,10/07/2017,,,,???,Joiner,,,Active,,,REDACTED
1253862,Children's home,"North East, Yorkshire and the Humber",North East,Middlesbrough,Middlesbrough,Health Authority,6,21/08/2017,,,,???,Joiner,,,Active,,,REDACTED
1253865,Children's home,"North East, Yorkshire and the Humber",North East,Darlington,Darlington,Health Authority,5,21/08/2017,,,,???,Joiner,,,Active,,,REDACTED
1253975,Children's home,North West,North West,Lancashire,Blackpool North and Cleveleys,Private,2,26/06/2017,,,,???,Joiner,,,Active,,,REDACTED
1254055,Children's home,North West,North West,Blackpool,Blackpool South,Private,4,21/08/2017,,,,???,Joiner,,,Active,,,REDACTED
1254088,Independent Fostering Agency,West Midlands,West Midlands,Walsall,Aldridge-Brownhills,Private,,17/11/2017,,,,???,Joiner,,,Active,,,DMR Services Limited
1254109,Children's home,East Midlands,East Midlands,Lincolnshire,Boston and Skegness,Private,15,18/05/2017,,,,???,Joiner,,,Active,,,REDACTED
1254258,Children's home,North West,North West,Cumbria,Westmorland and Lonsdale,Private,4,16/05/2017,,,,???,Joiner,,,Active,,,REDACTED
1254308,Children's home,East Midlands,East Midlands,Derbyshire,Chesterfield,Private,5,24/05/2017,,,,???,Joiner,,,Active,,,REDACTED
1254316,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,Kingston upon Hull,Kingston upon Hull North,Private,4,06/09/2017,,,,???,Joiner,,,Active,,,REDACTED
1254371,Children's home,"North East, Yorkshire and the Humber",North East,Durham,City of Durham,Private,7,01/08/2017,,,,???,Joiner,,,Active,,,REDACTED
1254555,Children's home,North West,North West,Lancashire,Chorley,Private,3,10/04/2017,,,,???,Joiner,,,Active,,,REDACTED
1254701,Children's home,London,London,Waltham Forest,Walthamstow,Private,3,04/05/2017,,,,???,Joiner,,,Active,,,REDACTED
1254740,Children's home,South West,South West,Plymouth,"Plymouth, Moor View",Private,2,07/04/2017,,,,???,Joiner,,,Active,,,REDACTED
1254745,Children's home,East Midlands,East Midlands,Nottingham,Nottingham East,Private,5,24/05/2017,,,,???,Joiner,,,Active,,,REDACTED
1254780,Children's home,West Midlands,West Midlands,Walsall,Walsall South,Private,4,17/07/2017,,,,???,Joiner,,,Active,,,REDACTED
1254782,Children's home,South East,South East,Hampshire,Winchester,Local Authority,4,09/06/2017,,,,???,Joiner,,,Active,,,REDACTED
1254840,Children's home,West Midlands,West Midlands,Wolverhampton,Wolverhampton South West,Private,3,05/01/2018,,,,???,Joiner,,,Active,,,REDACTED
1254864,Children's home,East Midlands,East Midlands,Nottinghamshire,Rushcliffe,Private,3,24/05/2017,,,,???,Joiner,,,Active,,,REDACTED
1255095,Children's home,West Midlands,West Midlands,Staffordshire,Cannock Chase,Private,3,04/07/2017,,,,???,Joiner,,,Active,,,REDACTED
1255139,Children's home,East Midlands,East Midlands,Nottingham,Nottingham East,Private,6,24/05/2017,,,,???,Joiner,,,Active,,,REDACTED
1255143,Independent Fostering Agency,South East,South East,Kent,Sevenoaks,Private,,11/06/2017,,,,???,Joiner,,,Active,,,All4u Fostering Ltd
1255147,Children's home,West Midlands,West Midlands,Shropshire,North Shropshire,Private,8,29/06/2017,,,,???,Joiner,,,Active,,,REDACTED
1255407,Children's home,South West,South West,Devon,Tiverton and Honiton,Private,4,18/09/2017,,,,???,Joiner,,,Active,,,REDACTED
1255520,Children's home,North West,North West,Lancashire,Morecambe and Lunesdale,Private,3,10/07/2017,,,,???,Joiner,,,Active,,,REDACTED
1255743,Children's home,East Midlands,East Midlands,Derby,Derby South,Private,5,24/05/2017,,,,???,Joiner,,,Active,,,REDACTED
1255744,Children's home,West Midlands,West Midlands,Worcestershire,West Worcestershire,Private,5,24/05/2017,,,,???,Joiner,,,Active,,,REDACTED
1255745,Children's home,East Midlands,East Midlands,Northamptonshire,Northampton North,Private,5,24/05/2017,,,,???,Joiner,,,Active,,,REDACTED
1255746,Children's home,East of England,East of England,Bedford,Bedford,Private,5,24/05/2017,,,,???,Joiner,,,Active,,,REDACTED
1255747,Children's home,East Midlands,East Midlands,Northamptonshire,South Northamptonshire,Private,5,24/05/2017,,,,???,Joiner,,,Active,,,REDACTED
1255748,Children's home,East Midlands,East Midlands,Nottingham,Nottingham South,Private,5,24/05/2017,,,,???,Joiner,,,Active,,,REDACTED
1255753,Independent Fostering Agency,West Midlands,West Midlands,Staffordshire,Cannock Chase,Private,,08/08/2017,,,,???,Joiner,,,Active,,,Fusion Fostering East Midlands
1255800,Children's home,North West,North West,Manchester,"Manchester, Gorton",Private,2,02/11/2017,,,,???,Joiner,,,Active,,,REDACTED
1255823,Children's home,South East,South East,Hampshire,New Forest East,Local Authority,4,20/06/2017,,,,???,Joiner,,,Active,,,REDACTED
1256058,Children's home,South East,South East,Oxfordshire,Banbury,Private,5,24/05/2017,,,,???,Joiner,,,Active,,,REDACTED
1256059,Children's home,East Midlands,East Midlands,Northamptonshire,Kettering,Private,5,24/05/2017,,,,???,Joiner,,,Active,,,REDACTED
1256060,Children's home,East Midlands,East Midlands,Northamptonshire,Daventry,Private,5,24/05/2017,,,,???,Joiner,,,Active,,,REDACTED
1256061,Children's home,East Midlands,East Midlands,Northamptonshire,Wellingborough,Private,5,24/05/2017,,,,???,Joiner,,,Active,,,REDACTED
1256134,Children's home,North West,North West,Oldham,Oldham East and Saddleworth,Private,4,07/06/2017,,,,???,Joiner,,,Active,,,REDACTED
1256135,Children's home,West Midlands,West Midlands,Staffordshire,Burton,Private,5,24/05/2017,,,,???,Joiner,,,Active,,,REDACTED
1256364,Children's home,London,London,Newham,West Ham,Private,7,14/07/2017,,,,???,Joiner,,,Active,,,REDACTED
1256365,Children's home,North West,North West,Cheshire East,Macclesfield,Private,4,23/06/2017,20/10/2017,20/10/2017,,???,Joiner,Leaver,,Resigned,,,REDACTED
1256367,Children's home,East Midlands,East Midlands,Northamptonshire,Northampton North,Private,5,24/05/2017,,,,???,Joiner,,,Active,,,REDACTED
1256404,Children's home,East Midlands,East Midlands,Nottinghamshire,Bassetlaw,Private,5,24/05/2017,,,,???,Joiner,,,Active,,,REDACTED
1256408,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,Kirklees,Colne Valley,Private,1,11/06/2017,25/10/2017,25/10/2017,,???,Joiner,Leaver,,Resigned,,,REDACTED
1256417,Children's home,South East,South East,Kent,North Thanet,Private,5,04/08/2017,,,,???,Joiner,,,Active,,,REDACTED
1256452,Children's home,East of England,East of England,Essex,Saffron Walden,Private,5,13/07/2017,,,,???,Joiner,,,Active,,,REDACTED
1256500,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,North Yorkshire,Scarborough and Whitby,Local Authority,6,11/06/2017,,,,???,Joiner,,,Active,,,REDACTED
1256561,Independent Fostering Agency,South East,South East,Kent,Canterbury,Private,,04/09/2017,,,,???,Joiner,,,Active,,,Isp Whitstable
1256563,Independent Fostering Agency,South East,South East,Kent,Sittingbourne and Sheppey,Private,,07/09/2017,,,,???,Joiner,,,Active,,,Isp Teynham
1256608,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,Doncaster,Doncaster North,Private,3,04/07/2017,,,,???,Joiner,,,Active,,,REDACTED
1256610,Children's home,East Midlands,East Midlands,Nottingham,Nottingham East,Private,3,24/05/2017,,,,???,Joiner,,,Active,,,REDACTED
1256638,Children's home,West Midlands,West Midlands,Staffordshire,Stone,Private,3,24/10/2017,,,,???,Joiner,,,Active,,,REDACTED
1256639,Children's home,South West,South West,Gloucestershire,Stroud,Private,4,03/08/2017,,,,???,Joiner,,,Active,,,REDACTED
1256658,Children's home,North West,North West,Halton,Halton,Private,2,04/07/2017,,,,???,Joiner,,,Active,,,REDACTED
1256770,Residential Family Centre,North West,North West,Liverpool,"Liverpool, West Derby",Private,5,26/03/2018,,,,???,Joiner,,,Active,,,Autumn House
1256771,Children's home,South West,South West,Devon,North Devon,Private,3,23/06/2017,,,,???,Joiner,,,Active,,,REDACTED
1256794,Children's home,East of England,East of England,Cambridgeshire,North East Cambridgeshire,Voluntary,2,06/07/2017,,,,???,Joiner,,,Active,,,REDACTED
1256795,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,Kirklees,Batley and Spen,Private,4,30/06/2017,,,,???,Joiner,,,Active,,,REDACTED
1256904,Children's home,North West,North West,Lancashire,Chorley,Private,3,23/04/2017,,,,???,Joiner,,,Active,,,REDACTED
1256912,Children's home,South East,South East,Kent,North Thanet,Private,3,26/09/2017,,,,???,Joiner,,,Active,,,REDACTED
1256913,Children's home,South East,South East,Kent,Canterbury,Private,2,23/03/2018,,,,???,Joiner,,,Active,,,REDACTED
1256973,Children's home,South East,South East,Surrey,Esher and Walton,Private,6,04/08/2017,,,,???,Joiner,,,Active,,,REDACTED
1257013,Children's home,East Midlands,East Midlands,Nottingham,Nottingham East,Private,6,20/07/2017,,,,???,Joiner,,,Active,,,REDACTED
1257022,Children's home,London,London,Havering,Hornchurch and Upminster,Private,6,25/07/2017,,,,???,Joiner,,,Active,,,REDACTED
1257065,Children's home,South East,South East,Hampshire,Havant,Local Authority,4,22/06/2017,,,,???,Joiner,,,Active,,,REDACTED
1257074,Children's home,West Midlands,West Midlands,Herefordshire,North Herefordshire,Private,8,10/10/2017,,,,???,Joiner,,,Active,,,REDACTED
1257101,Children's home,London,London,Bexley,Bexleyheath and Crayford,Private,3,01/08/2017,,,,???,Joiner,,,Active,,,REDACTED
1257182,Children's home,London,London,Barnet,Hendon,Private,2,24/08/2017,,,,???,Joiner,,,Active,,,REDACTED
1257202,Children's home,West Midlands,West Midlands,Staffordshire,South Staffordshire,Private,4,19/12/2017,,,,???,Joiner,,,Active,,,REDACTED
1257289,Children's home,London,London,Lewisham,Lewisham East,Voluntary,5,27/07/2017,,,,???,Joiner,,,Active,,,REDACTED
1257293,Independent Fostering Agency,"North East, Yorkshire and the Humber",North East,Gateshead,Gateshead,Voluntary,,18/07/2017,,,,???,Joiner,,,Active,,,TACT Fostering - North East 
1257501,Residential Family Centre,London,London,Newham,West Ham,Private,3,14/09/2017,,,,???,Joiner,,,Active,,,Oneonecoco
1257573,Children's home,South East,South East,Hampshire,Fareham,Local Authority,4,22/06/2017,,,,???,Joiner,,,Active,,,REDACTED
1257739,Children's home,North West,North West,Lancashire,Rossendale and Darwen,Private,3,10/08/2017,,,,???,Joiner,,,Active,,,REDACTED
1257740,Children's home,West Midlands,West Midlands,Staffordshire,Burton,Private,4,31/07/2017,,,,???,Joiner,,,Active,,,REDACTED
1257796,Children's home,East of England,East of England,Cambridgeshire,North East Cambridgeshire,Private,16,31/05/2017,,,,???,Joiner,,,Active,,Ofsted,REDACTED
1257804,Boarding School,"North East, Yorkshire and the Humber",North East,Gateshead,Gateshead,Academy,41,10/05/2017,,,,???,Joiner,,,Active,,Ofsted,Yeshiva Lezeirim Preparatory Academy
1258026,Children's home,West Midlands,West Midlands,Birmingham,"Birmingham, Perry Barr",Private,2,24/09/2017,,,,???,Joiner,,,Active,,,REDACTED
1258033,Residential Family Centre,East of England,East of England,Essex,Harlow,Private,5,28/02/2018,,,,???,Joiner,,,Active,,,Savannah Lodge Limited
1258089,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,Wakefield,Morley and Outwood,Private,4,02/02/2018,,,,???,Joiner,,,Active,,,REDACTED
1258091,Children's home,West Midlands,West Midlands,Staffordshire,Tamworth,Private,5,20/08/2017,,,,???,Joiner,,,Active,,,REDACTED
1258092,Children's home,East of England,East of England,Essex,Colchester,Private,4,30/08/2017,,,,???,Joiner,,,Active,,,REDACTED
1258095,Children's home,West Midlands,West Midlands,Staffordshire,Stone,Private,6,03/08/2017,,,,???,Joiner,,,Active,,,REDACTED
1258134,Children's home,East Midlands,East Midlands,Nottinghamshire,Mansfield,Private,5,14/08/2017,,,,???,Joiner,,,Active,,,REDACTED
1258199,Children's home,South East,South East,Surrey,East Surrey,Private,5,20/07/2017,,,,???,Joiner,,,Active,,,REDACTED
1258276,Children's home,East of England,East of England,Suffolk,Bury St Edmunds,Private,6,01/06/2017,,,,???,Joiner,,,Active,,,REDACTED
1258343,Children's home,South West,South West,Wiltshire,Salisbury,Private,3,19/09/2017,,,,???,Joiner,,,Active,,,REDACTED
1258386,Children's home,South East,South East,Kent,Ashford,Private,3,04/09/2017,,,,???,Joiner,,,Active,,,REDACTED
1258388,Residential Holiday Scheme for Disabled Children,London,London,Islington,Islington South and Finsbury,Voluntary,,13/07/2017,,,,???,Joiner,,,Active,,,Sense
1258434,Children's home,West Midlands,West Midlands,Walsall,Walsall North,Private,4,20/12/2017,,,,???,Joiner,,,Active,,,REDACTED
1258436,Independent Fostering Agency,West Midlands,West Midlands,Solihull,Meriden,Private,,11/09/2017,,,,???,Joiner,,,Active,,,Triangle Project
1258463,Children's home,South East,South East,Kent,Dover,Private,1,31/10/2017,,,,???,Joiner,,,Active,,,REDACTED
1258627,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,Doncaster,Doncaster North,Voluntary,4,10/07/2017,,,,???,Joiner,,,Active,,,REDACTED
1258658,Children's home,East of England,East of England,Essex,Maldon,Private,4,15/09/2017,,,,???,Joiner,,,Active,,,REDACTED
1258701,Residential Holiday Scheme for Disabled Children,"North East, Yorkshire and the Humber",North East,Middlesbrough,Middlesbrough,Voluntary,,20/07/2017,,,,???,Joiner,,,Active,,,Garland House
1258769,Children's home,North West,North West,Lancashire,Ribble Valley,Private,23,27/07/2017,,,,???,Joiner,,,Active,,Ofsted,REDACTED
1258770,Children's home,North West,North West,Lancashire,Burnley,Private,4,21/08/2017,,,,???,Joiner,,,Active,,,REDACTED
1258831,Children's home,South East,South East,Hampshire,North West Hampshire,Private,2,04/08/2017,,,,???,Joiner,,,Active,,,REDACTED
1258887,Children's home,West Midlands,West Midlands,Wolverhampton,Wolverhampton South East,Private,4,12/01/2018,,,,???,Joiner,,,Active,,,REDACTED
1258890,Independent Fostering Agency,East of England,East of England,Hertfordshire,Broxbourne,Private,,06/11/2017,,,,???,Joiner,,,Active,,,Choice Fostering Ltd
1258893,Children's home,West Midlands,West Midlands,Worcestershire,Worcester,Private,2,13/09/2017,,,,???,Joiner,,,Active,,,REDACTED
1258894,Children's home,East Midlands,East Midlands,Leicester,Leicester East,Private,6,03/08/2017,,,,???,Joiner,,,Active,,,REDACTED
1258975,Children's home,North West,North West,Oldham,Oldham East and Saddleworth,Private,3,16/10/2017,,,,???,Joiner,,,Active,,,REDACTED
1259061,Children's home,North West,North West,Lancashire,Blackpool North and Cleveleys,Private,2,08/09/2017,,,,???,Joiner,,,Active,,,REDACTED
1259114,Children's home,West Midlands,West Midlands,Staffordshire,Stone,Private,3,25/01/2018,,,,???,Joiner,,,Active,,,REDACTED
1259118,Children's home,West Midlands,West Midlands,Stoke-on-Trent,Stoke-on-Trent Central,Local Authority,2,15/06/2017,,,,???,Joiner,,,Active,,,REDACTED
1259178,Children's home,West Midlands,West Midlands,Birmingham,"Birmingham, Erdington",Private,3,15/02/2018,,,,???,Joiner,,,Active,,,REDACTED
1259184,Children's home,East Midlands,East Midlands,Derbyshire,South Derbyshire,Private,4,31/01/2018,,,,???,Joiner,,,Active,,,REDACTED
1259216,Children's home,South West,South West,Devon,Newton Abbot,Private,1,19/07/2017,,,,???,Joiner,,,Active,,,REDACTED
1259274,Independent Fostering Agency,East of England,East of England,Cambridgeshire,Cambridge,Private,,05/09/2017,,,,???,Joiner,,,Active,,,To The Moon And Back Foster Care Limited
1259415,Residential Family Centre,London,London,Redbridge,Leyton and Wanstead,Private,4,14/09/2017,,,,???,Joiner,,,Active,,,Oneonecoco
1259419,Children's home,East Midlands,East Midlands,Leicestershire,Loughborough,Private,1,10/11/2017,,,,???,Joiner,,,Active,,,REDACTED
1259508,Children's home,South East,South East,Oxfordshire,Witney,Private,8,21/09/2017,,,,???,Joiner,,,Active,,,REDACTED
1259547,Children's home,East Midlands,East Midlands,Northamptonshire,Kettering,Private,3,02/10/2017,,,,???,Joiner,,,Active,,,REDACTED
1259551,Children's home,East of England,East of England,Peterborough,North West Cambridgeshire,Private,5,12/09/2017,,,,???,Joiner,,,Active,,,REDACTED
1259617,Independent Fostering Agency,South East,South East,Medway,Rochester and Strood,Private,,04/10/2017,,,,???,Joiner,,,Active,,,People Who Foster
1259631,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,Bradford,Bradford South,Private,7,13/10/2017,,,,???,Joiner,,,Active,,Ofsted,REDACTED
1259729,Independent Fostering Agency,"North East, Yorkshire and the Humber",Yorkshire and The Humber,Wakefield,Morley and Outwood,Private,,30/11/2017,,,,???,Joiner,,,Active,,,Fostering To Inspire
1259734,Children's home,South East,South East,Hampshire,North West Hampshire,Local Authority,4,11/09/2017,,,,???,Joiner,,,Active,,,REDACTED
1260700,Children's home,East Midlands,East Midlands,Leicestershire,Bosworth,Private,3,10/10/2017,,,,???,Joiner,,,Active,,,REDACTED
1261138,Children's home,North West,North West,Bury,Bury North,Private,5,29/08/2017,,,,???,Joiner,,,Active,,,REDACTED
1262657,Children's home,North West,North West,Lancashire,Fylde,Private,4,18/09/2017,,,,???,Joiner,,,Active,,,REDACTED
1262827,Residential Family Centre,North West,North West,Blackpool,Blackpool South,Private,5,11/09/2017,,,,???,Joiner,,,Active,,,New Spring Family Care Ltd
1262878,Children's home,North West,North West,Cumbria,Penrith and The Border,Private,2,07/08/2017,,,,???,Joiner,,,Active,,,REDACTED
1262935,Children's home,North West,North West,Cumbria,Penrith and The Border,Private,5,18/08/2017,,,,???,Joiner,,,Active,,,REDACTED
1263084,Children's home,South West,South West,South Gloucestershire,Filton and Bradley Stoke,Private,6,19/09/2017,,,,???,Joiner,,,Active,,,REDACTED
1263120,Children's home,North West,North West,Wirral,Birkenhead,Private,4,22/09/2017,,,,???,Joiner,,,Active,,,REDACTED
1263124,Children's home,South West,South West,Wiltshire,Chippenham,Private,5,26/09/2017,,,,???,Joiner,,,Active,,,REDACTED
1263126,Children's home,North West,North West,Cumbria,Carlisle,Private,2,04/08/2017,,,,???,Joiner,,,Active,,,REDACTED
