URN,Provision Type,LA,Sector,GOR,Max/Estimated Places
SC001275,Boarding School,Bradford,Voluntary,Yorkshire and The Humber,479
SC015288,Boarding School,Cambridgeshire,Private,East of England,58
SC034618,Boarding School,Gloucestershire,Voluntary,South West,99
SC482934,Boarding School,Kensington & Chelsea,Private,London,128
SC007938,Boarding School,North Yorkshire,Local Authority,Yorkshire and The Humber,75
SC470137,Boarding School,Oxfordshire,Private,South East,98
SC057703,Children's Home,Barnsley,Private,Yorkshire and The Humber,2
SC356604,Children's Home,Barnsley,Private,Yorkshire and The Humber,4
SC392408,Children's Home,Bedford Borough,Private,East of England,3
SC412953,Children's Home,Bedford Borough,Private,East of England,4
SC033664,Children's Home,Birmingham,Local Authority,West Midlands,8
SC377825,Children's Home,Birmingham,Private,West Midlands,3
SC396463,Children's Home,Birmingham,Private,West Midlands,2
SC410535,Children's Home,Birmingham,Private,West Midlands,3
SC463704,Children's Home,Birmingham,Private,West Midlands,3
SC357455,Children's Home,Blackburn,Private,North West,4
SC033411,Children's Home,Blackpool,Local Authority,North West,6
SC435001,Children's Home,Blackpool,Private,North West,1
SC040723,Children's Home,Bolton,Local Authority,North West,4
SC389823,Children's Home,Bolton,Private,North West,5
SC046480,Children's Home,Bournemouth,Private,South West,4
SC431803,Children's Home,Bracknell Forest,Private,South East,4
SC431804,Children's Home,Bracknell Forest,Private,South East,4
SC424141,Children's Home,Bradford,Private,Yorkshire and The Humber,6
SC035155,Children's Home,Calderdale,Local Authority,Yorkshire and The Humber,7
SC068991,Children's Home,Cambridgeshire,Private,East of England,4
SC396777,Children's Home,Central Bedfordshire,Voluntary,East of England,6
SC040132,Children's Home,Cornwall,Local Authority,South West,4
SC028280,Children's Home,Cornwall,Voluntary,South West,3
SC441973,Children's Home,Cumbria,Health Authority,North West,5
SC037941,Children's Home,Cumbria,Local Authority,North West,7
SC454688,Children's Home,Cumbria,Private,North West,3
SC000802,Children's Home,Darlington,Private,North East,4
SC478986,Children's Home,"Derby, City of",Private,East Midlands,7
SC433430,Children's Home,Derbyshire,Private,East Midlands,3
SC436469,Children's Home,Derbyshire,Private,East Midlands,3
SC003884,Children's Home,Devon,Private,South West,1
SC038167,Children's Home,Devon,Private,South West,4
SC408510,Children's Home,Devon,Private,South West,1
SC455991,Children's Home,Devon,Private,South West,4
SC458422,Children's Home,Devon,Private,South West,5
SC468747,Children's Home,Devon,Private,South West,2
SC477495,Children's Home,Devon,Private,South West,1
SC032167,Children's Home,Doncaster,Local Authority,Yorkshire and The Humber,10
SC478850,Adoption Support Agency,Cheshire West and Chester,Private,North West,0
SC067032,Adoption Support Agency,Leeds,Voluntary,Yorkshire and The Humber,0
SC009423,Boarding School,Bolton,Voluntary,North West,145
SC022233,Boarding School,Devon,Academy,South West,50
SC481067,Boarding School,Dorset,Private,South West,50
SC039275,Boarding School,Lancashire,Private,North West,405
SC020780,Boarding School,Shropshire,Local Authority,West Midlands,60
SC042165,Boarding School,Somerset,Academy,South West,101
SC020589,Boarding School,Telford & Wrekin,Academy,West Midlands,845
SC367610,Boarding School,Wiltshire,Private,South West,65
SC430320,Children's Home,Barking & Dagenham,Private,London,5
SC387684,Children's Home,Bexley,Private,London,6
SC421844,Children's Home,Birmingham,Private,West Midlands,6
SC446152,Children's Home,Birmingham,Private,West Midlands,3
SC471672,Children's Home,Birmingham,Private,West Midlands,4
SC467268,Children's Home,Blackburn,Private,North West,5
SC362158,Children's Home,Blackpool,Private,North West,6
SC032315,Children's Home,Brighton & Hove,Local Authority,South East,5
SC014234,Children's Home,Brighton & Hove,Private,South East,7
SC034184,Children's Home,Bristol City,Local Authority,South West,6
SC394547,Children's Home,Bristol City,Private,South West,3
SC474543,Children's Home,Bromley,Health Authority,London,12
SC069198,Children's Home,Bury,Private,North West,2
SC031220,Children's Home,Calderdale,Private,Yorkshire and The Humber,5
SC034775,Children's Home,Cambridgeshire,Local Authority,East of England,6
SC421531,Children's Home,Central Bedfordshire,Private,East of England,3
SC366002,Children's Home,Cheshire West and Chester,Private,North West,4
SC033056,Children's Home,Coventry,Local Authority,West Midlands,4
SC482302,Children's Home,Croydon,Private,London,6
SC025812,Children's Home,Croydon,Private,London,4
SC459107,Children's Home,Cumbria,Private,North West,4
SC446003,Children's Home,Cumbria,Voluntary,North West,4
SC068000,Children's Home,Darlington,Local Authority,North East,3
SC033755,Children's Home,Derbyshire,Local Authority,East Midlands,4
SC036262,Children's Home,Derbyshire,Local Authority,East Midlands,4
SC020171,Children's Home,Derbyshire,Private,East Midlands,7
SC068205,Children's Home,Devon,Private,South West,1
SC458430,Children's Home,Devon,Private,South West,3
SC444376,Children's Home,Devon,Voluntary,South West,5
SC481439,Children's Home,Doncaster,Private,Yorkshire and The Humber,6
SC456053,Children's Home,Dorset,Private,South West,3
SC471566,Children's Home,Dudley,Private,West Midlands,3
SC373958,Children's Home,East Sussex,Local Authority,South East,4
SC066048,Children's Home,East Sussex,Private,South East,1
SC412296,Children's Home,East Sussex,Private,South East,3
SC044975,Children's Home,Essex,Local Authority,East of England,12
SC376676,Children's Home,Essex,Private,East of England,4
SC462809,Children's Home,Essex,Private,East of England,3
SC475088,Children's Home,Essex,Private,East of England,3
SC067027,Adoption Support Agency,Bristol City,Voluntary,South West,0
SC446466,Adoption Support Agency,Camden,Private,London,0
SC441470,Adoption Support Agency,Kensington & Chelsea,Voluntary,London,0
SC426483,Adoption Support Agency,Suffolk,Private,East of England,0
SC005870,Boarding School,Blackburn,Private,North West,130
SC023092,Boarding School,Buckinghamshire,Voluntary,South East,62
SC061220,Boarding School,Hertfordshire,Academy,East of England,125
SC055089,Boarding School,Norfolk,Academy,East of England,640
SC043077,Boarding School,Northumberland,Local Authority,North East,50
SC010415,Children's Home,Barnet,Voluntary,London,9
SC068211,Children's Home,Barnsley,Local Authority,Yorkshire and The Humber,4
SC422464,Children's Home,Barnsley,Local Authority,Yorkshire and The Humber,10
SC409502,Children's Home,Bedford Borough,Local Authority,East of England,5
SC361206,Children's Home,Bedford Borough,Voluntary,East of England,8
SC038163,Children's Home,Bexley,Voluntary,London,10
SC066393,Children's Home,Birmingham,Private,West Midlands,3
SC419229,Children's Home,Birmingham,Private,West Midlands,3
SC467264,Children's Home,Birmingham,Private,West Midlands,4
SC016732,Children's Home,Birmingham,Voluntary,West Midlands,12
SC372511,Children's Home,Blackburn,Local Authority,North West,5
SC391708,Children's Home,Bournemouth,Private,South West,2
SC059635,Children's Home,Bradford,Local Authority,Yorkshire and The Humber,8
SC457780,Children's Home,Brent,Local Authority,London,8
SC448693,Children's Home,Brent,Private,London,4
SC467004,Children's Home,Brent,Private,London,5
SC034211,Children's Home,Bristol City,Local Authority,South West,5
SC067151,Children's Home,Bristol City,Local Authority,South West,5
SC421063,Children's Home,Buckinghamshire,Private,South East,3
SC001041,Children's Home,Calderdale,Private,Yorkshire and The Humber,6
SC463188,Children's Home,Cheshire East,Private,North West,4
SC476008,Children's Home,Cheshire East,Private,North West,2
SC429523,Children's Home,Cornwall,Health Authority,South West,4
SC402980,Children's Home,Coventry,Private,West Midlands,4
SC414369,Children's Home,Cumbria,Private,North West,2
SC465634,Children's Home,Cumbria,Private,North West,4
SC421995,Children's Home,Darlington,Private,North East,5
SC459934,Children's Home,Derbyshire,Private,East Midlands,6
SC368137,Children's Home,Devon,Private,South West,2
SC458429,Children's Home,Devon,Private,South West,7
SC463431,Children's Home,Devon,Private,South West,2
SC060744,Children's Home,Doncaster,Local Authority,Yorkshire and The Humber,4
SC032163,Children's Home,Dorset,Local Authority,South West,9
SC457627,Children's Home,Dorset,Private,South West,4
SC423407,Children's Home,Durham,Private,North East,8
SC456602,Children's Home,Durham,Private,North East,3
SC475706,Children's Home,Durham,Private,North East,7
SC035499,Children's Home,East Riding of Yorkshire,Local Authority,Yorkshire and The Humber,6
SC068179,Children's Home,East Sussex,Local Authority,South East,5
SC068075,Adoption Support Agency,Hampshire,Private,South East,0
SC068832,Adoption Support Agency,Kirklees,Private,Yorkshire and The Humber,0
SC474566,Boarding School,Buckinghamshire,Local Authority,South East,12
SC438763,Boarding School,Cambridgeshire,Private,East of England,28
SC034907,Boarding School,Cumbria,Academy,North West,53
SC042320,Boarding School,Dorset,Local Authority,South West,108
SC025000,Boarding School,Dudley,Voluntary,West Midlands,5
SC019554,Boarding School,Hertfordshire,Voluntary,East of England,30
SC023666,Boarding School,Kent,Academy,South East,442
SC013029,Boarding School,Oxfordshire,Academy,South East,84
SC063971,Boarding School,Sheffield,Voluntary,Yorkshire and The Humber,47
SC010897,Boarding School,Westminster,Private,London,17
SC018241,Children's Home,Barnsley,Private,Yorkshire and The Humber,4
SC033696,Children's Home,Birmingham,Local Authority,West Midlands,6
SC365366,Children's Home,Birmingham,Private,West Midlands,3
SC412175,Children's Home,Birmingham,Private,West Midlands,4
SC424851,Children's Home,Birmingham,Private,West Midlands,6
SC040437,Children's Home,Blackburn,Local Authority,North West,6
SC067052,Children's Home,Bolton,Local Authority,North West,4
SC467796,Children's Home,Bolton,Voluntary,North West,3
SC470797,Children's Home,Bolton,Voluntary,North West,4
SC431806,Children's Home,Bracknell Forest,Private,South East,4
SC063978,Children's Home,Bradford,Local Authority,Yorkshire and The Humber,8
SC014235,Children's Home,Brighton & Hove,Private,South East,7
SC006921,Children's Home,Bromley,Private,London,5
SC422260,Children's Home,Buckinghamshire,Private,South East,4
SC450728,Children's Home,Calderdale,Private,Yorkshire and The Humber,2
SC462591,Children's Home,Calderdale,Private,Yorkshire and The Humber,3
SC033408,Children's Home,Cambridgeshire,Local Authority,East of England,7
SC456846,Children's Home,Cambridgeshire,Private,East of England,3
SC025733,Children's Home,Cambridgeshire,Voluntary,East of England,17
SC473639,Children's Home,Camden,Private,London,6
SC391464,Children's Home,Central Bedfordshire,Local Authority,East of England,8
SC060590,Children's Home,Cheshire East,Private,North West,3
SC460800,Children's Home,Cheshire East,Private,North West,4
SC032083,Children's Home,Cheshire West and Chester,Private,North West,2
SC397112,Children's Home,Cheshire West and Chester,Private,North West,4
SC432404,Children's Home,Cornwall,Health Authority,South West,2
SC064608,Children's Home,Cornwall,Local Authority,South West,4
SC414347,Children's Home,Coventry,Local Authority,West Midlands,5
SC063080,Children's Home,Croydon,Private,London,5
SC036240,Children's Home,"Derby, City of",Local Authority,East Midlands,6
SC051513,Children's Home,Derbyshire,Local Authority,East Midlands,4
SC062536,Children's Home,Derbyshire,Local Authority,East Midlands,6
SC375136,Children's Home,Derbyshire,Private,East Midlands,3
SC454523,Children's Home,Derbyshire,Private,East Midlands,5
SC457553,Children's Home,Devon,Private,South West,2
SC465120,Children's Home,Devon,Private,South West,3
SC369714,Adoption Support Agency,Hackney,Private,London,0
SC015285,Boarding School,Cambridgeshire,Private,East of England,37
SC050170,Boarding School,East Sussex,Private,South East,264
SC400622,Boarding School,Lewisham,Voluntary,London,120
SC024579,Boarding School,Suffolk,Private,East of England,14
SC013919,Boarding School,Surrey,Academy,South East,193
SC042673,Boarding School,West Sussex,Local Authority,South East,120
SC459408,Boarding School,Wiltshire,Academy,South West,75
SC043035,Boarding School,Worcestershire,Private,West Midlands,120
SC033698,Children's Home,Birmingham,Local Authority,West Midlands,12
SC357166,Children's Home,Birmingham,Local Authority,West Midlands,6
SC410539,Children's Home,Birmingham,Private,West Midlands,2
SC432966,Children's Home,Birmingham,Private,West Midlands,4
SC362151,Children's Home,Blackpool,Private,North West,6
SC434999,Children's Home,Blackpool,Private,North West,2
SC384670,Children's Home,Bournemouth,Private,South West,5
SC431799,Children's Home,Bracknell Forest,Private,South East,2
SC033492,Children's Home,Bradford,Local Authority,Yorkshire and The Humber,12
SC431696,Children's Home,Bradford,Local Authority,Yorkshire and The Humber,10
SC476795,Children's Home,Bristol City,Private,South West,5
SC067757,Children's Home,Buckinghamshire,Private,South East,4
SC424089,Children's Home,Buckinghamshire,Voluntary,South East,14
SC065096,Children's Home,Bury,Private,North West,6
SC001016,Children's Home,Calderdale,Private,Yorkshire and The Humber,4
SC457272,Children's Home,Cambridgeshire,Private,East of England,3
SC455338,Children's Home,Central Bedfordshire,Private,East of England,3
SC481152,Children's Home,Cheshire East,Private,North West,6
SC034849,Children's Home,Cheshire West and Chester,Local Authority,North West,6
SC361789,Children's Home,Cornwall,Local Authority,South West,10
SC443765,Children's Home,Cumbria,Private,North West,3
SC479632,Children's Home,Cumbria,Private,North West,5
SC064931,Children's Home,Darlington,Private,North East,8
SC036266,Children's Home,"Derby, City of",Local Authority,East Midlands,6
SC059998,Children's Home,"Derby, City of",Private,East Midlands,4
SC036248,Children's Home,Derbyshire,Local Authority,East Midlands,5
SC020151,Children's Home,Derbyshire,Private,East Midlands,8
SC064472,Children's Home,Devon,Private,South West,4
SC403234,Children's Home,Devon,Private,South West,3
SC407760,Children's Home,Devon,Private,South West,3
SC456726,Children's Home,Devon,Private,South West,3
SC032086,Children's Home,Doncaster,Local Authority,Yorkshire and The Humber,5
SC362965,Children's Home,Dorset,Private,South West,1
SC038804,Children's Home,Dudley,Local Authority,West Midlands,3
SC039900,Children's Home,Dudley,Local Authority,West Midlands,7
SC034741,Children's Home,Durham,Local Authority,North East,5
SC413565,Children's Home,Durham,Private,North East,3
SC429995,Children's Home,Durham,Private,North East,4
SC031698,Children's Home,East Sussex,Local Authority,South East,8
SC028526,Children's Home,East Sussex,Private,South East,2
SC473793,Adoption Support Agency,Bristol City,Private,South West,0
SC067796,Adoption Support Agency,Newcastle,Voluntary,North East,0
SC066883,Adoption Support Agency,Surrey,Private,South East,0
SC012016,Boarding School,Hampshire,Voluntary,South East,31
SC068999,Boarding School,Hertfordshire,Voluntary,East of England,12
SC012963,Boarding School,Northamptonshire,Private,East Midlands,246
SC386057,Children's Home,Barnsley,Private,Yorkshire and The Humber,2
SC476251,Children's Home,Bedford Borough,Private,East of England,4
SC033672,Children's Home,Birmingham,Local Authority,West Midlands,5
SC034643,Children's Home,Birmingham,Local Authority,West Midlands,7
SC442779,Children's Home,Warrington,Local Authority,North West,2
SC457488,Children's Home,Warwickshire,Private,West Midlands,5
SC030951,Children's Home,Warwickshire,Voluntary,West Midlands,30
SC476748,Children's Home,West Sussex,Private,South East,4
SC040926,Children's Home,Wigan,Local Authority,North West,6
SC041018,Children's Home,Wigan,Local Authority,North West,6
SC358266,Children's Home,Wiltshire,Private,South West,2
SC448598,Children's Home,Windsor & Maidenhead,Private,South East,4
SC457507,Children's Home,Wirral,Private,North West,3
SC466415,Children's Home,York,Private,Yorkshire and The Humber,6
SC026929,Further Education College,Dorset,Local Authority,South West,23
SC042625,Further Education College,West Sussex,Voluntary,South East,106
SC042852,Further Education College,Wiltshire,Voluntary,South West,100
SC063316,Independent Fostering Agency,Bolton,Private,North West,0
SC405567,Independent Fostering Agency,Bradford,Private,Yorkshire and The Humber,0
SC045651,Independent Fostering Agency,Brighton & Hove,Voluntary,South East,0
SC063551,Independent Fostering Agency,Central Bedfordshire,Private,East of England,0
SC066501,Independent Fostering Agency,Cheshire East,Private,North West,0
SC408585,Independent Fostering Agency,Cheshire West and Chester,Private,North West,0
SC388487,Independent Fostering Agency,Croydon,Private,London,0
SC038256,Independent Fostering Agency,Derbyshire,Private,East Midlands,0
SC448211,Independent Fostering Agency,Durham,Private,North East,0
SC061222,Independent Fostering Agency,Ealing,Private,London,0
SC464868,Independent Fostering Agency,Hampshire,Private,South East,0
SC036518,Independent Fostering Agency,Kent,Private,South East,0
SC036653,Independent Fostering Agency,Kent,Private,South East,0
SC060386,Independent Fostering Agency,Kent,Private,South East,0
SC376207,Independent Fostering Agency,Kent,Private,South East,0
SC036530,Independent Fostering Agency,Kent,Voluntary,South East,0
SC069170,Independent Fostering Agency,Lambeth,Voluntary,London,0
SC036972,Independent Fostering Agency,Lancashire,Voluntary,North West,0
SC461357,Independent Fostering Agency,Newcastle,Private,North East,0
SC062695,Independent Fostering Agency,Newham,Private,London,0
SC364846,Independent Fostering Agency,Newham,Private,London,0
SC065118,Residential Special School,Lincolnshire,Local Authority,East Midlands,5
SC013039,Residential Special School,Oxfordshire,Private,South East,40
SC038758,Residential Special School,Somerset,Local Authority,South West,10
SC038723,Residential Special School,Staffordshire,Local Authority,West Midlands,20
SC038728,Residential Special School,Staffordshire,Local Authority,West Midlands,12
SC024575,Residential Special School,Suffolk,Private,East of England,45
SC011137,Residential Special School,West Berkshire (Newbury),Voluntary,South East,245
SC011332,Residential Special School,Wokingham,Local Authority,South East,16
SC043048,Residential Special School,Worcestershire,Private,West Midlands,100
SC457178,Residential special school (>295 days/year),"Derby, City of",Private,East Midlands,12
SC358046,Residential special school (>295 days/year),Derbyshire,Private,East Midlands,38
SC040749,Residential special school (>295 days/year),North Yorkshire,Voluntary,Yorkshire and The Humber,23
SC430759,Residential special school (>295 days/year),Oxfordshire,Voluntary,South East,8
SC033457,Secure Children's Home,Leeds,Local Authority,Yorkshire and The Humber,27
SC040500,Secure Children's Home,Salford,Local Authority,North West,24
SC035500,Secure Children's Home,South Gloucestershire,Local Authority,South West,24
SC051836,Voluntary Adoption Agency,Bradford,Voluntary,Yorkshire and The Humber,0
SC434885,Voluntary Adoption Agency,Bristol City,Voluntary,South West,0
SC048496,Voluntary Adoption Agency,Camden,Voluntary,London,0
SC048367,Voluntary Adoption Agency,Manchester,Voluntary,North West,0
SC051840,Voluntary Adoption Agency,Redbridge,Voluntary,London,0
SC457688,Independent Fostering Agency,Suffolk,Private,East of England,0
SC477734,Independent Fostering Agency,Wakefield,Private,Yorkshire and The Humber,0
SC448784,Independent Fostering Agency,Wandsworth,Private,London,0
SC060967,Independent Fostering Agency,West Sussex,Private,South East,0
SC426824,Independent Fostering Agency,West Sussex,Private,South East,0
SC445624,Residential Family Centre,Devon,Private,South West,7
SC416941,Residential Family Centre,Somerset,Private,South West,7
SC449819,Residential Family Centre,Southampton,Private,South East,7
SC041476,Residential Special School,Bath & NE Somerset,Academy,South West,11
SC023097,Residential Special School,Buckinghamshire,Academy,South East,20
SC042644,Residential Special School,Buckinghamshire,Voluntary,South East,25
SC040508,Residential Special School,Durham,Local Authority,North East,25
SC050107,Residential Special School,East Sussex,Private,South East,41
SC018026,Residential Special School,Essex,Local Authority,East of England,128
SC034383,Residential Special School,Gloucestershire,Voluntary,South West,25
SC044128,Residential Special School,Greenwich,Academy,London,12
SC023693,Residential Special School,Kent,Local Authority,South East,34
SC009656,Residential Special School,Lancashire,Private,North West,13
SC041902,Residential Special School,Newcastle,Local Authority,North East,5
SC037591,Residential Special School,Newcastle,Voluntary,North East,22
SC007919,Residential Special School,North Yorkshire,Local Authority,Yorkshire and The Humber,32
SC003404,Residential Special School,South Gloucestershire,Voluntary,South West,9
SC024594,Residential Special School,Suffolk,Local Authority,East of England,12
SC388553,Residential Special School,West Sussex,Voluntary,South East,175
SC039093,Residential Special School,Wiltshire,Academy,South West,75
SC039141,Residential Special School,Wiltshire,Private,South West,39
SC011327,Residential Special School,Wokingham,Voluntary,South East,20
SC393048,Residential special school (>295 days/year),Cambridgeshire,Voluntary,East of England,33
SC022212,Residential special school (>295 days/year),Devon,Private,South West,48
SC432140,Residential special school (>295 days/year),Devon,Voluntary,South West,25
SC035241,Residential special school (>295 days/year),Doncaster,Voluntary,Yorkshire and The Humber,5
SC402370,Residential special school (>295 days/year),Nottinghamshire,Private,East Midlands,54
SC403493,Residential special school (>295 days/year),Somerset,Voluntary,South West,5
SC367623,Residential special school (>295 days/year),Surrey,Private,South East,60
SC062079,Residential special school (>295 days/year),Surrey,Voluntary,South East,33
SC038719,Secure Children's Home,Hampshire,Local Authority,South East,16
SC048456,Voluntary Adoption Agency,Croydon,Voluntary,London,0
SC049026,Voluntary Adoption Agency,Devon,Voluntary,South West,0
SC068304,Voluntary Adoption Agency,Kent,Voluntary,South East,0
SC051814,Voluntary Adoption Agency,Lambeth,Voluntary,London,0
SC067762,Voluntary Adoption Agency,Gateshead,Voluntary,North East,0
SC049093,Voluntary Adoption Agency,Reading,Voluntary,South East,0
SC049105,Voluntary Adoption Agency,City of London,Voluntary,London,0
SC016600,Children's Home,Gloucestershire,Private,South West,5
SC036911,Children's Home,Greenwich,Health Authority,London,4
SC005204,Children's Home,Halton,Private,North West,6
SC457433,Children's Home,Halton,Private,North West,1
SC011972,Children's Home,Hampshire,Private,South East,6
SC063767,Children's Home,Hampshire,Private,South East,4
SC466315,Children's Home,Hampshire,Private,South East,4
SC467155,Children's Home,Hampshire,Private,South East,4
SC011976,Children's Home,Hampshire,Voluntary,South East,4
SC024808,Children's Home,Herefordshire,Private,West Midlands,4
SC458141,Children's Home,Hertfordshire,Local Authority,East of England,6
SC425418,Children's Home,Hertfordshire,Private,East of England,4
SC395716,Children's Home,Hounslow,Private,London,3
SC403411,Children's Home,Hounslow,Private,London,4
SC043197,Children's Home,Isle of Wight,Private,South East,4
SC034609,Children's Home,Islington,Local Authority,London,6
SC069221,Children's Home,Kent,Private,South East,5
SC435152,Children's Home,Kent,Voluntary,South East,6
SC036157,Children's Home,Kingston upon Hull,Local Authority,Yorkshire and The Humber,8
SC040105,Children's Home,Kingston upon Hull,Local Authority,Yorkshire and The Humber,6
SC065535,Children's Home,Lambeth,Private,London,6
SC440309,Children's Home,Lancashire,Local Authority,North West,6
SC039087,Children's Home,Lancashire,Private,North West,1
SC410102,Children's Home,Lancashire,Private,North West,3
SC478468,Children's Home,Lancashire,Private,North West,5
SC033389,Children's Home,Leeds,Local Authority,Yorkshire and The Humber,5
SC066120,Children's Home,Leeds,Local Authority,Yorkshire and The Humber,5
SC043405,Children's Home,Leicestershire,Local Authority,East Midlands,4
SC050173,Children's Home,Leicestershire,Private,East Midlands,3
SC063997,Children's Home,Leicestershire,Private,East Midlands,3
SC368399,Children's Home,Leicestershire,Private,East Midlands,4
SC382715,Children's Home,Leicestershire,Private,East Midlands,4
SC025657,Children's Home,Lewisham,Private,London,7
SC028174,Children's Home,Lincolnshire,Private,East Midlands,4
SC370899,Children's Home,Lincolnshire,Private,East Midlands,3
