time_period,time_identifier,geographic_level,country_code,country_name,CLA_group,age_group,measure,characteristic,number,percentage
2023,Reporting year,National,E92000001,England,Care leavers group,23 years,LA in-touch with the care leaver during the year,Care leaver not in touch,6500,62
2023,Reporting year,National,E92000001,England,Care leavers group,23 years,Gender,Female,3990,38
2023,Reporting year,National,E92000001,England,Care leavers group,23 years,Activity of care leaver,Full-time education other than higher education,310,3
2023,Reporting year,National,E92000001,England,Care leavers group,23 years,Activity of care leaver,Full-time higher education i.e. studies beyond A level,470,4
2023,Reporting year,National,E92000001,England,Care leavers group,23 years,Activity of care leaver,Full-time in an apprenticeship,30,k
2023,Reporting year,National,E92000001,England,Care leavers group,23 years,Activity of care leaver,Full-time in training or employment (excl. apprenticeship),870,8
2023,Reporting year,National,E92000001,England,Care leavers group,23 years,Activity of care leaver,In higher education i.e. studies beyond A level,480,5
2023,Reporting year,National,E92000001,England,Care leavers group,23 years,Gender,Male,6550,62
2023,Reporting year,National,E92000001,England,Care leavers group,23 years,Activity of care leaver,Owing to illness or disability,480,5
2023,Reporting year,National,E92000001,England,Care leavers group,23 years,Activity of care leaver,Owing to other reasons,1060,10
2023,Reporting year,National,E92000001,England,Care leavers group,23 years,Activity of care leaver,Owing to pregnancy or parenting,320,3
2023,Reporting year,National,E92000001,England,Care leavers group,23 years,Activity of care leaver,Part-time education other than higher education,100,1
2023,Reporting year,National,E92000001,England,Care leavers group,23 years,Activity of care leaver,Part-time higher education i.e. studies beyond A level,20,k
2023,Reporting year,National,E92000001,England,Care leavers group,23 years,Activity of care leaver,Part-time in an apprenticeship,40,k
2023,Reporting year,National,E92000001,England,Care leavers group,23 years,Activity of care leaver,Part-time in training or employment (excl. apprenticeship),410,4
2023,Reporting year,National,E92000001,England,Care leavers group,23 years,Activity of care leaver,Total activity of care leavers,10540,100
2023,Reporting year,National,E92000001,England,Care leavers group,23 years,Gender,Total gender,10540,100
2023,Reporting year,National,E92000001,England,Care leavers group,23 years,Activity of care leaver,Total in apprenticeship,60,1
2023,Reporting year,National,E92000001,England,Care leavers group,23 years,Activity of care leaver,Total in education other than higher education,410,4
2023,Reporting year,National,E92000001,England,Care leavers group,23 years,LA in-touch with the care leaver during the year,Total care leavers,10540,100
2023,Reporting year,National,E92000001,England,Care leavers group,23 years,Activity of care leaver,Total in training or employment (excl. apprenticeship),1280,12
2023,Reporting year,National,E92000001,England,Care leavers group,23 years,Activity of care leaver,"Total not in education, training or employment",1850,18
2023,Reporting year,National,E92000001,England,Care leavers group,23 years,LA in-touch with the care leaver during the year,Young person has requested and received support,4050,38
2023,Reporting year,National,E92000001,England,Care leavers group,24 years,Activity of care leaver,Care leaver not in touch,6880,69
2023,Reporting year,National,E92000001,England,Care leavers group,24 years,LA in-touch with the care leaver during the year,Care leaver not in touch,6930,70
2023,Reporting year,National,E92000001,England,Care leavers group,24 years,Gender,Female,3940,40
2023,Reporting year,National,E92000001,England,Care leavers group,24 years,Activity of care leaver,Full-time education other than higher education,210,2
2023,Reporting year,National,E92000001,England,Care leavers group,24 years,Activity of care leaver,Full-time higher education i.e. studies beyond A level,310,3
2023,Reporting year,National,E92000001,England,Care leavers group,24 years,Activity of care leaver,Full-time in an apprenticeship,30,k
2023,Reporting year,National,E92000001,England,Care leavers group,24 years,Activity of care leaver,Full-time in training or employment (excl. apprenticeship),660,7
2023,Reporting year,National,E92000001,England,Care leavers group,24 years,Activity of care leaver,In higher education i.e. studies beyond A level,330,3
2023,Reporting year,National,E92000001,England,Care leavers group,24 years,Gender,Male,6020,60
2023,Reporting year,National,E92000001,England,Care leavers group,24 years,Activity of care leaver,Owing to illness or disability,440,4
2023,Reporting year,National,E92000001,England,Care leavers group,24 years,Activity of care leaver,Owing to other reasons,780,8
2023,Reporting year,National,E92000001,England,Care leavers group,24 years,Activity of care leaver,Owing to pregnancy or parenting,270,3
2023,Reporting year,National,E92000001,England,Care leavers group,24 years,Activity of care leaver,Part-time education other than higher education,60,1
2023,Reporting year,National,E92000001,England,Care leavers group,24 years,Activity of care leaver,Part-time higher education i.e. studies beyond A level,20,k
2023,Reporting year,National,E92000001,England,Care leavers group,24 years,Activity of care leaver,Part-time in an apprenticeship,30,k
2023,Reporting year,National,E92000001,England,Care leavers group,24 years,Activity of care leaver,Part-time in training or employment (excl. apprenticeship),290,3
2023,Reporting year,National,E92000001,England,Care leavers group,24 years,Activity of care leaver,Total activity of care leavers,9960,100
2023,Reporting year,National,E92000001,England,Care leavers group,24 years,Gender,Total gender,9960,100
2023,Reporting year,National,E92000001,England,Care leavers group,24 years,Activity of care leaver,Total in apprenticeship,60,1
2023,Reporting year,National,E92000001,England,Care leavers group,24 years,Activity of care leaver,Total in education other than higher education,270,3
2023,Reporting year,National,E92000001,England,Care leavers group,24 years,LA in-touch with the care leaver during the year,Total care leavers,9960,100
2023,Reporting year,National,E92000001,England,Care leavers group,24 years,Activity of care leaver,Total in training or employment (excl. apprenticeship),950,9
2023,Reporting year,National,E92000001,England,Care leavers group,24 years,Activity of care leaver,"Total not in education, training or employment",1490,15
2023,Reporting year,National,E92000001,England,Care leavers group,24 years,LA in-touch with the care leaver during the year,Young person has requested and received support,3030,30
2023,Reporting year,National,E92000001,England,Care leavers group,25 years,Activity of care leaver,Care leaver not in touch,7080,82
2023,Reporting year,National,E92000001,England,Care leavers group,25 years,LA in-touch with the care leaver during the year,Care leaver not in touch,7110,82
2023,Reporting year,National,E92000001,England,Care leavers group,25 years,Gender,Female,3630,42
2023,Reporting year,National,E92000001,England,Care leavers group,25 years,Activity of care leaver,Full-time education other than higher education,110,1
2023,Reporting year,National,E92000001,England,Care leavers group,25 years,Activity of care leaver,Full-time higher education i.e. studies beyond A level,200,2
2023,Reporting year,National,E92000001,England,Care leavers group,25 years,Activity of care leaver,Full-time in an apprenticeship,10,k
2023,Reporting year,National,E92000001,England,Care leavers group,25 years,Activity of care leaver,Full-time in training or employment (excl. apprenticeship),370,4
2023,Reporting year,National,E92000001,England,Care leavers group,25 years,Activity of care leaver,In higher education i.e. studies beyond A level,210,2
2023,Reporting year,National,E92000001,England,Care leavers group,25 years,Gender,Male,5050,58
2023,Reporting year,National,E92000001,England,Care leavers group,25 years,Activity of care leaver,Owing to illness or disability,240,3
2023,Reporting year,National,E92000001,England,Care leavers group,25 years,Activity of care leaver,Owing to other reasons,350,4
2023,Reporting year,National,E92000001,England,Care leavers group,25 years,Activity of care leaver,Owing to pregnancy or parenting,140,2
2023,Reporting year,National,E92000001,England,Care leavers group,25 years,Activity of care leaver,Part-time education other than higher education,40,k
2023,Reporting year,National,E92000001,England,Care leavers group,25 years,Activity of care leaver,Part-time higher education i.e. studies beyond A level,10,k
2023,Reporting year,National,E92000001,England,Care leavers group,25 years,Activity of care leaver,Part-time in an apprenticeship,20,k
2023,Reporting year,National,E92000001,England,Care leavers group,25 years,Activity of care leaver,Part-time in training or employment (excl. apprenticeship),120,1
2023,Reporting year,National,E92000001,England,Care leavers group,25 years,Activity of care leaver,Total activity of care leavers,8680,100
2023,Reporting year,National,E92000001,England,Care leavers group,25 years,Gender,Total gender,8680,100
2023,Reporting year,National,E92000001,England,Care leavers group,25 years,Activity of care leaver,Total in apprenticeship,30,k
2023,Reporting year,National,E92000001,England,Care leavers group,25 years,Activity of care leaver,Total in education other than higher education,150,2
2023,Reporting year,National,E92000001,England,Care leavers group,25 years,LA in-touch with the care leaver during the year,Total care leavers,8680,100
2023,Reporting year,National,E92000001,England,Care leavers group,25 years,Activity of care leaver,Total in training or employment (excl. apprenticeship),480,6
2023,Reporting year,National,E92000001,England,Care leavers group,25 years,Activity of care leaver,"Total not in education, training or employment",730,8
2023,Reporting year,National,E92000001,England,Care leavers group,25 years,LA in-touch with the care leaver during the year,Young person has requested and received support,1560,18
