time_identifier,time_period,geographic_level,country_code,country_name,cla_group,characteristic,number,percentage
Reporting year,2023,National,E92000001,England,Placement group,4. Total other placements in the community,2330,7
Reporting year,2023,National,E92000001,England,Placement group,4a. Living independently,2330,7
Reporting year,2023,National,E92000001,England,Placement group,4b. Residential employment,0,0
Reporting year,2023,National,E92000001,England,Placement group,"5. Total secure units, children's homes and semi-independent living accommodation",7820,25
Reporting year,2023,National,E92000001,England,Placement group,5a. Secure unit placement inside the council boundary,c,c
Reporting year,2023,National,E92000001,England,Placement group,5b. Secure unit placement outside the council boundary,40,k
Reporting year,2023,National,E92000001,England,Placement group,5c. Total children's homes subject to children's homes regulations,1070,3
Reporting year,2023,National,E92000001,England,Placement group,5c.1 Children's home placement inside the council boundary,400,1
Reporting year,2023,National,E92000001,England,Placement group,5c.2 Children's home placement outside the council boundary,670,2
Reporting year,2023,National,E92000001,England,Placement group,5d. Semi-independent living accommodation not subject to children's homes regulations,6710,21
Reporting year,2023,National,E92000001,England,Placement group,6. Total other residential settings,690,2
Reporting year,2023,National,E92000001,England,Placement group,6a. Residential care homes,90,k
Reporting year,2023,National,E92000001,England,Placement group,6b. NHS Trust providing medical or nursing care,80,k
Reporting year,2023,National,E92000001,England,Placement group,6c. Family centre or mother and baby unit,140,k
Reporting year,2023,National,E92000001,England,Placement group,6d. Young Offender Institution or prison,380,1
Reporting year,2023,National,E92000001,England,Placement group,7. Total residential schools,40,k
Reporting year,2023,National,E92000001,England,Placement group,8. Total other placements,620,2
Reporting year,2023,National,E92000001,England,Placement group,Total children,31680,100
Reporting year,2023,National,E92000001,England,Reason episode ceased,Accommodation on remand ended,140,k
Reporting year,2023,National,E92000001,England,Reason episode ceased,Adopted,2960,9
Reporting year,2023,National,E92000001,England,Reason episode ceased,Age assessment determined child aged 18 or over,270,1
Reporting year,2023,National,E92000001,England,Reason episode ceased,Aged 18 (or over) and remained with current carers,4900,15
Reporting year,2023,National,E92000001,England,Reason episode ceased,Care ceased for any other reason,3100,10
Reporting year,2023,National,E92000001,England,Reason episode ceased,Care taken by another local authority,1200,4
Reporting year,2023,National,E92000001,England,Reason episode ceased,Child moved abroad,80,k
Reporting year,2023,National,E92000001,England,Reason episode ceased,Died,60,k
Reporting year,2023,National,E92000001,England,Reason episode ceased,"Left care to live with parents, relatives or other person with no parental responsibility",1980,6
Reporting year,2023,National,E92000001,England,Reason episode ceased,Moved into independent living (with no formalised support),930,3
Reporting year,2023,National,E92000001,England,Reason episode ceased,Moved into independent living (with supportive accommodation),3760,12
Reporting year,2023,National,E92000001,England,Reason episode ceased,Residence order or child arrangement order granted,1110,3
Reporting year,2023,National,E92000001,England,Reason episode ceased,Returned home to live with parents or other person with parental responsibility which was not part of the care planning process,1140,4
Reporting year,2023,National,E92000001,England,Reason episode ceased,Returned home to live with parents or other person with parental responsibility which was part of the care planning process,5510,17
Reporting year,2023,National,E92000001,England,Reason episode ceased,Sentenced to custody,210,1
Reporting year,2023,National,E92000001,England,Reason episode ceased,Special guardianship order,3840,12
Reporting year,2023,National,E92000001,England,Reason episode ceased,Total,31680,100
Reporting year,2023,National,E92000001,England,Reason episode ceased,Transferred to residential care funded by adult social services,500,2
Reporting year,2022,National,E92000001,England,Age on ceasing,1 to 4 years,6420,21
Reporting year,2022,National,E92000001,England,Age on ceasing,10 to 15 years,4390,15
Reporting year,2022,National,E92000001,England,Age on ceasing,16 years,1360,4
Reporting year,2022,National,E92000001,England,Age on ceasing,17 years,1600,5
Reporting year,2022,National,E92000001,England,Age on ceasing,5 to 9 years,3670,12
Reporting year,2022,National,E92000001,England,Age on ceasing,Ceased on 18th birthday,11110,37
Reporting year,2022,National,E92000001,England,Age on ceasing,Ceased when older than 18th birthday,60,k
Reporting year,2022,National,E92000001,England,Age on ceasing,Total,30230,100
Reporting year,2022,National,E92000001,England,Age on ceasing,Under 1 year,1630,5
Reporting year,2022,National,E92000001,England,Category of need,N1. Abuse or neglect,17500,58
Reporting year,2022,National,E92000001,England,Category of need,N2. Child disability,650,2
Reporting year,2022,National,E92000001,England,Category of need,N3. Parental illness or disability,840,3
Reporting year,2022,National,E92000001,England,Category of need,N4. Family in acute stress,2440,8
Reporting year,2022,National,E92000001,England,Category of need,N5. Family dysfunction,3920,13
Reporting year,2022,National,E92000001,England,Category of need,N6. Socially unacceptable behaviour,680,2
Reporting year,2022,National,E92000001,England,Category of need,N7. Low income,50,k
Reporting year,2022,National,E92000001,England,Category of need,N8. Absent parenting,4170,14
Reporting year,2022,National,E92000001,England,Category of need,Total,30230,100
Reporting year,2022,National,E92000001,England,Duration of last period of care,1. Under 2 weeks,2130,7
Reporting year,2022,National,E92000001,England,Duration of last period of care,2. From 2 weeks to under 8 weeks,1890,6
Reporting year,2022,National,E92000001,England,Duration of last period of care,3. From 8 weeks to under 6 months,3700,12
Reporting year,2022,National,E92000001,England,Duration of last period of care,4. From 6 months to under 1 year,5410,18
Reporting year,2022,National,E92000001,England,Duration of last period of care,5. From 1 year to under 2 years,6330,21
Reporting year,2022,National,E92000001,England,Duration of last period of care,6. From 2 years to under 3 years,3280,11
Reporting year,2022,National,E92000001,England,Duration of last period of care,7. From 3 years to under 5 years,3100,10
Reporting year,2022,National,E92000001,England,Duration of last period of care,8. From 5 years to under 10 years,2880,10
Reporting year,2022,National,E92000001,England,Duration of last period of care,9. 10 years and over,1500,5
Reporting year,2022,National,E92000001,England,Duration of last period of care,Average duration of last period of care (days),894,z
Reporting year,2022,National,E92000001,England,Duration of last period of care,Total,30230,100
Reporting year,2022,National,E92000001,England,Ethnicity,1. Total White,19640,65
Reporting year,2022,National,E92000001,England,Ethnicity,1a. White British,17910,59
Reporting year,2022,National,E92000001,England,Ethnicity,1b. White Irish,90,k
Reporting year,2022,National,E92000001,England,Ethnicity,1c. Traveller of Irish Heritage,70,k
Reporting year,2022,National,E92000001,England,Ethnicity,1d. Gypsy Roma,160,1
Reporting year,2022,National,E92000001,England,Ethnicity,1e. Any other White background,1410,5
Reporting year,2022,National,E92000001,England,Ethnicity,2. Total Mixed or Multiple ethnic groups,2780,9
Reporting year,2022,National,E92000001,England,Ethnicity,2a. White and Black Caribbean,910,3
Reporting year,2022,National,E92000001,England,Ethnicity,2b. White and Black African,360,1
Reporting year,2022,National,E92000001,England,Ethnicity,2c. White and Asian,510,2
Reporting year,2022,National,E92000001,England,Ethnicity,2d. Any other Mixed background,1000,3
Reporting year,2022,National,E92000001,England,Ethnicity,3. Total Asian or Asian British,2090,7
Reporting year,2022,National,E92000001,England,Ethnicity,3a. Indian,150,k
Reporting year,2022,National,E92000001,England,Ethnicity,3b. Pakistani,510,2
Reporting year,2022,National,E92000001,England,Ethnicity,3c. Bangladeshi,200,1
Reporting year,2022,National,E92000001,England,Ethnicity,3d. Chinese,60,k
Reporting year,2022,National,E92000001,England,Ethnicity,3e. Any other Asian background,1170,4
Reporting year,2022,National,E92000001,England,Ethnicity,"4. Total Black, African, Caribbean or Black British",3120,10
Reporting year,2022,National,E92000001,England,Ethnicity,4a. Caribbean,590,2
Reporting year,2022,National,E92000001,England,Ethnicity,4b. African,1900,6
Reporting year,2022,National,E92000001,England,Ethnicity,4c. Any other Black background,620,2
Reporting year,2022,National,E92000001,England,Ethnicity,5. Total other ethnic group,2330,8
Reporting year,2022,National,E92000001,England,Ethnicity,6. Total refused of information not yet available,290,1
Reporting year,2022,National,E92000001,England,Ethnicity,6a. Refused,20,k
Reporting year,2022,National,E92000001,England,Ethnicity,6b. Information not yet obtained,260,1
Reporting year,2022,National,E92000001,England,Ethnicity,Total,30230,100
Reporting year,2022,National,E92000001,England,Gender,Female,12720,42
Reporting year,2022,National,E92000001,England,Gender,Male,17510,58
Reporting year,2022,National,E92000001,England,Gender,Total,30230,100
Reporting year,2022,National,E92000001,England,Legal status,Care orders,14290,47
Reporting year,2022,National,E92000001,England,Legal status,Detained for child protection,640,2
Reporting year,2022,National,E92000001,England,Legal status,Placement order granted,2950,10
Reporting year,2022,National,E92000001,England,Legal status,Total,30230,100
Reporting year,2022,National,E92000001,England,Legal status,Voluntary agreements under S20 CA 1989,11820,39
Reporting year,2022,National,E92000001,England,Legal status,Youth justice legal statuses,530,2
Reporting year,2022,National,E92000001,England,Placement group,1. Total foster placements,13290,44
Reporting year,2022,National,E92000001,England,Placement group,1a Total foster placements inside council boundary,8350,28
Reporting year,2022,National,E92000001,England,Placement group,1a.1 Total foster placements inside council boundary with relative or friend,3790,13
Reporting year,2022,National,E92000001,England,Placement group,1a.1i With relative or friend who is also approved adopter (FFA) or concurrent planning,10,k
Reporting year,2022,National,E92000001,England,Placement group,1a.1ii With relative or friend not FFA/concurrent planning,3780,13
Reporting year,2022,National,E92000001,England,Placement group,1a.2 Total foster placements inside council boundary with other foster carer,4560,15
Reporting year,2022,National,E92000001,England,Placement group,1a.2i With other foster carer who is also approved adopter (FFA) or concurrent planning,10,k
Reporting year,2022,National,E92000001,England,Placement group,1a.2ii With other foster carer not FFA/concurrent planning,4550,15
Reporting year,2022,National,E92000001,England,Placement group,1b Total foster placements outside council boundary,4940,16
Reporting year,2022,National,E92000001,England,Placement group,1b.1 Total foster placements outside council boundary with relative or friend,1630,5
Reporting year,2022,National,E92000001,England,Placement group,1b.1i With relative or friend who is also approved adopter (FFA) or concurrent planning,20,k
Reporting year,2022,National,E92000001,England,Placement group,1b.1ii With relative or friend not FFA/concurrent planning,1610,5
Reporting year,2022,National,E92000001,England,Placement group,1b.2 Total foster placements outside council boundary with other foster carer,3310,11
Reporting year,2022,National,E92000001,England,Placement group,1b.2i With other foster carer who is also approved adopter (FFA) or concurrent planning,10,k
Reporting year,2022,National,E92000001,England,Placement group,1b.2ii With other foster carer not FFA/concurrent planning,3300,11
Reporting year,2022,National,E92000001,England,Placement group,2. Total placed for adoption,2950,10
Reporting year,2022,National,E92000001,England,Placement group,2a. Placed for adoption with consent with current foster carer,100,k
Reporting year,2022,National,E92000001,England,Placement group,2b. Placed for adoption with placement order with current foster carer,600,2
Reporting year,2022,National,E92000001,England,Placement group,2c. Placed for adoption with consent not with current foster carer,220,1
Reporting year,2022,National,E92000001,England,Placement group,2d. Placed for adoption with placement order not with current foster carer,2030,7
Reporting year,2022,National,E92000001,England,Placement group,3. Total placed with parents or other person with parental responsibility,4060,13
Reporting year,2022,National,E92000001,England,Placement group,4. Total other placements in the community,2180,7
Reporting year,2022,National,E92000001,England,Placement group,4a. Living independently,2180,7
Reporting year,2022,National,E92000001,England,Placement group,4b. Residential employment,c,c
Reporting year,2022,National,E92000001,England,Placement group,"5. Total secure units, children's homes and semi-independent living accommodation",6450,21
Reporting year,2022,National,E92000001,England,Placement group,5a. Secure unit placement inside the council boundary,10,k
Reporting year,2022,National,E92000001,England,Placement group,5b. Secure unit placement outside the council boundary,60,k
Reporting year,2022,National,E92000001,England,Placement group,5c. Total children's homes subject to children's homes regulations,1090,4
Reporting year,2022,National,E92000001,England,Placement group,5c.1 Children's home placement inside the council boundary,430,1
Reporting year,2022,National,E92000001,England,Placement group,5c.2 Children's home placement outside the council boundary,670,2
Reporting year,2022,National,E92000001,England,Placement group,5d. Semi-independent living accommodation not subject to children's homes regulations,5290,18
Reporting year,2022,National,E92000001,England,Placement group,6. Total other residential settings,710,2
Reporting year,2022,National,E92000001,England,Placement group,6a. Residential care homes,90,k
Reporting year,2022,National,E92000001,England,Placement group,6b. NHS Trust providing medical or nursing care,90,k
Reporting year,2022,National,E92000001,England,Placement group,6c. Family centre or mother and baby unit,110,k
Reporting year,2022,National,E92000001,England,Placement group,6d. Young Offender Institution or prison,440,1
Reporting year,2022,National,E92000001,England,Placement group,7. Total residential schools,50,k
Reporting year,2022,National,E92000001,England,Placement group,8. Total other placements,540,2
Reporting year,2022,National,E92000001,England,Placement group,Total children,30230,100
Reporting year,2022,National,E92000001,England,Reason episode ceased,Accommodation on remand ended,150,k
Reporting year,2022,National,E92000001,England,Reason episode ceased,Adopted,3000,10
Reporting year,2022,National,E92000001,England,Reason episode ceased,Age assessment determined child aged 18 or over,190,1
Reporting year,2022,National,E92000001,England,Reason episode ceased,Aged 18 (or over) and remained with current carers,3960,13
Reporting year,2022,National,E92000001,England,Reason episode ceased,Care ceased for any other reason,3230,11
Reporting year,2022,National,E92000001,England,Reason episode ceased,Care taken by another local authority,940,3
Reporting year,2022,National,E92000001,England,Reason episode ceased,Child moved abroad,70,k
Reporting year,2022,National,E92000001,England,Reason episode ceased,Died,40,k
Reporting year,2022,National,E92000001,England,Reason episode ceased,"Left care to live with parents, relatives or other person with no parental responsibility",1940,6
Reporting year,2022,National,E92000001,England,Reason episode ceased,Moved into independent living (with no formalised support),840,3
Reporting year,2022,National,E92000001,England,Reason episode ceased,Moved into independent living (with supportive accommodation),3500,12
Reporting year,2022,National,E92000001,England,Reason episode ceased,Residence order or child arrangement order granted,1180,4
Reporting year,2022,National,E92000001,England,Reason episode ceased,Returned home to live with parents or other person with parental responsibility which was not part of the care planning process,1090,4
Reporting year,2022,National,E92000001,England,Reason episode ceased,Returned home to live with parents or other person with parental responsibility which was part of the care planning process,5390,18
Reporting year,2022,National,E92000001,England,Reason episode ceased,Sentenced to custody,230,1
Reporting year,2022,National,E92000001,England,Reason episode ceased,Special guardianship order,3910,13
Reporting year,2022,National,E92000001,England,Reason episode ceased,Total,30230,100
Reporting year,2022,National,E92000001,England,Reason episode ceased,Transferred to residential care funded by adult social services,580,2
Reporting year,2021,National,E92000001,England,Age on ceasing,1 to 4 years,6020,21
Reporting year,2021,National,E92000001,England,Age on ceasing,10 to 15 years,3750,13
Reporting year,2021,National,E92000001,England,Age on ceasing,16 years,1220,4
Reporting year,2021,National,E92000001,England,Age on ceasing,17 years,1320,5
Reporting year,2021,National,E92000001,England,Age on ceasing,5 to 9 years,3320,12
Reporting year,2021,National,E92000001,England,Age on ceasing,Ceased on 18th birthday,10780,38
Reporting year,2021,National,E92000001,England,Age on ceasing,Ceased when older than 18th birthday,50,k
Reporting year,2021,National,E92000001,England,Age on ceasing,Total,28120,100
Reporting year,2021,National,E92000001,England,Age on ceasing,Under 1 year,1660,6
Reporting year,2021,National,E92000001,England,Category of need,N1. Abuse or neglect,16060,57
Reporting year,2021,National,E92000001,England,Category of need,N2. Child disability,680,2
Reporting year,2021,National,E92000001,England,Category of need,N3. Parental illness or disability,800,3
Reporting year,2021,National,E92000001,England,Category of need,N4. Family in acute stress,2270,8
Reporting year,2021,National,E92000001,England,Category of need,N5. Family dysfunction,3650,13
Reporting year,2021,National,E92000001,England,Category of need,N6. Socially unacceptable behaviour,770,3
Reporting year,2021,National,E92000001,England,Category of need,N7. Low income,60,k
Reporting year,2021,National,E92000001,England,Category of need,N8. Absent parenting,3840,14
Reporting year,2021,National,E92000001,England,Category of need,Total,28120,100
Reporting year,2021,National,E92000001,England,Duration of last period of care,1. Under 2 weeks,1710,6
Reporting year,2021,National,E92000001,England,Duration of last period of care,2. From 2 weeks to under 8 weeks,1660,6
Reporting year,2021,National,E92000001,England,Duration of last period of care,3. From 8 weeks to under 6 months,3530,13
Reporting year,2021,National,E92000001,England,Duration of last period of care,4. From 6 months to under 1 year,5180,18
Reporting year,2021,National,E92000001,England,Duration of last period of care,5. From 1 year to under 2 years,6080,22
Reporting year,2021,National,E92000001,England,Duration of last period of care,6. From 2 years to under 3 years,3020,11
Reporting year,2021,National,E92000001,England,Duration of last period of care,7. From 3 years to under 5 years,2830,10
Reporting year,2021,National,E92000001,England,Duration of last period of care,8. From 5 years to under 10 years,2690,10
Reporting year,2021,National,E92000001,England,Duration of last period of care,9. 10 years and over,1430,5
Reporting year,2021,National,E92000001,England,Duration of last period of care,Average duration of last period of care (days),907,z
Reporting year,2021,National,E92000001,England,Duration of last period of care,Total,28120,100
Reporting year,2021,National,E92000001,England,Ethnicity,1. Total White,18370,65
Reporting year,2021,National,E92000001,England,Ethnicity,1a. White British,16910,60
Reporting year,2021,National,E92000001,England,Ethnicity,1b. White Irish,70,k
Reporting year,2021,National,E92000001,England,Ethnicity,1c. Traveller of Irish Heritage,60,k
Reporting year,2021,National,E92000001,England,Ethnicity,1d. Gypsy Roma,130,k
Reporting year,2021,National,E92000001,England,Ethnicity,1e. Any other White background,1200,4
Reporting year,2021,National,E92000001,England,Ethnicity,2. Total Mixed or Multiple ethnic groups,2520,9
Reporting year,2021,National,E92000001,England,Ethnicity,2a. White and Black Caribbean,860,3
Reporting year,2021,National,E92000001,England,Ethnicity,2b. White and Black African,320,1
Reporting year,2021,National,E92000001,England,Ethnicity,2c. White and Asian,410,1
Reporting year,2021,National,E92000001,England,Ethnicity,2d. Any other Mixed background,940,3
Reporting year,2021,National,E92000001,England,Ethnicity,3. Total Asian or Asian British,1890,7
Reporting year,2021,National,E92000001,England,Ethnicity,3a. Indian,120,k
Reporting year,2021,National,E92000001,England,Ethnicity,3b. Pakistani,500,2
Reporting year,2021,National,E92000001,England,Ethnicity,3c. Bangladeshi,190,1
Reporting year,2021,National,E92000001,England,Ethnicity,3d. Chinese,50,k
Reporting year,2021,National,E92000001,England,Ethnicity,3e. Any other Asian background,1040,4
Reporting year,2021,National,E92000001,England,Ethnicity,"4. Total Black, African, Caribbean or Black British",3140,11
Reporting year,2021,National,E92000001,England,Ethnicity,4a. Caribbean,520,2
Reporting year,2021,National,E92000001,England,Ethnicity,4b. African,2050,7
Reporting year,2021,National,E92000001,England,Ethnicity,4c. Any other Black background,570,2
Reporting year,2021,National,E92000001,England,Ethnicity,5. Total other ethnic group,1950,7
Reporting year,2021,National,E92000001,England,Ethnicity,6. Total refused of information not yet available,260,1
Reporting year,2021,National,E92000001,England,Ethnicity,6a. Refused,20,k
Reporting year,2021,National,E92000001,England,Ethnicity,6b. Information not yet obtained,240,1
Reporting year,2021,National,E92000001,England,Ethnicity,Total,28120,100
Reporting year,2021,National,E92000001,England,Gender,Female,11850,42
Reporting year,2021,National,E92000001,England,Gender,Male,16270,58
Reporting year,2021,National,E92000001,England,Gender,Total,28120,100
Reporting year,2021,National,E92000001,England,Legal status,Care orders,13130,47
Reporting year,2021,National,E92000001,England,Legal status,Detained for child protection,590,2
Reporting year,2021,National,E92000001,England,Legal status,Placement order granted,2830,10
Reporting year,2021,National,E92000001,England,Legal status,Total,28120,100
Reporting year,2021,National,E92000001,England,Legal status,Voluntary agreements under S20 CA 1989,11010,39
Reporting year,2021,National,E92000001,England,Legal status,Youth justice legal statuses,560,2
Reporting year,2021,National,E92000001,England,Placement group,1. Total foster placements,12580,45
Reporting year,2021,National,E92000001,England,Placement group,1a Total foster placements inside council boundary,8150,29
Reporting year,2021,National,E92000001,England,Placement group,1a.1 Total foster placements inside council boundary with relative or friend,3780,13
Reporting year,2021,National,E92000001,England,Placement group,1a.1i With relative or friend who is also approved adopter (FFA) or concurrent planning,10,k
Reporting year,2021,National,E92000001,England,Placement group,1a.1ii With relative or friend not FFA/concurrent planning,3770,13
Reporting year,2021,National,E92000001,England,Placement group,1a.2 Total foster placements inside council boundary with other foster carer,4370,16
Reporting year,2021,National,E92000001,England,Placement group,1a.2i With other foster carer who is also approved adopter (FFA) or concurrent planning,10,k
Reporting year,2021,National,E92000001,England,Placement group,1a.2ii With other foster carer not FFA/concurrent planning,4360,16
Reporting year,2021,National,E92000001,England,Placement group,1b Total foster placements outside council boundary,4430,16
Reporting year,2021,National,E92000001,England,Placement group,1b.1 Total foster placements outside council boundary with relative or friend,1500,5
Reporting year,2021,National,E92000001,England,Placement group,1b.1i With relative or friend who is also approved adopter (FFA) or concurrent planning,c,c
Reporting year,2021,National,E92000001,England,Placement group,1b.1ii With relative or friend not FFA/concurrent planning,1500,5
Reporting year,2021,National,E92000001,England,Placement group,1b.2 Total foster placements outside council boundary with other foster carer,2930,10
Reporting year,2021,National,E92000001,England,Placement group,1b.2i With other foster carer who is also approved adopter (FFA) or concurrent planning,10,k
Reporting year,2021,National,E92000001,England,Placement group,1b.2ii With other foster carer not FFA/concurrent planning,2920,10
Reporting year,2021,National,E92000001,England,Placement group,2. Total placed for adoption,2850,10
Reporting year,2021,National,E92000001,England,Placement group,2a. Placed for adoption with consent with current foster carer,100,k
Reporting year,2021,National,E92000001,England,Placement group,2b. Placed for adoption with placement order with current foster carer,540,2
Reporting year,2021,National,E92000001,England,Placement group,2c. Placed for adoption with consent not with current foster carer,310,1
Reporting year,2021,National,E92000001,England,Placement group,2d. Placed for adoption with placement order not with current foster carer,1900,7
Reporting year,2021,National,E92000001,England,Placement group,3. Total placed with parents or other person with parental responsibility,3360,12
Reporting year,2021,National,E92000001,England,Placement group,4. Total other placements in the community,2680,10
