time_period,time_identifier,geographic_level,country_code,country_name,care_leaver_age,cla_group,characteristic,measure,number,percentage
2020,Reporting year,National,E92000001,England,21 years,Care Leavers group,Total,Unaccompanied asylum-seeking children,2030,20
2020,Reporting year,National,E92000001,England,20 years,Care leavers group,Total,Unaccompanied asylum-seeking children,2520,24
2020,Reporting year,National,E92000001,England,19 years,Care Leavers group,Total,Unaccompanied asylum-seeking children,2570,24
2020,Reporting year,National,E92000001,England,18 years,Care leavers group,Total,Unaccompanied asylum-seeking children,3040,27
2020,Reporting year,National,E92000001,England,17 years,Care leavers group,Total,Unaccompanied asylum-seeking children,30,7
2019,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Female,Unaccompanied asylum-seeking children,530,2
2019,Reporting year,National,E92000001,England,21 years,Care Leavers group,Female,Unaccompanied asylum-seeking children,140,2
2019,Reporting year,National,E92000001,England,20 years,Care leavers group,Female,Unaccompanied asylum-seeking children,170,2
2019,Reporting year,National,E92000001,England,19 years,Care Leavers group,Female,Unaccompanied asylum-seeking children,220,2
2019,Reporting year,National,E92000001,England,18 years,Care leavers group,Female,Unaccompanied asylum-seeking children,220,2
2019,Reporting year,National,E92000001,England,17 years,Care leavers group,Female,Unaccompanied asylum-seeking children,c,c
2019,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Male,Unaccompanied asylum-seeking children,5440,18
2019,Reporting year,National,E92000001,England,21 years,Care Leavers group,Male,Unaccompanied asylum-seeking children,1250,13
2019,Reporting year,National,E92000001,England,20 years,Care leavers group,Male,Unaccompanied asylum-seeking children,1880,19
2019,Reporting year,National,E92000001,England,19 years,Care Leavers group,Male,Unaccompanied asylum-seeking children,2310,22
2019,Reporting year,National,E92000001,England,18 years,Care leavers group,Male,Unaccompanied asylum-seeking children,2330,22
2019,Reporting year,National,E92000001,England,17 years,Care leavers group,Male,Unaccompanied asylum-seeking children,30,6
2019,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Total,Unaccompanied asylum-seeking children,5970,20
2019,Reporting year,National,E92000001,England,21 years,Care Leavers group,Total,Unaccompanied asylum-seeking children,1390,15
2019,Reporting year,National,E92000001,England,20 years,Care leavers group,Total,Unaccompanied asylum-seeking children,2050,20
2019,Reporting year,National,E92000001,England,19 years,Care Leavers group,Total,Unaccompanied asylum-seeking children,2530,24
2019,Reporting year,National,E92000001,England,18 years,Care leavers group,Total,Unaccompanied asylum-seeking children,2550,24
2019,Reporting year,National,E92000001,England,17 years,Care leavers group,Total,Unaccompanied asylum-seeking children,40,7
