time_period,time_identifier,geographic_level,country_code,country_name,cla_group,characteristic,reason_for_change,number,percent
2023,Reporting year,National,E92000001,England,Age,Under 1 year,Change to/Implementation of care plan,2720,52
2023,Reporting year,National,E92000001,England,Age,Under 1 year,Child requests placement to end,10,k
2023,Reporting year,National,E92000001,England,Age,Under 1 year,Custody,c,c
2023,Reporting year,National,E92000001,England,Age,Under 1 year,Other,1210,23
2023,Reporting year,National,E92000001,England,Age,Under 1 year,Resignation or closure of provision,10,k
2023,Reporting year,National,E92000001,England,Age,Under 1 year,Responsible/Area authority requests placement to end,90,2
2023,Reporting year,National,E92000001,England,Age,Under 1 year,Standards of care concern,50,1
2023,Reporting year,National,E92000001,England,Category of need,N1. Abuse or neglect,All Placements,38010,66
2023,Reporting year,National,E92000001,England,Category of need,N1. Abuse or neglect,Allegation (s47),350,1
2023,Reporting year,National,E92000001,England,Category of need,N1. Abuse or neglect,Approval removed,180,k
2023,Reporting year,National,E92000001,England,Category of need,N1. Abuse or neglect,Carer requests placement end other than due to child's behaviour,2880,8
2023,Reporting year,National,E92000001,England,Category of need,N1. Abuse or neglect,Carer requests placement ends due to child's behaviour,3680,10
2023,Reporting year,National,E92000001,England,Category of need,N1. Abuse or neglect,Change in the status of a placement only,6210,16
2023,Reporting year,National,E92000001,England,Category of need,N1. Abuse or neglect,Change to/Implementation of care plan,13430,35
2023,Reporting year,National,E92000001,England,Category of need,N1. Abuse or neglect,Child requests placement to end,1210,3
2023,Reporting year,National,E92000001,England,Category of need,N1. Abuse or neglect,Custody,80,k
2023,Reporting year,National,E92000001,England,Category of need,N1. Abuse or neglect,Other,8550,22
2023,Reporting year,National,E92000001,England,Category of need,N1. Abuse or neglect,Resignation or closure of provision,260,1
2023,Reporting year,National,E92000001,England,Category of need,N1. Abuse or neglect,Responsible/Area authority requests placement to end,670,2
2023,Reporting year,National,E92000001,England,Category of need,N1. Abuse or neglect,Standards of care concern,510,1
2023,Reporting year,National,E92000001,England,Category of need,N2. Child’s disability,All Placements,760,1
2023,Reporting year,National,E92000001,England,Category of need,N2. Child’s disability,Allegation (s47),c,c
2023,Reporting year,National,E92000001,England,Category of need,N2. Child’s disability,Approval removed,c,c
2023,Reporting year,National,E92000001,England,Category of need,N2. Child’s disability,Carer requests placement end other than due to child's behaviour,50,6
2023,Reporting year,National,E92000001,England,Category of need,N2. Child’s disability,Carer requests placement ends due to child's behaviour,110,15
2023,Reporting year,National,E92000001,England,Category of need,N2. Child’s disability,Change in the status of a placement only,100,14
2023,Reporting year,National,E92000001,England,Category of need,N2. Child’s disability,Change to/Implementation of care plan,230,30
2023,Reporting year,National,E92000001,England,Category of need,N2. Child’s disability,Child requests placement to end,20,3
2023,Reporting year,National,E92000001,England,Category of need,N2. Child’s disability,Custody,c,c
2023,Reporting year,National,E92000001,England,Category of need,N2. Child’s disability,Other,190,25
2023,Reporting year,National,E92000001,England,Category of need,N2. Child’s disability,Resignation or closure of provision,20,3
2023,Reporting year,National,E92000001,England,Category of need,N2. Child’s disability,Responsible/Area authority requests placement to end,20,2
2023,Reporting year,National,E92000001,England,Category of need,N2. Child’s disability,Standards of care concern,10,2
2023,Reporting year,National,E92000001,England,Category of need,N3. Parental illness or disability,All Placements,1390,2
2023,Reporting year,National,E92000001,England,Category of need,N3. Parental illness or disability,Allegation (s47),10,1
2023,Reporting year,National,E92000001,England,Category of need,N3. Parental illness or disability,Approval removed,c,c
2023,Reporting year,National,E92000001,England,Category of need,N3. Parental illness or disability,Carer requests placement end other than due to child's behaviour,100,7
2023,Reporting year,National,E92000001,England,Category of need,N3. Parental illness or disability,Carer requests placement ends due to child's behaviour,90,7
2023,Reporting year,National,E92000001,England,Category of need,N3. Parental illness or disability,Change in the status of a placement only,240,17
2023,Reporting year,National,E92000001,England,Category of need,N3. Parental illness or disability,Change to/Implementation of care plan,580,41
2023,Reporting year,National,E92000001,England,Category of need,N3. Parental illness or disability,Child requests placement to end,40,3
2023,Reporting year,National,E92000001,England,Category of need,N3. Parental illness or disability,Custody,c,c
2023,Reporting year,National,E92000001,England,Category of need,N3. Parental illness or disability,Other,280,20
2023,Reporting year,National,E92000001,England,Category of need,N3. Parental illness or disability,Resignation or closure of provision,20,1
2023,Reporting year,National,E92000001,England,Category of need,N3. Parental illness or disability,Responsible/Area authority requests placement to end,30,2
2023,Reporting year,National,E92000001,England,Category of need,N3. Parental illness or disability,Standards of care concern,10,1
2023,Reporting year,National,E92000001,England,Category of need,N4. Family in acute stress,All Placements,4890,8
2023,Reporting year,National,E92000001,England,Category of need,N4. Family in acute stress,Allegation (s47),30,1
2023,Reporting year,National,E92000001,England,Category of need,N4. Family in acute stress,Approval removed,20,k
2023,Reporting year,National,E92000001,England,Category of need,N4. Family in acute stress,Carer requests placement end other than due to child's behaviour,300,6
2023,Reporting year,National,E92000001,England,Category of need,N4. Family in acute stress,Carer requests placement ends due to child's behaviour,650,13
2023,Reporting year,National,E92000001,England,Category of need,N4. Family in acute stress,Change in the status of a placement only,580,12
2023,Reporting year,National,E92000001,England,Category of need,N4. Family in acute stress,Change to/Implementation of care plan,1550,32
2023,Reporting year,National,E92000001,England,Category of need,N4. Family in acute stress,Child requests placement to end,210,4
2023,Reporting year,National,E92000001,England,Category of need,N4. Family in acute stress,Custody,10,k
2023,Reporting year,National,E92000001,England,Category of need,N4. Family in acute stress,Other,1380,28
2023,Reporting year,National,E92000001,England,Category of need,N4. Family in acute stress,Resignation or closure of provision,40,1
2023,Reporting year,National,E92000001,England,Category of need,N4. Family in acute stress,Responsible/Area authority requests placement to end,80,2
2023,Reporting year,National,E92000001,England,Category of need,N4. Family in acute stress,Standards of care concern,30,1
2023,Reporting year,National,E92000001,England,Category of need,N5. Family dysfunction,All Placements,7870,14
2023,Reporting year,National,E92000001,England,Category of need,N5. Family dysfunction,Allegation (s47),50,1
2023,Reporting year,National,E92000001,England,Category of need,N5. Family dysfunction,Approval removed,30,k
2023,Reporting year,National,E92000001,England,Category of need,N5. Family dysfunction,Carer requests placement end other than due to child's behaviour,530,7
2023,Reporting year,National,E92000001,England,Category of need,N5. Family dysfunction,Carer requests placement ends due to child's behaviour,810,10
2023,Reporting year,National,E92000001,England,Category of need,N5. Family dysfunction,Change in the status of a placement only,1080,14
2023,Reporting year,National,E92000001,England,Category of need,N5. Family dysfunction,Change to/Implementation of care plan,2850,36
2023,Reporting year,National,E92000001,England,Category of need,N5. Family dysfunction,Child requests placement to end,310,4
2023,Reporting year,National,E92000001,England,Category of need,N5. Family dysfunction,Custody,30,k
2023,Reporting year,National,E92000001,England,Category of need,N5. Family dysfunction,Other,1880,24
2023,Reporting year,National,E92000001,England,Category of need,N5. Family dysfunction,Resignation or closure of provision,40,k
2023,Reporting year,National,E92000001,England,Category of need,N5. Family dysfunction,Responsible/Area authority requests placement to end,140,2
2023,Reporting year,National,E92000001,England,Category of need,N5. Family dysfunction,Standards of care concern,120,2
2023,Reporting year,National,E92000001,England,Category of need,N6. Socially unacceptable behaviour,All Placements,920,2
2023,Reporting year,National,E92000001,England,Category of need,N6. Socially unacceptable behaviour,Allegation (s47),10,1
2023,Reporting year,National,E92000001,England,Category of need,N6. Socially unacceptable behaviour,Approval removed,c,c
2023,Reporting year,National,E92000001,England,Category of need,N6. Socially unacceptable behaviour,Carer requests placement end other than due to child's behaviour,60,7
2023,Reporting year,National,E92000001,England,Category of need,N6. Socially unacceptable behaviour,Carer requests placement ends due to child's behaviour,130,14
2023,Reporting year,National,E92000001,England,Category of need,N6. Socially unacceptable behaviour,Change in the status of a placement only,80,9
2023,Reporting year,National,E92000001,England,Category of need,N6. Socially unacceptable behaviour,Change to/Implementation of care plan,300,32
2023,Reporting year,National,E92000001,England,Category of need,N6. Socially unacceptable behaviour,Child requests placement to end,40,4
2023,Reporting year,National,E92000001,England,Category of need,N6. Socially unacceptable behaviour,Custody,30,4
2023,Reporting year,National,E92000001,England,Category of need,N6. Socially unacceptable behaviour,Other,230,25
2023,Reporting year,National,E92000001,England,Category of need,N6. Socially unacceptable behaviour,Resignation or closure of provision,20,2
2023,Reporting year,National,E92000001,England,Category of need,N6. Socially unacceptable behaviour,Responsible/Area authority requests placement to end,20,2
2023,Reporting year,National,E92000001,England,Category of need,N6. Socially unacceptable behaviour,Standards of care concern,10,1
2023,Reporting year,National,E92000001,England,Category of need,N7. Low income,All Placements,50,k
2023,Reporting year,National,E92000001,England,Category of need,N7. Low income,Allegation (s47),0,0
2023,Reporting year,National,E92000001,England,Category of need,N7. Low income,Approval removed,0,0
2023,Reporting year,National,E92000001,England,Category of need,N7. Low income,Carer requests placement end other than due to child's behaviour,c,c
2023,Reporting year,National,E92000001,England,Category of need,N7. Low income,Carer requests placement ends due to child's behaviour,10,14
2023,Reporting year,National,E92000001,England,Category of need,N7. Low income,Change in the status of a placement only,10,22
2023,Reporting year,National,E92000001,England,Category of need,N7. Low income,Change to/Implementation of care plan,20,33
2023,Reporting year,National,E92000001,England,Category of need,N7. Low income,Child requests placement to end,c,c
2023,Reporting year,National,E92000001,England,Category of need,N7. Low income,Custody,0,0
2023,Reporting year,National,E92000001,England,Category of need,N7. Low income,Other,10,14
2023,Reporting year,National,E92000001,England,Category of need,N7. Low income,Resignation or closure of provision,c,c
2023,Reporting year,National,E92000001,England,Category of need,N7. Low income,Responsible/Area authority requests placement to end,0,0
2023,Reporting year,National,E92000001,England,Category of need,N7. Low income,Standards of care concern,c,c
2023,Reporting year,National,E92000001,England,Category of need,N8. Absent parenting,All Placements,3800,7
2023,Reporting year,National,E92000001,England,Category of need,N8. Absent parenting,Allegation (s47),10,k
2023,Reporting year,National,E92000001,England,Category of need,N8. Absent parenting,Approval removed,c,c
2023,Reporting year,National,E92000001,England,Category of need,N8. Absent parenting,Carer requests placement end other than due to child's behaviour,190,5
2023,Reporting year,National,E92000001,England,Category of need,N8. Absent parenting,Carer requests placement ends due to child's behaviour,250,7
2023,Reporting year,National,E92000001,England,Category of need,N8. Absent parenting,Change in the status of a placement only,400,11
2023,Reporting year,National,E92000001,England,Category of need,N8. Absent parenting,Change to/Implementation of care plan,1150,30
2023,Reporting year,National,E92000001,England,Category of need,N8. Absent parenting,Child requests placement to end,320,8
2023,Reporting year,National,E92000001,England,Category of need,N8. Absent parenting,Custody,c,c
2023,Reporting year,National,E92000001,England,Category of need,N8. Absent parenting,Other,1330,35
2023,Reporting year,National,E92000001,England,Category of need,N8. Absent parenting,Resignation or closure of provision,50,1
2023,Reporting year,National,E92000001,England,Category of need,N8. Absent parenting,Responsible/Area authority requests placement to end,60,2
2023,Reporting year,National,E92000001,England,Category of need,N8. Absent parenting,Standards of care concern,40,1
2023,Reporting year,National,E92000001,England,Category of need,Total,All Placements,57690,100
2023,Reporting year,National,E92000001,England,Category of need,Total,Allegation (s47),470,1
2023,Reporting year,National,E92000001,England,Category of need,Total,Approval removed,240,k
2023,Reporting year,National,E92000001,England,Category of need,Total,Carer requests placement end other than due to child's behaviour,4120,7
2023,Reporting year,National,E92000001,England,Category of need,Total,Carer requests placement ends due to child's behaviour,5740,10
2023,Reporting year,National,E92000001,England,Category of need,Total,Change in the status of a placement only,8710,15
2023,Reporting year,National,E92000001,England,Category of need,Total,Change to/Implementation of care plan,20090,35
2023,Reporting year,National,E92000001,England,Category of need,Total,Child requests placement to end,2150,4
2023,Reporting year,National,E92000001,England,Category of need,Total,Custody,150,k
2023,Reporting year,National,E92000001,England,Category of need,Total,Other,13840,24
2023,Reporting year,National,E92000001,England,Category of need,Total,Resignation or closure of provision,450,1
2023,Reporting year,National,E92000001,England,Category of need,Total,Responsible/Area authority requests placement to end,1020,2
2023,Reporting year,National,E92000001,England,Category of need,Total,Standards of care concern,740,1
2023,Reporting year,National,E92000001,England,Duration of Placement,1. Under 2 weeks,All Placements,10680,19
2023,Reporting year,National,E92000001,England,Duration of Placement,1. Under 2 weeks,Allegation (s47),30,k
2023,Reporting year,National,E92000001,England,Duration of Placement,1. Under 2 weeks,Approval removed,40,k
2023,Reporting year,National,E92000001,England,Duration of Placement,1. Under 2 weeks,Carer requests placement end other than due to child's behaviour,890,8
2023,Reporting year,National,E92000001,England,Duration of Placement,1. Under 2 weeks,Carer requests placement ends due to child's behaviour,650,6
2023,Reporting year,National,E92000001,England,Duration of Placement,1. Under 2 weeks,Change in the status of a placement only,1110,10
2023,Reporting year,National,E92000001,England,Duration of Placement,1. Under 2 weeks,Change to/Implementation of care plan,4150,39
2023,Reporting year,National,E92000001,England,Duration of Placement,1. Under 2 weeks,Child requests placement to end,190,2
2023,Reporting year,National,E92000001,England,Duration of Placement,1. Under 2 weeks,Custody,30,k
2023,Reporting year,National,E92000001,England,Duration of Placement,1. Under 2 weeks,Other,3370,32
2023,Reporting year,National,E92000001,England,Duration of Placement,1. Under 2 weeks,Resignation or closure of provision,20,k
2023,Reporting year,National,E92000001,England,Duration of Placement,1. Under 2 weeks,Responsible/Area authority requests placement to end,150,1
2023,Reporting year,National,E92000001,England,Duration of Placement,1. Under 2 weeks,Standards of care concern,60,1
2023,Reporting year,National,E92000001,England,Duration of Placement,2. From 2 weeks to under 8 weeks,All Placements,10060,17
2023,Reporting year,National,E92000001,England,Duration of Placement,2. From 2 weeks to under 8 weeks,Allegation (s47),60,1
2023,Reporting year,National,E92000001,England,Duration of Placement,2. From 2 weeks to under 8 weeks,Approval removed,50,k
2023,Reporting year,National,E92000001,England,Duration of Placement,2. From 2 weeks to under 8 weeks,Carer requests placement end other than due to child's behaviour,850,8
2023,Reporting year,National,E92000001,England,Duration of Placement,2. From 2 weeks to under 8 weeks,Carer requests placement ends due to child's behaviour,1120,11
2023,Reporting year,National,E92000001,England,Duration of Placement,2. From 2 weeks to under 8 weeks,Change in the status of a placement only,1220,12
2023,Reporting year,National,E92000001,England,Duration of Placement,2. From 2 weeks to under 8 weeks,Change to/Implementation of care plan,3370,33
2023,Reporting year,National,E92000001,England,Duration of Placement,2. From 2 weeks to under 8 weeks,Child requests placement to end,330,3
2023,Reporting year,National,E92000001,England,Duration of Placement,2. From 2 weeks to under 8 weeks,Custody,50,k
2023,Reporting year,National,E92000001,England,Duration of Placement,2. From 2 weeks to under 8 weeks,Other,2690,27
2023,Reporting year,National,E92000001,England,Duration of Placement,2. From 2 weeks to under 8 weeks,Resignation or closure of provision,50,k
2023,Reporting year,National,E92000001,England,Duration of Placement,2. From 2 weeks to under 8 weeks,Responsible/Area authority requests placement to end,160,2
2023,Reporting year,National,E92000001,England,Duration of Placement,2. From 2 weeks to under 8 weeks,Standards of care concern,130,1
2023,Reporting year,National,E92000001,England,Duration of Placement,3. From 8 weeks to under 6 months,All Placements,14000,24
2023,Reporting year,National,E92000001,England,Duration of Placement,3. From 8 weeks to under 6 months,Allegation (s47),110,1
2023,Reporting year,National,E92000001,England,Duration of Placement,3. From 8 weeks to under 6 months,Approval removed,70,1
2023,Reporting year,National,E92000001,England,Duration of Placement,3. From 8 weeks to under 6 months,Carer requests placement end other than due to child's behaviour,970,7
2023,Reporting year,National,E92000001,England,Duration of Placement,3. From 8 weeks to under 6 months,Carer requests placement ends due to child's behaviour,1630,12
2023,Reporting year,National,E92000001,England,Duration of Placement,3. From 8 weeks to under 6 months,Change in the status of a placement only,2060,15
2023,Reporting year,National,E92000001,England,Duration of Placement,3. From 8 weeks to under 6 months,Change to/Implementation of care plan,4600,33
2023,Reporting year,National,E92000001,England,Duration of Placement,3. From 8 weeks to under 6 months,Child requests placement to end,630,4
2023,Reporting year,National,E92000001,England,Duration of Placement,3. From 8 weeks to under 6 months,Custody,50,k
2023,Reporting year,National,E92000001,England,Duration of Placement,3. From 8 weeks to under 6 months,Other,3270,23
2023,Reporting year,National,E92000001,England,Duration of Placement,3. From 8 weeks to under 6 months,Resignation or closure of provision,130,1
2023,Reporting year,National,E92000001,England,Duration of Placement,3. From 8 weeks to under 6 months,Responsible/Area authority requests placement to end,280,2
2023,Reporting year,National,E92000001,England,Duration of Placement,3. From 8 weeks to under 6 months,Standards of care concern,200,1
2023,Reporting year,National,E92000001,England,Duration of Placement,4. From 6 months to under 1 year,All Placements,9360,16
2023,Reporting year,National,E92000001,England,Duration of Placement,4. From 6 months to under 1 year,Allegation (s47),70,1
2023,Reporting year,National,E92000001,England,Duration of Placement,4. From 6 months to under 1 year,Approval removed,30,k
2023,Reporting year,National,E92000001,England,Duration of Placement,4. From 6 months to under 1 year,Carer requests placement end other than due to child's behaviour,610,6
2023,Reporting year,National,E92000001,England,Duration of Placement,4. From 6 months to under 1 year,Carer requests placement ends due to child's behaviour,920,10
2023,Reporting year,National,E92000001,England,Duration of Placement,4. From 6 months to under 1 year,Change in the status of a placement only,1450,15
2023,Reporting year,National,E92000001,England,Duration of Placement,4. From 6 months to under 1 year,Change to/Implementation of care plan,3420,37
2023,Reporting year,National,E92000001,England,Duration of Placement,4. From 6 months to under 1 year,Child requests placement to end,400,4
2023,Reporting year,National,E92000001,England,Duration of Placement,4. From 6 months to under 1 year,Custody,20,k
2023,Reporting year,National,E92000001,England,Duration of Placement,4. From 6 months to under 1 year,Other,2020,22
2023,Reporting year,National,E92000001,England,Duration of Placement,4. From 6 months to under 1 year,Resignation or closure of provision,80,1
2023,Reporting year,National,E92000001,England,Duration of Placement,4. From 6 months to under 1 year,Responsible/Area authority requests placement to end,190,2
2023,Reporting year,National,E92000001,England,Duration of Placement,4. From 6 months to under 1 year,Standards of care concern,140,1
2023,Reporting year,National,E92000001,England,Duration of Placement,5. From 1 year to under 2 years,All Placements,7870,14
2023,Reporting year,National,E92000001,England,Duration of Placement,5. From 1 year to under 2 years,Allegation (s47),80,1
2023,Reporting year,National,E92000001,England,Duration of Placement,5. From 1 year to under 2 years,Approval removed,30,k
2023,Reporting year,National,E92000001,England,Duration of Placement,5. From 1 year to under 2 years,Carer requests placement end other than due to child's behaviour,460,6
2023,Reporting year,National,E92000001,England,Duration of Placement,5. From 1 year to under 2 years,Carer requests placement ends due to child's behaviour,730,9
2023,Reporting year,National,E92000001,England,Duration of Placement,5. From 1 year to under 2 years,Change in the status of a placement only,1570,20
2023,Reporting year,National,E92000001,England,Duration of Placement,5. From 1 year to under 2 years,Change to/Implementation of care plan,2910,37
2023,Reporting year,National,E92000001,England,Duration of Placement,5. From 1 year to under 2 years,Child requests placement to end,300,4
2023,Reporting year,National,E92000001,England,Duration of Placement,5. From 1 year to under 2 years,Custody,c,c
2023,Reporting year,National,E92000001,England,Duration of Placement,5. From 1 year to under 2 years,Other,1490,19
2023,Reporting year,National,E92000001,England,Duration of Placement,5. From 1 year to under 2 years,Resignation or closure of provision,80,1
2023,Reporting year,National,E92000001,England,Duration of Placement,5. From 1 year to under 2 years,Responsible/Area authority requests placement to end,130,2
2023,Reporting year,National,E92000001,England,Duration of Placement,5. From 1 year to under 2 years,Standards of care concern,100,1
2023,Reporting year,National,E92000001,England,Duration of Placement,6. From 2 years to under 3 years,All Placements,2710,5
2023,Reporting year,National,E92000001,England,Duration of Placement,6. From 2 years to under 3 years,Allegation (s47),40,2
2023,Reporting year,National,E92000001,England,Duration of Placement,6. From 2 years to under 3 years,Approval removed,20,1
2023,Reporting year,National,E92000001,England,Duration of Placement,6. From 2 years to under 3 years,Carer requests placement end other than due to child's behaviour,170,6
2023,Reporting year,National,E92000001,England,Duration of Placement,6. From 2 years to under 3 years,Carer requests placement ends due to child's behaviour,270,10
2023,Reporting year,National,E92000001,England,Duration of Placement,6. From 2 years to under 3 years,Change in the status of a placement only,590,22
2023,Reporting year,National,E92000001,England,Duration of Placement,6. From 2 years to under 3 years,Change to/Implementation of care plan,900,33
2023,Reporting year,National,E92000001,England,Duration of Placement,6. From 2 years to under 3 years,Child requests placement to end,110,4
2023,Reporting year,National,E92000001,England,Duration of Placement,6. From 2 years to under 3 years,Custody,c,c
2023,Reporting year,National,E92000001,England,Duration of Placement,6. From 2 years to under 3 years,Other,490,18
2023,Reporting year,National,E92000001,England,Duration of Placement,6. From 2 years to under 3 years,Resignation or closure of provision,20,1
2023,Reporting year,National,E92000001,England,Duration of Placement,6. From 2 years to under 3 years,Responsible/Area authority requests placement to end,50,2
2023,Reporting year,National,E92000001,England,Duration of Placement,6. From 2 years to under 3 years,Standards of care concern,60,2
2023,Reporting year,National,E92000001,England,Duration of Placement,7. From 3 years to under 5 years,All Placements,1910,3
2023,Reporting year,National,E92000001,England,Duration of Placement,7. From 3 years to under 5 years,Allegation (s47),30,2
2023,Reporting year,National,E92000001,England,Duration of Placement,7. From 3 years to under 5 years,Approval removed,c,c
2023,Reporting year,National,E92000001,England,Duration of Placement,7. From 3 years to under 5 years,Carer requests placement end other than due to child's behaviour,110,6
2023,Reporting year,National,E92000001,England,Duration of Placement,7. From 3 years to under 5 years,Carer requests placement ends due to child's behaviour,240,13
2023,Reporting year,National,E92000001,England,Duration of Placement,7. From 3 years to under 5 years,Change in the status of a placement only,490,26
2023,Reporting year,National,E92000001,England,Duration of Placement,7. From 3 years to under 5 years,Change to/Implementation of care plan,480,25
2023,Reporting year,National,E92000001,England,Duration of Placement,7. From 3 years to under 5 years,Child requests placement to end,120,6
2023,Reporting year,National,E92000001,England,Duration of Placement,7. From 3 years to under 5 years,Custody,0,0
2023,Reporting year,National,E92000001,England,Duration of Placement,7. From 3 years to under 5 years,Other,330,17
2023,Reporting year,National,E92000001,England,Duration of Placement,7. From 3 years to under 5 years,Resignation or closure of provision,40,2
2023,Reporting year,National,E92000001,England,Duration of Placement,7. From 3 years to under 5 years,Responsible/Area authority requests placement to end,40,2
2023,Reporting year,National,E92000001,England,Duration of Placement,7. From 3 years to under 5 years,Standards of care concern,40,2
2023,Reporting year,National,E92000001,England,Duration of Placement,8. From 5 years to under 10 years,All Placements,960,2
