time_period,time_identifier,geographic_level,country_code,country_name,population_group,characteristic,placement_stability,number,percentage
2023,Reporting year,National,E92000001,England,Placement,Other residential settings,"Not living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",130,78
2023,Reporting year,National,E92000001,England,Placement,Other residential settings,Total children,170,100
2023,Reporting year,National,E92000001,England,Placement,Placed for adoption,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",520,78
2023,Reporting year,National,E92000001,England,Placement,Placed for adoption,"Not living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",150,22
2023,Reporting year,National,E92000001,England,Placement,Placed for adoption,Total children,660,100
2023,Reporting year,National,E92000001,England,Placement,Placed in the community,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",0,0
2023,Reporting year,National,E92000001,England,Placement,Placed in the community,"Not living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",c,c
2023,Reporting year,National,E92000001,England,Placement,Placed in the community,Total children,c,c
2023,Reporting year,National,E92000001,England,Placement,Placed with parents or other person with parental responsibility,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",1070,47
2023,Reporting year,National,E92000001,England,Placement,Placed with parents or other person with parental responsibility,"Not living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",1220,53
2023,Reporting year,National,E92000001,England,Placement,Placed with parents or other person with parental responsibility,Total children,2280,100
2023,Reporting year,National,E92000001,England,Placement,Residential schools,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",20,67
2023,Reporting year,National,E92000001,England,Placement,Residential schools,"Not living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",10,33
2023,Reporting year,National,E92000001,England,Placement,Residential schools,Total children,20,100
2023,Reporting year,National,E92000001,England,Placement,"Secure units, children's homes and semi-independent living accommodation","Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",920,32
2023,Reporting year,National,E92000001,England,Placement,"Secure units, children's homes and semi-independent living accommodation","Not living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",1950,68
2023,Reporting year,National,E92000001,England,Placement,"Secure units, children's homes and semi-independent living accommodation",Total children,2870,100
2023,Reporting year,National,E92000001,England,Placement,Total children,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",20350,69
2023,Reporting year,National,E92000001,England,Placement,Total children,"Not living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",9280,31
2023,Reporting year,National,E92000001,England,Placement,Total children,Total children,29630,100
2023,Reporting year,National,E92000001,England,Unaccompanied asylum-seeking children,Non-unaccompanied asylum-seeking children,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",20320,69
2023,Reporting year,National,E92000001,England,Unaccompanied asylum-seeking children,Non-unaccompanied asylum-seeking children,"Not living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",9280,31
2023,Reporting year,National,E92000001,England,Unaccompanied asylum-seeking children,Non-unaccompanied asylum-seeking children,Total children,29590,100
2023,Reporting year,National,E92000001,England,Unaccompanied asylum-seeking children,Total children,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",20350,69
2023,Reporting year,National,E92000001,England,Unaccompanied asylum-seeking children,Total children,"Not living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",9280,31
2023,Reporting year,National,E92000001,England,Unaccompanied asylum-seeking children,Total children,Total children,29630,100
2023,Reporting year,National,E92000001,England,Unaccompanied asylum-seeking children,Unaccompanied asylum-seeking children,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",30,84
2023,Reporting year,National,E92000001,England,Unaccompanied asylum-seeking children,Unaccompanied asylum-seeking children,"Not living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",10,16
2023,Reporting year,National,E92000001,England,Unaccompanied asylum-seeking children,Unaccompanied asylum-seeking children,Total children,40,100
2022,Reporting year,National,E92000001,England,Age group,1 to 4 years,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",1210,67
2022,Reporting year,National,E92000001,England,Age group,1 to 4 years,"Not living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",610,33
2022,Reporting year,National,E92000001,England,Age group,1 to 4 years,Total children,1820,100
2022,Reporting year,National,E92000001,England,Age group,10 to 15 years,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",14630,71
2022,Reporting year,National,E92000001,England,Age group,10 to 15 years,"Not living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",6090,29
2022,Reporting year,National,E92000001,England,Age group,10 to 15 years,Total children,20720,100
2022,Reporting year,National,E92000001,England,Age group,5 to 9 years,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",5020,72
2022,Reporting year,National,E92000001,England,Age group,5 to 9 years,"Not living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",1950,28
2022,Reporting year,National,E92000001,England,Age group,5 to 9 years,Total children,6970,100
2022,Reporting year,National,E92000001,England,Age group,Total children,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",20860,71
2022,Reporting year,National,E92000001,England,Age group,Total children,"Not living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",8650,29
2022,Reporting year,National,E92000001,England,Age group,Total children,Total children,29510,100
2022,Reporting year,National,E92000001,England,Ethnicity,1. Total White,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",16650,71
2022,Reporting year,National,E92000001,England,Ethnicity,1. Total White,"Not living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",6830,29
2022,Reporting year,National,E92000001,England,Ethnicity,1. Total White,Total children,23480,100
2022,Reporting year,National,E92000001,England,Ethnicity,1a. White British,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",15750,71
2022,Reporting year,National,E92000001,England,Ethnicity,1a. White British,"Not living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",6470,29
2022,Reporting year,National,E92000001,England,Ethnicity,1a. White British,Total children,22220,100
2022,Reporting year,National,E92000001,England,Ethnicity,1b. White Irish,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",50,76
2022,Reporting year,National,E92000001,England,Ethnicity,1b. White Irish,"Not living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",20,24
2022,Reporting year,National,E92000001,England,Ethnicity,1b. White Irish,Total children,70,100
2022,Reporting year,National,E92000001,England,Ethnicity,1c. Traveller of Irish Heritage,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",40,57
2022,Reporting year,National,E92000001,England,Ethnicity,1c. Traveller of Irish Heritage,"Not living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",30,43
2022,Reporting year,National,E92000001,England,Ethnicity,1c. Traveller of Irish Heritage,Total children,60,100
2022,Reporting year,National,E92000001,England,Ethnicity,1d. Gypsy Roma,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",180,75
2022,Reporting year,National,E92000001,England,Ethnicity,1d. Gypsy Roma,"Not living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",60,25
2022,Reporting year,National,E92000001,England,Ethnicity,1d. Gypsy Roma,Total children,240,100
2022,Reporting year,National,E92000001,England,Ethnicity,1e. Any other White background,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",640,71
2022,Reporting year,National,E92000001,England,Ethnicity,1e. Any other White background,"Not living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",260,29
2022,Reporting year,National,E92000001,England,Ethnicity,1e. Any other White background,Total children,900,100
2022,Reporting year,National,E92000001,England,Ethnicity,2. Total Mixed or Multiple ethnic groups,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",2390,70
2022,Reporting year,National,E92000001,England,Ethnicity,2. Total Mixed or Multiple ethnic groups,"Not living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",1010,30
2022,Reporting year,National,E92000001,England,Ethnicity,2. Total Mixed or Multiple ethnic groups,Total children,3400,100
2022,Reporting year,National,E92000001,England,Ethnicity,2a. White and Black Caribbean,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",810,68
2022,Reporting year,National,E92000001,England,Ethnicity,2a. White and Black Caribbean,"Not living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",380,32
2022,Reporting year,National,E92000001,England,Ethnicity,2a. White and Black Caribbean,Total children,1190,100
2022,Reporting year,National,E92000001,England,Ethnicity,2b. White and Black African,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",290,73
2022,Reporting year,National,E92000001,England,Ethnicity,2b. White and Black African,"Not living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",110,27
