time_period,time_identifier,geographic_level,country_code,country_name,cla_group,population_group,characteristic,number
2022,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,4b. African,5010
2022,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,4c. Any other Black background,1870
2022,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,5. Total other ethnic group,5840
2022,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,6. Total Refused or information not yet available,640
2022,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,6a. Refused,50
2022,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,6b. Information not yet obtained,580
2022,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,Total children,111430
2022,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Gender,Female,48070
2022,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Gender,Male,63370
2022,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Gender,Total children,111430
2022,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Placement,Foster placements,79890
2022,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Placement,Other placement,2520
2022,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Placement,Other residential settings,3690
2022,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Placement,Placed for adoption,5360
2022,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Placement,Placed in the community,4590
2022,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Placement,Placed with parents or other persons with parental responsibility,11720
2022,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Placement,Residential schools,180
2022,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Placement,"Secure units, children's homes and semi-independent living accommodation",21540
2022,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Placement,Total children,129510
2022,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Age group,1 to 4 years,7210
2022,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Age group,10 to 15 years,25880
2022,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Age group,16 years and over,14040
2022,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Age group,5 to 9 years,11120
2022,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Age group,Total children,58250
2022,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Age group,Under 1 year,c
2022,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,1. Total White,44910
2022,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,1a. White British,42250
2022,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,1b. White Irish,140
2022,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,1c. Traveller of Irish Heritage,130
2022,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,1d. Gypsy Roma,450
2022,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,1e. Any other White background,1940
2022,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,2. Total Mixed or Multiple ethnic groups,6340
2022,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,2a. White and Black Caribbean,2190
2022,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,2b. White and Black African,710
2022,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,2c. White and Asian,1340
2022,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,2d. Any other Mixed background,2100
2022,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,3. Total Asian or Asian British,2170
2022,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,3a. Indian,210
2022,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,3b. Pakistani,700
2022,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,3c. Bangladeshi,300
2022,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,3d. Chinese,70
2022,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,3e. Any other Asian background,900
2022,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,"4. Total Black, African, Caribbean or Black British",3450
2022,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,4a. Caribbean,950
2022,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,4b. African,1670
2022,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,4c. Any other Black background,830
2022,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,5. Total other ethnic group,1270
2022,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,6. Total Refused or information not yet available,110
2022,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,6a. Refused,20
2022,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,6b. Information not yet obtained,90
2022,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,Total children,58250
2022,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Gender,Female,26090
2022,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Gender,Male,32150
2022,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Gender,Total children,58250
2022,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Placement,Foster placements,41840
2022,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Placement,Other placement,290
2022,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Placement,Other residential settings,410
2022,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Placement,Placed for adoption,2180
2022,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Placement,Placed in the community,960
2022,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Placement,Placed with parents or other persons with parental responsibility,4170
2022,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Placement,Residential schools,80
2022,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Placement,"Secure units, children's homes and semi-independent living accommodation",8320
2022,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Placement,Total children,58250
2021,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Age group,1 to 4 years,17540
2021,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Age group,10 to 15 years,34750
2021,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Age group,16 years and over,32070
2021,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Age group,5 to 9 years,18210
2021,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Age group,Total children,108100
2021,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Age group,Under 1 year,5530
2021,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,1. Total White,78270
2021,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,1a. White British,73030
2021,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,1b. White Irish,270
2021,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,1c. Traveller of Irish Heritage,220
2021,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,1d. Gypsy Roma,700
2021,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,1e. Any other White background,4060
2021,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,2. Total Mixed or Multiple ethnic groups,10860
2021,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,2a. White and Black Caribbean,3720
2021,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,2b. White and Black African,1260
2021,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,2c. White and Asian,2150
2021,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,2d. Any other Mixed background,3730
2021,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,3. Total Asian or Asian British,5360
2021,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,3a. Indian,420
2021,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,3b. Pakistani,1510
2021,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,3c. Bangladeshi,610
2021,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,3d. Chinese,150
2021,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,3e. Any other Asian background,2690
2021,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,"4. Total Black, African, Caribbean or Black British",8650
2021,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,4a. Caribbean,1890
2021,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,4b. African,4980
2021,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,4c. Any other Black background,1790
2021,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,5. Total other ethnic group,4430
2021,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,6. Total Refused or information not yet available,520
2021,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,6a. Refused,50
2021,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,6b. Information not yet obtained,470
2021,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,Total children,108100
2021,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Gender,Female,47240
2021,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Gender,Male,60860
2021,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Gender,Total children,108100
2021,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Placement,Foster placements,78750
2021,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Placement,Other placement,2230
2021,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Placement,Other residential settings,3940
2021,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Placement,Placed for adoption,5420
2021,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Placement,Placed in the community,4990
2021,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Placement,Placed with parents or other persons with parental responsibility,11270
2021,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Placement,Residential schools,180
2021,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Placement,"Secure units, children's homes and semi-independent living accommodation",18960
2021,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Placement,Total children,125740
2021,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Age group,1 to 4 years,7280
2021,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Age group,10 to 15 years,26080
2021,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Age group,16 years and over,14400
2021,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Age group,5 to 9 years,11240
2021,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Age group,Total children,58990
2021,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Age group,Under 1 year,c
2021,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,1. Total White,45340
2021,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,1a. White British,42580
2021,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,1b. White Irish,150
2021,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,1c. Traveller of Irish Heritage,110
2021,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,1d. Gypsy Roma,450
2021,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,1e. Any other White background,2060
2021,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,2. Total Mixed or Multiple ethnic groups,6210
2021,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,2a. White and Black Caribbean,2180
2021,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,2b. White and Black African,700
2021,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,2c. White and Asian,1290
2021,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,2d. Any other Mixed background,2040
2021,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,3. Total Asian or Asian British,2260
2021,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,3a. Indian,220
2021,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,3b. Pakistani,690
2021,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,3c. Bangladeshi,300
2021,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,3d. Chinese,70
2021,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,3e. Any other Asian background,990
2021,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,"4. Total Black, African, Caribbean or Black British",3700
2021,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,4a. Caribbean,1010
2021,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,4b. African,1850
2021,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,4c. Any other Black background,840
2021,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,5. Total other ethnic group,1390
