time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,la_name,new_la_code,cla_group,placement_stability,number,percentage
2023,Reporting year,Regional,E92000001,England,E12000002,North West,,,,CLA 2 years on 31 March,With 3 or more placements during the previous 2 years,2260,20
2023,Reporting year,Regional,E92000001,England,E12000002,North West,,,,CLA on 31 March,Total children,15160,100
2023,Reporting year,Regional,E92000001,England,E12000002,North West,,,,CLA on 31 March,With 3 or more placements during the year,1380,9
2023,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",2420,69
2023,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,Total children,3510,100
2023,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,CLA 2 years on 31 March,Total children,6750,100
2023,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,CLA 2 years on 31 March,With 3 or more placements during the previous 2 years,1430,21
2023,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,CLA on 31 March,Total children,9370,100
2023,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,CLA on 31 March,With 3 or more placements during the year,940,10
2023,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",1540,69
2023,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,Total children,2220,100
2023,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,CLA 2 years on 31 March,Total children,4630,100
2023,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,CLA 2 years on 31 March,With 3 or more placements during the previous 2 years,940,20
2023,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,CLA on 31 March,Total children,6600,100
2023,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,CLA on 31 March,With 3 or more placements during the year,640,10
2023,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",3280,69
2023,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,Total children,4780,100
2023,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,CLA 2 years on 31 March,Total children,8980,100
2023,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,CLA 2 years on 31 March,With 3 or more placements during the previous 2 years,1900,21
2023,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,CLA on 31 March,Total children,11820,100
2023,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,CLA on 31 March,With 3 or more placements during the year,1150,10
2023,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",1610,68
2023,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,Total children,2370,100
2023,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,CLA 2 years on 31 March,Total children,4930,100
2023,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,CLA 2 years on 31 March,With 3 or more placements during the previous 2 years,1130,23
2023,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,CLA on 31 March,Total children,7060,100
2023,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,CLA on 31 March,With 3 or more placements during the year,770,11
2023,Reporting year,Regional,E92000001,England,E12000007,London,,,,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",1810,69
2023,Reporting year,Regional,E92000001,England,E12000007,London,,,,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,Total children,2610,100
2023,Reporting year,Regional,E92000001,England,E12000007,London,,,,CLA 2 years on 31 March,Total children,6450,100
2023,Reporting year,Regional,E92000001,England,E12000007,London,,,,CLA 2 years on 31 March,With 3 or more placements during the previous 2 years,1520,24
2023,Reporting year,Regional,E92000001,England,E12000007,London,,,,CLA on 31 March,Total children,9710,100
2023,Reporting year,Regional,E92000001,England,E12000007,London,,,,CLA on 31 March,With 3 or more placements during the year,1000,10
2023,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",2430,68
2023,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,Total children,3560,100
2023,Reporting year,Regional,E92000001,England,E12000008,South East,,,,CLA 2 years on 31 March,Total children,7650,100
2023,Reporting year,Regional,E92000001,England,E12000008,South East,,,,CLA 2 years on 31 March,With 3 or more placements during the previous 2 years,1930,25
2023,Reporting year,Regional,E92000001,England,E12000008,South East,,,,CLA on 31 March,Total children,11260,100
2023,Reporting year,Regional,E92000001,England,E12000008,South East,,,,CLA on 31 March,With 3 or more placements during the year,1400,12
2023,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",1500,69
2023,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,Total children,2160,100
2023,Reporting year,Regional,E92000001,England,E12000009,South West,,,,CLA 2 years on 31 March,Total children,4710,100
2023,Reporting year,Regional,E92000001,England,E12000009,South West,,,,CLA 2 years on 31 March,With 3 or more placements during the previous 2 years,1090,23
2023,Reporting year,Regional,E92000001,England,E12000009,South West,,,,CLA on 31 March,Total children,6880,100
2023,Reporting year,Regional,E92000001,England,E12000009,South West,,,,CLA on 31 March,With 3 or more placements during the year,770,11
2023,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",750,66
2023,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,Total children,1130,100
2023,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,CLA 2 years on 31 March,Total children,2740,100
2023,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,CLA 2 years on 31 March,With 3 or more placements during the previous 2 years,690,25
2023,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,CLA on 31 March,Total children,4000,100
2023,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,CLA on 31 March,With 3 or more placements during the year,430,11
2023,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",1060,72
2023,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,Total children,1490,100
2023,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,CLA 2 years on 31 March,Total children,3710,100
2023,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,CLA 2 years on 31 March,With 3 or more placements during the previous 2 years,840,23
2023,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,CLA on 31 March,Total children,5700,100
2023,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,CLA on 31 March,With 3 or more placements during the year,570,10
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,805,Hartlepool,E06000001,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",94,65
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,805,Hartlepool,E06000001,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,Total children,145,100
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,805,Hartlepool,E06000001,CLA 2 years on 31 March,Total children,227,100
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,805,Hartlepool,E06000001,CLA 2 years on 31 March,With 3 or more placements during the previous 2 years,40,18
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,805,Hartlepool,E06000001,CLA on 31 March,Total children,321,100
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,805,Hartlepool,E06000001,CLA on 31 March,With 3 or more placements during the year,20,6
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,806,Middlesbrough,E06000002,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",120,62
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,806,Middlesbrough,E06000002,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,Total children,193,100
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,806,Middlesbrough,E06000002,CLA 2 years on 31 March,Total children,352,100
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,806,Middlesbrough,E06000002,CLA 2 years on 31 March,With 3 or more placements during the previous 2 years,102,29
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,806,Middlesbrough,E06000002,CLA on 31 March,Total children,513,100
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,806,Middlesbrough,E06000002,CLA on 31 March,With 3 or more placements during the year,52,10
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,807,Redcar and Cleveland,E06000003,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",85,73
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,807,Redcar and Cleveland,E06000003,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,Total children,117,100
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,807,Redcar and Cleveland,E06000003,CLA 2 years on 31 March,Total children,237,100
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,807,Redcar and Cleveland,E06000003,CLA 2 years on 31 March,With 3 or more placements during the previous 2 years,64,27
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,807,Redcar and Cleveland,E06000003,CLA on 31 March,Total children,399,100
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,807,Redcar and Cleveland,E06000003,CLA on 31 March,With 3 or more placements during the year,41,10
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,808,Stockton-on-Tees,E06000004,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",178,72
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,808,Stockton-on-Tees,E06000004,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,Total children,248,100
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,808,Stockton-on-Tees,E06000004,CLA 2 years on 31 March,Total children,448,100
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,808,Stockton-on-Tees,E06000004,CLA 2 years on 31 March,With 3 or more placements during the previous 2 years,104,23
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,808,Stockton-on-Tees,E06000004,CLA on 31 March,Total children,574,100
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,808,Stockton-on-Tees,E06000004,CLA on 31 March,With 3 or more placements during the year,67,12
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,841,Darlington,E06000005,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",74,59
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,841,Darlington,E06000005,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,Total children,126,100
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,841,Darlington,E06000005,CLA 2 years on 31 March,Total children,219,100
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,841,Darlington,E06000005,CLA 2 years on 31 March,With 3 or more placements during the previous 2 years,54,25
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,841,Darlington,E06000005,CLA on 31 March,Total children,322,100
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,841,Darlington,E06000005,CLA on 31 March,With 3 or more placements during the year,44,14
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,840,County Durham,E06000047,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",263,68
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,840,County Durham,E06000047,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,Total children,389,100
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,840,County Durham,E06000047,CLA 2 years on 31 March,Total children,740,100
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,840,County Durham,E06000047,CLA 2 years on 31 March,With 3 or more placements during the previous 2 years,178,24
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,840,County Durham,E06000047,CLA on 31 March,Total children,1067,100
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,840,County Durham,E06000047,CLA on 31 March,With 3 or more placements during the year,101,9
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,929,Northumberland,E06000057,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",76,64
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,929,Northumberland,E06000057,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,Total children,118,100
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,929,Northumberland,E06000057,CLA 2 years on 31 March,Total children,304,100
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,929,Northumberland,E06000057,CLA 2 years on 31 March,With 3 or more placements during the previous 2 years,78,26
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,929,Northumberland,E06000057,CLA on 31 March,Total children,450,100
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,929,Northumberland,E06000057,CLA on 31 March,With 3 or more placements during the year,62,14
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,391,Newcastle upon Tyne,E08000021,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",182,68
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,391,Newcastle upon Tyne,E08000021,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,Total children,268,100
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,391,Newcastle upon Tyne,E08000021,CLA 2 years on 31 March,Total children,499,100
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,391,Newcastle upon Tyne,E08000021,CLA 2 years on 31 March,With 3 or more placements during the previous 2 years,83,17
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,391,Newcastle upon Tyne,E08000021,CLA on 31 March,Total children,635,100
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,391,Newcastle upon Tyne,E08000021,CLA on 31 March,With 3 or more placements during the year,43,7
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,392,North Tyneside,E08000022,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",73,71
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,392,North Tyneside,E08000022,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,Total children,103,100
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,392,North Tyneside,E08000022,CLA 2 years on 31 March,Total children,231,100
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,392,North Tyneside,E08000022,CLA 2 years on 31 March,With 3 or more placements during the previous 2 years,62,27
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,392,North Tyneside,E08000022,CLA on 31 March,Total children,360,100
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,392,North Tyneside,E08000022,CLA on 31 March,With 3 or more placements during the year,46,13
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,393,South Tyneside,E08000023,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",78,70
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,393,South Tyneside,E08000023,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,Total children,112,100
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,393,South Tyneside,E08000023,CLA 2 years on 31 March,Total children,200,100
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,393,South Tyneside,E08000023,CLA 2 years on 31 March,With 3 or more placements during the previous 2 years,35,18
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,393,South Tyneside,E08000023,CLA on 31 March,Total children,310,100
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,393,South Tyneside,E08000023,CLA on 31 March,With 3 or more placements during the year,28,9
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,394,Sunderland,E08000024,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",129,64
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,394,Sunderland,E08000024,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,Total children,203,100
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,394,Sunderland,E08000024,CLA 2 years on 31 March,Total children,382,100
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,394,Sunderland,E08000024,CLA 2 years on 31 March,With 3 or more placements during the previous 2 years,85,22
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,394,Sunderland,E08000024,CLA on 31 March,Total children,500,100
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,394,Sunderland,E08000024,CLA on 31 March,With 3 or more placements during the year,42,8
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,390,Gateshead,E08000037,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",135,78
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,390,Gateshead,E08000037,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,Total children,172,100
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,390,Gateshead,E08000037,CLA 2 years on 31 March,Total children,338,100
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,390,Gateshead,E08000037,CLA 2 years on 31 March,With 3 or more placements during the previous 2 years,53,16
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,390,Gateshead,E08000037,CLA on 31 March,Total children,528,100
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,390,Gateshead,E08000037,CLA on 31 March,With 3 or more placements during the year,19,4
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,876,Halton,E06000006,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",76,60
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,876,Halton,E06000006,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,Total children,126,100
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,876,Halton,E06000006,CLA 2 years on 31 March,Total children,266,100
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,876,Halton,E06000006,CLA 2 years on 31 March,With 3 or more placements during the previous 2 years,51,19
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,876,Halton,E06000006,CLA on 31 March,Total children,386,100
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,876,Halton,E06000006,CLA on 31 March,With 3 or more placements during the year,40,10
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,877,Warrington,E06000007,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",73,62
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,877,Warrington,E06000007,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,Total children,118,100
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,877,Warrington,E06000007,CLA 2 years on 31 March,Total children,237,100
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,877,Warrington,E06000007,CLA 2 years on 31 March,With 3 or more placements during the previous 2 years,49,21
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,877,Warrington,E06000007,CLA on 31 March,Total children,333,100
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,877,Warrington,E06000007,CLA on 31 March,With 3 or more placements during the year,40,12
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,889,Blackburn with Darwen,E06000008,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",94,71
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,889,Blackburn with Darwen,E06000008,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,Total children,132,100
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,889,Blackburn with Darwen,E06000008,CLA 2 years on 31 March,Total children,270,100
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,889,Blackburn with Darwen,E06000008,CLA 2 years on 31 March,With 3 or more placements during the previous 2 years,61,23
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,889,Blackburn with Darwen,E06000008,CLA on 31 March,Total children,355,100
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,889,Blackburn with Darwen,E06000008,CLA on 31 March,With 3 or more placements during the year,32,9
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,890,Blackpool,E06000009,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",137,58
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,890,Blackpool,E06000009,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,Total children,235,100
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,890,Blackpool,E06000009,CLA 2 years on 31 March,Total children,427,100
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,890,Blackpool,E06000009,CLA 2 years on 31 March,With 3 or more placements during the previous 2 years,124,29
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,890,Blackpool,E06000009,CLA on 31 March,Total children,539,100
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,890,Blackpool,E06000009,CLA on 31 March,With 3 or more placements during the year,61,11
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,895,Cheshire East,E06000049,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",130,70
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,895,Cheshire East,E06000049,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,Total children,187,100
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,895,Cheshire East,E06000049,CLA 2 years on 31 March,Total children,396,100
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,895,Cheshire East,E06000049,CLA 2 years on 31 March,With 3 or more placements during the previous 2 years,95,24
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,895,Cheshire East,E06000049,CLA on 31 March,Total children,580,100
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,895,Cheshire East,E06000049,CLA on 31 March,With 3 or more placements during the year,73,13
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,896,Cheshire West and Chester,E06000050,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",147,68
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,896,Cheshire West and Chester,E06000050,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,Total children,216,100
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,896,Cheshire West and Chester,E06000050,CLA 2 years on 31 March,Total children,433,100
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,896,Cheshire West and Chester,E06000050,CLA 2 years on 31 March,With 3 or more placements during the previous 2 years,66,15
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,896,Cheshire West and Chester,E06000050,CLA on 31 March,Total children,589,100
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,896,Cheshire West and Chester,E06000050,CLA on 31 March,With 3 or more placements during the year,53,9
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,350,Bolton,E08000001,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",165,73
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,350,Bolton,E08000001,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,Total children,227,100
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,350,Bolton,E08000001,CLA 2 years on 31 March,Total children,409,100
