LA,LA Name,ReturnStatus,Line,S52 Line Reference,Own Provision (y),Private (z(i)),Other Public (z(ii)),Voluntary (z(iii)),Total Expenditure (k),Income (l),NET Current Expenditure (m),Govt. Grants Inside AEF (n),Govt. Grants Outside AEF (o),LEA NET Revenue Expenditure (p)
201,City of London,Submitted,43,"Substances misuse services (Drugs, alcohol and volatile substances)",0,0,0,0,0,0,0,0,0,0
201,City of London,Submitted,44,Teenage pregnancy services,0,0,0,0,0,0,0,0,0,0
201,City of London,Submitted,45,Connexions,0,0,36918,0,36918,0,36918,0,0,36918
201,City of London,Submitted,46,Student support/including mandatory awards,0,0,0,0,0,0,0,0,0,0
201,City of London,Submitted,47,Unknown,0,0,484271,0,484271,51043,433228,0,0,433228
201,City of London,Submitted,48,Capital Expenditure from Revenue (CERA) (Children's and young people's services),,,,,0,0,0,,,
201,City of London,Submitted,49,TOTAL CHILDREN AND YOUNG PEOPLE'S SERVICES BUDGET (including CERA),,,,,3074306,153494,2920812,,,
201,City of London,Submitted,50,TOTAL CHILDREN AND YOUNG PEOPLE'S SERVICES BUDGET (excluding CERA),,,,,3074306,153494,2920812,,,
201,City of London,Submitted,51,"Spend on evidence based, early intervention services delivered through Sure Start Children's Centres (whether provided by children's centres using delegated budgets or commissioned by the local authority) - (memorandum expenditure extracted from lines 5 to 7 above)",,,,,1207425,,,,,
201,City of London,Submitted,52,Youth work - (memorandum expenditure Included in lines 41 and 42 above),,,,,484271,,,,,
202,Camden,Submitted,1,Secure accommodation (youth justice),217300,84334,0,640,302274,258626,43648,0,0,43648
202,Camden,Submitted,2,Youth offender teams,1465535,245437,0,343367,2054339,785654,1268685,0,123029,1145656
202,Camden,Submitted,3,Other Youth Justice service,0,0,0,0,0,0,0,0,0,0
202,Camden,Submitted,4,Total Youth Justice,1682835,329771,0,344007,2356613,1044280,1312333,0,123029,1189304
202,Camden,Submitted,5,Spend on local authority management costs relating to Sure Start Children's Centres,0,0,0,0,0,0,0,0,0,0
202,Camden,Submitted,6,Spend by individual Sure Start Children's Centres,8666303,1221363,0,0,9887666,4519735,5367931,0,0,5367931
202,Camden,Submitted,7,Spend on local authority provided or commissioned area-wide services delivered through Sure Start Children's Centres,1251475,661160,0,795795,2708430,1450110,1258320,0,0,1258320
202,Camden,Submitted,8,Total Sure Start Children's Centres,9917778,1882523,0,795795,12596096,5969845,6626251,0,0,6626251
202,Camden,Submitted,9,Residential care,56391,44,0,759816,816251,0,816251,0,0,816251
202,Camden,Submitted,10,Fostering services,2295828,4406887,0,0,6702715,3705,6699010,0,0,6699010
202,Camden,Submitted,11,Other children looked after services,844475,406084,0,0,1250559,0,1250559,356092,0,894467
202,Camden,Submitted,12,Secure accommodation (welfare),221944,0,0,0,221944,0,221944,0,0,221944
202,Camden,Submitted,13,Short breaks (respite) for looked after children,0,0,0,0,0,0,0,0,0,0
202,Camden,Submitted,14,Children placed with family and friends,2085340,237315,0,137137,2459792,72974,2386818,0,0,2386818
202,Camden,Submitted,15,Advocacy services for children looked after,0,0,0,0,0,0,0,0,0,0
202,Camden,Submitted,16,Education of looked after children,1891791,176397,0,170,2068358,0,2068358,0,0,2068358
202,Camden,Submitted,17,Leaving care support services,2122986,2112686,0,0,4235672,500,4235172,0,0,4235172
202,Camden,Submitted,18,Asylum seeker services - children,645357,503659,0,0,1149016,25085,1123931,809824,0,314107
202,Camden,Submitted,19,Total Children Looked After,10164112,7843072,0,897123,18904307,102264,18802043,1165916,0,17636127
202,Camden,Submitted,20,Child death review processes,0,0,0,0,0,0,0,0,0,0
202,Camden,Submitted,21,LA functions in relation to child protection,851351,51564,0,32863,935778,0,935778,0,0,935778
202,Camden,Submitted,22,Local safeguarding childrens board,221880,99284,0,0,321164,53624,267540,0,0,267540
202,Camden,Submitted,23,Total Children and Young People's Safety,1073231,150848,0,32863,1256942,53624,1203318,0,0,1203318
202,Camden,Submitted,24,Direct payments,0,0,0,0,0,0,0,0,0,0
202,Camden,Submitted,25,Short breaks (respite) for disabled children,739904,181577,0,263690,1185171,974093,211078,0,0,211078
202,Camden,Submitted,26,Home care services,0,0,0,0,0,0,0,0,0,0
202,Camden,Submitted,27,Equiptment and adaptations,0,0,0,0,0,0,0,0,0,0
202,Camden,Submitted,28,Other family support services,481051,307768,0,569274,1358093,49023,1309070,21000,150784,1137286
202,Camden,Submitted,29,Contribution to health care of individual children,150551,1308481,0,0,1459032,391545,1067487,19000,0,1048487
202,Camden,Submitted,30,Total Family Support Services,1371506,1797826,0,832964,4002296,1414661,2587635,40000,150784,2396851
202,Camden,Submitted,31,Adoption services,0,1009024,0,0,1009024,0,1009024,0,0,1009024
202,Camden,Submitted,32,Special guardianship support,0,0,0,0,0,0,0,0,0,0
202,Camden,Submitted,33,Other children's and families services,737912,500989,0,342385,1581286,0,1581286,20000,0,1561286
202,Camden,Submitted,34,Total Other Children's and Families Services,737912,1510013,0,342385,2590310,0,2590310,20000,0,2570310
202,Camden,Submitted,35,Children's and young people's plan,3695,0,0,0,3695,0,3695,0,0,3695
202,Camden,Submitted,36,Partnership costs,0,0,0,0,0,0,0,0,0,0
202,Camden,Submitted,37,Central commissioning function,390934,50313,0,0,441247,0,441247,0,0,441247
202,Camden,Submitted,38,Total Children's Services Strategy,394629,50313,0,0,444942,0,444942,0,0,444942
202,Camden,Submitted,39,Commissioning and social work,7253172,1361992,0,206081,8821245,546728,8274517,144242,0,8130275
202,Camden,Submitted,40,Child Trust Fund Top Ups,0,0,0,0,0,0,0,0,0,0
202,Camden,Submitted,41,"Universal services for young people (including youth work, positive activities and  information, advice and guidance)",1409727,186677,0,328085,1924489,265781,1658708,0,0,1658708
202,Camden,Submitted,42,"Targeted services for young people (including youth work, positive activities and information, advice and guidance)",1404453,364436,0,429443,2198332,345466,1852866,0,0,1852866
202,Camden,Submitted,43,"Substances misuse services (Drugs, alcohol and volatile substances)",790295,101075,0,691569,1582939,740871,842068,362694,104253,375121
202,Camden,Submitted,44,Teenage pregnancy services,184559,20554,0,115809,320922,17000,303922,0,0,303922
202,Camden,Submitted,45,Connexions,1171140,19404,0,864361,2054905,25415,2029490,0,0,2029490
202,Camden,Submitted,46,Student support/including mandatory awards,528829,31528,0,0,560357,69080,491277,0,0,491277
202,Camden,Submitted,47,Unknown,5489003,723674,0,2429267,8641944,1463613,7178331,362694,104253,6711384
202,Camden,Submitted,48,Capital Expenditure from Revenue (CERA) (Children's and young people's services),,,,,0,0,0,,,
202,Camden,Submitted,49,TOTAL CHILDREN AND YOUNG PEOPLE'S SERVICES BUDGET (including CERA),,,,,59614695,10595015,49019680,,,
202,Camden,Submitted,50,TOTAL CHILDREN AND YOUNG PEOPLE'S SERVICES BUDGET (excluding CERA),,,,,59614695,10595015,49019680,,,
202,Camden,Submitted,51,"Spend on evidence based, early intervention services delivered through Sure Start Children's Centres (whether provided by children's centres using delegated budgets or commissioned by the local authority) - (memorandum expenditure extracted from lines 5 to 7 above)",,,,,324826,,,,,
202,Camden,Submitted,52,Youth work - (memorandum expenditure Included in lines 41 and 42 above),,,,,3418410,,,,,
203,Greenwich,Submitted,1,Secure accommodation (youth justice),0,159996,0,0,159996,0,159996,0,0,159996
203,Greenwich,Submitted,2,Youth offender teams,1088642,0,0,0,1088642,482301,606341,0,0,606341
203,Greenwich,Submitted,3,Other Youth Justice service,675508,0,0,0,675508,0,675508,0,675508,0
203,Greenwich,Submitted,4,Total Youth Justice,1764150,159996,0,0,1924146,482301,1441845,0,675508,766337
203,Greenwich,Submitted,5,Spend on local authority management costs relating to Sure Start Children's Centres,237660,0,0,0,237660,0,237660,237660,0,0
203,Greenwich,Submitted,6,Spend by individual Sure Start Children's Centres,6435170,0,0,180857,6616027,0,6616027,6616027,0,0
203,Greenwich,Submitted,7,Spend on local authority provided or commissioned area-wide services delivered through Sure Start Children's Centres,4315586,6351,474495,795218,5591650,0,5591650,5591650,0,0
203,Greenwich,Submitted,8,Total Sure Start Children's Centres,10988416,6351,474495,976075,12445337,0,12445337,12445337,0,0
203,Greenwich,Submitted,9,Residential care,1030073,8641792,0,0,9671865,2495650,7176215,0,0,7176215
203,Greenwich,Submitted,10,Fostering services,3240325,15242400,0,0,18482725,34608,18448117,0,0,18448117
203,Greenwich,Submitted,11,Other children looked after services,0,2844830,0,0,2844830,0,2844830,0,0,2844830
203,Greenwich,Submitted,12,Secure accommodation (welfare),0,46169,0,0,46169,0,46169,0,0,46169
203,Greenwich,Submitted,13,Short breaks (respite) for looked after children,0,360111,0,0,360111,0,360111,0,0,360111
203,Greenwich,Submitted,14,Children placed with family and friends,694590,0,0,0,694590,0,694590,0,0,694590
203,Greenwich,Submitted,15,Advocacy services for children looked after,0,0,0,136252,136252,0,136252,0,0,136252
203,Greenwich,Submitted,16,Education of looked after children,262677,0,0,0,262677,203407,59270,0,0,59270
203,Greenwich,Submitted,17,Leaving care support services,1223140,0,0,0,1223140,226,1222914,0,0,1222914
203,Greenwich,Submitted,18,Asylum seeker services - children,1352843,0,0,0,1352843,578383,774460,0,0,774460
203,Greenwich,Submitted,19,Total Children Looked After,7803648,27135302,0,136252,35075202,3312274,31762928,0,0,31762928
203,Greenwich,Submitted,20,Child death review processes,80497,0,0,0,80497,0,80497,0,0,80497
203,Greenwich,Submitted,21,LA functions in relation to child protection,297764,0,0,0,297764,40000,257764,0,0,257764
203,Greenwich,Submitted,22,Local safeguarding childrens board,205470,0,0,0,205470,182860,22610,0,0,22610
203,Greenwich,Submitted,23,Total Children and Young People's Safety,583731,0,0,0,583731,222860,360871,0,0,360871
203,Greenwich,Submitted,24,Direct payments,0,1001512,0,0,1001512,0,1001512,215875,0,785637
203,Greenwich,Submitted,25,Short breaks (respite) for disabled children,976985,0,0,0,976985,35830,941155,941155,0,0
203,Greenwich,Submitted,26,Home care services,0,0,0,0,0,0,0,0,0,0
203,Greenwich,Submitted,27,Equiptment and adaptations,0,0,0,0,0,0,0,0,0,0
203,Greenwich,Submitted,28,Other family support services,2123050,0,0,0,2123050,400000,1723050,0,0,1723050
203,Greenwich,Submitted,29,Contribution to health care of individual children,922570,0,834867,0,1757437,138526,1618911,150000,0,1468911
203,Greenwich,Submitted,30,Total Family Support Services,4022605,1001512,834867,0,5858984,574356,5284628,1307030,0,3977598
203,Greenwich,Submitted,31,Adoption services,1644079,0,0,0,1644079,4770,1639309,0,0,1639309
203,Greenwich,Submitted,32,Special guardianship support,593370,0,0,0,593370,0,593370,0,0,593370
203,Greenwich,Submitted,33,Other children's and families services,0,0,0,572167,572167,0,572167,0,0,572167
203,Greenwich,Submitted,34,Total Other Children's and Families Services,2237449,0,0,572167,2809616,4770,2804846,0,0,2804846
203,Greenwich,Submitted,35,Children's and young people's plan,0,0,0,0,0,0,0,0,0,0
203,Greenwich,Submitted,36,Partnership costs,0,0,0,0,0,0,0,0,0,0
203,Greenwich,Submitted,37,Central commissioning function,2831958,0,0,0,2831958,443289,2388669,0,0,2388669
203,Greenwich,Submitted,38,Total Children's Services Strategy,2831958,0,0,0,2831958,443289,2388669,0,0,2388669
203,Greenwich,Submitted,39,Commissioning and social work,16221583,0,0,0,16221583,1794995,14426588,0,0,14426588
203,Greenwich,Submitted,40,Child Trust Fund Top Ups,3900,0,0,0,3900,0,3900,0,0,3900
203,Greenwich,Submitted,41,"Universal services for young people (including youth work, positive activities and  information, advice and guidance)",4061196,0,0,0,4061196,0,4061196,0,0,4061196
203,Greenwich,Submitted,42,"Targeted services for young people (including youth work, positive activities and information, advice and guidance)",1734575,887136,0,0,2621711,0,2621711,0,0,2621711
203,Greenwich,Submitted,43,"Substances misuse services (Drugs, alcohol and volatile substances)",368191,0,0,0,368191,159957,208234,0,0,208234
203,Greenwich,Submitted,44,Teenage pregnancy services,359909,0,0,0,359909,104491,255418,0,0,255418
203,Greenwich,Submitted,45,Connexions,3104221,0,0,0,3104221,0,3104221,3104221,0,0
203,Greenwich,Submitted,46,Student support/including mandatory awards,384322,0,0,0,384322,191956,192366,0,0,192366
203,Greenwich,Submitted,47,Unknown,10012414,887136,0,0,10899550,456404,10443146,3104221,0,7338925
203,Greenwich,Submitted,48,Capital Expenditure from Revenue (CERA) (Children's and young people's services),,,,,0,0,0,,,
203,Greenwich,Submitted,49,TOTAL CHILDREN AND YOUNG PEOPLE'S SERVICES BUDGET (including CERA),,,,,88654007,7291249,81362758,,,
203,Greenwich,Submitted,50,TOTAL CHILDREN AND YOUNG PEOPLE'S SERVICES BUDGET (excluding CERA),,,,,88654007,7291249,81362758,,,
203,Greenwich,Submitted,51,"Spend on evidence based, early intervention services delivered through Sure Start Children's Centres (whether provided by children's centres using delegated budgets or commissioned by the local authority) - (memorandum expenditure extracted from lines 5 to 7 above)",,,,,254257,,,,,
203,Greenwich,Submitted,52,Youth work - (memorandum expenditure Included in lines 41 and 42 above),,,,,3708601,,,,,
204,Hackney,Submitted,1,Secure accommodation (youth justice),170734,0,0,0,170734,0,170734,0,0,170734
204,Hackney,Submitted,2,Youth offender teams,5319516,0,0,0,5319516,1293295,4026221,2238501,0,1787720
204,Hackney,Submitted,3,Other Youth Justice service,495074,0,0,0,495074,0,495074,0,102072,393002
204,Hackney,Submitted,4,Total Youth Justice,5985324,0,0,0,5985324,1293295,4692029,2238501,102072,2351456
204,Hackney,Submitted,5,Spend on local authority management costs relating to Sure Start Children's Centres,2187754,0,0,0,2187754,1444037,743717,0,0,743717
204,Hackney,Submitted,6,Spend by individual Sure Start Children's Centres,3287238,0,0,0,3287238,0,3287238,3287238,0,0
204,Hackney,Submitted,7,Spend on local authority provided or commissioned area-wide services delivered through Sure Start Children's Centres,8639675,130925,0,261849,9032449,0,9032449,9032449,0,0
204,Hackney,Submitted,8,Total Sure Start Children's Centres,14114667,130925,0,261849,14507441,1444037,13063404,12319687,0,743717
204,Hackney,Submitted,9,Residential care,121091,2300735,0,0,2421826,0,2421826,0,0,2421826
204,Hackney,Submitted,10,Fostering services,4990761,2805211,0,0,7795972,0,7795972,19443,0,7776529
204,Hackney,Submitted,11,Other children looked after services,1420716,2093295,145076,0,3659087,10266,3648821,0,0,3648821
204,Hackney,Submitted,12,Secure accommodation (welfare),0,0,0,0,0,0,0,0,0,0
204,Hackney,Submitted,13,Short breaks (respite) for looked after children,0,0,0,0,0,0,0,0,0,0
204,Hackney,Submitted,14,Children placed with family and friends,25010,0,0,0,25010,0,25010,0,0,25010
204,Hackney,Submitted,15,Advocacy services for children looked after,0,0,0,109499,109499,0,109499,0,0,109499
204,Hackney,Submitted,16,Education of looked after children,642049,0,0,0,642049,0,642049,79151,0,562898
204,Hackney,Submitted,17,Leaving care support services,1571375,0,0,0,1571375,62150,1509225,0,0,1509225
204,Hackney,Submitted,18,Asylum seeker services - children,67000,80244,0,0,147244,0,147244,19443,0,127801
204,Hackney,Submitted,19,Total Children Looked After,8838002,7279485,145076,109499,16372062,72416,16299646,118037,0,16181609
204,Hackney,Submitted,20,Child death review processes,111487,0,0,0,111487,0,111487,0,0,111487
204,Hackney,Submitted,21,LA functions in relation to child protection,708765,0,0,0,708765,100,708665,0,0,708665
204,Hackney,Submitted,22,Local safeguarding childrens board,392399,0,0,0,392399,144328,248071,0,0,248071
204,Hackney,Submitted,23,Total Children and Young People's Safety,1212651,0,0,0,1212651,144428,1068223,0,0,1068223
204,Hackney,Submitted,24,Direct payments,424834,273574,0,0,698408,40754,657654,0,0,657654
204,Hackney,Submitted,25,Short breaks (respite) for disabled children,952460,91124,0,0,1043584,0,1043584,951284,0,92300
204,Hackney,Submitted,26,Home care services,441714,711912,0,0,1153626,68293,1085333,0,0,1085333
204,Hackney,Submitted,27,Equiptment and adaptations,0,0,0,0,0,0,0,0,0,0
204,Hackney,Submitted,28,Other family support services,4368557,1509750,0,872140,6750447,0,6750447,477091,0,6273356
204,Hackney,Submitted,29,Contribution to health care of individual children,655810,0,76840,0,732650,0,732650,0,0,732650
204,Hackney,Submitted,30,Total Family Support Services,6843375,2586360,76840,872140,10378715,109047,10269668,1428375,0,8841293
204,Hackney,Submitted,31,Adoption services,1423253,0,0,0,1423253,0,1423253,0,0,1423253
204,Hackney,Submitted,32,Special guardianship support,1722360,0,0,0,1722360,0,1722360,0,0,1722360
204,Hackney,Submitted,33,Other children's and families services,0,0,0,0,0,0,0,0,0,0
204,Hackney,Submitted,34,Total Other Children's and Families Services,3145613,0,0,0,3145613,0,3145613,0,0,3145613
204,Hackney,Submitted,35,Children's and young people's plan,49022,0,0,0,49022,0,49022,0,0,49022
204,Hackney,Submitted,36,Partnership costs,35055,0,0,0,35055,0,35055,0,0,35055
204,Hackney,Submitted,37,Central commissioning function,321120,0,0,0,321120,0,321120,0,0,321120
204,Hackney,Submitted,38,Total Children's Services Strategy,405197,0,0,0,405197,0,405197,0,0,405197
204,Hackney,Submitted,39,Commissioning and social work,12259787,0,123786,830239,13213812,297693,12916119,248546,0,12667573
204,Hackney,Submitted,40,Child Trust Fund Top Ups,0,0,0,0,0,0,0,0,0,0
204,Hackney,Submitted,41,"Universal services for young people (including youth work, positive activities and  information, advice and guidance)",4970075,0,0,0,4970075,179193,4790882,974788,0,3816094
204,Hackney,Submitted,42,"Targeted services for young people (including youth work, positive activities and information, advice and guidance)",3459543,0,0,0,3459543,0,3459543,868104,0,2591439
204,Hackney,Submitted,43,"Substances misuse services (Drugs, alcohol and volatile substances)",472090,0,0,0,472090,190424,281666,0,0,281666
204,Hackney,Submitted,44,Teenage pregnancy services,0,0,0,0,0,0,0,0,0,0
204,Hackney,Submitted,45,Connexions,2888793,0,0,0,2888793,0,2888793,0,0,2888793
204,Hackney,Submitted,46,Student support/including mandatory awards,0,0,0,0,0,0,0,0,0,0
204,Hackney,Submitted,47,Unknown,11790501,0,0,0,11790501,369617,11420884,1842892,0,9577992
204,Hackney,Submitted,48,Capital Expenditure from Revenue (CERA) (Children's and young people's services),,,,,0,0,0,,,
204,Hackney,Submitted,49,TOTAL CHILDREN AND YOUNG PEOPLE'S SERVICES BUDGET (including CERA),,,,,77011316,3730533,73280783,,,
204,Hackney,Submitted,50,TOTAL CHILDREN AND YOUNG PEOPLE'S SERVICES BUDGET (excluding CERA),,,,,77011316,3730533,73280783,,,
204,Hackney,Submitted,51,"Spend on evidence based, early intervention services delivered through Sure Start Children's Centres (whether provided by children's centres using delegated budgets or commissioned by the local authority) - (memorandum expenditure extracted from lines 5 to 7 above)",,,,,0,,,,,
204,Hackney,Submitted,52,Youth work - (memorandum expenditure Included in lines 41 and 42 above),,,,,5256804,,,,,
205,Hammersmith and Fulham,Submitted,1,Secure accommodation (youth justice),0,0,14411,0,14411,0,14411,0,0,14411
205,Hammersmith and Fulham,Submitted,2,Youth offender teams,1693869,226251,561090,0,2481210,90292,2390918,0,1309273,1081645
205,Hammersmith and Fulham,Submitted,3,Other Youth Justice service,0,0,20153,0,20153,0,20153,0,0,20153
205,Hammersmith and Fulham,Submitted,4,Total Youth Justice,1693869,226251,595654,0,2515774,90292,2425482,0,1309273,1116209
205,Hammersmith and Fulham,Submitted,5,Spend on local authority management costs relating to Sure Start Children's Centres,0,0,0,0,0,0,0,0,0,0
205,Hammersmith and Fulham,Submitted,6,Spend by individual Sure Start Children's Centres,1202915,226321,1172468,1761415,4363119,44303,4318816,4225028,0,93788
205,Hammersmith and Fulham,Submitted,7,Spend on local authority provided or commissioned area-wide services delivered through Sure Start Children's Centres,0,0,0,0,0,0,0,0,0,0
205,Hammersmith and Fulham,Submitted,8,Total Sure Start Children's Centres,1202915,226321,1172468,1761415,4363119,44303,4318816,4225028,0,93788
205,Hammersmith and Fulham,Submitted,9,Residential care,741426,4055255,98058,0,4894739,393259,4501480,0,0,4501480
205,Hammersmith and Fulham,Submitted,10,Fostering services,2635402,2947748,195115,0,5778265,12739,5765526,0,0,5765526
205,Hammersmith and Fulham,Submitted,11,Other children looked after services,21,315688,25663,0,341372,1282,340090,0,0,340090
205,Hammersmith and Fulham,Submitted,12,Secure accommodation (welfare),0,118800,0,0,118800,0,118800,0,0,118800
205,Hammersmith and Fulham,Submitted,13,Short breaks (respite) for looked after children,1276670,1487,16995,22657,1317809,309448,1008361,0,628300,380061
205,Hammersmith and Fulham,Submitted,14,Children placed with family and friends,0,399668,0,0,399668,0,399668,0,0,399668
205,Hammersmith and Fulham,Submitted,15,Advocacy services for children looked after,875587,588988,0,0,1464575,0,1464575,0,0,1464575
205,Hammersmith and Fulham,Submitted,16,Education of looked after children,457946,0,11800,0,469746,2686,467060,0,101000,366060
205,Hammersmith and Fulham,Submitted,17,Leaving care support services,661611,2522388,138297,0,3322296,5271,3317025,304970,153008,2859047
205,Hammersmith and Fulham,Submitted,18,Asylum seeker services - children,0,0,0,0,0,0,0,0,0,0
205,Hammersmith and Fulham,Submitted,19,Total Children Looked After,6648663,10950022,485928,22657,18107270,724685,17382585,304970,882308,16195307
205,Hammersmith and Fulham,Submitted,20,Child death review processes,0,0,0,0,0,0,0,0,0,0
205,Hammersmith and Fulham,Submitted,21,LA functions in relation to child protection,2238886,617961,341769,0,3198616,32556,3166060,0,0,3166060
205,Hammersmith and Fulham,Submitted,22,Local safeguarding childrens board,161245,0,0,0,161245,0,161245,0,0,161245
205,Hammersmith and Fulham,Submitted,23,Total Children and Young People's Safety,2400131,617961,341769,0,3359861,32556,3327305,0,0,3327305
205,Hammersmith and Fulham,Submitted,24,Direct payments,0,283303,0,0,283303,0,283303,0,0,283303
205,Hammersmith and Fulham,Submitted,25,Short breaks (respite) for disabled children,0,0,0,0,0,0,0,0,0,0
205,Hammersmith and Fulham,Submitted,26,Home care services,0,0,448969,0,448969,89288,359681,0,0,359681
205,Hammersmith and Fulham,Submitted,27,Equiptment and adaptations,0,0,0,0,0,0,0,0,0,0
205,Hammersmith and Fulham,Submitted,28,Other family support services,1876639,616453,460542,22900,2976534,123466,2853068,832412,23400,1997256
205,Hammersmith and Fulham,Submitted,29,Contribution to health care of individual children,135527,3082,443291,0,581900,30233,551667,0,222500,329167
205,Hammersmith and Fulham,Submitted,30,Total Family Support Services,2012166,902838,1352802,22900,4290706,242987,4047719,832412,245900,2969407
205,Hammersmith and Fulham,Submitted,31,Adoption services,939579,1199323,194194,0,2333096,82308,2250788,0,0,2250788
205,Hammersmith and Fulham,Submitted,32,Special guardianship support,0,844698,0,0,844698,0,844698,0,0,844698
205,Hammersmith and Fulham,Submitted,33,Other children's and families services,0,965700,0,166632,1132332,0,1132332,0,0,1132332
205,Hammersmith and Fulham,Submitted,34,Total Other Children's and Families Services,939579,3009721,194194,166632,4310126,82308,4227818,0,0,4227818
205,Hammersmith and Fulham,Submitted,35,Children's and young people's plan,0,0,0,0,0,0,0,0,0,0
205,Hammersmith and Fulham,Submitted,36,Partnership costs,0,0,0,0,0,0,0,0,0,0
205,Hammersmith and Fulham,Submitted,37,Central commissioning function,838672,228639,116523,261125,1444959,163524,1281435,0,55500,1225935
205,Hammersmith and Fulham,Submitted,38,Total Children's Services Strategy,838672,228639,116523,261125,1444959,163524,1281435,0,55500,1225935
205,Hammersmith and Fulham,Submitted,39,Commissioning and social work,5190120,1427943,823079,12800,7453942,162336,7291606,649563,460,6641583
205,Hammersmith and Fulham,Submitted,40,Child Trust Fund Top Ups,0,0,0,0,0,0,0,0,0,0
205,Hammersmith and Fulham,Submitted,41,"Universal services for young people (including youth work, positive activities and  information, advice and guidance)",2541152,1336963,390984,0,4269099,583823,3685276,106575,661451,2917250
205,Hammersmith and Fulham,Submitted,42,"Targeted services for young people (including youth work, positive activities and information, advice and guidance)",0,0,0,0,0,0,0,0,0,0
