LEA Number:,LA Name:,S52 Line Reference:,PRIVATE (x),VOLUNTARY (y),PUBLIC (z),TOTAL EXPENDITURE (k),INCOME (l),NET Current Expenditure (m)
202,Camden  ,41 Central commissioning function,82663.95,0,627707.66,710371.61,62045.75,648325.86
202,Camden  ,42 Commissioning and social work,1205830.761,155742,9200904.4,10562477.16,675787.93,9886689.23
202,Camden  ,43 Total Childrens Services Strategy,1321459.961,155742,9873096.61,11350298.57,737833.68,10612464.89
202,Camden  ,44 Child Trust Fund Top Ups,0,0,0,0,0,0
202,Camden  ,45 Capital Expenditure from Revenue (CERA) (Childrens and young peoples services,,,,0,0,0
202,Camden  ,46 TOTAL CHILDREN AND YOUNG PEOPLES SERVICES BUDGET (excluding CERA),,,,44120626.49,5849891.13,38270735.36
202,Camden  ,47 TOTAL CHILDREN AND YOUNG PEOPLES SERVICES BUDGET (including CERA),,,,44120626.49,5849891.13,38270735.36
203,Greenwich  ,1 Secure accommodation (youth justice),440826,0,0,440826,0,440826
203,Greenwich  ,2 Youth offender teams,0,0,822458,822458,149812,672646
203,Greenwich  ,3 Other Youth Justice service,0,0,1174372,1174372,955955,218417
203,Greenwich  ,4 Total Youth Justice,440826,0,1996830,2437656,1105767,1331889
203,Greenwich  ,5 Residential care,5922733,42101,1364877,7329711,146,7329565
203,Greenwich  ,6 Fostering services,11734952,0,3731199,15466151,60398,15405753
203,Greenwich  ,7 Other children looked after services,1438654,541049,336588,2316291,3602,2312689
203,Greenwich  ,8 Secure accommodation (welfare),109459,0,0,109459,0,109459
203,Greenwich  ,9 Short breaks (respite) for looked after children,0,0,0,0,0,0
203,Greenwich  ,10 Children placed with family and friends,0,0,56781,56781,0,56781
203,Greenwich  ,11 Advocacy services for children looked after,0,0,0,0,0,0
203,Greenwich  ,12 Education of looked after children,0,0,78000,78000,78000,0
203,Greenwich  ,13 Leaving care support services,0,0,1891754,1891754,528586,1363168
203,Greenwich  ,14 Total Children Looked After,19205798,583150,7459199,27248147,670732,26577415
203,Greenwich  ,15 Child death processes,0,0,100965,100965,0,100965
203,Greenwich  ,16 Preventative services,0,0,0,0,0,0
203,Greenwich  ,17 LA functions in relation to child protection,0,0,179452,179452,48,179404
203,Greenwich  ,18 Local safeguarding childrens board,0,0,179386,179386,153994,25392
203,Greenwich  ,19 Total Children and Young Peoples Safety,0,0,459803,459803,154042,305761
203,Greenwich  ,20 Direct payments,840890,0,0,840890,0,840890
203,Greenwich  ,21 Short breaks (respite) for disabled children,0,0,850548,850548,114480,736068
203,Greenwich  ,22 Home care services,0,0,0,0,0,0
203,Greenwich  ,23 Equiptment and adaptations,0,0,0,0,0,0
203,Greenwich  ,24 Other family support services,0,0,3377647,3377647,11884,3365763
203,Greenwich  ,"25 Substances misuse services (Drugs, Alcohol and Volatile substances)",0,0,54360,54360,48133,6227
203,Greenwich  ,26 Contribution to health care of individual children,0,0,120043,120043,0,120043
203,Greenwich  ,27 Teenage pregnancy services,0,0,438134,438134,261338,176796
203,Greenwich  ,28 Total Family Support Services,840890,0,4840732,5681622,435835,5245787
203,Greenwich  ,29 Asylum seeker services - children,0,0,0,0,0,0
203,Greenwich  ,30 Unaccompanied asylum children,0,0,1003646,1003646,939065,64581
203,Greenwich  ,31 Accommodation,0,0,0,0,0,0
203,Greenwich  ,32 Assessment and care management,0,0,0,0,0,0
203,Greenwich  ,33 Total Asylum Seeker,0,0,1003646,1003646,939065,64581
203,Greenwich  ,34 Adoption services,0,0,1574081,1574081,38265,1535816
203,Greenwich  ,35 Special guardianship support,0,0,250299,250299,0,250299
203,Greenwich  ,36 Other childrens and families services,0,0,1128910,1128910,509668,619242
203,Greenwich  ,37 Total Other Childrens and Families Services,0,0,2953290,2953290,547933,2405357
203,Greenwich  ,38 Childrens and young peoples plan,0,0,0,0,0,0
203,Greenwich  ,39 Childrens social care workforce grant,0,0,0,0,0,0
203,Greenwich  ,40 Partnership costs,0,0,0,0,0,0
203,Greenwich  ,41 Central commissioning function,0,0,631808,631808,80361,551447
203,Greenwich  ,42 Commissioning and social work,134591,0,11689007,11823598,689596,11134002
203,Greenwich  ,43 Total Childrens Services Strategy,134591,0,12320815,12455406,769957,11685449
203,Greenwich  ,44 Child Trust Fund Top Ups,0,0,3000,3000,0,3000
203,Greenwich  ,45 Capital Expenditure from Revenue (CERA) (Childrens and young peoples services,,,,4280,0,4280
203,Greenwich  ,46 TOTAL CHILDREN AND YOUNG PEOPLES SERVICES BUDGET (excluding CERA),,,,52242570,4623331,47619239
203,Greenwich  ,47 TOTAL CHILDREN AND YOUNG PEOPLES SERVICES BUDGET (including CERA),,,,52246850,4623331,47623519
204,Hackney ,1 Secure accommodation (youth justice),0,0,176814.7708,176814.7708,0,176814.7708
204,Hackney ,2 Youth offender teams,0,0,4360575.75,4360575.75,918634,3441941.75
204,Hackney ,3 Other Youth Justice service,0,0,434665.1792,434665.1792,258035,176630.1792
204,Hackney ,4 Total Youth Justice,0,0,4972055.7,4972055.7,1176669,3795386.7
204,Hackney ,5 Residential care,0,0,3617003,3617003,70226,3546777
204,Hackney ,6 Fostering services,0,0,6762319.34,6762319.34,414398.57,6347920.77
204,Hackney ,7 Other children looked after services,0,0,1983857.26,1983857.26,0,1983857.26
204,Hackney ,8 Secure accommodation (welfare),0,0,0,0,0,0
204,Hackney ,9 Short breaks (respite) for looked after children,0,0,0,0,0,0
204,Hackney ,10 Children placed with family and friends,0,0,50631.02,50631.02,0,50631.02
204,Hackney ,11 Advocacy services for children looked after,0,0,75317.33,75317.33,0,75317.33
204,Hackney ,12 Education of looked after children,0,0,215175.85,215175.85,0,215175.85
204,Hackney ,13 Leaving care support services,0,0,1877949,1877949,0,1877949
204,Hackney ,14 Total Children Looked After,0,0,14582252.8,14582252.8,484624.57,14097628.23
204,Hackney ,15 Child death processes,0,0,100687,100687,0,100687
204,Hackney ,16 Preventative services,0,0,496954.0601,496954.0601,310774.21,186179.8501
204,Hackney ,17 LA functions in relation to child protection,0,0,499955.7375,499955.7375,0,499955.7375
204,Hackney ,18 Local safeguarding childrens board,0,0,192065,192065,0,192065
204,Hackney ,19 Total Children and Young Peoples Safety,0,0,1289661.798,1289661.798,310774.21,978887.5876
204,Hackney ,20 Direct payments,0,0,1013600.51,1013600.51,0,1013600.51
204,Hackney ,21 Short breaks (respite) for disabled children,0,0,534800,534800,0,534800
204,Hackney ,22 Home care services,0,0,808574.14,808574.14,0,808574.14
204,Hackney ,23 Equiptment and adaptations,0,0,0,0,0,0
204,Hackney ,24 Other family support services,0,0,8127628.29,8127628.29,267423.06,7860205.23
204,Hackney ,"25 Substances misuse services (Drugs, Alcohol and Volatile substances)",0,0,63838,63838,0,63838
204,Hackney ,26 Contribution to health care of individual children,0,0,746979,746979,0,746979
204,Hackney ,27 Teenage pregnancy services,0,0,0,0,0,0
204,Hackney ,28 Total Family Support Services,0,0,11295419.93,11295419.93,267423.06,11027996.87
204,Hackney ,29 Asylum seeker services - children,0,0,524578.43,524578.43,414399,110179.43
204,Hackney ,30 Unaccompanied asylum children,0,0,0,0,0,0
204,Hackney ,31 Accommodation,0,0,0,0,0,0
204,Hackney ,32 Assessment and care management,0,0,265142.702,265142.702,0,265142.702
204,Hackney ,33 Total Asylum Seeker,0,0,789721.13,789721.13,414399,375322.13
204,Hackney ,34 Adoption services,0,0,1705748.65,1705748.65,0,1705748.65
204,Hackney ,35 Special guardianship support,0,0,554983.83,554983.83,0,554983.83
204,Hackney ,36 Other childrens and families services,0,0,0,0,0,0
204,Hackney ,37 Total Other Childrens and Families Services,0,0,2260732.47,2260732.47,0,2260732.47
204,Hackney ,38 Childrens and young peoples plan,0,0,83857,83857,0,83857
204,Hackney ,39 Childrens social care workforce grant,0,0,244000,244000,0,244000
204,Hackney ,40 Partnership costs,0,0,0,0,0,0
204,Hackney ,41 Central commissioning function,0,0,541319.47,541319.47,66391,474928.47
204,Hackney ,42 Commissioning and social work,0,0,10882014.84,10882014.84,335438,10546576.84
204,Hackney ,43 Total Childrens Services Strategy,0,0,11751191.3,11751191.3,401829,11349362.3
204,Hackney ,44 Child Trust Fund Top Ups,0,0,0,0,0,0
204,Hackney ,45 Capital Expenditure from Revenue (CERA) (Childrens and young peoples services,,,,74132,74132,0
204,Hackney ,46 TOTAL CHILDREN AND YOUNG PEOPLES SERVICES BUDGET (excluding CERA),,,,46941035.13,3055718.84,43885316.29
204,Hackney ,47 TOTAL CHILDREN AND YOUNG PEOPLES SERVICES BUDGET (including CERA),,,,47015167.13,3129850.84,43885316.29
205,Hammersmith and Fulham ,1 Secure accommodation (youth justice),0,0,165157,165157,0,165157
205,Hammersmith and Fulham ,2 Youth offender teams,0,0,1954813,1954813,1375576,579237
205,Hammersmith and Fulham ,3 Other Youth Justice service,0,0,121411,121411,0,121411
205,Hammersmith and Fulham ,4 Total Youth Justice,0,0,2241381,2241381,1375576,865805
205,Hammersmith and Fulham ,5 Residential care,0,0,177797,177797,177797,0
205,Hammersmith and Fulham ,6 Fostering services,0,0,6686994,6686994,78597,6608397
205,Hammersmith and Fulham ,7 Other children looked after services,0,0,4663245,4663245,901021,3762224
205,Hammersmith and Fulham ,8 Secure accommodation (welfare),0,0,279111,279111,0,279111
205,Hammersmith and Fulham ,9 Short breaks (respite) for looked after children,0,0,0,0,0,0
205,Hammersmith and Fulham ,10 Children placed with family and friends,0,0,0,0,0,0
205,Hammersmith and Fulham ,11 Advocacy services for children looked after,0,0,141627,141627,33323,108304
205,Hammersmith and Fulham ,12 Education of looked after children,0,0,0,0,0,0
205,Hammersmith and Fulham ,13 Leaving care support services,0,0,881336,881336,324410,556926
205,Hammersmith and Fulham ,14 Total Children Looked After,0,0,12830110,12830110,1515148,11314962
205,Hammersmith and Fulham ,15 Child death processes,0,0,0,0,0,0
205,Hammersmith and Fulham ,16 Preventative services,0,0,571038,571038,291903,279135
205,Hammersmith and Fulham ,17 LA functions in relation to child protection,0,0,1628423,1628423,274535,1353888
205,Hammersmith and Fulham ,18 Local safeguarding childrens board,0,0,118158,118158,38770,79388
205,Hammersmith and Fulham ,19 Total Children and Young Peoples Safety,0,0,2317619,2317619,605208,1712411
205,Hammersmith and Fulham ,20 Direct payments,0,0,207311,207311,0,207311
205,Hammersmith and Fulham ,21 Short breaks (respite) for disabled children,0,0,0,0,0,0
205,Hammersmith and Fulham ,22 Home care services,0,0,538867,538867,0,538867
205,Hammersmith and Fulham ,23 Equiptment and adaptations,0,0,0,0,0,0
205,Hammersmith and Fulham ,24 Other family support services,0,0,1411053,1411053,81940,1329113
205,Hammersmith and Fulham ,"25 Substances misuse services (Drugs, Alcohol and Volatile substances)",0,0,233164,233164,89033,144131
205,Hammersmith and Fulham ,26 Contribution to health care of individual children,0,0,932320,932320,69347,862973
205,Hammersmith and Fulham ,27 Teenage pregnancy services,0,0,480090,480090,371373,108717
205,Hammersmith and Fulham ,28 Total Family Support Services,0,0,3802805,3802805,611693,3191112
205,Hammersmith and Fulham ,29 Asylum seeker services - children,0,0,1650817,1650817,1650817,0
205,Hammersmith and Fulham ,30 Unaccompanied asylum children,0,0,0,0,0,0
205,Hammersmith and Fulham ,31 Accommodation,0,0,514606,514606,0,514606
205,Hammersmith and Fulham ,32 Assessment and care management,0,0,0,0,0,0
205,Hammersmith and Fulham ,33 Total Asylum Seeker,0,0,2165423,2165423,1650817,514606
205,Hammersmith and Fulham ,34 Adoption services,0,0,2626942,2626942,335252,2291690
205,Hammersmith and Fulham ,35 Special guardianship support,0,0,490259,490259,0,490259
205,Hammersmith and Fulham ,36 Other childrens and families services,0,0,552046,552046,44064,507982
205,Hammersmith and Fulham ,37 Total Other Childrens and Families Services,0,0,3669247,3669247,379316,3289931
205,Hammersmith and Fulham ,38 Childrens and young peoples plan,0,0,0,0,0,0
205,Hammersmith and Fulham ,39 Childrens social care workforce grant,0,0,264440,264440,2665,261775
205,Hammersmith and Fulham ,40 Partnership costs,0,0,0,0,0,0
205,Hammersmith and Fulham ,41 Central commissioning function,0,0,656210,656210,51067,605143
205,Hammersmith and Fulham ,42 Commissioning and social work,0,0,12597998,12597998,382659,12215339
205,Hammersmith and Fulham ,43 Total Childrens Services Strategy,0,0,13518648,13518648,436391,13082257
205,Hammersmith and Fulham ,44 Child Trust Fund Top Ups,0,0,0,0,0,0
205,Hammersmith and Fulham ,45 Capital Expenditure from Revenue (CERA) (Childrens and young peoples services,,,,0,0,0
205,Hammersmith and Fulham ,46 TOTAL CHILDREN AND YOUNG PEOPLES SERVICES BUDGET (excluding CERA),,,,40545233,6574149,33971084
205,Hammersmith and Fulham ,47 TOTAL CHILDREN AND YOUNG PEOPLES SERVICES BUDGET (including CERA),,,,40545233,6574149,33971084
206,Islington  ,1 Secure accommodation (youth justice),0,0,0,0,0,0
206,Islington  ,2 Youth offender teams,122632,0,1775908,1898540,1080882,817658
206,Islington  ,3 Other Youth Justice service,0,0,0,0,0,0
206,Islington  ,4 Total Youth Justice,122632,0,1775908,1898540,1080882,817658
206,Islington  ,5 Residential care,3133754,0,720223,3853977,1258714,2595263
206,Islington  ,6 Fostering services,4159645,0,3937693,8097338,1000,8096338
206,Islington  ,7 Other children looked after services,48530,1894,4731,55155,0,55155
206,Islington  ,8 Secure accommodation (welfare),230549,0,131,230680,0,230680
206,Islington  ,9 Short breaks (respite) for looked after children,5915,0,772971,778886,192991,585895
206,Islington  ,10 Children placed with family and friends,0,0,0,0,0,0
206,Islington  ,11 Advocacy services for children looked after,0,0,0,0,0,0
206,Islington  ,12 Education of looked after children,475204,0,46920,522124,0,522124
206,Islington  ,13 Leaving care support services,2624192,1572858,1140608,5337658,1395402,3942256
206,Islington  ,14 Total Children Looked After,10677789,1574752,6623277,18875818,2848107,16027711
206,Islington  ,15 Child death processes,0,0,0,0,0,0
206,Islington  ,16 Preventative services,0,0,0,0,0,0
206,Islington  ,17 LA functions in relation to child protection,0,0,271739,271739,0,271739
206,Islington  ,18 Local safeguarding childrens board,0,0,186287,186287,82053,104234
206,Islington  ,19 Total Children and Young Peoples Safety,0,0,458026,458026,82053,375973
206,Islington  ,20 Direct payments,0,0,563031,563031,0,563031
206,Islington  ,21 Short breaks (respite) for disabled children,0,0,0,0,0,0
206,Islington  ,22 Home care services,0,0,0,0,0,0
206,Islington  ,23 Equiptment and adaptations,0,0,0,0,0,0
206,Islington  ,24 Other family support services,570387,161784,1955842,2688013,335495,2352518
206,Islington  ,"25 Substances misuse services (Drugs, Alcohol and Volatile substances)",0,0,0,0,0,0
206,Islington  ,26 Contribution to health care of individual children,0,0,0,0,0,0
206,Islington  ,27 Teenage pregnancy services,0,0,53700,53700,0,53700
206,Islington  ,28 Total Family Support Services,570387,161784,2572573,3304744,335495,2969249
206,Islington  ,29 Asylum seeker services - children,0,0,0,0,0,0
206,Islington  ,30 Unaccompanied asylum children,153796,0,330828,484624,484624,0
206,Islington  ,31 Accommodation,569020,0,891931,1460951,1460951,0
206,Islington  ,32 Assessment and care management,54,0,717555,717609,717609,0
206,Islington  ,33 Total Asylum Seeker,722870,0,1940314,2663184,2663184,0
206,Islington  ,34 Adoption services,54882,27166,2126290,2208338,67125,2141213
206,Islington  ,35 Special guardianship support,0,0,373097,373097,0,373097
206,Islington  ,36 Other childrens and families services,0,0,0,0,0,0
206,Islington  ,37 Total Other Childrens and Families Services,54882,27166,2499387,2581435,67125,2514310
206,Islington  ,38 Childrens and young peoples plan,1730,0,176323,178053,26500,151553
206,Islington  ,39 Childrens social care workforce grant,20,0,856479,856499,46014,810485
206,Islington  ,40 Partnership costs,0,0,0,0,0,0
206,Islington  ,41 Central commissioning function,464452,21015,4094425,4579892,243761,4336131
206,Islington  ,42 Commissioning and social work,2257005,89898,18123752,20470655,4707073,15763582
206,Islington  ,43 Total Childrens Services Strategy,2723207,110913,23250979,26085099,5023348,21061751
206,Islington  ,44 Child Trust Fund Top Ups,0,0,0,0,0,0
206,Islington  ,45 Capital Expenditure from Revenue (CERA) (Childrens and young peoples services,,,,0,0,0
206,Islington  ,46 TOTAL CHILDREN AND YOUNG PEOPLES SERVICES BUDGET (excluding CERA),,,,55866846,12100194,43766652
206,Islington  ,47 TOTAL CHILDREN AND YOUNG PEOPLES SERVICES BUDGET (including CERA),,,,55866846,12100194,43766652
207,Kensington and Chelsea  ,1 Secure accommodation (youth justice),0,0,0,0,0,0
207,Kensington and Chelsea  ,2 Youth offender teams,0,0,1531821,1531821,450000,1081821
207,Kensington and Chelsea  ,3 Other Youth Justice service,0,0,0,0,0,0
207,Kensington and Chelsea  ,4 Total Youth Justice,0,0,1531821,1531821,450000,1081821
207,Kensington and Chelsea  ,5 Residential care,1002529,0,2003726,3006255,302081,2704174
207,Kensington and Chelsea  ,6 Fostering services,1890851,0,2668918,4559769,809071,3750698
207,Kensington and Chelsea  ,7 Other children looked after services,0,0,943632,943632,15405,928227
207,Kensington and Chelsea  ,8 Secure accommodation (welfare),7623,0,0,7623,0,7623
207,Kensington and Chelsea  ,9 Short breaks (respite) for looked after children,0,0,281857,281857,0,281857
207,Kensington and Chelsea  ,10 Children placed with family and friends,0,0,298799,298799,0,298799
207,Kensington and Chelsea  ,11 Advocacy services for children looked after,0,0,47983.02,47983.02,0,47983.02
207,Kensington and Chelsea  ,12 Education of looked after children,107400,0,351087,458487,0,458487
207,Kensington and Chelsea  ,13 Leaving care support services,0,0,1594128,1594128,588787,1005341
207,Kensington and Chelsea  ,14 Total Children Looked After,3008403,0,8190130.02,11198533.02,1715344,9483189.02
207,Kensington and Chelsea  ,15 Child death processes,0,0,0,0,0,0
207,Kensington and Chelsea  ,16 Preventative services,0,0,225214,225214,52524,172690
207,Kensington and Chelsea  ,17 LA functions in relation to child protection,0,0,231728,231728,13310,218418
207,Kensington and Chelsea  ,18 Local safeguarding childrens board,0,0,124054,124054,0,124054
207,Kensington and Chelsea  ,19 Total Children and Young Peoples Safety,0,0,580996,580996,65834,515162
207,Kensington and Chelsea  ,20 Direct payments,0,0,96476,96476,0,96476
207,Kensington and Chelsea  ,21 Short breaks (respite) for disabled children,0,31630,853097,884727,74962,809765
207,Kensington and Chelsea  ,22 Home care services,0,0,0,0,0,0
207,Kensington and Chelsea  ,23 Equiptment and adaptations,0,0,0,0,0,0
207,Kensington and Chelsea  ,24 Other family support services,132033,0,670921,802954,0,802954
207,Kensington and Chelsea  ,"25 Substances misuse services (Drugs, Alcohol and Volatile substances)",0,166688,262509,429197,224700,204497
207,Kensington and Chelsea  ,26 Contribution to health care of individual children,0,0,165251,165251,77842,87409
207,Kensington and Chelsea  ,27 Teenage pregnancy services,0,13545,204780,218325,91319,127006
207,Kensington and Chelsea  ,28 Total Family Support Services,132033,211863,2253034,2596930,468823,2128107
207,Kensington and Chelsea  ,29 Asylum seeker services - children,0,0,19063,19063,0,19063
207,Kensington and Chelsea  ,30 Unaccompanied asylum children,0,0,0,0,0,0
207,Kensington and Chelsea  ,31 Accommodation,0,0,64793,64793,0,64793
207,Kensington and Chelsea  ,32 Assessment and care management,0,0,108820,108820,0,108820
207,Kensington and Chelsea  ,33 Total Asylum Seeker,0,0,192676,192676,0,192676
207,Kensington and Chelsea  ,34 Adoption services,0,0,1526536,1526536,87098,1439438
207,Kensington and Chelsea  ,35 Special guardianship support,0,0,156946,156946,0,156946
207,Kensington and Chelsea  ,36 Other childrens and families services,0,847545,570889,1418434,70011,1348423
207,Kensington and Chelsea  ,37 Total Other Childrens and Families Services,0,847545,2254371,3101916,157109,2944807
207,Kensington and Chelsea  ,38 Childrens and young peoples plan,0,0,0,0,0,0
207,Kensington and Chelsea  ,39 Childrens social care workforce grant,0,0,41250,41250,41250,0
207,Kensington and Chelsea  ,40 Partnership costs,0,0,0,0,0,0
207,Kensington and Chelsea  ,41 Central commissioning function,0,0,893863.98,893863.98,267581,626282.98
207,Kensington and Chelsea  ,42 Commissioning and social work,0,0,9467168,9467168,220147,9247021
207,Kensington and Chelsea  ,43 Total Childrens Services Strategy,0,0,10402281.98,10402281.98,528978,9873303.98
207,Kensington and Chelsea  ,44 Child Trust Fund Top Ups,0,0,2600,2600,0,2600
207,Kensington and Chelsea  ,45 Capital Expenditure from Revenue (CERA) (Childrens and young peoples services,,,,0,0,0
207,Kensington and Chelsea  ,46 TOTAL CHILDREN AND YOUNG PEOPLES SERVICES BUDGET (excluding CERA),,,,29607754,3386088,26221666
207,Kensington and Chelsea  ,47 TOTAL CHILDREN AND YOUNG PEOPLES SERVICES BUDGET (including CERA),,,,29607754,3386088,26221666
208,Lambeth  ,1 Secure accommodation (youth justice),0,0,194354,194354,0,194354
208,Lambeth  ,2 Youth offender teams,0,0,3257377,3257377,1869281,1388096
208,Lambeth  ,3 Other Youth Justice service,0,0,0,0,0,0
208,Lambeth  ,4 Total Youth Justice,0,0,3451731,3451731,1869281,1582450
